Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,2,10,4,40.0,0.2,0.5,21.2,0.0,0,0,0.5,0.5,0.05,1.5,1.5,2,0,2,100.0,1,0.1,0.1,0,0,0,0,5.0,10.0,50.0,20.0,6.0,20.0,32.4,8.0,75.0,51.6,8.0,0.0,0.0,0.0,12.3,462.0,556.0,83.1,9058.0,3474.0,171.0,200.0,85.5,211.0,239.0,88.3,68.0,96.0,70.8,2,0.3,0.4,7.0,34.0,4.0,2.0,42.0,556.0,504.0,52.0,16.0,1.0,2.0,16,22.0,5.0,0.0,3.0,1.0,462.0,0.0,8.0,19.0,15.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,24.0,19,7.0,15.0,2.0,14.0,27.0,51.9,13.0,10.0,2.0,8.0,8,32,15.0,1.0,53,664.0,42.0,166.0,397.0,106.0,11.0,664.0,27.0,9.0,33.3,18.0,66.7,377.0,1898.0,857.0,14.0,12.0,3.0,16.0,11.0,458.0,42.0,2,0,0,18,12,0,16,8,19,0.0,0.0,0,41.0,22.0,16.0,57.9,1
2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,0,7,4,57.1,0.0,0.0,13.2,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,8,2,6,75.0,0,1.8,-0.2,0,0,0,0,7.0,26.0,26.9,26.0,3.0,69.2,47.2,8.0,100.0,64.4,14.0,0.0,0.0,1.0,14.0,250.0,374.0,66.8,4298.0,2169.0,113.0,139.0,81.3,80.0,117.0,68.4,33.0,73.0,45.2,0,0.4,0.6,6.0,21.0,6.0,3.0,34.0,374.0,312.0,57.0,16.0,0.0,4.0,13,26.0,4.0,2.0,1.0,0.0,250.0,5.0,11.0,11.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,12.0,5.0,2.0,16.0,24.0,66.7,8.0,11.0,2.0,9.0,20,39,16.0,0.0,35,477.0,60.0,186.0,200.0,93.0,13.0,477.0,13.0,4.0,30.8,9.0,69.2,168.0,972.0,406.0,11.0,6.0,2.0,6.0,13.0,247.0,33.0,1,0,0,9,12,5,13,20,14,0.0,0.0,0,39.0,21.0,21.0,50.0,1
2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,1,8,4,50.0,0.13,0.25,18.6,0.0,0,0,0.3,0.3,0.04,0.7,0.7,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,11.0,29.0,37.9,33.0,9.0,72.7,49.2,5.0,100.0,66.0,15.0,3.0,20.0,2.0,11.0,414.0,539.0,76.8,8662.0,3336.0,150.0,175.0,85.7,192.0,227.0,84.6,70.0,117.0,59.8,1,0.3,0.5,7.0,57.0,4.0,2.0,50.0,539.0,483.0,52.0,12.0,1.0,11.0,18,28.0,5.0,3.0,1.0,0.0,414.0,4.0,11.0,13.0,8.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,15,9.0,11.0,1.0,7.0,9.0,77.8,2.0,10.0,0.0,10.0,14,35,18.0,0.0,54,622.0,56.0,143.0,332.0,158.0,12.0,622.0,11.0,6.0,54.5,5.0,45.5,326.0,1529.0,609.0,13.0,11.0,5.0,13.0,17.0,406.0,47.0,1,0,0,10,12,4,18,14,15,0.0,0.0,0,37.0,18.0,21.0,46.2,1
2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,0,19,6,31.6,0.0,0.0,16.6,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,3,0,3,100.0,1,0.4,0.4,0,0,0,0,14.0,27.0,51.9,42.0,2.0,47.6,38.5,10.0,70.0,47.1,20.0,0.0,0.0,1.0,12.0,484.0,585.0,82.7,10120.0,3689.0,154.0,177.0,87.0,245.0,267.0,91.8,80.0,125.0,64.0,0,0.7,0.5,14.0,35.0,10.0,3.0,46.0,585.0,537.0,48.0,13.0,0.0,3.0,23,19.0,5.0,4.0,1.0,0.0,484.0,0.0,6.0,33.0,27.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,6.0,6.0,0.0,8.0,12.0,66.7,4.0,7.0,2.0,5.0,15,27,28.0,0.0,53,693.0,67.0,220.0,326.0,151.0,30.0,693.0,13.0,6.0,46.2,7.0,53.8,350.0,1830.0,786.0,24.0,12.0,9.0,11.0,10.0,478.0,45.0,2,0,0,7,13,0,23,15,8,0.0,0.0,0,40.0,17.0,21.0,44.7,2
2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,1,9,4,44.4,0.11,0.25,16.5,0.0,0,0,0.6,0.6,0.06,0.4,0.4,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,10.0,20.0,50.0,25.0,7.0,60.0,44.8,10.0,50.0,44.1,19.0,3.0,15.8,0.0,6.0,372.0,459.0,81.0,7768.0,2938.0,120.0,143.0,83.9,192.0,212.0,90.6,56.0,93.0,60.2,1,0.5,0.6,7.0,31.0,3.0,1.0,31.0,459.0,409.0,49.0,16.0,0.0,6.0,14,19.0,2.0,0.0,1.0,0.0,372.0,1.0,8.0,14.0,12.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,16,10.0,9.0,3.0,12.0,14.0,85.7,2.0,8.0,3.0,5.0,14,36,20.0,0.0,41,556.0,59.0,186.0,253.0,119.0,17.0,556.0,14.0,4.0,28.6,10.0,71.4,303.0,1505.0,685.0,19.0,5.0,4.0,16.0,8.0,370.0,31.0,2,0,0,20,14,1,14,14,16,0.0,0.0,0,29.0,11.0,12.0,47.8,1
2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,2,5,3,60.0,0.4,0.67,17.2,0.0,0,0,0.3,0.3,0.06,1.7,1.7,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,10.0,28.0,35.7,30.0,2.0,70.0,45.5,7.0,100.0,61.9,24.0,3.0,12.5,0.0,5.0,282.0,401.0,70.3,5622.0,2217.0,116.0,147.0,78.9,113.0,140.0,80.7,47.0,91.0,51.6,2,0.2,0.7,4.0,18.0,5.0,1.0,28.0,401.0,345.0,55.0,24.0,0.0,1.0,13,19.0,3.0,2.0,0.0,1.0,282.0,1.0,20.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,14,13.0,6.0,0.0,5.0,12.0,41.7,7.0,13.0,3.0,10.0,22,41,29.0,0.0,37,511.0,68.0,203.0,232.0,85.0,10.0,511.0,10.0,3.0,30.0,7.0,70.0,233.0,1376.0,731.0,14.0,8.0,5.0,15.0,12.0,281.0,28.0,1,0,0,12,23,1,13,22,14,0.0,0.0,0,53.0,16.0,21.0,43.2,1
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,0,5,1,20.0,0.0,0.0,20.5,0.0,0,0,0.6,0.6,0.13,-0.6,-0.6,3,1,2,100.0,0,1.3,0.3,1,1,0,0,16.0,38.0,42.1,33.0,3.0,81.8,51.1,12.0,91.7,62.9,8.0,0.0,0.0,0.0,15.5,412.0,549.0,75.0,7922.0,2976.0,174.0,207.0,84.1,169.0,208.0,81.3,58.0,113.0,51.3,0,0.6,0.7,5.0,32.0,5.0,1.0,40.0,549.0,487.0,62.0,20.0,1.0,4.0,11,27.0,1.0,0.0,1.0,0.0,412.0,0.0,7.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,8.0,3.0,2.0,5.0,11.0,45.5,6.0,12.0,1.0,11.0,15,28,12.0,0.0,57,645.0,51.0,183.0,344.0,125.0,8.0,645.0,21.0,10.0,47.6,11.0,52.4,268.0,1519.0,628.0,7.0,11.0,1.0,19.0,9.0,408.0,38.0,3,1,0,25,20,0,11,15,9,0.0,1.0,0,49.0,26.0,29.0,47.3,1
2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,0,22,5,22.7,0.0,0.0,17.1,2.0,0,0,2.2,2.2,0.13,-2.2,-2.2,4,1,3,100.0,0,1.7,0.7,1,1,0,0,8.0,16.0,50.0,30.0,1.0,40.0,34.7,8.0,50.0,45.6,8.0,1.0,12.5,3.0,17.3,593.0,712.0,83.3,11631.0,3862.0,229.0,255.0,89.8,282.0,325.0,86.8,79.0,114.0,69.3,0,1.7,1.8,14.0,71.0,12.0,3.0,80.0,712.0,658.0,51.0,11.0,3.0,2.0,35,21.0,9.0,1.0,4.0,0.0,593.0,3.0,9.0,38.0,26.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17,11.0,5.0,3.0,9.0,22.0,40.9,13.0,12.0,1.0,11.0,14,33,12.0,0.0,65,824.0,46.0,163.0,360.0,304.0,31.0,824.0,14.0,5.0,35.7,9.0,64.3,457.0,2266.0,1266.0,18.0,11.0,3.0,15.0,7.0,590.0,80.0,2,0,0,13,12,3,35,14,17,0.0,1.0,0,54.0,19.0,12.0,61.3,2
2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,2,10,5,50.0,0.2,0.4,17.9,1.0,0,0,1.4,1.4,0.14,0.6,0.6,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,7.0,35.0,20.0,27.0,4.0,77.8,52.6,14.0,100.0,61.1,24.0,2.0,8.3,0.0,9.7,228.0,333.0,68.5,3791.0,1721.0,108.0,136.0,79.4,64.0,82.0,78.0,34.0,78.0,43.6,2,1.3,1.1,8.0,17.0,4.0,1.0,33.0,333.0,290.0,42.0,13.0,0.0,4.0,9,11.0,1.0,1.0,0.0,0.0,228.0,1.0,8.0,20.0,15.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,19.0,13,11.0,6.0,2.0,11.0,16.0,68.8,5.0,14.0,3.0,11.0,9,28,33.0,0.0,33,432.0,72.0,150.0,208.0,79.0,12.0,432.0,6.0,3.0,50.0,3.0,50.0,200.0,1142.0,650.0,19.0,11.0,4.0,9.0,12.0,227.0,33.0,0,0,0,14,11,1,9,9,13,0.0,0.0,0,49.0,13.0,19.0,40.6,1
2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,0,2,Schalke 04,0,2,0,0.0,0.0,,29.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,7,2,5,85.7,0,2.3,0.3,1,1,0,0,9.0,20.0,45.0,33.0,4.0,51.5,39.4,4.0,75.0,44.8,18.0,1.0,5.6,0.0,12.0,316.0,410.0,77.1,5811.0,2112.0,136.0,157.0,86.6,127.0,144.0,88.2,40.0,75.0,53.3,0,0.0,0.2,0.0,15.0,3.0,2.0,26.0,410.0,362.0,47.0,21.0,0.0,3.0,8,18.0,1.0,0.0,0.0,0.0,316.0,1.0,15.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13,9.0,4.0,2.0,5.0,9.0,55.6,4.0,20.0,2.0,18.0,14,29,19.0,1.0,39,507.0,58.0,189.0,263.0,61.0,7.0,507.0,18.0,11.0,61.1,7.0,38.9,224.0,1400.0,636.0,11.0,6.0,4.0,8.0,15.0,313.0,26.0,1,1,0,12,20,1,8,14,13,0.0,1.0,0,41.0,15.0,15.0,50.0,1
