Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,0,13,2,15.4,0.0,0.0,14.0,1.0,0,0,1.1,1.1,0.08,-1.1,-1.1,8,1,7,87.5,0,0.8,-0.2,0,0,0,0,9.0,22.0,40.9,31.0,5.0,51.6,43.2,8.0,75.0,58.3,19.0,1.0,5.3,0.0,10.3,445.0,542.0,82.1,8393.0,3129.0,159.0,180.0,88.3,226.0,249.0,90.8,47.0,81.0,58.0,0,0.8,1.2,10.0,32.0,10.0,5.0,42.0,542.0,490.0,49.0,15.0,0.0,2.0,14,21.0,3.0,0.0,3.0,0.0,445.0,3.0,12.0,26.0,22.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16,14.0,9.0,2.0,9.0,18.0,50.0,9.0,14.0,6.0,8.0,14,39,19.0,0.0,47,655.0,66.0,174.0,364.0,118.0,21.0,655.0,17.0,5.0,29.4,12.0,70.6,325.0,1617.0,937.0,10.0,12.0,3.0,15.0,6.0,442.0,41.0,2,0,0,11,12,3,14,14,16,0.0,0.0,0,34.0,15.0,13.0,53.6,1
2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,1,20,6,30.0,0.05,0.17,20.0,0.0,0,0,2.1,2.1,0.1,-1.1,-1.1,4,3,1,25.0,0,1.7,-1.3,0,0,0,0,1.0,5.0,20.0,24.0,2.0,4.2,20.0,7.0,57.1,44.6,11.0,0.0,0.0,0.0,15.0,499.0,619.0,80.6,9604.0,3186.0,171.0,195.0,87.7,267.0,298.0,89.6,56.0,103.0,54.4,1,1.4,2.1,14.0,52.0,11.0,6.0,72.0,619.0,563.0,50.0,12.0,0.0,4.0,30,21.0,6.0,4.0,2.0,0.0,499.0,6.0,10.0,35.0,30.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,13,9.0,8.0,1.0,7.0,11.0,63.6,4.0,10.0,4.0,6.0,9,27,22.0,2.0,70,731.0,48.0,214.0,343.0,180.0,23.0,731.0,21.0,9.0,42.9,12.0,57.1,377.0,2067.0,1211.0,21.0,20.0,2.0,12.0,4.0,494.0,72.0,2,0,0,9,9,6,30,9,13,0.0,0.0,0,48.0,14.0,20.0,41.2,1
2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,0,13,3,23.1,0.0,0.0,19.3,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,4,3,1,50.0,0,2.4,-0.6,1,1,0,0,8.0,16.0,50.0,22.0,2.0,50.0,39.6,9.0,55.6,49.1,13.0,1.0,7.7,1.0,14.0,476.0,605.0,78.7,9265.0,3755.0,183.0,209.0,87.6,205.0,254.0,80.7,71.0,106.0,67.0,0,0.6,1.5,11.0,53.0,10.0,3.0,71.0,605.0,533.0,71.0,15.0,0.0,5.0,30,35.0,9.0,8.0,1.0,0.0,476.0,1.0,17.0,25.0,17.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,8.0,7.0,2.0,9.0,9.0,100.0,0.0,7.0,0.0,7.0,17,34,26.0,0.0,66,719.0,52.0,175.0,384.0,166.0,20.0,719.0,19.0,7.0,36.8,12.0,63.2,348.0,1629.0,819.0,17.0,13.0,3.0,17.0,15.0,471.0,70.0,0,0,0,13,14,1,30,17,12,0.0,1.0,0,48.0,26.0,19.0,57.8,1
2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,1,10,4,40.0,0.1,0.25,25.9,1.0,0,0,0.4,0.4,0.04,0.6,0.6,7,3,4,57.1,0,1.3,-1.7,0,0,0,0,3.0,29.0,10.3,24.0,1.0,75.0,51.7,13.0,84.6,60.6,8.0,0.0,0.0,1.0,18.5,225.0,318.0,70.8,3968.0,1599.0,96.0,107.0,89.7,85.0,107.0,79.4,29.0,80.0,36.3,1,0.4,0.3,10.0,17.0,4.0,2.0,22.0,318.0,268.0,46.0,11.0,1.0,3.0,9,15.0,3.0,1.0,1.0,0.0,225.0,4.0,4.0,19.0,13.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,15,11.0,9.0,0.0,6.0,17.0,35.3,11.0,8.0,3.0,5.0,13,33,16.0,0.0,29,401.0,57.0,151.0,184.0,76.0,10.0,401.0,13.0,7.0,53.8,6.0,46.2,184.0,1466.0,816.0,16.0,14.0,6.0,12.0,3.0,225.0,22.0,0,0,0,11,6,4,9,13,15,0.0,0.0,0,46.0,4.0,16.0,20.0,2
2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,0,6,2,33.3,0.0,0.0,18.9,1.0,0,0,0.7,0.7,0.11,-0.7,-0.7,8,5,3,50.0,0,3.9,-1.1,1,1,0,0,10.0,25.0,40.0,18.0,2.0,77.8,51.7,11.0,100.0,65.3,13.0,1.0,7.7,2.0,11.9,198.0,297.0,66.7,3684.0,1807.0,99.0,117.0,84.6,61.0,83.0,73.5,30.0,72.0,41.7,0,0.7,0.3,6.0,15.0,1.0,1.0,18.0,297.0,240.0,52.0,12.0,0.0,3.0,8,19.0,5.0,4.0,1.0,0.0,198.0,5.0,8.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14,5.0,9.0,1.0,7.0,11.0,63.6,4.0,6.0,1.0,5.0,20,35,19.0,1.0,27,383.0,58.0,160.0,161.0,68.0,9.0,383.0,13.0,3.0,23.1,10.0,76.9,151.0,832.0,417.0,11.0,8.0,3.0,14.0,6.0,198.0,18.0,3,0,0,12,11,5,8,20,14,0.0,1.0,0,41.0,12.0,11.0,52.2,1
2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,0,17,7,41.2,0.0,0.0,18.6,1.0,0,0,2.1,2.1,0.14,-2.1,-2.1,4,1,3,100.0,0,1.7,0.7,1,1,0,0,5.0,14.0,35.7,21.0,2.0,42.9,34.7,7.0,71.4,49.9,15.0,0.0,0.0,2.0,19.5,391.0,533.0,73.4,6841.0,2640.0,170.0,203.0,83.7,174.0,217.0,80.2,33.0,79.0,41.8,0,0.7,1.4,10.0,29.0,8.0,3.0,46.0,533.0,473.0,58.0,22.0,0.0,3.0,28,23.0,4.0,1.0,3.0,0.0,391.0,2.0,16.0,28.0,22.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13,12.0,11.0,1.0,12.0,19.0,63.2,7.0,8.0,2.0,6.0,15,39,22.0,1.0,55,646.0,50.0,188.0,323.0,145.0,23.0,646.0,14.0,5.0,35.7,9.0,64.3,312.0,1669.0,1053.0,19.0,13.0,4.0,12.0,3.0,388.0,46.0,2,0,0,20,21,2,28,15,13,0.0,1.0,0,59.0,22.0,21.0,51.2,1
2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,0,6,1,16.7,0.0,0.0,16.8,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0,1,0,1,100.0,1,0.6,0.6,0,0,0,0,8.0,26.0,30.8,17.0,1.0,82.4,51.4,12.0,100.0,66.6,25.0,0.0,0.0,0.0,9.0,180.0,283.0,63.6,3684.0,1761.0,77.0,93.0,82.8,71.0,101.0,70.3,30.0,78.0,38.5,0,0.9,0.7,2.0,16.0,2.0,0.0,20.0,283.0,229.0,54.0,18.0,1.0,0.0,17,16.0,7.0,5.0,2.0,0.0,180.0,0.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15,7.0,10.0,1.0,7.0,10.0,70.0,3.0,15.0,4.0,11.0,11,29,32.0,0.0,34,389.0,61.0,149.0,163.0,79.0,8.0,389.0,10.0,0.0,0.0,10.0,100.0,147.0,637.0,224.0,6.0,3.0,2.0,9.0,6.0,175.0,19.0,2,0,0,18,17,0,17,11,15,0.0,0.0,0,40.0,14.0,23.0,37.8,1
2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,0,19,5,26.3,0.0,0.0,17.0,0.0,0,0,1.7,1.7,0.09,-1.7,-1.7,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,5.0,10.0,50.0,20.0,7.0,15.0,30.0,12.0,58.3,51.7,7.0,0.0,0.0,2.0,17.0,590.0,719.0,82.1,11935.0,3948.0,202.0,237.0,85.2,284.0,326.0,87.1,95.0,133.0,71.4,0,1.6,1.6,14.0,63.0,8.0,3.0,71.0,719.0,656.0,61.0,12.0,1.0,6.0,46,26.0,9.0,1.0,7.0,0.0,590.0,2.0,19.0,36.0,27.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,9.0,6.0,4.0,5.0,19.0,26.3,14.0,12.0,4.0,8.0,6,25,13.0,0.0,67,811.0,43.0,141.0,433.0,238.0,20.0,811.0,10.0,3.0,30.0,7.0,70.0,423.0,2111.0,1104.0,19.0,9.0,3.0,5.0,12.0,589.0,71.0,2,0,0,9,11,2,46,6,13,0.0,0.0,0,45.0,20.0,15.0,57.1,2
2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,1,17,6,35.3,0.06,0.17,18.5,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,10,2,8,80.0,0,2.9,0.9,0,0,0,0,9.0,25.0,36.0,30.0,2.0,56.7,43.8,11.0,72.7,54.6,14.0,0.0,0.0,1.0,15.5,328.0,463.0,70.8,6783.0,2972.0,111.0,143.0,77.6,151.0,191.0,79.1,59.0,101.0,58.4,1,0.8,1.0,11.0,30.0,5.0,1.0,36.0,463.0,387.0,70.0,17.0,0.0,5.0,26,30.0,9.0,6.0,3.0,0.0,328.0,6.0,20.0,29.0,19.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,24,18.0,11.0,2.0,14.0,21.0,66.7,7.0,16.0,6.0,10.0,13,44,22.0,0.0,48,602.0,74.0,235.0,220.0,149.0,25.0,602.0,20.0,10.0,50.0,10.0,50.0,262.0,1230.0,584.0,15.0,10.0,7.0,17.0,11.0,321.0,35.0,0,0,0,11,13,6,26,13,24,0.0,0.0,0,43.0,15.0,19.0,44.1,1
2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,1,2,Stuttgart,1,17,3,17.6,0.06,0.33,19.3,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1,7,2,5,71.4,0,2.1,0.1,0,0,0,0,6.0,20.0,30.0,18.0,3.0,72.2,47.8,10.0,70.0,54.1,12.0,1.0,8.3,0.0,10.4,385.0,512.0,75.2,7485.0,3074.0,156.0,195.0,80.0,158.0,188.0,84.0,59.0,101.0,58.4,1,1.3,1.1,14.0,48.0,11.0,2.0,58.0,512.0,457.0,55.0,13.0,0.0,4.0,20,25.0,4.0,3.0,1.0,0.0,385.0,0.0,14.0,29.0,22.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,18,13.0,3.0,3.0,14.0,28.0,50.0,14.0,11.0,4.0,7.0,14,33,20.0,0.0,55,630.0,57.0,167.0,296.0,176.0,25.0,630.0,18.0,8.0,44.4,10.0,55.6,255.0,1701.0,844.0,19.0,14.0,5.0,14.0,8.0,380.0,57.0,3,0,0,13,12,0,20,14,18,0.0,0.0,0,52.0,18.0,16.0,52.9,1
