Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Schalke 04,0,12,3,25.0,0.0,0.0,21.3,1.0,0,0,1.0,1.0,0.08,-1.0,-1.0,5,2,3,80.0,0,2.2,0.2,1,1,0,0,4.0,8.0,50.0,29.0,5.0,20.7,25.6,4.0,50.0,38.5,12.0,1.0,8.3,0.0,13.3,503.0,638.0,78.8,8233.0,3041.0,258.0,299.0,86.3,204.0,251.0,81.3,31.0,52.0,59.6,0,0.9,0.6,9.0,37.0,5.0,0.0,60.0,638.0,571.0,62.0,23.0,2.0,3.0,18,27.0,5.0,1.0,4.0,0.0,503.0,5.0,16.0,19.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20,6.0,14.0,5.0,13.0,22.0,59.1,9.0,13.0,1.0,12.0,16,41,14.0,0.0,64,758.0,47.0,142.0,415.0,206.0,21.0,758.0,27.0,15.0,55.6,13.0,48.1,436.0,2281.0,1341.0,28.0,26.0,5.0,9.0,25.0,501.0,60.0,2,0,0,18,21,5,18,16,20,0.0,1.0,0,56.0,20.0,12.0,62.5,1
2017-08-27,15:30 (06:30),Bundesliga,Matchweek 2,Sun,Home,W,4,1,Freiburg,4,29,11,37.9,0.14,0.36,16.4,0.0,0,0,2.7,2.7,0.09,1.3,1.3,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,5.0,11.0,45.5,39.0,12.0,20.5,25.2,3.0,100.0,58.0,4.0,2.0,50.0,0.0,13.0,531.0,641.0,82.8,8520.0,3118.0,282.0,304.0,92.8,187.0,213.0,87.8,45.0,93.0,48.4,4,2.7,1.9,26.0,43.0,17.0,4.0,52.0,641.0,580.0,60.0,14.0,6.0,3.0,14,33.0,8.0,5.0,1.0,0.0,531.0,1.0,11.0,56.0,42.0,4.0,6.0,3.0,0.0,1.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,20.0,17,12.0,7.0,1.0,11.0,12.0,91.7,1.0,9.0,0.0,9.0,17,37,24.0,0.0,67,766.0,42.0,183.0,407.0,186.0,35.0,766.0,21.0,15.0,71.4,6.0,28.6,453.0,2431.0,1278.0,25.0,17.0,7.0,14.0,16.0,525.0,52.0,2,0,0,11,12,1,14,17,17,0.0,0.0,0,57.0,23.0,12.0,65.7,1
2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,W,2,0,Hamburger SV,2,20,4,20.0,0.1,0.5,20.0,0.0,0,0,1.8,1.8,0.09,0.2,0.2,2,0,2,100.0,1,0.8,0.8,0,0,0,0,6.0,15.0,40.0,30.0,5.0,40.0,33.9,5.0,60.0,39.8,9.0,1.0,11.1,1.0,18.5,440.0,570.0,77.2,7961.0,3033.0,200.0,235.0,85.1,172.0,206.0,83.5,57.0,96.0,59.4,2,1.7,1.7,14.0,43.0,12.0,3.0,56.0,570.0,503.0,65.0,16.0,3.0,2.0,29,29.0,14.0,5.0,6.0,0.0,440.0,2.0,19.0,31.0,21.0,2.0,6.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,25.0,18,12.0,12.0,1.0,14.0,18.0,77.8,4.0,11.0,1.0,10.0,19,44,31.0,0.0,67,710.0,49.0,160.0,366.0,191.0,33.0,710.0,29.0,19.0,65.5,10.0,34.5,371.0,2105.0,1187.0,35.0,16.0,9.0,18.0,16.0,439.0,56.0,1,0,0,11,14,2,29,19,18,0.0,0.0,0,49.0,23.0,15.0,60.5,1
2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Home,D,1,1,fr Monaco,1,8,2,25.0,0.13,0.5,13.8,1.0,0,0,0.9,0.9,0.11,0.1,0.1,2,1,1,50.0,0,1.0,0.0,0,0,0,0,8.0,18.0,44.4,31.0,5.0,45.2,38.7,5.0,80.0,51.2,13.0,0.0,0.0,0.0,6.5,441.0,594.0,74.2,7206.0,2897.0,235.0,279.0,84.2,144.0,180.0,80.0,42.0,86.0,48.8,1,0.9,0.4,7.0,39.0,2.0,0.0,47.0,594.0,525.0,60.0,19.0,1.0,1.0,14,29.0,5.0,2.0,3.0,0.0,441.0,9.0,9.0,15.0,10.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,15,8.0,8.0,2.0,8.0,15.0,53.3,7.0,11.0,2.0,9.0,18,36,30.0,0.0,59,719.0,63.0,209.0,393.0,124.0,14.0,719.0,6.0,1.0,16.7,5.0,83.3,348.0,1671.0,882.0,15.0,14.0,6.0,19.0,12.0,438.0,47.0,2,0,0,10,20,9,14,18,15,0.0,0.0,0,77.0,15.0,27.0,35.7,2
2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,2,2,Gladbach,2,9,3,33.3,0.22,0.67,20.3,0.0,0,0,0.7,0.7,0.08,1.3,1.3,3,2,1,66.7,0,1.4,-0.6,1,1,0,0,3.0,15.0,20.0,30.0,1.0,30.0,30.9,8.0,75.0,50.6,10.0,0.0,0.0,2.0,17.6,473.0,581.0,81.4,8060.0,2970.0,225.0,261.0,86.2,194.0,222.0,87.4,45.0,73.0,61.6,2,0.7,1.1,9.0,27.0,8.0,1.0,56.0,581.0,529.0,49.0,13.0,3.0,1.0,9,22.0,3.0,0.0,2.0,0.0,473.0,3.0,12.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,21,9.0,18.0,5.0,17.0,25.0,68.0,8.0,13.0,1.0,12.0,9,41,22.0,0.0,52,699.0,62.0,178.0,383.0,146.0,16.0,699.0,15.0,10.0,66.7,5.0,33.3,330.0,2010.0,908.0,21.0,22.0,6.0,15.0,23.0,470.0,55.0,1,1,0,13,11,3,9,9,21,0.0,1.0,0,42.0,9.0,9.0,50.0,1
2017-09-19,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Augsburg,0,14,3,21.4,0.0,0.0,20.4,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,4,1,3,75.0,0,1.1,0.1,0,0,0,0,11.0,18.0,61.1,35.0,6.0,40.0,32.7,7.0,57.1,47.6,11.0,0.0,0.0,2.0,15.3,591.0,724.0,81.6,9958.0,3634.0,280.0,322.0,87.0,246.0,293.0,84.0,45.0,78.0,57.7,0,1.1,0.9,13.0,53.0,13.0,1.0,59.0,724.0,662.0,60.0,20.0,0.0,4.0,12,29.0,2.0,1.0,0.0,0.0,591.0,2.0,7.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9,5.0,5.0,1.0,6.0,11.0,54.5,5.0,9.0,2.0,7.0,8,19,16.0,1.0,67,828.0,53.0,199.0,450.0,185.0,26.0,828.0,14.0,3.0,21.4,11.0,78.6,452.0,2387.0,1360.0,27.0,24.0,6.0,22.0,8.0,588.0,58.0,2,0,0,17,14,2,12,8,9,0.0,0.0,0,54.0,26.0,12.0,68.4,1
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,2,1,Eint Frankfurt,2,16,5,31.3,0.13,0.4,16.3,2.0,0,0,1.6,1.6,0.11,0.4,0.4,3,1,2,66.7,0,1.0,0.0,0,0,0,0,9.0,27.0,33.3,30.0,3.0,63.3,43.0,8.0,100.0,59.4,15.0,2.0,13.3,0.0,10.0,495.0,628.0,78.8,8551.0,3044.0,253.0,286.0,88.5,183.0,217.0,84.3,51.0,100.0,51.0,0,0.7,1.6,9.0,41.0,8.0,3.0,52.0,628.0,570.0,54.0,19.0,4.0,2.0,23,23.0,2.0,0.0,2.0,0.0,495.0,4.0,14.0,29.0,18.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,10,7.0,3.0,2.0,6.0,17.0,35.3,11.0,11.0,1.0,10.0,13,25,35.0,1.0,64,742.0,52.0,153.0,399.0,200.0,30.0,742.0,13.0,7.0,53.8,6.0,46.2,394.0,1987.0,950.0,21.0,20.0,6.0,16.0,14.0,492.0,51.0,1,0,0,9,17,4,23,13,10,0.0,0.0,0,52.0,29.0,22.0,56.9,1
2017-09-26,21:45 (11:45),Champions Lg,Group stage,Tue,Away,L,0,2,tr Beşiktaş,0,20,3,15.0,0.0,0.0,22.5,1.0,0,0,1.1,1.1,0.06,-1.1,-1.1,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,2.0,7.0,28.6,25.0,7.0,24.0,28.3,5.0,20.0,32.8,11.0,1.0,9.1,3.0,18.0,448.0,565.0,79.3,6389.0,2649.0,271.0,306.0,88.6,131.0,159.0,82.4,27.0,60.0,45.0,0,0.9,0.8,15.0,40.0,8.0,0.0,45.0,565.0,519.0,43.0,9.0,0.0,0.0,19,20.0,6.0,2.0,4.0,0.0,448.0,3.0,9.0,37.0,27.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,6.0,8.0,0.0,6.0,19.0,31.6,13.0,6.0,1.0,5.0,8,22,31.0,1.0,58,692.0,51.0,166.0,370.0,164.0,24.0,692.0,24.0,18.0,75.0,6.0,25.0,400.0,2325.0,1282.0,24.0,22.0,4.0,19.0,12.0,445.0,45.0,2,0,0,17,7,3,19,8,9,0.0,0.0,0,70.0,9.0,10.0,47.4,2
2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Köln,2,23,10,43.5,0.09,0.2,17.1,0.0,0,0,2.7,2.7,0.12,-0.7,-0.7,6,1,5,83.3,0,1.1,0.1,0,0,0,0,16.0,27.0,59.3,34.0,4.0,58.8,41.0,7.0,100.0,58.4,19.0,1.0,5.3,0.0,6.3,390.0,497.0,78.5,6178.0,3076.0,189.0,209.0,90.4,125.0,157.0,79.6,38.0,69.0,55.1,2,2.0,2.5,18.0,38.0,14.0,3.0,52.0,497.0,432.0,61.0,16.0,0.0,1.0,16,29.0,7.0,3.0,2.0,1.0,390.0,4.0,11.0,41.0,35.0,1.0,0.0,3.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,19,8.0,10.0,3.0,10.0,20.0,50.0,10.0,20.0,6.0,14.0,13,34,32.0,0.0,52,643.0,68.0,185.0,261.0,200.0,31.0,643.0,21.0,7.0,33.3,14.0,66.7,334.0,1770.0,832.0,16.0,10.0,6.0,17.0,17.0,385.0,52.0,2,0,0,13,9,4,16,13,19,0.0,0.0,0,46.0,19.0,15.0,55.9,1
2017-10-14,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Away,W,3,2,Dortmund,3,6,5,83.3,0.33,0.4,15.7,0.0,1,1,2.3,1.5,0.25,0.7,0.5,8,2,6,87.5,0,2.0,0.0,1,1,0,0,12.0,30.0,40.0,27.0,2.0,85.2,53.1,7.0,100.0,65.1,11.0,1.0,9.1,2.0,23.5,232.0,343.0,67.6,4412.0,2147.0,117.0,140.0,83.6,71.0,102.0,69.6,39.0,78.0,50.0,2,1.4,1.3,5.0,26.0,6.0,0.0,31.0,343.0,287.0,51.0,22.0,1.0,1.0,7,17.0,2.0,0.0,0.0,1.0,232.0,5.0,11.0,14.0,7.0,2.0,2.0,0.0,1.0,2.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,26.0,21,16.0,9.0,1.0,15.0,25.0,60.0,10.0,10.0,1.0,9.0,13,39,30.0,3.0,34,459.0,59.0,150.0,207.0,110.0,18.0,458.0,21.0,16.0,76.2,5.0,23.8,201.0,1191.0,665.0,16.0,8.0,6.0,17.0,9.0,231.0,31.0,5,1,1,20,16,5,7,13,21,1.0,1.0,0,50.0,22.0,15.0,59.5,1
