Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,0,12,3,25.0,0.0,0.0,16.0,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,8.0,27.0,29.6,30.0,1.0,70.0,44.2,7.0,85.7,66.0,18.0,0.0,0.0,0.0,16.5,372.0,504.0,73.8,6030.0,2375.0,198.0,225.0,88.0,120.0,152.0,78.9,34.0,86.0,39.5,0,0.5,0.9,9.0,22.0,7.0,2.0,37.0,504.0,440.0,63.0,19.0,1.0,2.0,17,32.0,3.0,3.0,0.0,0.0,372.0,1.0,13.0,19.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10,13.0,3.0,3.0,15.0,22.0,68.2,7.0,11.0,2.0,9.0,14,33,31.0,1.0,53.0,631.0,57.0,186.0,311.0,138.0,16.0,631.0,9.0,4.0,44.4,5.0,55.6,250.0,1373.0,605.0,8.0,12.0,1.0,19.0,9.0,370.0,37.0,2,0,0,7,15,1,17,14,10,0.0,0.0,0,51.0,17.0,26.0,39.5,1
2018-09-01,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0,3,Bayern Munich,0,4,0,0.0,0.0,,21.5,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,7,3,4,57.1,0,1.8,-1.2,0,0,0,0,5.0,26.0,19.2,29.0,3.0,65.5,43.8,15.0,46.7,44.3,28.0,1.0,3.6,0.0,6.5,268.0,350.0,76.6,5043.0,1955.0,110.0,129.0,85.3,109.0,121.0,90.1,40.0,82.0,48.8,0,0.2,0.5,3.0,12.0,4.0,1.0,13.0,350.0,304.0,45.0,10.0,0.0,6.0,7,16.0,0.0,0.0,0.0,0.0,268.0,1.0,6.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14,12.0,9.0,2.0,7.0,13.0,53.8,6.0,14.0,6.0,8.0,13,36,34.0,0.0,32.0,460.0,102.0,235.0,168.0,60.0,8.0,460.0,14.0,7.0,50.0,7.0,50.0,220.0,1263.0,573.0,11.0,7.0,2.0,4.0,12.0,266.0,13.0,0,0,0,3,8,1,7,13,14,0.0,0.0,0,37.0,14.0,8.0,63.6,1
2018-09-16,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,D,3,3,Freiburg,3,12,6,50.0,0.25,0.5,15.6,0.0,0,0,1.6,1.6,0.17,1.4,1.4,5,3,2,40.0,0,1.8,-1.2,0,0,0,0,6.0,18.0,33.3,28.0,2.0,50.0,36.9,5.0,80.0,53.8,18.0,1.0,5.6,1.0,14.5,404.0,524.0,77.1,8329.0,2522.0,155.0,176.0,88.1,174.0,209.0,83.3,69.0,123.0,56.1,2,1.2,1.2,8.0,35.0,11.0,7.0,44.0,524.0,463.0,61.0,16.0,0.0,5.0,41,28.0,8.0,2.0,6.0,0.0,404.0,0.0,7.0,21.0,11.0,5.0,1.0,2.0,2.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,19.0,15,9.0,8.0,2.0,5.0,5.0,100.0,0.0,12.0,3.0,9.0,7,26,31.0,1.0,57.0,634.0,51.0,153.0,340.0,144.0,21.0,634.0,12.0,8.0,66.7,4.0,33.3,329.0,1603.0,827.0,14.0,9.0,2.0,19.0,12.0,403.0,44.0,4,0,0,13,13,0,41,7,15,0.0,0.0,0,50.0,20.0,20.0,50.0,1
2018-09-21,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,0,0,Düsseldorf,0,10,1,10.0,0.0,0.0,17.7,0.0,0,0,1.4,1.4,0.14,-1.4,-1.4,7,0,7,100.0,1,1.0,1.0,0,0,0,0,6.0,14.0,42.9,28.0,8.0,35.7,36.5,7.0,57.1,47.6,17.0,0.0,0.0,0.0,17.0,422.0,530.0,79.6,7456.0,2920.0,199.0,224.0,88.8,155.0,179.0,86.6,53.0,91.0,58.2,0,1.4,1.5,10.0,35.0,12.0,6.0,50.0,530.0,473.0,56.0,21.0,0.0,2.0,27,25.0,2.0,0.0,2.0,0.0,422.0,1.0,9.0,19.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,3.0,8.0,2.0,6.0,13.0,46.2,7.0,18.0,7.0,11.0,10,23,27.0,0.0,54.0,651.0,62.0,165.0,316.0,172.0,25.0,651.0,13.0,4.0,30.8,9.0,69.2,329.0,1950.0,1096.0,15.0,11.0,2.0,13.0,9.0,421.0,50.0,0,0,0,9,19,1,27,10,7,0.0,0.0,0,49.0,22.0,25.0,46.8,1
2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Away,L,0,2,RB Leipzig,0,9,0,0.0,0.0,,18.5,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,8,2,6,75.0,0,2.1,0.1,0,0,0,0,6.0,17.0,35.3,24.0,6.0,33.3,34.0,12.0,75.0,56.4,16.0,1.0,6.3,1.0,12.8,439.0,568.0,77.3,8223.0,2704.0,198.0,220.0,90.0,173.0,211.0,82.0,60.0,102.0,58.8,0,0.7,0.5,7.0,21.0,5.0,3.0,33.0,568.0,505.0,59.0,13.0,1.0,6.0,18,29.0,2.0,1.0,1.0,0.0,439.0,4.0,17.0,16.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17,14.0,8.0,0.0,9.0,15.0,60.0,6.0,16.0,4.0,12.0,16,38,20.0,1.0,55.0,692.0,63.0,222.0,353.0,120.0,11.0,692.0,11.0,4.0,36.4,7.0,63.6,334.0,1796.0,819.0,6.0,8.0,3.0,14.0,16.0,434.0,33.0,3,0,0,9,11,4,18,16,17,0.0,0.0,0,59.0,15.0,19.0,44.1,1
2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,2,1,Werder Bremen,2,18,5,27.8,0.11,0.4,17.6,1.0,0,0,2.5,2.5,0.14,-0.5,-0.5,3,1,3,66.7,0,0.2,0.2,0,0,0,0,10.0,19.0,52.6,26.0,3.0,46.2,40.3,11.0,63.6,54.2,27.0,1.0,3.7,1.0,12.0,248.0,345.0,71.9,5442.0,2420.0,92.0,112.0,82.1,105.0,133.0,78.9,50.0,81.0,61.7,2,2.0,1.0,14.0,22.0,8.0,2.0,32.0,345.0,296.0,44.0,13.0,2.0,3.0,15,12.0,6.0,2.0,4.0,0.0,248.0,5.0,9.0,32.0,22.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,18.0,8,11.0,7.0,0.0,0.0,7.0,0.0,7.0,10.0,1.0,9.0,12,30,46.0,1.0,38.0,484.0,75.0,188.0,184.0,120.0,24.0,484.0,9.0,5.0,55.6,4.0,44.4,211.0,1473.0,803.0,21.0,11.0,9.0,13.0,8.0,246.0,32.0,3,0,0,15,13,5,15,12,8,0.0,0.0,1,39.0,21.0,17.0,55.3,1
2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,3,Hannover 96,1,11,5,45.5,0.09,0.2,19.7,0.0,0,0,0.8,0.8,0.07,0.2,0.2,6,3,3,50.0,0,1.5,-1.5,0,0,0,0,9.0,30.0,30.0,42.0,5.0,54.8,39.9,9.0,77.8,58.6,17.0,0.0,0.0,2.0,17.4,323.0,455.0,71.0,6161.0,2522.0,144.0,172.0,83.7,130.0,162.0,80.2,44.0,95.0,46.3,1,0.8,0.9,10.0,26.0,5.0,2.0,36.0,455.0,392.0,62.0,19.0,1.0,3.0,20,23.0,7.0,3.0,3.0,0.0,323.0,1.0,13.0,21.0,15.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10,11.0,7.0,0.0,7.0,10.0,70.0,3.0,9.0,2.0,7.0,14,32,38.0,0.0,50.0,582.0,67.0,240.0,245.0,102.0,12.0,582.0,14.0,9.0,64.3,5.0,35.7,272.0,1544.0,856.0,18.0,8.0,3.0,19.0,10.0,321.0,36.0,2,0,0,10,15,1,20,14,10,0.0,0.0,0,45.0,23.0,26.0,46.9,1
2018-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,0,4,Dortmund,0,14,5,35.7,0.0,0.0,15.8,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,4,4,0,0.0,0,1.9,-2.1,0,0,0,0,6.0,13.0,46.2,30.0,8.0,33.3,29.0,10.0,30.0,34.8,3.0,0.0,0.0,1.0,31.0,434.0,546.0,79.5,7643.0,2718.0,185.0,214.0,86.4,185.0,213.0,86.9,49.0,82.0,59.8,0,0.4,0.8,8.0,25.0,10.0,5.0,41.0,546.0,483.0,62.0,8.0,2.0,2.0,25,29.0,10.0,1.0,9.0,0.0,434.0,1.0,13.0,20.0,12.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7,4.0,5.0,2.0,5.0,14.0,35.7,9.0,15.0,1.0,14.0,8,19,9.0,1.0,51.0,627.0,55.0,200.0,277.0,156.0,23.0,627.0,7.0,6.0,85.7,1.0,14.3,365.0,2321.0,1212.0,17.0,13.0,2.0,16.0,7.0,430.0,41.0,0,0,0,7,5,1,25,8,7,0.0,0.0,0,44.0,16.0,16.0,50.0,1
2018-10-27,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0,4,Hoffenheim,0,6,0,0.0,0.0,,26.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,10,4,6,60.0,0,3.1,-0.9,0,0,0,0,13.0,34.0,38.2,27.0,5.0,66.7,44.7,17.0,94.1,63.6,21.0,1.0,4.8,0.0,5.5,169.0,259.0,65.3,3483.0,1745.0,77.0,94.0,81.9,49.0,73.0,67.1,37.0,80.0,46.3,0,0.3,0.4,5.0,10.0,1.0,0.0,11.0,259.0,208.0,51.0,13.0,1.0,0.0,8,13.0,3.0,0.0,3.0,0.0,169.0,0.0,3.0,10.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,12.0,5.0,1.0,5.0,13.0,38.5,8.0,8.0,3.0,5.0,15,33,27.0,1.0,26.0,361.0,84.0,184.0,127.0,52.0,5.0,361.0,6.0,3.0,50.0,3.0,50.0,133.0,806.0,351.0,5.0,3.0,0.0,8.0,15.0,167.0,11.0,1,1,0,9,11,0,8,15,10,0.0,0.0,0,35.0,13.0,16.0,44.8,1
2018-11-02,20:30 (12:30),Bundesliga,Matchweek 10,Fri,Home,L,0,3,Eint Frankfurt,0,10,0,0.0,0.0,,19.9,1.0,0,0,1.0,1.0,0.1,-1.0,-1.0,7,3,4,57.1,0,3.2,0.2,0,0,0,0,8.0,25.0,32.0,37.0,3.0,48.6,37.7,9.0,77.8,54.2,10.0,0.0,0.0,3.0,23.2,421.0,548.0,76.8,7435.0,2641.0,202.0,236.0,85.6,154.0,176.0,87.5,49.0,98.0,50.0,0,1.0,1.0,9.0,27.0,5.0,3.0,35.0,548.0,503.0,41.0,10.0,1.0,2.0,17,17.0,1.0,0.0,1.0,0.0,421.0,4.0,6.0,20.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,6.0,0.0,9.0,13.0,69.2,4.0,13.0,3.0,10.0,14,28,16.0,0.0,53.0,663.0,66.0,203.0,365.0,101.0,12.0,663.0,21.0,15.0,71.4,6.0,28.6,334.0,1977.0,849.0,14.0,15.0,1.0,16.0,13.0,414.0,34.0,1,0,0,4,10,4,17,14,9,0.0,0.0,0,58.0,29.0,28.0,50.9,1
