Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-16,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Home,D,2,2,Hertha BSC,2,16,6,37.5,0.06,0.17,17.0,1.0,1,1,2.5,1.7,0.11,-0.5,-0.7,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,1.0,5.0,20.0,23.0,6.0,21.7,25.2,6.0,0.0,24.2,6.0,0.0,0.0,2.0,20.0,625.0,734.0,85.1,10556.0,3308.0,291.0,312.0,93.3,264.0,298.0,88.6,54.0,80.0,67.5,1,1.6,2.2,14.0,56.0,18.0,1.0,81.0,734.0,665.0,67.0,15.0,2.0,7.0,34,31.0,12.0,6.0,3.0,0.0,625.0,2.0,13.0,31.0,23.0,2.0,2.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,7,1.0,5.0,1.0,2.0,7.0,28.6,5.0,5.0,1.0,4.0,5,12,6.0,1.0,70,822.0,36.0,193.0,363.0,271.0,51.0,821.0,19.0,13.0,68.4,6.0,31.6,580.0,2709.0,1516.0,33.0,13.0,11.0,15.0,8.0,622.0,81.0,3,0,0,6,18,2,34,5,7,1.0,0.0,0,48.0,12.0,12.0,50.0,1.0
2019-08-24,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Schalke 04,3,9,5,55.6,0.22,0.4,17.4,1.0,1,1,1.5,0.8,0.09,1.5,1.2,2,0,2,100.0,1,0.1,0.1,0,0,0,0,5.0,7.0,71.4,40.0,6.0,15.0,26.8,9.0,11.1,25.6,12.0,0.0,0.0,5.0,25.6,652.0,751.0,86.8,11380.0,3500.0,301.0,322.0,93.5,254.0,287.0,88.5,71.0,92.0,77.2,1,0.7,0.8,7.0,39.0,8.0,0.0,50.0,751.0,702.0,48.0,11.0,3.0,8.0,17,23.0,4.0,1.0,3.0,0.0,652.0,1.0,14.0,19.0,12.0,3.0,0.0,1.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,8.0,3,3.0,4.0,1.0,3.0,11.0,27.3,8.0,7.0,4.0,3.0,10,18,17.0,0.0,66,836.0,81.0,262.0,416.0,165.0,19.0,835.0,17.0,9.0,52.9,8.0,47.1,576.0,2403.0,1208.0,16.0,15.0,2.0,8.0,11.0,648.0,50.0,0,0,0,10,11,1,17,10,3,1.0,0.0,0,46.0,14.0,9.0,60.9,1.0
2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,6,1,Mainz 05,6,18,9,50.0,0.33,0.67,15.6,2.0,0,0,2.9,2.9,0.16,3.1,3.1,4,1,3,75.0,0,1.4,0.4,0,0,0,0,2.0,3.0,66.7,31.0,8.0,9.7,23.5,3.0,0.0,15.7,3.0,0.0,0.0,3.0,25.0,614.0,715.0,85.9,10863.0,3090.0,253.0,283.0,89.4,273.0,295.0,92.5,66.0,96.0,68.8,5,2.3,2.4,14.0,49.0,12.0,5.0,65.0,715.0,669.0,45.0,11.0,1.0,5.0,28,19.0,10.0,3.0,4.0,0.0,614.0,1.0,9.0,30.0,24.0,2.0,1.0,0.0,2.0,1.0,11.0,9.0,1.0,0.0,0.0,1.0,0.0,15.0,11,6.0,4.0,5.0,6.0,13.0,46.2,7.0,8.0,2.0,6.0,12,27,8.0,0.0,67,821.0,41.0,193.0,407.0,225.0,35.0,821.0,12.0,6.0,50.0,6.0,50.0,534.0,2713.0,1439.0,20.0,24.0,7.0,19.0,8.0,614.0,65.0,3,0,0,16,12,1,28,12,11,0.0,0.0,0,56.0,15.0,16.0,48.4,1.0
2019-09-14,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,RB Leipzig,1,14,7,50.0,0.07,0.14,16.8,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,5,1,4,100.0,0,1.6,0.6,1,1,0,0,5.0,7.0,71.4,43.0,6.0,16.3,24.0,5.0,0.0,16.8,8.0,1.0,12.5,1.0,18.0,715.0,827.0,86.5,12678.0,3915.0,307.0,342.0,89.8,318.0,344.0,92.4,73.0,107.0,68.2,1,1.3,1.7,12.0,50.0,11.0,2.0,53.0,827.0,761.0,64.0,13.0,0.0,5.0,21,38.0,6.0,2.0,4.0,0.0,715.0,2.0,11.0,24.0,15.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9,5.0,5.0,4.0,8.0,19.0,42.1,11.0,11.0,4.0,7.0,11,25,11.0,0.0,68,943.0,69.0,316.0,425.0,209.0,27.0,943.0,33.0,21.0,63.6,12.0,36.4,525.0,2796.0,1275.0,25.0,13.0,4.0,18.0,11.0,711.0,52.0,2,0,0,4,11,2,21,11,9,0.0,1.0,0,64.0,14.0,7.0,66.7,1.0
2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,3,0,rs Red Star,3,34,9,26.5,0.09,0.33,18.6,1.0,0,0,4.3,4.3,0.13,-1.3,-1.3,0,0,0,,1,0.0,0.0,0,0,0,0,3.0,3.0,100.0,26.0,6.0,7.7,23.2,7.0,14.3,30.1,7.0,0.0,0.0,3.0,27.7,732.0,843.0,86.8,12568.0,3899.0,323.0,352.0,91.8,316.0,353.0,89.5,70.0,90.0,77.8,2,2.7,2.6,23.0,77.0,30.0,5.0,118.0,843.0,794.0,48.0,6.0,1.0,6.0,32,20.0,14.0,7.0,5.0,0.0,732.0,1.0,12.0,58.0,49.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,17.0,12,8.0,5.0,4.0,6.0,19.0,31.6,13.0,6.0,1.0,5.0,7,24,6.0,0.0,73,951.0,38.0,134.0,425.0,396.0,65.0,951.0,23.0,15.0,65.2,8.0,34.8,643.0,3305.0,1993.0,46.0,35.0,15.0,11.0,6.0,730.0,118.0,0,0,0,10,6,1,32,7,12,0.0,0.0,0,64.0,11.0,9.0,55.0,2.0
2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,4,0,Köln,4,24,4,16.7,0.13,0.75,18.1,1.0,1,1,2.7,1.9,0.08,1.3,1.1,2,0,2,100.0,1,0.7,0.7,0,0,0,0,2.0,5.0,40.0,27.0,4.0,14.8,24.1,8.0,12.5,29.6,15.0,0.0,0.0,1.0,10.0,497.0,589.0,84.4,8719.0,2839.0,235.0,261.0,90.0,179.0,206.0,86.9,65.0,87.0,74.7,3,1.6,1.9,17.0,34.0,14.0,0.0,45.0,589.0,538.0,49.0,19.0,4.0,6.0,16,9.0,12.0,5.0,4.0,0.0,497.0,2.0,5.0,42.0,31.0,3.0,3.0,3.0,2.0,0.0,8.0,5.0,1.0,0.0,1.0,1.0,0.0,9.0,6,4.0,4.0,1.0,4.0,13.0,30.8,9.0,9.0,5.0,4.0,11,20,20.0,0.0,60,709.0,65.0,231.0,297.0,184.0,37.0,708.0,19.0,11.0,57.9,8.0,42.1,412.0,2108.0,1201.0,22.0,20.0,8.0,9.0,3.0,496.0,45.0,4,0,0,15,20,2,16,11,6,1.0,0.0,0,51.0,9.0,6.0,60.0,1.0
2019-09-28,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,2,Paderborn 07,3,18,6,33.3,0.17,0.5,16.1,1.0,0,0,3.1,3.1,0.17,-0.1,-0.1,5,2,3,60.0,0,0.9,-1.1,0,0,0,0,2.0,9.0,22.2,44.0,10.0,15.9,25.6,4.0,50.0,37.0,17.0,0.0,0.0,2.0,19.7,592.0,698.0,84.8,11079.0,3613.0,229.0,248.0,92.3,288.0,318.0,90.6,62.0,95.0,65.3,3,2.6,2.4,12.0,44.0,16.0,1.0,62.0,698.0,651.0,47.0,8.0,2.0,3.0,12,27.0,5.0,3.0,1.0,0.0,592.0,0.0,11.0,35.0,29.0,1.0,3.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,10,12.0,6.0,2.0,9.0,20.0,45.0,11.0,10.0,3.0,7.0,11,31,27.0,0.0,64,832.0,80.0,361.0,280.0,199.0,38.0,832.0,46.0,28.0,60.9,18.0,39.1,446.0,2240.0,1214.0,26.0,12.0,9.0,14.0,4.0,590.0,60.0,1,0,0,6,8,0,12,11,10,0.0,0.0,0,50.0,15.0,9.0,62.5,1.0
2019-10-01,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,7,2,eng Tottenham,7,19,10,52.6,0.37,0.7,21.4,1.0,0,0,1.3,1.3,0.07,5.7,5.7,7,2,5,85.7,0,2.4,0.4,1,1,0,0,3.0,10.0,30.0,38.0,5.0,23.7,33.0,8.0,12.5,28.5,11.0,0.0,0.0,0.0,8.0,513.0,609.0,84.2,9674.0,3042.0,216.0,238.0,90.8,222.0,250.0,88.8,68.0,97.0,70.1,6,1.2,0.9,15.0,38.0,11.0,2.0,43.0,609.0,561.0,48.0,14.0,4.0,7.0,14,19.0,4.0,3.0,1.0,0.0,513.0,0.0,7.0,35.0,27.0,1.0,3.0,1.0,2.0,1.0,13.0,9.0,0.0,3.0,0.0,0.0,1.0,15.0,8,6.0,7.0,2.0,9.0,22.0,40.9,13.0,10.0,2.0,8.0,11,26,16.0,1.0,59,719.0,87.0,269.0,304.0,152.0,25.0,719.0,20.0,11.0,55.0,9.0,45.0,419.0,1897.0,1029.0,28.0,12.0,10.0,8.0,8.0,512.0,43.0,1,0,0,8,14,0,14,11,8,0.0,1.0,0,47.0,12.0,10.0,54.5,2.0
2019-10-05,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1,2,Hoffenheim,1,20,4,20.0,0.05,0.25,17.4,0.0,0,0,2.1,2.1,0.11,-1.1,-1.1,5,2,3,60.0,0,1.0,-1.0,0,0,0,0,4.0,7.0,57.1,31.0,6.0,22.6,26.2,1.0,0.0,31.0,6.0,0.0,0.0,3.0,27.3,641.0,752.0,85.2,11369.0,3711.0,287.0,307.0,93.5,266.0,294.0,90.5,70.0,111.0,63.1,1,1.8,2.2,13.0,63.0,15.0,3.0,92.0,752.0,701.0,49.0,12.0,3.0,8.0,29,24.0,9.0,1.0,6.0,0.0,641.0,2.0,9.0,37.0,26.0,3.0,3.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,11,4.0,8.0,2.0,6.0,11.0,54.5,5.0,6.0,2.0,4.0,15,29,9.0,2.0,64,850.0,42.0,188.0,430.0,240.0,33.0,850.0,19.0,14.0,73.7,5.0,26.3,559.0,2786.0,1540.0,30.0,16.0,5.0,12.0,16.0,640.0,92.0,2,0,0,9,12,2,29,15,11,0.0,0.0,0,70.0,18.0,18.0,50.0,1.0
2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,D,2,2,Augsburg,2,24,8,33.3,0.08,0.25,17.0,0.0,0,0,3.1,3.1,0.13,-1.1,-1.1,7,2,5,71.4,0,2.9,0.9,0,0,0,0,2.0,3.0,66.7,42.0,8.0,4.8,21.5,1.0,100.0,63.0,5.0,0.0,0.0,3.0,21.6,726.0,813.0,89.3,13556.0,4126.0,291.0,317.0,91.8,343.0,377.0,91.0,84.0,104.0,80.8,2,2.4,3.6,19.0,89.0,20.0,4.0,87.0,813.0,768.0,45.0,14.0,0.0,7.0,19,20.0,7.0,3.0,3.0,0.0,726.0,0.0,6.0,43.0,36.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,9,6.0,4.0,1.0,5.0,11.0,45.5,6.0,3.0,1.0,2.0,3,14,11.0,0.0,77,902.0,45.0,191.0,434.0,282.0,50.0,902.0,22.0,18.0,81.8,4.0,18.2,527.0,2849.0,1577.0,25.0,11.0,12.0,18.0,7.0,723.0,87.0,3,0,0,7,10,0,19,3,9,0.0,0.0,0,54.0,16.0,6.0,72.7,1.0
