Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,2,3,Leverkusen,2,9,5,55.6,0.22,0.4,15.8,0.0,0,0,1.2,1.2,0.23,0.8,0.8,4,3,1,25.0,0,2.8,-0.2,0,0,0,0,0.0,12.0,0.0,21.0,4.0,38.1,35.8,9.0,44.4,41.3,14.0,0.0,0.0,1.0,15.5,194.0,305.0,63.6,3330.0,1483.0,89.0,117.0,76.1,70.0,96.0,72.9,23.0,58.0,39.7,0,0.3,0.3,3.0,13.0,3.0,1.0,23.0,305.0,252.0,53.0,11.0,3.0,4.0,11,23.0,6.0,4.0,1.0,0.0,194.0,0.0,16.0,14.0,7.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,11,14.0,4.0,1.0,11.0,25.0,44.0,14.0,15.0,3.0,12.0,19,38,34.0,0.0,27.0,454.0,51.0,184.0,194.0,91.0,15.0,454.0,27.0,17.0,63.0,10.0,37.0,236.0,1446.0,727.0,16.0,9.0,6.0,15.0,8.0,192.0,22.0,0,0,0,13,8,0,11,19,11,0.0,0.0,0,51.0,12.0,15.0,44.4,1
2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Freiburg,1,16,2,12.5,0.06,0.5,18.0,1.0,0,0,2.3,2.3,0.15,-1.3,-1.3,4,3,1,50.0,0,2.3,-0.7,1,1,0,0,3.0,8.0,37.5,28.0,7.0,25.0,30.4,5.0,20.0,24.2,10.0,0.0,0.0,1.0,17.0,345.0,443.0,77.9,6114.0,2120.0,152.0,176.0,86.4,134.0,159.0,84.3,41.0,75.0,54.7,1,1.5,1.3,13.0,25.0,6.0,2.0,31.0,443.0,399.0,41.0,6.0,5.0,6.0,18,17.0,9.0,3.0,3.0,0.0,345.0,3.0,8.0,28.0,19.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11,8.0,8.0,3.0,11.0,16.0,68.8,5.0,12.0,1.0,11.0,9,28,18.0,0.0,54.0,560.0,43.0,163.0,267.0,138.0,13.0,560.0,16.0,10.0,62.5,6.0,37.5,291.0,2145.0,1297.0,36.0,22.0,4.0,16.0,13.0,340.0,30.0,3,0,0,21,6,3,18,9,11,0.0,1.0,0,54.0,13.0,15.0,46.4,1
2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Wolfsburg,1,8,3,37.5,0.13,0.33,19.6,0.0,0,0,0.5,0.5,0.06,0.5,0.5,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,7.0,14.0,50.0,30.0,7.0,43.3,35.9,9.0,11.1,23.2,21.0,1.0,4.8,0.0,7.7,258.0,371.0,69.5,5200.0,2195.0,95.0,120.0,79.2,119.0,146.0,81.5,39.0,79.0,49.4,1,0.5,0.5,7.0,20.0,3.0,0.0,21.0,371.0,309.0,60.0,10.0,0.0,10.0,6,36.0,3.0,2.0,0.0,0.0,258.0,2.0,10.0,14.0,10.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,15,12.0,5.0,1.0,8.0,23.0,34.8,15.0,13.0,5.0,8.0,16,34,30.0,0.0,38.0,514.0,84.0,252.0,194.0,78.0,13.0,514.0,18.0,12.0,66.7,6.0,33.3,239.0,1435.0,640.0,15.0,8.0,5.0,25.0,17.0,256.0,21.0,3,0,0,15,8,2,6,16,15,0.0,0.0,0,56.0,16.0,12.0,57.1,1
2019-09-15,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Home,L,1,5,Schalke 04,1,11,1,9.1,0.09,1.0,17.0,0.0,0,0,0.9,0.9,0.09,0.1,0.1,11,5,6,54.5,0,3.5,-1.5,0,0,0,0,5.0,12.0,41.7,45.0,7.0,22.2,30.3,8.0,25.0,36.3,11.0,0.0,0.0,0.0,12.0,306.0,410.0,74.6,5777.0,2267.0,109.0,136.0,80.1,144.0,168.0,85.7,40.0,71.0,56.3,1,0.6,0.4,8.0,11.0,5.0,1.0,20.0,410.0,354.0,56.0,15.0,1.0,2.0,11,24.0,3.0,2.0,0.0,0.0,306.0,0.0,14.0,17.0,9.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,15,8.0,9.0,4.0,8.0,19.0,42.1,11.0,9.0,2.0,7.0,11,32,18.0,1.0,46.0,532.0,82.0,240.0,198.0,100.0,21.0,532.0,35.0,19.0,54.3,16.0,45.7,261.0,1777.0,811.0,23.0,14.0,5.0,13.0,8.0,304.0,20.0,2,0,0,17,12,0,11,11,15,0.0,0.0,0,45.0,10.0,14.0,41.7,1
2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,1,2,Hertha BSC,1,18,8,44.4,0.06,0.13,16.4,0.0,0,0,1.9,1.9,0.11,-0.9,-0.9,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,3.0,8.0,37.5,41.0,7.0,19.5,26.9,5.0,0.0,18.6,5.0,0.0,0.0,0.0,,449.0,565.0,79.5,8870.0,3265.0,175.0,212.0,82.5,196.0,224.0,87.5,76.0,107.0,71.0,1,1.7,1.9,15.0,46.0,9.0,2.0,52.0,565.0,501.0,62.0,16.0,0.0,6.0,16,30.0,8.0,4.0,2.0,1.0,449.0,2.0,11.0,31.0,23.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,14,10.0,10.0,3.0,7.0,24.0,29.2,17.0,9.0,0.0,9.0,5,28,8.0,0.0,61.0,686.0,49.0,180.0,357.0,158.0,26.0,686.0,14.0,6.0,42.9,8.0,57.1,410.0,2546.0,1381.0,25.0,12.0,6.0,30.0,17.0,443.0,50.0,4,0,0,14,13,2,16,5,14,0.0,0.0,0,68.0,19.0,28.0,40.4,1
2019-09-28,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,2,3,Bayern Munich,2,10,5,50.0,0.2,0.4,22.4,0.0,0,0,0.3,0.3,0.03,1.7,1.7,6,3,3,50.0,0,1.7,-1.3,0,0,0,0,10.0,18.0,55.6,38.0,5.0,39.5,32.7,12.0,25.0,28.3,9.0,0.0,0.0,3.0,22.7,293.0,401.0,73.1,5611.0,2356.0,109.0,129.0,84.5,123.0,152.0,80.9,45.0,80.0,56.3,1,0.3,0.3,8.0,27.0,6.0,2.0,31.0,401.0,346.0,53.0,6.0,0.0,3.0,24,20.0,11.0,5.0,4.0,1.0,293.0,2.0,9.0,19.0,15.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,22.0,13,15.0,4.0,3.0,18.0,46.0,39.1,28.0,14.0,3.0,11.0,7,29,20.0,0.0,36.0,527.0,83.0,205.0,198.0,130.0,17.0,527.0,20.0,11.0,55.0,9.0,45.0,253.0,1598.0,925.0,25.0,12.0,5.0,15.0,11.0,288.0,29.0,1,0,0,8,6,2,24,7,13,0.0,0.0,0,45.0,9.0,15.0,37.5,1
2019-10-05,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1,2,Mainz 05,1,15,6,40.0,0.07,0.17,21.9,2.0,0,1,1.6,0.8,0.05,-0.6,0.2,7,2,5,85.7,0,2.7,0.7,1,1,0,0,10.0,17.0,58.8,57.0,8.0,29.8,30.4,10.0,0.0,14.6,18.0,0.0,0.0,0.0,,520.0,630.0,82.5,9641.0,3814.0,204.0,228.0,89.5,235.0,263.0,89.4,61.0,89.0,68.5,1,0.7,1.0,10.0,26.0,3.0,1.0,41.0,630.0,562.0,66.0,18.0,0.0,7.0,19,28.0,7.0,2.0,5.0,0.0,520.0,2.0,20.0,28.0,20.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,11.0,3.0,0.0,6.0,14.0,42.9,8.0,7.0,3.0,4.0,8,22,22.0,0.0,65.0,752.0,95.0,302.0,337.0,123.0,18.0,751.0,26.0,16.0,61.5,10.0,38.5,484.0,2630.0,1219.0,19.0,17.0,6.0,26.0,12.0,517.0,40.0,1,0,0,9,18,2,19,8,8,0.0,1.0,0,57.0,18.0,15.0,54.5,1
2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Away,L,0,3,Köln,0,9,1,11.1,0.0,0.0,20.6,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,6,3,3,50.0,0,1.1,-1.9,0,0,0,0,1.0,3.0,33.3,35.0,8.0,5.7,21.6,7.0,14.3,23.7,16.0,0.0,0.0,0.0,9.0,494.0,593.0,83.3,8210.0,3081.0,220.0,247.0,89.1,217.0,242.0,89.7,38.0,62.0,61.3,0,0.3,0.6,6.0,37.0,6.0,1.0,48.0,593.0,540.0,52.0,7.0,1.0,1.0,22,25.0,9.0,3.0,4.0,0.0,494.0,1.0,17.0,15.0,8.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14,9.0,8.0,3.0,6.0,18.0,33.3,12.0,19.0,5.0,14.0,9,29,23.0,0.0,57.0,722.0,74.0,217.0,375.0,145.0,13.0,722.0,23.0,8.0,34.8,15.0,65.2,516.0,3068.0,1383.0,24.0,19.0,3.0,15.0,18.0,493.0,47.0,0,0,0,8,6,1,22,9,14,0.0,0.0,0,66.0,15.0,20.0,42.9,1
2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,2,0,Düsseldorf,2,14,6,42.9,0.14,0.33,20.2,2.0,0,0,0.8,0.8,0.06,1.2,1.2,4,0,4,100.0,1,1.0,1.0,0,0,0,0,3.0,16.0,18.8,28.0,8.0,39.3,33.3,8.0,62.5,43.0,16.0,2.0,12.5,1.0,10.2,294.0,414.0,71.0,5276.0,1868.0,118.0,142.0,83.1,124.0,152.0,81.6,36.0,81.0,44.4,2,0.5,0.6,8.0,17.0,1.0,0.0,27.0,414.0,359.0,53.0,15.0,1.0,1.0,16,25.0,4.0,3.0,1.0,0.0,294.0,2.0,10.0,24.0,15.0,2.0,2.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,8,5.0,5.0,2.0,3.0,12.0,25.0,9.0,9.0,6.0,3.0,11,23,29.0,1.0,49.0,543.0,63.0,195.0,252.0,100.0,8.0,543.0,13.0,7.0,53.8,6.0,46.2,261.0,1686.0,995.0,16.0,12.0,3.0,18.0,6.0,293.0,27.0,5,0,0,23,16,2,16,11,8,0.0,0.0,0,52.0,15.0,18.0,45.5,1
2019-11-01,20:30 (12:30),Bundesliga,Matchweek 10,Fri,Away,L,0,3,Hoffenheim,0,9,2,22.2,0.0,0.0,21.4,1.0,0,0,0.6,0.6,0.07,-0.6,-0.6,7,3,4,57.1,0,2.7,-0.3,0,0,0,0,0.0,1.0,0.0,18.0,7.0,5.6,25.5,6.0,0.0,24.7,13.0,0.0,0.0,0.0,,409.0,474.0,86.3,7644.0,2210.0,138.0,158.0,87.3,207.0,225.0,92.0,47.0,59.0,79.7,0,0.5,0.3,6.0,19.0,4.0,3.0,31.0,474.0,438.0,35.0,8.0,0.0,7.0,12,13.0,4.0,2.0,0.0,0.0,409.0,1.0,9.0,15.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13,13.0,6.0,1.0,6.0,11.0,54.5,5.0,7.0,1.0,6.0,6,26,11.0,0.0,37.0,559.0,41.0,157.0,322.0,87.0,12.0,559.0,17.0,6.0,35.3,11.0,64.7,329.0,2131.0,1150.0,19.0,15.0,2.0,12.0,6.0,406.0,30.0,1,0,0,12,7,1,12,6,13,0.0,0.0,0,36.0,2.0,5.0,28.6,1
