Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-17,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,D,0,0,Gladbach,0,8,1,12.5,0.0,0.0,16.8,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,4,0,4,100.0,1,0.9,0.9,0,0,0,0,8.0,21.0,38.1,27.0,5.0,55.6,41.7,8.0,75.0,50.3,15.0,3.0,20.0,0.0,5.3,275.0,390.0,70.5,4930.0,2351.0,126.0,151.0,83.4,96.0,128.0,75.0,36.0,71.0,50.7,0,0.7,0.7,6.0,24.0,5.0,1.0,40.0,390.0,343.0,45.0,11.0,1.0,2.0,10,22.0,3.0,0.0,3.0,0.0,275.0,2.0,13.0,13.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13,17.0,5.0,1.0,12.0,27.0,44.4,15.0,15.0,6.0,9.0,21,44,22.0,0.0,40.0,512.0,74.0,203.0,227.0,89.0,12.0,512.0,15.0,7.0,46.7,8.0,53.3,276.0,1109.0,551.0,8.0,5.0,0.0,11.0,12.0,272.0,40.0,2,0,0,11,8,2,10,21,13,0.0,0.0,0,51.0,23.0,12.0,65.7,1
2019-08-24,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0,3,Bayern Munich,0,11,2,18.2,0.0,0.0,17.0,1.0,0,0,0.8,0.8,0.07,-0.8,-0.8,6,3,3,66.7,0,2.6,-0.4,1,1,0,0,5.0,9.0,55.6,16.0,4.0,31.3,32.8,6.0,66.7,43.7,12.0,0.0,0.0,0.0,7.5,301.0,388.0,77.6,5083.0,1970.0,159.0,181.0,87.8,100.0,125.0,80.0,32.0,57.0,56.1,0,0.6,0.9,8.0,24.0,7.0,2.0,32.0,388.0,347.0,39.0,10.0,1.0,3.0,13,16.0,3.0,0.0,3.0,0.0,301.0,2.0,4.0,22.0,13.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,8.0,8.0,3.0,8.0,17.0,47.1,9.0,13.0,1.0,12.0,17,36,24.0,0.0,34.0,499.0,51.0,158.0,222.0,127.0,15.0,499.0,11.0,8.0,72.7,3.0,27.3,276.0,1692.0,894.0,15.0,16.0,1.0,16.0,5.0,300.0,32.0,0,0,0,11,9,2,13,17,14,0.0,1.0,0,54.0,9.0,14.0,39.1,1
2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,3,0,Hertha BSC,1,9,2,22.2,0.11,0.5,21.6,0.0,0,0,1.3,1.3,0.14,-0.3,-0.3,3,0,3,100.0,1,0.2,0.2,0,0,0,0,3.0,9.0,33.3,25.0,4.0,16.0,25.8,11.0,45.5,36.1,9.0,0.0,0.0,0.0,20.0,469.0,564.0,83.2,8675.0,2860.0,211.0,233.0,90.6,191.0,214.0,89.3,58.0,87.0,66.7,1,0.8,0.6,7.0,30.0,9.0,0.0,47.0,564.0,515.0,48.0,14.0,0.0,12.0,14,17.0,5.0,0.0,4.0,0.0,469.0,1.0,11.0,16.0,13.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10,3.0,10.0,1.0,3.0,11.0,27.3,8.0,13.0,2.0,11.0,3,17,9.0,0.0,57.0,653.0,55.0,192.0,338.0,128.0,20.0,653.0,9.0,7.0,77.8,2.0,22.2,368.0,2094.0,1198.0,22.0,12.0,5.0,11.0,11.0,467.0,47.0,1,0,0,15,10,1,14,3,10,0.0,0.0,0,44.0,8.0,14.0,36.4,1
2019-09-15,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,W,5,1,Paderborn 07,5,17,11,64.7,0.29,0.45,16.4,1.0,0,0,2.2,2.2,0.13,2.8,2.8,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,4.0,8.0,50.0,41.0,3.0,14.6,25.9,5.0,40.0,43.6,7.0,2.0,28.6,1.0,12.4,376.0,477.0,78.8,6647.0,2448.0,158.0,187.0,84.5,152.0,171.0,88.9,49.0,76.0,64.5,4,1.5,1.4,12.0,24.0,12.0,4.0,44.0,477.0,422.0,52.0,16.0,0.0,4.0,16,24.0,5.0,1.0,4.0,0.0,376.0,3.0,9.0,27.0,21.0,2.0,1.0,1.0,2.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,24.0,18,11.0,9.0,4.0,16.0,35.0,45.7,19.0,17.0,5.0,12.0,6,30,17.0,0.0,54.0,605.0,64.0,200.0,250.0,164.0,31.0,605.0,19.0,11.0,57.9,8.0,42.1,383.0,2039.0,1077.0,21.0,18.0,6.0,18.0,13.0,372.0,44.0,1,0,0,12,17,3,16,6,18,0.0,0.0,0,62.0,14.0,10.0,58.3,1
2019-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,2,1,Mainz 05,2,18,6,33.3,0.11,0.33,19.6,0.0,0,0,1.0,1.0,0.06,1.0,1.0,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,7.0,18.0,38.9,28.0,5.0,39.3,37.9,11.0,63.6,50.8,14.0,0.0,0.0,2.0,19.8,375.0,510.0,73.5,6582.0,2803.0,145.0,182.0,79.7,145.0,188.0,77.1,49.0,73.0,67.1,2,0.7,0.8,13.0,27.0,7.0,1.0,55.0,510.0,449.0,59.0,15.0,1.0,4.0,16,26.0,5.0,0.0,4.0,1.0,375.0,2.0,12.0,28.0,22.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,23.0,8,9.0,9.0,5.0,8.0,20.0,40.0,12.0,15.0,5.0,10.0,15,38,18.0,0.0,52.0,645.0,64.0,200.0,283.0,172.0,19.0,645.0,16.0,7.0,43.8,9.0,56.3,354.0,2295.0,1133.0,24.0,25.0,4.0,17.0,10.0,372.0,54.0,1,0,0,7,14,2,16,15,8,0.0,0.0,0,67.0,31.0,11.0,73.8,1
2019-09-28,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,1,RB Leipzig,3,12,7,58.3,0.17,0.29,14.1,0.0,1,1,3.2,2.4,0.21,-0.2,-0.4,6,1,5,83.3,0,0.9,-0.1,0,0,0,0,6.0,25.0,24.0,27.0,1.0,55.6,43.0,11.0,90.9,64.1,17.0,2.0,11.8,1.0,11.6,243.0,375.0,64.8,4550.0,2021.0,110.0,137.0,80.3,88.0,117.0,75.2,36.0,83.0,43.4,2,2.0,1.5,10.0,21.0,9.0,1.0,26.0,375.0,318.0,52.0,13.0,0.0,3.0,7,22.0,4.0,1.0,2.0,0.0,243.0,5.0,12.0,22.0,15.0,3.0,0.0,1.0,2.0,1.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,14.0,7,4.0,9.0,1.0,5.0,20.0,25.0,15.0,17.0,1.0,16.0,16,30,26.0,1.0,35.0,504.0,82.0,180.0,215.0,113.0,22.0,503.0,18.0,8.0,44.4,10.0,55.6,230.0,1376.0,558.0,11.0,19.0,5.0,13.0,10.0,241.0,26.0,1,0,0,14,13,5,7,16,7,1.0,0.0,0,65.0,16.0,19.0,45.7,1
2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,1,1,Köln,1,15,3,20.0,0.07,0.33,19.3,0.0,0,0,1.6,1.6,0.11,-0.6,-0.6,5,1,4,80.0,0,1.2,0.2,0,0,0,0,3.0,11.0,27.3,34.0,3.0,29.4,32.3,3.0,33.3,40.3,11.0,0.0,0.0,3.0,21.8,347.0,474.0,73.2,6502.0,2305.0,128.0,156.0,82.1,161.0,192.0,83.9,47.0,91.0,51.6,1,1.4,1.2,10.0,21.0,9.0,1.0,43.0,474.0,413.0,59.0,20.0,0.0,4.0,19,28.0,6.0,2.0,4.0,0.0,347.0,2.0,12.0,25.0,18.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,8.0,6.0,2.0,9.0,24.0,37.5,15.0,15.0,1.0,14.0,12,28,11.0,0.0,55.0,589.0,49.0,175.0,271.0,152.0,26.0,589.0,16.0,11.0,68.8,5.0,31.3,295.0,1769.0,983.0,19.0,8.0,4.0,22.0,7.0,344.0,42.0,4,0,0,17,16,2,19,12,9,0.0,0.0,0,59.0,22.0,27.0,44.9,1
2019-10-20,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0,2,Hoffenheim,0,11,1,9.1,0.0,0.0,17.6,1.0,0,0,0.8,0.8,0.07,-0.8,-0.8,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,4.0,9.0,44.4,23.0,6.0,26.1,30.6,6.0,50.0,38.7,10.0,0.0,0.0,1.0,12.4,429.0,537.0,79.9,7838.0,2881.0,188.0,210.0,89.5,151.0,182.0,83.0,70.0,95.0,73.7,0,0.6,1.3,7.0,38.0,15.0,1.0,67.0,537.0,474.0,60.0,12.0,0.0,5.0,23,31.0,8.0,0.0,6.0,0.0,429.0,3.0,12.0,21.0,14.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13,8.0,9.0,4.0,6.0,15.0,40.0,9.0,8.0,0.0,8.0,10,31,6.0,1.0,58.0,636.0,39.0,144.0,290.0,205.0,29.0,636.0,18.0,10.0,55.6,8.0,44.4,351.0,2182.0,1320.0,29.0,19.0,5.0,20.0,16.0,423.0,66.0,2,0,0,16,12,3,23,10,13,0.0,0.0,0,58.0,18.0,14.0,56.3,1
2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,D,0,0,Dortmund,0,14,2,14.3,0.0,0.0,18.8,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,3,0,3,100.0,1,0.8,0.8,0,0,0,0,3.0,19.0,15.8,28.0,5.0,50.0,39.1,7.0,71.4,53.9,8.0,0.0,0.0,2.0,17.0,294.0,404.0,72.8,5362.0,1974.0,119.0,141.0,84.4,132.0,160.0,82.5,34.0,75.0,45.3,0,0.5,0.5,9.0,21.0,4.0,1.0,41.0,404.0,351.0,48.0,10.0,1.0,1.0,19,22.0,8.0,1.0,7.0,0.0,294.0,5.0,9.0,19.0,13.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13,3.0,8.0,4.0,6.0,17.0,35.3,11.0,15.0,1.0,14.0,11,26,16.0,0.0,44.0,521.0,50.0,151.0,250.0,130.0,20.0,521.0,19.0,13.0,68.4,6.0,31.6,280.0,1675.0,828.0,26.0,21.0,5.0,24.0,16.0,293.0,41.0,3,0,0,9,6,5,19,11,13,0.0,0.0,0,67.0,13.0,16.0,44.8,1
2019-11-03,18:00 (09:00),Bundesliga,Matchweek 10,Sun,Away,W,3,2,Augsburg,2,10,3,30.0,0.2,0.67,17.0,0.0,0,0,0.5,0.5,0.05,1.5,1.5,4,2,2,75.0,0,1.5,-0.5,1,1,0,0,7.0,19.0,36.8,45.0,6.0,35.6,34.4,10.0,30.0,33.7,9.0,0.0,0.0,1.0,19.7,487.0,599.0,81.3,9107.0,2858.0,194.0,222.0,87.4,217.0,255.0,85.1,62.0,92.0,67.4,1,0.3,0.7,8.0,27.0,8.0,1.0,44.0,599.0,535.0,61.0,15.0,1.0,7.0,19,27.0,6.0,0.0,6.0,0.0,487.0,3.0,9.0,18.0,13.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,6,7.0,4.0,2.0,9.0,20.0,45.0,11.0,3.0,1.0,2.0,8,21,12.0,0.0,66.0,690.0,75.0,222.0,350.0,122.0,13.0,690.0,14.0,9.0,64.3,5.0,35.7,401.0,2261.0,1189.0,18.0,14.0,2.0,18.0,12.0,482.0,43.0,5,0,0,11,12,3,19,8,6,0.0,1.0,0,58.0,17.0,10.0,63.0,1
