Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,1,Köln,2,15,5,33.3,0.13,0.4,22.6,1.0,0,0,1.0,1.0,0.07,1.0,1.0,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,8.0,18.0,44.4,36.0,7.0,38.9,36.4,7.0,57.1,47.6,20.0,1.0,5.0,0.0,11.0,312.0,424.0,73.6,6181.0,2503.0,117.0,141.0,83.0,145.0,174.0,83.3,45.0,85.0,52.9,1,0.7,0.5,8.0,15.0,4.0,0.0,33.0,424.0,367.0,54.0,18.0,1.0,4.0,12,25.0,2.0,2.0,0.0,0.0,312.0,3.0,11.0,24.0,13.0,3.0,4.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,11,6.0,9.0,2.0,5.0,14.0,35.7,9.0,14.0,5.0,9.0,9,26,34.0,1.0,47,567.0,77.0,205.0,226.0,140.0,15.0,567.0,17.0,11.0,64.7,6.0,35.3,274.0,1713.0,917.0,26.0,15.0,3.0,19.0,16.0,306.0,33.0,1,0,0,15,18,3,12,9,11,0.0,0.0,0,63.0,19.0,18.0,51.4,1
2019-08-25,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Away,W,3,0,Hertha BSC,3,9,3,33.3,0.22,0.67,22.1,0.0,1,1,1.3,0.5,0.06,1.7,1.5,2,0,2,100.0,1,0.4,0.4,0,0,0,0,9.0,21.0,42.9,25.0,1.0,64.0,43.2,11.0,45.5,40.3,11.0,0.0,0.0,1.0,33.0,300.0,419.0,71.6,5167.0,2340.0,134.0,159.0,84.3,116.0,140.0,82.9,33.0,75.0,44.0,2,0.5,0.5,8.0,18.0,4.0,0.0,30.0,419.0,363.0,51.0,15.0,0.0,5.0,11,19.0,5.0,2.0,3.0,0.0,300.0,5.0,12.0,17.0,11.0,4.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,21.0,15,11.0,8.0,2.0,5.0,22.0,22.7,17.0,10.0,4.0,6.0,13,34,16.0,0.0,44,524.0,63.0,196.0,224.0,109.0,12.0,523.0,13.0,10.0,76.9,3.0,23.1,264.0,1528.0,837.0,16.0,9.0,2.0,11.0,12.0,298.0,30.0,0,0,0,12,15,5,11,13,15,1.0,0.0,0,59.0,18.0,14.0,56.3,1
2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1,1,Paderborn 07,1,16,4,25.0,0.06,0.25,22.4,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,3.0,3.0,100.0,25.0,6.0,8.0,25.7,6.0,16.7,26.0,5.0,1.0,20.0,1.0,21.7,469.0,597.0,78.6,8519.0,2964.0,194.0,230.0,84.3,210.0,254.0,82.7,54.0,87.0,62.1,1,0.7,1.0,14.0,25.0,9.0,1.0,47.0,597.0,529.0,66.0,17.0,2.0,7.0,25,33.0,8.0,2.0,5.0,0.0,469.0,2.0,10.0,29.0,21.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,13,9.0,7.0,7.0,6.0,18.0,33.3,12.0,11.0,3.0,8.0,15,38,13.0,0.0,62,715.0,43.0,201.0,326.0,199.0,23.0,715.0,23.0,15.0,65.2,8.0,34.8,480.0,2180.0,1094.0,18.0,22.0,6.0,15.0,10.0,467.0,47.0,0,0,0,8,14,2,25,15,13,0.0,0.0,0,57.0,12.0,16.0,42.9,1
2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,1,1,Düsseldorf,1,15,6,40.0,0.07,0.17,15.8,0.0,0,0,2.1,2.1,0.15,-1.1,-1.1,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,5.0,9.0,55.6,20.0,2.0,35.0,35.2,8.0,25.0,28.6,12.0,0.0,0.0,0.0,17.0,428.0,541.0,79.1,7641.0,2987.0,175.0,193.0,90.7,173.0,207.0,83.6,58.0,93.0,62.4,1,0.9,1.7,10.0,30.0,7.0,4.0,46.0,541.0,488.0,52.0,8.0,3.0,2.0,25,26.0,8.0,4.0,3.0,0.0,428.0,1.0,15.0,29.0,21.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,12,10.0,9.0,3.0,10.0,18.0,55.6,8.0,12.0,4.0,8.0,8,30,20.0,0.0,58,668.0,60.0,188.0,335.0,150.0,24.0,668.0,21.0,11.0,52.4,10.0,47.6,370.0,1944.0,1115.0,21.0,14.0,9.0,16.0,12.0,427.0,46.0,2,0,0,15,7,1,25,8,12,0.0,0.0,0,66.0,10.0,20.0,33.3,1
2019-09-19,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,3,1,ua FC Oleksandriya,3,16,6,37.5,0.19,0.5,21.4,1.0,0,0,1.3,1.3,0.08,1.7,1.7,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,8.0,18.0,44.4,39.0,5.0,35.9,32.6,6.0,66.7,44.5,9.0,0.0,0.0,1.0,21.0,499.0,626.0,79.7,9868.0,3229.0,192.0,224.0,85.7,233.0,267.0,87.3,70.0,113.0,61.9,3,1.2,1.0,11.0,33.0,8.0,3.0,48.0,626.0,563.0,61.0,16.0,1.0,7.0,21,30.0,7.0,4.0,3.0,0.0,499.0,2.0,13.0,24.0,17.0,3.0,0.0,2.0,1.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,20.0,14,7.0,11.0,2.0,9.0,13.0,69.2,4.0,8.0,1.0,7.0,10,30,20.0,0.0,62,741.0,62.0,229.0,353.0,166.0,18.0,741.0,20.0,11.0,55.0,9.0,45.0,415.0,2108.0,1179.0,21.0,14.0,5.0,15.0,7.0,492.0,48.0,0,0,0,18,16,2,21,10,14,0.0,0.0,0,64.0,20.0,10.0,66.7,2
2019-09-23,20:30 (11:30),Bundesliga,Matchweek 5,Mon,Home,D,1,1,Hoffenheim,1,12,4,33.3,0.08,0.25,20.2,0.0,0,0,0.9,0.9,0.08,0.1,0.1,5,1,4,80.0,0,1.6,0.6,0,0,0,0,0.0,5.0,0.0,20.0,6.0,25.0,31.1,3.0,0.0,24.0,9.0,1.0,11.1,4.0,22.4,444.0,565.0,78.6,8128.0,2935.0,177.0,199.0,88.9,201.0,236.0,85.2,54.0,87.0,62.1,1,0.8,1.4,9.0,35.0,8.0,3.0,53.0,565.0,507.0,52.0,19.0,2.0,4.0,15,24.0,4.0,1.0,0.0,1.0,444.0,6.0,15.0,21.0,17.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11,10.0,7.0,0.0,4.0,15.0,26.7,11.0,10.0,1.0,9.0,14,31,10.0,1.0,52,674.0,43.0,191.0,309.0,177.0,23.0,674.0,22.0,10.0,45.5,12.0,54.5,357.0,2126.0,1169.0,25.0,14.0,3.0,12.0,13.0,442.0,53.0,2,0,0,13,18,6,15,14,11,0.0,0.0,0,65.0,11.0,17.0,39.3,1
2019-09-28,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1,0,Mainz 05,1,4,3,75.0,0.25,0.33,13.9,0.0,0,0,0.8,0.8,0.2,0.2,0.2,4,0,4,100.0,1,1.0,1.0,0,0,0,0,11.0,17.0,64.7,22.0,4.0,54.5,37.2,7.0,71.4,54.6,28.0,1.0,3.6,0.0,7.3,327.0,439.0,74.5,5958.0,2535.0,149.0,176.0,84.7,123.0,150.0,82.0,41.0,76.0,53.9,1,0.8,1.5,4.0,25.0,5.0,1.0,33.0,439.0,395.0,44.0,10.0,1.0,4.0,5,25.0,1.0,0.0,0.0,0.0,327.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,10,18.0,7.0,2.0,7.0,20.0,35.0,13.0,11.0,6.0,5.0,5,32,48.0,0.0,47,604.0,82.0,235.0,256.0,120.0,15.0,604.0,11.0,5.0,45.5,6.0,54.5,263.0,1404.0,847.0,20.0,19.0,4.0,23.0,20.0,325.0,33.0,3,0,0,16,8,0,5,5,10,0.0,0.0,0,64.0,23.0,12.0,65.7,1
2019-10-03,18:55 (09:55),Europa Lg,Group stage,Thu,Away,D,1,1,fr Saint-Étienne,1,5,2,40.0,0.2,0.5,19.4,1.0,0,0,0.6,0.6,0.11,0.4,0.4,4,1,3,75.0,0,0.9,-0.2,0,0,0,0,4.0,11.0,36.4,24.0,4.0,33.3,36.1,7.0,42.9,43.1,11.0,0.0,0.0,0.0,8.0,332.0,433.0,76.7,6252.0,2330.0,146.0,171.0,85.4,132.0,152.0,86.8,46.0,87.0,52.9,1,0.5,0.3,4.0,21.0,4.0,1.0,23.0,433.0,370.0,61.0,11.0,0.0,6.0,10,39.0,2.0,1.0,1.0,0.0,332.0,2.0,8.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,11,10.0,10.0,3.0,10.0,34.0,29.4,24.0,8.0,2.0,6.0,17,40,18.0,0.0,47,550.0,64.0,204.0,261.0,90.0,10.0,550.0,12.0,5.0,41.7,7.0,58.3,325.0,1669.0,751.0,9.0,14.0,5.0,19.0,16.0,330.0,23.0,2,0,0,15,9,2,10,17,11,0.0,0.0,0,36.0,15.0,6.0,71.4,2
2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,1,0,Union Berlin,1,13,4,30.8,0.08,0.25,15.4,0.0,0,0,1.8,1.8,0.14,-0.8,-0.8,3,0,3,100.0,1,0.5,0.5,0,0,0,0,7.0,28.0,25.0,28.0,6.0,57.1,39.5,15.0,80.0,57.8,13.0,0.0,0.0,2.0,22.3,333.0,474.0,70.3,6121.0,2516.0,154.0,183.0,84.2,114.0,149.0,76.5,51.0,96.0,53.1,1,1.4,1.6,11.0,23.0,6.0,3.0,33.0,474.0,405.0,66.0,15.0,3.0,8.0,22,30.0,5.0,1.0,0.0,0.0,333.0,3.0,16.0,24.0,21.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5,2.0,3.0,2.0,3.0,11.0,27.3,8.0,13.0,2.0,11.0,7,14,22.0,0.0,52,589.0,69.0,218.0,240.0,137.0,28.0,589.0,19.0,9.0,47.4,10.0,52.6,277.0,1466.0,700.0,15.0,8.0,6.0,16.0,12.0,331.0,33.0,2,0,0,18,15,3,22,7,5,0.0,0.0,0,55.0,20.0,37.0,35.1,1
2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,D,1,1,RB Leipzig,1,13,6,46.2,0.08,0.17,15.4,0.0,0,0,1.3,1.3,0.11,-0.3,-0.3,5,1,4,80.0,0,1.4,0.4,0,0,0,0,9.0,21.0,42.9,36.0,6.0,50.0,38.9,6.0,50.0,45.0,14.0,1.0,7.1,2.0,14.0,310.0,445.0,69.7,6058.0,2517.0,119.0,141.0,84.4,123.0,151.0,81.5,50.0,108.0,46.3,1,1.1,1.5,9.0,25.0,5.0,1.0,41.0,445.0,384.0,59.0,16.0,0.0,8.0,13,32.0,3.0,2.0,0.0,0.0,310.0,2.0,14.0,23.0,15.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6,7.0,5.0,1.0,6.0,16.0,37.5,10.0,15.0,4.0,11.0,22,35,23.0,0.0,44,579.0,84.0,223.0,249.0,113.0,16.0,579.0,25.0,15.0,60.0,10.0,40.0,265.0,1446.0,734.0,11.0,6.0,3.0,18.0,14.0,309.0,41.0,3,0,0,11,10,2,13,22,6,0.0,0.0,0,54.0,20.0,19.0,51.3,1
