Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,2,Köln,3,12,6,50.0,0.17,0.33,19.2,0.0,1,1,2.6,1.8,0.15,0.4,0.2,6,2,4,66.7,0,2.4,0.4,0,0,0,0,7.0,22.0,31.8,41.0,6.0,29.3,30.8,12.0,83.3,55.7,13.0,1.0,7.7,2.0,17.5,388.0,501.0,77.4,7552.0,2953.0,146.0,178.0,82.0,190.0,212.0,89.6,44.0,84.0,52.4,1,1.2,0.9,7.0,33.0,9.0,1.0,40.0,501.0,444.0,55.0,11.0,0.0,1.0,14,23.0,6.0,3.0,3.0,0.0,388.0,2.0,8.0,21.0,16.0,1.0,2.0,1.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,12.0,7,5.0,5.0,2.0,6.0,15.0,40.0,9.0,6.0,1.0,5.0,8,20,14.0,0.0,51,601.0,67.0,209.0,272.0,126.0,21.0,600.0,20.0,12.0,60.0,8.0,40.0,313.0,1594.0,782.0,14.0,14.0,4.0,14.0,3.0,385.0,40.0,4,0,0,13,12,2,14,8,7,1.0,0.0,0,46.0,23.0,31.0,42.6,1
2020-09-27,15:30 (06:30),Bundesliga,Matchweek 2,Sun,Home,W,4,1,Bayern Munich,4,16,7,43.8,0.19,0.43,16.7,0.0,1,1,2.6,1.8,0.11,1.4,1.2,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,9.0,31.0,29.0,28.0,2.0,75.0,50.9,17.0,58.8,41.5,24.0,1.0,4.2,3.0,18.8,180.0,285.0,63.2,3587.0,2003.0,79.0,108.0,73.1,66.0,89.0,74.2,31.0,68.0,45.6,2,1.4,1.1,13.0,19.0,9.0,2.0,26.0,285.0,228.0,56.0,14.0,1.0,1.0,15,20.0,3.0,1.0,2.0,0.0,180.0,1.0,8.0,27.0,20.0,3.0,2.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,21.0,13,9.0,7.0,5.0,6.0,10.0,60.0,4.0,13.0,3.0,10.0,22,43,37.0,0.0,29,435.0,92.0,199.0,133.0,111.0,23.0,434.0,19.0,10.0,52.6,9.0,47.4,164.0,978.0,459.0,13.0,10.0,8.0,15.0,5.0,179.0,26.0,3,0,0,15,9,1,15,22,13,1.0,0.0,0,46.0,14.0,22.0,38.9,1
2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Eint Frankfurt,1,12,4,33.3,0.08,0.25,15.5,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,6,2,4,66.7,0,2.3,0.3,0,0,0,0,4.0,15.0,26.7,40.0,7.0,32.5,32.7,12.0,16.7,29.3,13.0,1.0,7.7,0.0,9.3,396.0,515.0,76.9,6961.0,2855.0,179.0,204.0,87.7,161.0,191.0,84.3,46.0,94.0,48.9,1,1.4,1.7,11.0,25.0,5.0,1.0,37.0,515.0,450.0,64.0,21.0,0.0,6.0,17,21.0,7.0,4.0,2.0,0.0,396.0,1.0,9.0,24.0,18.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4,8.0,3.0,0.0,5.0,13.0,38.5,8.0,14.0,3.0,11.0,11,22,17.0,0.0,48,632.0,67.0,231.0,310.0,94.0,15.0,632.0,8.0,6.0,75.0,2.0,25.0,391.0,1876.0,995.0,21.0,15.0,6.0,20.0,11.0,393.0,37.0,3,0,0,8,12,1,17,11,4,0.0,0.0,0,46.0,9.0,24.0,27.3,1
2020-10-17,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Dortmund,0,9,3,33.3,0.0,0.0,16.9,0.0,0,0,1.2,1.2,0.14,-1.2,-1.2,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,4.0,15.0,26.7,43.0,6.0,32.6,30.3,6.0,16.7,25.5,11.0,0.0,0.0,3.0,26.8,391.0,497.0,78.7,7469.0,2677.0,151.0,169.0,89.3,183.0,210.0,87.1,50.0,89.0,56.2,0,1.0,0.9,7.0,23.0,5.0,1.0,35.0,497.0,454.0,43.0,14.0,2.0,13.0,15,17.0,4.0,1.0,3.0,0.0,391.0,0.0,16.0,14.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15,10.0,8.0,1.0,8.0,15.0,53.3,7.0,18.0,5.0,13.0,14,33,19.0,0.0,45,627.0,87.0,237.0,291.0,106.0,14.0,627.0,18.0,9.0,50.0,9.0,50.0,370.0,1618.0,705.0,14.0,9.0,3.0,20.0,13.0,387.0,35.0,1,0,0,13,11,0,15,14,15,0.0,0.0,0,67.0,8.0,18.0,30.8,1
2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,rs Red Star,2,16,6,37.5,0.13,0.33,16.5,0.0,0,0,1.3,1.3,0.08,0.7,0.7,0,0,0,,1,0.0,0.0,0,0,0,0,3.0,5.0,60.0,27.0,6.0,14.8,23.5,7.0,14.3,29.9,11.0,1.0,9.1,1.0,12.3,474.0,590.0,80.3,8598.0,3129.0,195.0,226.0,86.3,225.0,255.0,88.2,46.0,78.0,59.0,2,1.2,1.6,14.0,41.0,18.0,6.0,59.0,590.0,544.0,44.0,18.0,1.0,5.0,22,12.0,6.0,2.0,2.0,0.0,474.0,2.0,7.0,29.0,23.0,0.0,1.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,18.0,12,6.0,11.0,1.0,7.0,21.0,33.3,14.0,9.0,0.0,9.0,14,32,12.0,0.0,60,702.0,46.0,181.0,342.0,190.0,35.0,702.0,17.0,7.0,41.2,10.0,58.8,362.0,2613.0,1427.0,23.0,15.0,8.0,17.0,5.0,467.0,58.0,0,0,0,20,14,2,22,14,12,0.0,0.0,0,62.0,12.0,14.0,46.2,2
2020-10-25,18:00 (10:00),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Werder Bremen,1,14,4,28.6,0.07,0.25,21.5,1.0,0,0,1.0,1.0,0.07,0.0,0.0,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,0.0,4.0,0.0,25.0,5.0,16.0,27.6,4.0,0.0,27.3,4.0,0.0,0.0,2.0,29.0,394.0,505.0,78.0,7459.0,2481.0,161.0,182.0,88.5,175.0,213.0,82.2,48.0,82.0,58.5,1,0.9,0.9,12.0,24.0,7.0,2.0,44.0,505.0,454.0,47.0,12.0,0.0,12.0,23,25.0,4.0,3.0,0.0,0.0,394.0,4.0,12.0,27.0,22.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,6,5.0,3.0,1.0,3.0,10.0,30.0,7.0,8.0,0.0,8.0,8,17,8.0,1.0,51,599.0,37.0,169.0,270.0,165.0,23.0,599.0,18.0,7.0,38.9,11.0,61.1,314.0,1779.0,898.0,20.0,14.0,4.0,16.0,5.0,392.0,44.0,2,0,0,20,9,4,23,8,6,0.0,0.0,0,45.0,12.0,17.0,41.4,1
2020-10-29,18:55 (10:55),Europa Lg,Group stage,Thu,Away,W,4,1,be Gent,4,32,14,43.8,0.09,0.21,19.8,3.0,1,1,2.5,1.8,0.06,1.5,1.2,4,1,2,75.0,0,2.2,1.2,1,0,1,0,2.0,6.0,33.3,41.0,2.0,9.8,20.7,8.0,25.0,29.6,9.0,0.0,0.0,3.0,23.3,505.0,599.0,84.3,8684.0,3398.0,250.0,280.0,89.3,202.0,221.0,91.4,48.0,76.0,63.2,2,1.1,1.0,19.0,37.0,13.0,0.0,47.0,599.0,544.0,51.0,14.0,0.0,3.0,20,17.0,10.0,7.0,3.0,0.0,505.0,4.0,10.0,56.0,35.0,4.0,4.0,8.0,3.0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,15.0,10,5.0,9.0,1.0,6.0,12.0,50.0,6.0,1.0,0.0,1.0,9,24,9.0,0.0,57,700.0,78.0,241.0,286.0,176.0,43.0,699.0,10.0,8.0,80.0,2.0,20.0,459.0,2216.0,1259.0,24.0,17.0,11.0,10.0,16.0,497.0,46.0,2,0,0,12,11,4,20,9,10,0.0,1.0,0,51.0,4.0,13.0,23.5,2
2020-11-02,20:30 (11:30),Bundesliga,Matchweek 6,Mon,Home,L,1,3,Union Berlin,1,10,4,40.0,0.1,0.25,13.9,0.0,0,0,1.3,1.3,0.14,-0.3,-0.3,6,3,3,66.7,0,3.5,0.5,1,1,0,0,3.0,10.0,30.0,41.0,7.0,19.5,26.7,9.0,22.2,25.7,10.0,0.0,0.0,5.0,25.3,488.0,586.0,83.3,8548.0,2972.0,198.0,216.0,91.7,223.0,240.0,92.9,47.0,84.0,56.0,1,1.0,1.5,8.0,35.0,15.0,3.0,40.0,586.0,528.0,56.0,15.0,1.0,1.0,14,25.0,3.0,3.0,0.0,0.0,488.0,2.0,14.0,19.0,18.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5,5.0,3.0,0.0,4.0,11.0,36.4,7.0,3.0,0.0,3.0,11,19,12.0,0.0,60,666.0,51.0,195.0,330.0,145.0,18.0,666.0,15.0,5.0,33.3,10.0,66.7,349.0,2096.0,1054.0,12.0,13.0,0.0,16.0,5.0,486.0,39.0,1,1,0,19,12,2,14,11,5,0.0,1.0,0,43.0,12.0,8.0,60.0,1
2020-11-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,0,cz Slovan Liberec,5,24,11,45.8,0.21,0.45,17.8,0.0,0,0,3.9,3.9,0.17,1.1,1.1,1,0,1,100.0,1,0.2,0.2,0,0,0,0,0.0,0.0,,21.0,3.0,0.0,17.5,1.0,0.0,11.0,6.0,0.0,0.0,3.0,28.7,729.0,833.0,87.5,12723.0,3769.0,329.0,370.0,88.9,310.0,339.0,91.4,72.0,84.0,85.7,2,2.6,2.3,17.0,80.0,18.0,2.0,95.0,833.0,792.0,37.0,10.0,6.0,4.0,29,21.0,4.0,0.0,2.0,0.0,729.0,4.0,14.0,41.0,32.0,2.0,2.0,4.0,1.0,0.0,8.0,2.0,1.0,2.0,2.0,1.0,0.0,10.0,5,1.0,6.0,3.0,3.0,13.0,23.1,10.0,13.0,1.0,12.0,13,23,7.0,0.0,79,957.0,29.0,125.0,483.0,360.0,52.0,957.0,24.0,16.0,66.7,8.0,33.3,718.0,3818.0,2260.0,44.0,39.0,10.0,21.0,12.0,726.0,95.0,1,0,0,8,6,4,29,13,5,0.0,0.0,0,78.0,12.0,11.0,52.2,2
2020-11-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,1,2,Wolfsburg,1,15,4,26.7,0.07,0.25,15.1,2.0,0,1,2.8,2.1,0.15,-1.8,-1.1,7,2,5,71.4,0,1.9,-0.1,1,0,0,1,5.0,14.0,35.7,35.0,5.0,37.1,31.5,5.0,20.0,23.6,8.0,1.0,12.5,2.0,21.3,404.0,533.0,75.8,7157.0,3066.0,155.0,187.0,82.9,188.0,220.0,85.5,40.0,77.0,51.9,1,1.8,1.4,11.0,39.0,14.0,10.0,48.0,533.0,469.0,63.0,17.0,1.0,3.0,28,31.0,7.0,3.0,3.0,0.0,404.0,1.0,12.0,29.0,21.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,10,3.0,7.0,1.0,8.0,20.0,40.0,12.0,14.0,3.0,11.0,13,24,12.0,1.0,54,664.0,61.0,199.0,279.0,191.0,35.0,663.0,25.0,17.0,68.0,8.0,32.0,317.0,1981.0,1057.0,27.0,15.0,7.0,27.0,10.0,403.0,48.0,3,0,0,14,13,1,28,13,10,0.0,1.0,0,72.0,16.0,18.0,47.1,1
