Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,0,8,2,25.0,0.0,0.0,19.7,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,4,3,1,50.0,0,2.0,-1.0,1,1,0,0,0.0,1.0,0.0,23.0,2.0,4.3,21.7,6.0,0.0,20.2,4.0,0.0,0.0,0.0,9.5,536.0,619.0,86.6,9339.0,2964.0,234.0,257.0,91.1,230.0,256.0,89.8,54.0,71.0,76.1,0,0.6,0.8,7.0,45.0,6.0,1.0,54.0,619.0,574.0,43.0,12.0,0.0,5.0,12,18.0,3.0,3.0,0.0,0.0,536.0,2.0,6.0,14.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,3.0,10.0,2.0,5.0,16.0,31.3,11.0,12.0,3.0,9.0,13,28,6.0,0.0,52,701.0,49.0,177.0,385.0,146.0,16.0,701.0,7.0,5.0,71.4,2.0,28.6,471.0,2257.0,1108.0,16.0,15.0,4.0,19.0,8.0,532.0,54.0,1,0,0,9,9,2,12,13,11,0.0,1.0,0,40.0,9.0,1.0,90.0,1
2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,1,14,6,42.9,0.07,0.17,15.4,0.0,0,0,1.8,1.8,0.13,-0.8,-0.8,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,4.0,6.0,66.7,25.0,4.0,24.0,22.2,7.0,0.0,18.0,12.0,0.0,0.0,1.0,27.0,568.0,688.0,82.6,9475.0,3163.0,293.0,330.0,88.8,219.0,252.0,86.9,46.0,76.0,60.5,1,1.4,1.1,9.0,36.0,3.0,2.0,53.0,688.0,623.0,61.0,16.0,0.0,7.0,18,29.0,7.0,2.0,4.0,0.0,568.0,4.0,12.0,23.0,12.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,6,5.0,7.0,0.0,3.0,8.0,37.5,5.0,10.0,4.0,6.0,15,27,21.0,0.0,63,788.0,52.0,202.0,436.0,155.0,18.0,788.0,22.0,11.0,50.0,11.0,50.0,467.0,2612.0,1415.0,14.0,10.0,4.0,10.0,9.0,564.0,52.0,1,0,0,11,16,4,18,15,6,0.0,0.0,0,49.0,24.0,11.0,68.6,1
2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,3,14,9,64.3,0.14,0.22,18.7,0.0,1,1,2.1,1.3,0.09,0.9,0.7,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,3.0,13.0,23.1,57.0,6.0,21.1,29.4,6.0,16.7,27.2,14.0,0.0,0.0,1.0,12.5,537.0,650.0,82.6,9451.0,3519.0,252.0,274.0,92.0,223.0,251.0,88.8,51.0,88.0,58.0,2,1.2,0.8,11.0,25.0,11.0,1.0,40.0,650.0,593.0,55.0,15.0,3.0,4.0,18,22.0,10.0,4.0,4.0,0.0,537.0,2.0,11.0,26.0,15.0,4.0,1.0,2.0,3.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,17.0,14,4.0,12.0,1.0,7.0,15.0,46.7,8.0,9.0,3.0,6.0,15,32,16.0,1.0,59,763.0,80.0,282.0,364.0,125.0,23.0,762.0,18.0,7.0,38.9,11.0,61.1,547.0,2102.0,1110.0,21.0,11.0,6.0,17.0,7.0,534.0,39.0,3,0,0,12,16,2,18,15,14,1.0,0.0,0,60.0,12.0,11.0,52.2,1
2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,1,12,1,8.3,0.0,0.0,18.9,1.0,1,1,1.9,1.1,0.09,-0.9,-1.1,6,1,5,83.3,0,1.1,0.1,0,0,0,0,2.0,9.0,22.2,27.0,4.0,29.6,32.0,7.0,14.3,20.7,13.0,0.0,0.0,0.0,13.5,338.0,456.0,74.1,5940.0,2248.0,144.0,180.0,80.0,138.0,172.0,80.2,36.0,66.0,54.5,0,1.0,1.6,8.0,26.0,7.0,0.0,30.0,456.0,410.0,44.0,15.0,0.0,2.0,19,15.0,5.0,3.0,1.0,0.0,338.0,2.0,7.0,22.0,13.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,11,7.0,12.0,1.0,5.0,18.0,27.8,13.0,19.0,4.0,15.0,11,31,25.0,0.0,47,600.0,68.0,218.0,278.0,110.0,28.0,599.0,15.0,6.0,40.0,9.0,60.0,236.0,1427.0,756.0,16.0,7.0,4.0,20.0,11.0,334.0,29.0,2,0,0,14,13,2,19,11,11,1.0,0.0,0,60.0,18.0,19.0,48.6,1
2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,2,5,1,20.0,0.2,1.0,16.5,0.0,1,1,1.4,0.7,0.13,0.6,0.3,4,2,2,50.0,0,2.0,0.0,0,0,0,0,6.0,15.0,40.0,27.0,1.0,44.4,35.1,11.0,27.3,29.6,17.0,1.0,5.9,1.0,12.3,333.0,439.0,75.9,5900.0,2136.0,148.0,178.0,83.1,122.0,149.0,81.9,44.0,81.0,54.3,1,0.6,0.8,4.0,23.0,2.0,0.0,23.0,439.0,385.0,54.0,18.0,1.0,6.0,14,20.0,2.0,0.0,2.0,0.0,333.0,0.0,8.0,10.0,7.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,11,11.0,8.0,2.0,10.0,22.0,45.5,12.0,22.0,5.0,17.0,17,38,17.0,0.0,43,560.0,73.0,209.0,247.0,107.0,9.0,559.0,19.0,13.0,68.4,6.0,31.6,249.0,1351.0,577.0,20.0,7.0,2.0,6.0,10.0,333.0,23.0,1,0,0,11,15,0,14,17,11,1.0,0.0,0,50.0,19.0,12.0,61.3,2
2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,3,20,10,50.0,0.1,0.2,15.2,0.0,1,1,3.0,2.4,0.12,0.0,-0.4,7,2,5,71.4,0,2.6,0.6,0,0,0,0,3.0,8.0,37.5,30.0,4.0,26.7,31.0,4.0,0.0,15.0,10.0,0.0,0.0,0.0,,539.0,661.0,81.5,8991.0,3456.0,267.0,302.0,88.4,197.0,238.0,82.8,53.0,77.0,68.8,1,1.9,1.6,16.0,36.0,6.0,1.0,49.0,661.0,600.0,59.0,18.0,2.0,2.0,19,27.0,7.0,5.0,0.0,0.0,539.0,2.0,11.0,35.0,18.0,5.0,5.0,5.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,18.0,13,7.0,9.0,2.0,9.0,17.0,52.9,8.0,12.0,5.0,7.0,13,31,19.0,0.0,60,778.0,57.0,257.0,389.0,137.0,29.0,777.0,19.0,14.0,73.7,5.0,26.3,388.0,1702.0,921.0,15.0,10.0,9.0,17.0,15.0,537.0,49.0,3,0,0,11,17,2,19,13,13,0.0,0.0,0,63.0,22.0,15.0,59.5,1
2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,2,9,5,55.6,0.22,0.4,16.9,1.0,0,0,1.6,1.6,0.18,0.4,0.4,6,2,4,66.7,0,2.0,0.0,0,0,0,0,6.0,15.0,40.0,32.0,4.0,40.6,33.1,9.0,22.2,19.9,27.0,1.0,3.7,0.0,5.0,344.0,435.0,79.1,5584.0,1866.0,162.0,177.0,91.5,129.0,153.0,84.3,32.0,65.0,49.2,1,1.0,0.6,7.0,8.0,7.0,2.0,13.0,435.0,403.0,30.0,6.0,1.0,7.0,6,11.0,1.0,1.0,0.0,0.0,344.0,2.0,6.0,16.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0,5,8.0,5.0,2.0,6.0,22.0,27.3,16.0,18.0,8.0,10.0,14,29,39.0,1.0,35,546.0,102.0,268.0,211.0,74.0,14.0,546.0,18.0,14.0,77.8,4.0,22.2,248.0,1519.0,885.0,16.0,15.0,2.0,5.0,6.0,340.0,13.0,3,0,0,20,7,2,6,14,5,0.0,0.0,0,53.0,7.0,8.0,46.7,2
2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,1,5,3,60.0,0.2,0.33,14.3,0.0,0,0,0.4,0.4,0.07,0.6,0.6,3,0,3,100.0,1,0.6,0.6,0,0,0,0,5.0,16.0,31.3,39.0,5.0,28.2,33.3,13.0,38.5,39.2,14.0,1.0,7.1,0.0,12.0,425.0,555.0,76.6,7772.0,2652.0,174.0,206.0,84.5,199.0,233.0,85.4,43.0,85.0,50.6,1,0.3,0.6,4.0,20.0,7.0,1.0,32.0,555.0,496.0,54.0,18.0,1.0,6.0,12,20.0,2.0,2.0,0.0,0.0,425.0,5.0,15.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5,5.0,3.0,1.0,3.0,11.0,27.3,8.0,14.0,5.0,9.0,23,32,17.0,0.0,49,651.0,74.0,220.0,339.0,97.0,16.0,651.0,20.0,17.0,85.0,3.0,15.0,402.0,1788.0,1017.0,16.0,9.0,2.0,13.0,7.0,422.0,31.0,2,0,0,13,16,5,12,23,5,0.0,0.0,0,49.0,16.0,20.0,44.4,1
2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,5,20,10,50.0,0.25,0.5,15.3,1.0,0,0,2.3,2.3,0.12,2.7,2.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,3.0,13.0,23.1,34.0,4.0,38.2,33.9,3.0,0.0,32.3,7.0,1.0,14.3,0.0,10.3,466.0,548.0,85.0,7590.0,2293.0,246.0,259.0,95.0,162.0,184.0,88.0,44.0,71.0,62.0,4,1.7,1.4,16.0,18.0,17.0,3.0,33.0,548.0,510.0,34.0,6.0,0.0,3.0,17,18.0,6.0,2.0,4.0,0.0,466.0,4.0,11.0,35.0,26.0,3.0,0.0,4.0,1.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,14.0,7,7.0,4.0,3.0,9.0,20.0,45.0,11.0,6.0,0.0,6.0,11,25,7.0,0.0,47,625.0,57.0,189.0,319.0,120.0,30.0,625.0,8.0,4.0,50.0,4.0,50.0,301.0,1570.0,742.0,14.0,8.0,3.0,6.0,2.0,462.0,32.0,1,0,0,15,6,4,17,11,7,0.0,0.0,0,54.0,8.0,4.0,66.7,2
2020-11-08,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Away,L,3,4,Leverkusen,3,14,5,35.7,0.14,0.4,17.4,0.0,1,1,2.7,1.9,0.15,0.3,0.1,4,4,0,0.0,0,1.4,-2.6,0,0,0,0,2.0,9.0,22.2,31.0,2.0,25.8,28.2,8.0,12.5,19.4,17.0,0.0,0.0,1.0,16.8,346.0,462.0,74.9,5454.0,2028.0,178.0,204.0,87.3,135.0,172.0,78.5,21.0,50.0,42.0,2,1.4,0.6,9.0,16.0,3.0,1.0,14.0,462.0,412.0,49.0,16.0,0.0,3.0,9,18.0,2.0,0.0,2.0,0.0,346.0,1.0,11.0,22.0,11.0,2.0,1.0,5.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,22.0,13,9.0,9.0,4.0,9.0,26.0,34.6,17.0,16.0,6.0,10.0,15,37,21.0,1.0,41,591.0,72.0,251.0,279.0,73.0,15.0,590.0,19.0,12.0,63.2,7.0,36.8,260.0,1335.0,616.0,9.0,11.0,2.0,15.0,10.0,342.0,14.0,2,0,0,12,15,1,9,15,13,1.0,0.0,0,62.0,19.0,19.0,50.0,1
