Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,1,Wolfsburg,0,7,1,14.3,0.0,0.0,20.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,8,1,6,87.5,0,2.4,1.4,1,0,1,0,15.0,38.0,39.5,52.0,3.0,57.7,42.3,10.0,80.0,54.4,14.0,0.0,0.0,7.0,25.8,277.0,394.0,70.3,5545.0,2388.0,117.0,138.0,84.8,108.0,138.0,78.3,45.0,92.0,48.9,0,0.4,0.3,6.0,19.0,2.0,0.0,17.0,394.0,333.0,59.0,11.0,1.0,4.0,11,34.0,2.0,1.0,1.0,0.0,277.0,2.0,8.0,11.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,11.0,5.0,0.0,8.0,16.0,50.0,8.0,6.0,2.0,4.0,11,27,16.0,1.0,40.0,492.0,80.0,208.0,167.0,121.0,9.0,492.0,15.0,7.0,46.7,8.0,53.3,195.0,1097.0,617.0,15.0,7.0,3.0,19.0,4.0,273.0,16.0,2,1,0,7,8,2,11,11,7,0.0,1.0,0,45.0,6.0,11.0,35.3,1
2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,2,0,Mainz 05,2,8,4,50.0,0.25,0.5,17.0,1.0,0,0,0.8,0.8,0.1,1.2,1.2,3,0,3,100.0,1,0.6,0.6,0,0,0,0,17.0,32.0,53.1,33.0,1.0,72.7,47.1,11.0,72.7,53.5,20.0,0.0,0.0,1.0,31.0,243.0,357.0,68.1,5300.0,2096.0,85.0,100.0,85.0,110.0,156.0,70.5,45.0,85.0,52.9,2,0.6,0.6,4.0,13.0,2.0,1.0,18.0,357.0,304.0,52.0,20.0,0.0,5.0,12,18.0,2.0,0.0,2.0,0.0,243.0,1.0,10.0,16.0,8.0,3.0,2.0,0.0,3.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,13.0,11,8.0,4.0,1.0,3.0,8.0,37.5,5.0,13.0,5.0,8.0,8,21,37.0,0.0,42.0,475.0,77.0,218.0,194.0,69.0,8.0,475.0,8.0,5.0,62.5,3.0,37.5,213.0,1103.0,647.0,10.0,9.0,1.0,19.0,1.0,239.0,18.0,4,0,0,15,18,1,12,8,11,0.0,0.0,0,52.0,28.0,22.0,56.0,1
2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Köln,1,11,1,9.1,0.09,1.0,17.7,1.0,0,0,0.6,0.6,0.05,0.4,0.4,5,2,3,60.0,0,1.9,-0.1,0,0,0,0,15.0,32.0,46.9,26.0,1.0,73.1,52.7,16.0,81.3,52.3,33.0,2.0,6.1,0.0,5.5,131.0,232.0,56.5,3193.0,1782.0,43.0,62.0,69.4,53.0,82.0,64.6,35.0,74.0,47.3,1,0.4,1.1,6.0,12.0,6.0,1.0,19.0,232.0,175.0,56.0,13.0,0.0,3.0,10,19.0,5.0,4.0,1.0,0.0,131.0,1.0,6.0,19.0,15.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6,11.0,2.0,0.0,9.0,18.0,50.0,9.0,16.0,4.0,12.0,9,22,26.0,0.0,30.0,348.0,82.0,180.0,106.0,63.0,20.0,348.0,14.0,4.0,28.6,10.0,71.4,109.0,644.0,319.0,10.0,4.0,2.0,14.0,5.0,129.0,19.0,1,0,0,21,10,1,10,9,6,0.0,0.0,0,42.0,19.0,20.0,48.7,1
2021-09-12,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,1,3,Hertha BSC,1,18,5,27.8,0.06,0.2,25.2,4.0,0,0,1.2,1.2,0.07,-0.2,-0.2,4,3,1,25.0,0,1.0,-2.0,0,0,0,0,9.0,25.0,36.0,42.0,2.0,54.8,41.7,2.0,100.0,50.0,4.0,0.0,0.0,2.0,19.8,429.0,565.0,75.9,8587.0,2747.0,160.0,192.0,83.3,202.0,237.0,85.2,64.0,110.0,58.2,0,0.2,0.8,9.0,43.0,8.0,2.0,48.0,565.0,504.0,60.0,15.0,0.0,8.0,37,32.0,7.0,3.0,2.0,0.0,429.0,1.0,8.0,30.0,18.0,1.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,13,6.0,7.0,8.0,8.0,17.0,47.1,9.0,8.0,0.0,8.0,12,33,8.0,0.0,66.0,673.0,31.0,130.0,325.0,226.0,26.0,673.0,20.0,15.0,75.0,5.0,25.0,418.0,2384.0,1170.0,28.0,20.0,4.0,17.0,7.0,423.0,47.0,0,0,0,8,16,1,37,12,13,0.0,0.0,0,62.0,20.0,28.0,41.7,1
2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,0,5,0,0.0,0.0,,16.9,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,14,7,8,50.0,0,5.3,-0.7,0,0,0,0,14.0,26.0,53.8,33.0,2.0,63.6,43.5,9.0,55.6,42.8,15.0,0.0,0.0,0.0,5.5,235.0,334.0,70.4,4636.0,2236.0,102.0,132.0,77.3,94.0,115.0,81.7,35.0,65.0,53.8,0,0.4,0.8,3.0,11.0,2.0,1.0,24.0,334.0,286.0,43.0,6.0,1.0,4.0,12,18.0,2.0,1.0,0.0,0.0,235.0,5.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,4.0,3.0,4.0,3.0,21.0,14.3,18.0,21.0,4.0,17.0,16,27,27.0,2.0,31.0,469.0,86.0,197.0,171.0,108.0,7.0,469.0,15.0,6.0,40.0,9.0,60.0,239.0,1299.0,642.0,15.0,11.0,2.0,19.0,12.0,234.0,24.0,1,0,0,9,5,5,12,16,6,0.0,0.0,1,64.0,10.0,7.0,58.8,1
2021-09-26,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,D,0,0,Stuttgart,0,15,4,26.7,0.0,0.0,22.1,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8,3,0,3,100.0,1,0.6,0.6,0,0,0,0,12.0,34.0,35.3,54.0,3.0,51.9,39.2,8.0,75.0,59.6,6.0,0.0,0.0,4.0,31.3,270.0,393.0,68.7,5487.0,2086.0,97.0,119.0,81.5,121.0,148.0,81.8,45.0,102.0,44.1,0,0.7,0.8,10.0,21.0,6.0,1.0,31.0,393.0,339.0,52.0,12.0,0.0,3.0,20,24.0,7.0,4.0,1.0,0.0,270.0,2.0,6.0,20.0,12.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11,10.0,13.0,1.0,16.0,35.0,45.7,19.0,8.0,1.0,7.0,13,37,7.0,0.0,44.0,491.0,51.0,153.0,206.0,138.0,16.0,491.0,8.0,3.0,37.5,5.0,62.5,228.0,1357.0,763.0,18.0,12.0,5.0,16.0,11.0,263.0,31.0,2,0,0,15,11,2,20,13,11,0.0,0.0,0,48.0,10.0,17.0,37.0,1
2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,L,0,3,RB Leipzig,0,9,2,22.2,0.0,0.0,15.1,0.0,0,0,1.5,1.5,0.17,-1.5,-1.5,8,3,5,62.5,0,1.9,-1.1,0,0,0,0,11.0,37.0,29.7,41.0,2.0,73.2,50.2,8.0,87.5,58.8,8.0,0.0,0.0,7.0,27.8,270.0,393.0,68.7,5059.0,2114.0,135.0,163.0,82.8,77.0,99.0,77.8,49.0,100.0,49.0,0,1.5,1.3,8.0,28.0,7.0,3.0,32.0,393.0,341.0,46.0,9.0,3.0,0.0,18,22.0,3.0,0.0,1.0,0.0,270.0,6.0,10.0,16.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14,8.0,5.0,2.0,8.0,18.0,44.4,10.0,12.0,4.0,8.0,11,26,13.0,1.0,41.0,492.0,59.0,140.0,228.0,131.0,16.0,492.0,17.0,11.0,64.7,6.0,35.3,264.0,1313.0,526.0,10.0,6.0,6.0,11.0,9.0,264.0,32.0,1,0,0,16,10,6,18,11,14,0.0,0.0,0,66.0,10.0,22.0,31.3,1
2021-10-16,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,W,1,0,Greuther Fürth,1,10,2,20.0,0.1,0.5,16.1,0.0,0,0,1.6,1.6,0.16,-0.6,-0.6,3,0,3,100.0,1,0.6,0.6,0,0,0,0,18.0,38.0,47.4,40.0,5.0,77.5,49.5,9.0,77.8,54.6,9.0,2.0,22.2,1.0,10.0,245.0,391.0,62.7,5347.0,2549.0,90.0,124.0,72.6,91.0,130.0,70.0,55.0,111.0,49.5,1,1.4,1.0,7.0,18.0,5.0,3.0,21.0,391.0,337.0,52.0,16.0,0.0,8.0,17,23.0,3.0,1.0,2.0,0.0,245.0,2.0,6.0,20.0,14.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,9,4.0,8.0,4.0,6.0,15.0,40.0,9.0,16.0,3.0,13.0,13,29,15.0,0.0,44.0,500.0,64.0,197.0,202.0,106.0,18.0,500.0,14.0,8.0,57.1,6.0,42.9,226.0,1408.0,615.0,17.0,10.0,3.0,15.0,11.0,244.0,21.0,4,0,0,16,16,2,17,13,9,0.0,0.0,0,75.0,34.0,14.0,70.8,1
2021-10-24,19:30 (10:30),Bundesliga,Matchweek 9,Sun,Home,W,2,0,Eint Frankfurt,2,19,7,36.8,0.11,0.29,18.1,0.0,0,0,2.1,2.1,0.11,-0.1,-0.1,6,0,5,100.0,1,1.5,1.5,1,0,1,0,14.0,34.0,41.2,37.0,2.0,81.1,51.2,7.0,57.1,43.4,13.0,0.0,0.0,0.0,,245.0,382.0,64.1,5155.0,2503.0,83.0,112.0,74.1,99.0,135.0,73.3,49.0,100.0,49.0,1,1.8,1.5,16.0,18.0,6.0,3.0,21.0,382.0,325.0,55.0,11.0,2.0,3.0,13,32.0,4.0,1.0,2.0,0.0,245.0,2.0,13.0,32.0,24.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,19.0,13,12.0,5.0,2.0,11.0,24.0,45.8,13.0,10.0,4.0,6.0,16,35,13.0,0.0,41.0,511.0,63.0,183.0,230.0,102.0,24.0,511.0,20.0,11.0,55.0,9.0,45.0,270.0,1280.0,648.0,18.0,10.0,8.0,20.0,8.0,244.0,21.0,0,0,0,9,11,2,13,16,13,0.0,1.0,0,71.0,24.0,16.0,60.0,1
2021-10-31,17:30 (09:30),Bundesliga,Matchweek 10,Sun,Away,L,1,2,Gladbach,1,12,4,33.3,0.08,0.25,15.1,1.0,0,0,0.8,0.8,0.07,0.2,0.2,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,11.0,23.0,47.8,34.0,3.0,61.8,43.2,6.0,33.3,38.3,15.0,1.0,6.7,1.0,12.3,265.0,365.0,72.6,5524.0,2247.0,93.0,115.0,80.9,113.0,143.0,79.0,53.0,89.0,59.6,0,0.7,0.6,9.0,22.0,5.0,2.0,32.0,365.0,320.0,42.0,8.0,1.0,9.0,11,24.0,1.0,1.0,0.0,0.0,265.0,3.0,8.0,20.0,14.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,12,7.0,9.0,5.0,11.0,23.0,47.8,12.0,23.0,8.0,15.0,15,36,19.0,0.0,35.0,497.0,68.0,172.0,228.0,103.0,12.0,497.0,7.0,2.0,28.6,5.0,71.4,242.0,1344.0,636.0,13.0,9.0,4.0,26.0,8.0,263.0,32.0,1,0,0,15,6,3,11,15,12,0.0,0.0,0,68.0,8.0,10.0,44.4,1
