Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,5,2,Eint Frankfurt,5,13,7,53.8,0.38,0.71,13.7,1.0,0,0,2.7,2.7,0.21,2.3,2.3,3,2,2,33.3,0.0,0.9,-0.1,0,0,0,0,12.0,18.0,66.7,46.0,3.0,30.4,29.6,9.0,44.4,32.3,15.0,0.0,0.0,4.0,26.0,528.0,634.0,83.3,8990.0,3303.0,223.0,255.0,87.5,220.0,243.0,90.5,50.0,78.0,64.1,5,1.9,1.5,9.0,22.0,13.0,1.0,39.0,634.0,574.0,56.0,14.0,1.0,2.0,13,23.0,7.0,2.0,4.0,0.0,528.0,4.0,12.0,24.0,15.0,1.0,4.0,1.0,2.0,1.0,9.0,5.0,0.0,2.0,1.0,0.0,1.0,13.0,11,5.0,7.0,1.0,4.0,6.0,66.7,2.0,11.0,3.0,8.0,11,24,17.0,0.0,60,754.0,92.0,260.0,364.0,134.0,31.0,754.0,27.0,17.0,63.0,10.0,37.0,432.0,2292.0,992.0,17.0,11.0,3.0,16.0,15.0,524.0,39.0,0,0,0,5,13,4,13,11,11,0.0,0.0,1,65.0,11.0,9.0,55.0,1.0
2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,L,1,2,Freiburg,0,18,4,22.2,0.0,0.0,18.0,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6,4,2,2,50.0,0.0,2.0,0.0,0,0,0,0,0.0,2.0,0.0,36.0,6.0,5.6,21.7,8.0,0.0,23.8,4.0,0.0,0.0,3.0,24.8,652.0,755.0,86.4,11907.0,4054.0,261.0,296.0,88.2,320.0,346.0,92.5,64.0,92.0,69.6,0,1.6,2.0,17.0,54.0,18.0,1.0,60.0,755.0,695.0,59.0,14.0,1.0,2.0,25,24.0,10.0,4.0,6.0,0.0,652.0,1.0,13.0,32.0,25.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,6.0,5.0,0.0,4.0,6.0,66.7,2.0,6.0,1.0,5.0,4,15,7.0,0.0,76,857.0,55.0,228.0,421.0,214.0,36.0,857.0,16.0,12.0,75.0,4.0,25.0,494.0,2542.0,1423.0,23.0,15.0,8.0,14.0,8.0,649.0,60.0,4,0,0,14,14,1,25,4,8,0.0,0.0,0,49.0,17.0,14.0,54.8,1.0
2021-08-27,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,W,3,2,Hoffenheim,3,24,13,54.2,0.13,0.23,12.7,0.0,0,0,3.4,3.4,0.15,-0.4,-0.4,5,2,3,60.0,0.0,3.7,1.7,0,0,0,0,0.0,6.0,0.0,18.0,5.0,22.2,25.4,4.0,50.0,35.3,14.0,0.0,0.0,5.0,20.3,503.0,592.0,85.0,7824.0,2795.0,231.0,246.0,93.9,185.0,206.0,89.8,34.0,59.0,57.6,1,2.7,2.7,20.0,47.0,12.0,6.0,61.0,592.0,539.0,49.0,14.0,3.0,6.0,17,24.0,4.0,3.0,0.0,0.0,503.0,4.0,6.0,46.0,36.0,4.0,2.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0,11,8.0,7.0,2.0,5.0,16.0,31.3,11.0,16.0,3.0,13.0,10,27,21.0,1.0,59,730.0,62.0,193.0,329.0,210.0,39.0,730.0,20.0,10.0,50.0,10.0,50.0,475.0,2354.0,1136.0,23.0,13.0,10.0,11.0,13.0,498.0,59.0,2,0,0,9,12,4,17,10,11,0.0,0.0,0,55.0,20.0,8.0,71.4,1.0
2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,4,3,Leverkusen,4,13,5,38.5,0.23,0.6,18.0,1.0,1,1,1.8,1.1,0.08,2.2,1.9,5,3,2,40.0,0.0,1.6,-1.4,0,0,0,0,1.0,4.0,25.0,21.0,4.0,19.0,23.6,4.0,0.0,15.3,7.0,1.0,14.3,1.0,13.6,468.0,564.0,83.0,7464.0,2977.0,225.0,250.0,90.0,186.0,211.0,88.2,32.0,55.0,58.2,2,0.9,0.9,10.0,33.0,10.0,1.0,40.0,564.0,517.0,47.0,9.0,1.0,4.0,6,27.0,3.0,1.0,0.0,0.0,468.0,0.0,6.0,25.0,20.0,1.0,0.0,1.0,3.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,16.0,10,3.0,10.0,3.0,10.0,24.0,41.7,14.0,9.0,2.0,7.0,7,23,17.0,0.0,58,671.0,53.0,199.0,320.0,160.0,27.0,670.0,12.0,10.0,83.3,2.0,16.7,392.0,1942.0,1130.0,23.0,17.0,7.0,21.0,9.0,465.0,39.0,3,0,0,11,10,0,6,7,10,1.0,0.0,0,63.0,7.0,4.0,63.6,1.0
2021-09-15,19:45 (09:45),Champions Lg,Group stage,Wed,Away,W,2,1,tr Beşiktaş,2,14,7,50.0,0.14,0.29,13.4,1.0,0,0,3.0,3.0,0.22,-1.0,-1.0,3,1,2,66.7,0.0,1.0,0.0,0,0,0,0,1.0,3.0,33.3,15.0,1.0,13.3,20.9,11.0,9.1,27.2,18.0,2.0,11.1,2.0,12.7,400.0,498.0,80.3,6668.0,2318.0,196.0,216.0,90.7,162.0,193.0,83.9,26.0,52.0,50.0,2,2.9,2.0,12.0,25.0,5.0,2.0,39.0,498.0,457.0,41.0,9.0,0.0,4.0,10,14.0,5.0,2.0,1.0,0.0,400.0,0.0,15.0,27.0,19.0,0.0,7.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0,11,10.0,9.0,2.0,7.0,24.0,29.2,17.0,17.0,2.0,15.0,5,26,18.0,0.0,43,623.0,58.0,189.0,305.0,134.0,34.0,623.0,40.0,28.0,70.0,12.0,30.0,383.0,2136.0,1211.0,24.0,8.0,8.0,11.0,11.0,395.0,38.0,2,0,0,14,7,0,10,5,11,0.0,0.0,0,63.0,7.0,5.0,58.3,2.0
2021-09-19,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Home,W,4,2,Union Berlin,3,13,5,38.5,0.23,0.6,21.3,2.0,0,0,0.9,0.9,0.07,2.1,2.1,6,2,4,83.3,0.0,1.2,-0.8,1,1,0,0,5.0,15.0,33.3,38.0,3.0,31.6,30.8,3.0,100.0,63.3,19.0,0.0,0.0,1.0,16.4,547.0,647.0,84.5,9229.0,2987.0,249.0,282.0,88.3,212.0,249.0,85.1,54.0,73.0,74.0,2,0.8,1.0,10.0,38.0,13.0,3.0,42.0,647.0,605.0,42.0,13.0,3.0,6.0,10,20.0,3.0,1.0,1.0,0.0,547.0,0.0,3.0,25.0,17.0,4.0,1.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,6,6.0,4.0,1.0,6.0,11.0,54.5,5.0,4.0,0.0,4.0,19,30,13.0,0.0,63,743.0,59.0,210.0,354.0,184.0,21.0,743.0,16.0,11.0,68.8,5.0,31.3,489.0,2504.0,1177.0,16.0,22.0,2.0,11.0,14.0,544.0,41.0,2,0,0,11,12,0,10,19,6,0.0,1.0,0,53.0,14.0,16.0,46.7,1.0
2021-09-25,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Gladbach,0,8,0,0.0,0.0,,19.5,2.0,0,0,0.4,0.4,0.05,-0.4,-0.4,3,1,2,66.7,0.0,1.3,0.3,0,0,0,0,1.0,9.0,11.1,28.0,3.0,21.4,29.8,4.0,75.0,53.0,13.0,0.0,0.0,3.0,14.5,380.0,468.0,81.2,6674.0,2188.0,171.0,191.0,89.5,170.0,197.0,86.3,35.0,59.0,59.3,0,0.1,0.4,4.0,24.0,7.0,2.0,30.0,468.0,419.0,46.0,18.0,2.0,1.0,6,21.0,1.0,0.0,0.0,0.0,380.0,3.0,8.0,16.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5,7.0,7.0,1.0,3.0,15.0,20.0,12.0,13.0,6.0,7.0,10,25,20.0,0.0,45,579.0,67.0,219.0,280.0,85.0,9.0,579.0,21.0,10.0,47.6,11.0,52.4,356.0,1756.0,809.0,13.0,5.0,1.0,16.0,9.0,377.0,30.0,4,1,1,15,16,3,6,10,5,0.0,0.0,0,49.0,4.0,8.0,33.3,1.0
2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,pt Sporting CP,1,6,3,50.0,0.17,0.33,19.4,0.0,0,0,0.3,0.3,0.05,0.7,0.7,1,0,1,100.0,1.0,0.3,0.3,0,0,0,0,1.0,5.0,20.0,27.0,4.0,14.8,25.5,7.0,14.3,30.3,12.0,0.0,0.0,0.0,18.0,529.0,645.0,82.0,8567.0,2666.0,238.0,277.0,85.9,221.0,246.0,89.8,37.0,59.0,62.7,1,0.2,0.4,3.0,44.0,5.0,0.0,39.0,645.0,593.0,45.0,9.0,1.0,4.0,18,23.0,5.0,2.0,3.0,0.0,529.0,7.0,13.0,11.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,4.0,5.0,2.0,2.0,13.0,15.4,11.0,9.0,1.0,8.0,12,23,15.0,0.0,58,748.0,59.0,199.0,366.0,188.0,19.0,748.0,15.0,8.0,53.3,7.0,46.7,511.0,2541.0,1278.0,19.0,18.0,5.0,20.0,7.0,524.0,39.0,2,0,0,13,6,7,18,12,6,0.0,0.0,0,63.0,9.0,15.0,37.5,2.0
2021-10-02,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2,1,Augsburg,2,19,3,15.8,0.05,0.33,19.0,0.0,1,1,3.0,2.2,0.12,-1.0,-1.2,3,1,2,66.7,0.0,0.8,-0.2,0,0,0,0,2.0,6.0,33.3,21.0,3.0,23.8,29.7,3.0,33.3,30.0,11.0,0.0,0.0,2.0,15.8,565.0,681.0,83.0,8631.0,2919.0,258.0,292.0,88.4,196.0,225.0,87.1,48.0,76.0,63.2,1,1.7,1.3,14.0,31.0,8.0,0.0,47.0,681.0,630.0,50.0,19.0,3.0,4.0,14,19.0,7.0,2.0,2.0,1.0,565.0,1.0,15.0,31.0,20.0,2.0,2.0,5.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,26.0,18,14.0,11.0,1.0,8.0,16.0,50.0,8.0,10.0,1.0,9.0,18,44,13.0,0.0,69,816.0,48.0,251.0,415.0,155.0,27.0,815.0,18.0,10.0,55.6,8.0,44.4,502.0,2259.0,1128.0,27.0,19.0,5.0,19.0,20.0,562.0,47.0,1,0,0,9,16,1,14,18,18,1.0,0.0,0,76.0,19.0,12.0,61.3,1.0
2021-10-16,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3,1,Mainz 05,3,10,3,30.0,0.2,0.67,15.3,0.0,1,1,2.3,1.5,0.16,0.7,0.5,2,1,1,50.0,0.0,0.8,-0.2,0,0,0,0,4.0,11.0,36.4,37.0,1.0,21.6,28.1,6.0,50.0,42.8,6.0,0.0,0.0,2.0,21.0,604.0,739.0,81.7,10632.0,3106.0,253.0,279.0,90.7,244.0,285.0,85.6,70.0,102.0,68.6,1,1.4,1.4,7.0,28.0,12.0,1.0,56.0,739.0,681.0,56.0,13.0,0.0,7.0,19,29.0,6.0,0.0,5.0,0.0,604.0,2.0,23.0,21.0,16.0,2.0,0.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,15.0,8,5.0,9.0,1.0,8.0,10.0,80.0,2.0,13.0,1.0,12.0,14,29,11.0,0.0,67,849.0,55.0,211.0,436.0,205.0,28.0,848.0,21.0,7.0,33.3,14.0,66.7,570.0,2620.0,1169.0,20.0,20.0,4.0,16.0,7.0,603.0,56.0,2,0,0,7,11,2,19,14,8,0.0,0.0,0,70.0,17.0,10.0,63.0,1.0
