Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,5,Stuttgart,1,8,4,50.0,0.13,0.25,16.4,0.0,0,0,1.2,1.2,0.15,-0.2,-0.2,15,5,10,66.7,0,4.9,-0.1,0,0,0,0,7.0,17.0,41.2,26.0,5.0,42.3,39.2,9.0,66.7,47.1,20.0,0.0,0.0,2.0,13.8,271.0,339.0,79.9,5178.0,2149.0,103.0,120.0,85.8,126.0,143.0,88.1,34.0,62.0,54.8,1,0.9,0.6,4.0,15.0,4.0,1.0,22.0,339.0,296.0,43.0,13.0,1.0,1.0,8,13.0,2.0,1.0,1.0,0.0,271.0,0.0,5.0,13.0,10.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,7,9.0,6.0,1.0,7.0,18.0,38.9,11.0,12.0,9.0,3.0,7,23,16.0,0.0,33.0,436.0,76.0,199.0,188.0,52.0,10.0,436.0,15.0,10.0,66.7,5.0,33.3,249.0,1263.0,594.0,11.0,6.0,1.0,19.0,4.0,268.0,21.0,1,0,0,8,9,0,8,7,7,0.0,0.0,0,45.0,5.0,10.0,33.3,1
2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Arminia,1,19,4,21.1,0.0,0.0,17.8,0.0,1,1,2.5,1.8,0.09,-1.5,-1.8,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,7.0,14.0,50.0,30.0,6.0,33.3,32.7,9.0,44.4,42.0,12.0,1.0,8.3,0.0,13.0,478.0,590.0,81.0,8923.0,2938.0,182.0,204.0,89.2,220.0,244.0,90.2,59.0,105.0,56.2,0,1.4,1.1,14.0,25.0,9.0,3.0,36.0,590.0,530.0,54.0,14.0,1.0,5.0,13,24.0,5.0,1.0,4.0,0.0,478.0,6.0,4.0,30.0,25.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,6,2.0,6.0,2.0,7.0,14.0,50.0,7.0,8.0,2.0,6.0,5,15,9.0,0.0,65.0,678.0,50.0,213.0,313.0,155.0,27.0,677.0,13.0,6.0,46.2,7.0,53.8,463.0,2579.0,1208.0,20.0,16.0,7.0,12.0,11.0,472.0,35.0,4,0,0,12,13,6,13,5,6,0.0,0.0,0,43.0,28.0,25.0,52.8,1
2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Mainz 05,0,9,1,11.1,0.0,0.0,21.4,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,9,3,6,66.7,0,2.3,-0.7,0,0,0,0,6.0,21.0,28.6,37.0,3.0,51.4,43.1,3.0,66.7,38.7,12.0,1.0,8.3,2.0,16.0,304.0,418.0,72.7,5900.0,2057.0,113.0,131.0,86.3,146.0,170.0,85.9,37.0,87.0,42.5,0,0.2,0.4,8.0,20.0,3.0,1.0,16.0,418.0,357.0,59.0,24.0,0.0,2.0,16,24.0,4.0,0.0,4.0,0.0,304.0,2.0,15.0,15.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,8.0,6.0,2.0,7.0,12.0,58.3,5.0,13.0,2.0,11.0,10,26,25.0,0.0,52.0,546.0,69.0,227.0,217.0,108.0,19.0,546.0,17.0,4.0,23.5,13.0,76.5,303.0,1345.0,525.0,7.0,7.0,4.0,18.0,8.0,302.0,16.0,2,0,0,14,19,2,16,10,11,0.0,0.0,0,55.0,12.0,15.0,44.4,1
2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Wolfsburg,0,9,4,44.4,0.0,0.0,20.4,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,3,2,1,66.7,0,1.4,-0.6,1,1,0,0,7.0,21.0,33.3,20.0,3.0,70.0,43.7,7.0,100.0,60.6,11.0,0.0,0.0,1.0,10.0,163.0,268.0,60.8,3144.0,1591.0,73.0,89.0,82.0,55.0,79.0,69.6,27.0,77.0,35.1,0,0.2,0.4,6.0,15.0,6.0,2.0,23.0,268.0,220.0,48.0,14.0,2.0,1.0,13,21.0,3.0,1.0,2.0,0.0,163.0,0.0,8.0,15.0,7.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,4.0,11.0,1.0,6.0,23.0,26.1,17.0,11.0,4.0,7.0,12,28,11.0,0.0,30.0,379.0,40.0,108.0,186.0,90.0,16.0,379.0,9.0,2.0,22.2,7.0,77.8,149.0,676.0,337.0,4.0,0.0,1.0,22.0,7.0,162.0,23.0,2,0,0,17,12,0,13,12,9,0.0,1.0,0,52.0,22.0,26.0,45.8,1
2021-09-17,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Away,L,1,2,Hertha BSC,1,10,2,20.0,0.0,0.0,17.2,0.0,1,1,1.4,0.6,0.06,-0.4,-0.6,3,2,2,33.3,0,0.4,-0.6,0,0,0,0,12.0,28.0,42.9,26.0,0.0,73.1,46.7,9.0,100.0,60.1,18.0,0.0,0.0,0.0,15.5,243.0,373.0,65.1,4585.0,2191.0,106.0,141.0,75.2,92.0,122.0,75.4,35.0,79.0,44.3,0,0.2,0.4,7.0,20.0,1.0,1.0,28.0,373.0,320.0,53.0,12.0,1.0,2.0,29,25.0,4.0,1.0,3.0,0.0,243.0,0.0,10.0,19.0,11.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,8,14.0,9.0,1.0,11.0,19.0,57.9,8.0,14.0,5.0,9.0,10,34,25.0,0.0,43.0,498.0,60.0,155.0,223.0,123.0,18.0,497.0,14.0,8.0,57.1,6.0,42.9,238.0,1262.0,524.0,15.0,7.0,3.0,16.0,5.0,235.0,28.0,2,0,0,13,10,0,29,10,8,1.0,0.0,1,55.0,28.0,21.0,57.1,1
2021-09-24,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1,3,Bayern Munich,1,10,5,50.0,0.1,0.2,22.1,2.0,0,0,0.7,0.7,0.07,0.3,0.3,4,3,2,25.0,0,1.1,-0.9,0,0,0,0,8.0,18.0,44.4,30.0,6.0,40.0,37.7,6.0,100.0,64.2,12.0,0.0,0.0,8.0,26.8,244.0,340.0,71.8,4361.0,2079.0,112.0,130.0,86.2,97.0,127.0,76.4,29.0,65.0,44.6,1,0.6,0.8,6.0,29.0,4.0,1.0,29.0,340.0,289.0,47.0,13.0,1.0,2.0,16,18.0,6.0,4.0,0.0,0.0,244.0,4.0,2.0,17.0,10.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,12,5.0,8.0,3.0,6.0,18.0,33.3,12.0,10.0,3.0,7.0,13,29,26.0,0.0,33.0,458.0,64.0,157.0,184.0,120.0,12.0,458.0,8.0,2.0,25.0,6.0,75.0,275.0,1216.0,556.0,5.0,4.0,0.0,18.0,7.0,241.0,29.0,4,0,0,19,12,4,16,13,12,0.0,0.0,1,63.0,6.0,12.0,33.3,1
2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Köln,1,7,3,42.9,0.14,0.33,11.4,0.0,0,0,1.3,1.3,0.22,-0.3,-0.3,8,3,5,62.5,0,3.6,0.6,0,0,0,0,13.0,31.0,41.9,24.0,1.0,87.5,53.8,11.0,90.9,64.4,22.0,0.0,0.0,4.0,19.4,156.0,268.0,58.2,3200.0,1929.0,69.0,95.0,72.6,55.0,82.0,67.1,26.0,65.0,40.0,1,0.6,0.4,5.0,19.0,3.0,1.0,23.0,268.0,215.0,51.0,16.0,1.0,3.0,10,19.0,1.0,1.0,0.0,0.0,156.0,2.0,13.0,12.0,6.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,8,8.0,5.0,0.0,8.0,16.0,50.0,8.0,8.0,1.0,7.0,10,23,34.0,0.0,33.0,392.0,68.0,164.0,167.0,65.0,12.0,392.0,21.0,11.0,52.4,10.0,47.6,164.0,640.0,338.0,6.0,4.0,0.0,19.0,9.0,156.0,23.0,1,0,0,18,16,2,10,10,8,0.0,0.0,0,53.0,25.0,18.0,58.1,1
2021-10-16,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,0,1,Bochum,0,11,3,27.3,0.0,0.0,19.0,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,2,1,1,50.0,0,1.5,0.5,0,0,0,0,9.0,33.0,27.3,46.0,4.0,56.5,41.5,10.0,70.0,50.9,12.0,1.0,8.3,1.0,17.3,354.0,493.0,71.8,6167.0,2568.0,175.0,192.0,91.1,126.0,160.0,78.8,44.0,109.0,40.4,0,0.8,1.3,11.0,28.0,12.0,3.0,40.0,493.0,429.0,64.0,18.0,2.0,3.0,11,30.0,4.0,4.0,0.0,0.0,354.0,0.0,15.0,22.0,17.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,5.0,10.0,2.0,6.0,14.0,42.9,8.0,9.0,3.0,6.0,9,26,8.0,0.0,56.0,597.0,71.0,200.0,250.0,156.0,22.0,597.0,15.0,9.0,60.0,6.0,40.0,323.0,1613.0,818.0,16.0,9.0,5.0,20.0,10.0,351.0,40.0,2,0,0,16,15,0,11,9,11,0.0,0.0,0,70.0,14.0,34.0,29.2,1
2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1,4,RB Leipzig,1,8,3,37.5,0.0,0.0,21.2,0.0,1,1,1.4,0.6,0.08,-0.4,-0.6,5,4,1,40.0,0,2.2,-1.8,1,1,0,0,5.0,17.0,29.4,32.0,4.0,34.4,34.9,10.0,60.0,51.8,13.0,1.0,7.7,5.0,17.5,302.0,442.0,68.3,5693.0,2526.0,122.0,152.0,80.3,132.0,167.0,79.0,39.0,89.0,43.8,0,0.5,1.3,6.0,24.0,6.0,3.0,30.0,442.0,380.0,60.0,17.0,0.0,1.0,24,24.0,4.0,2.0,2.0,0.0,302.0,2.0,13.0,16.0,13.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,9,4.0,14.0,1.0,8.0,17.0,47.1,9.0,16.0,3.0,13.0,15,34,14.0,0.0,44.0,576.0,62.0,178.0,297.0,104.0,8.0,575.0,17.0,8.0,47.1,9.0,52.9,285.0,1404.0,667.0,17.0,8.0,1.0,20.0,13.0,301.0,30.0,0,0,0,12,15,2,24,15,9,1.0,1.0,0,69.0,18.0,20.0,47.4,1
2021-10-30,15:30 (06:30),Bundesliga,Matchweek 10,Sat,Away,L,1,3,Freiburg,1,8,4,50.0,0.13,0.25,21.3,0.0,0,0,0.8,0.8,0.1,0.2,0.2,5,3,3,60.0,0,1.7,-0.3,1,1,0,0,4.0,14.0,28.6,36.0,3.0,33.3,32.0,8.0,25.0,30.8,7.0,0.0,0.0,2.0,21.3,342.0,451.0,75.8,6140.0,2379.0,149.0,179.0,83.2,158.0,187.0,84.5,29.0,61.0,47.5,1,0.8,0.5,7.0,31.0,2.0,1.0,32.0,451.0,402.0,48.0,11.0,0.0,2.0,9,23.0,2.0,0.0,2.0,0.0,342.0,1.0,12.0,14.0,10.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11,8.0,9.0,2.0,8.0,17.0,47.1,9.0,13.0,3.0,10.0,10,29,12.0,0.0,50.0,557.0,82.0,232.0,228.0,104.0,14.0,557.0,18.0,9.0,50.0,9.0,50.0,309.0,1762.0,894.0,18.0,9.0,4.0,21.0,13.0,338.0,32.0,2,0,0,13,10,1,9,10,11,0.0,1.0,1,58.0,17.0,20.0,45.9,1
