Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,1,18,7,38.9,0.06,0.14,14.8,0.0,0,0,2.6,2.6,0.15,-1.6,-1.6,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,5.0,25.0,20.0,38.0,6.0,52.6,42.3,7.0,71.4,54.0,15.0,0.0,0.0,0.0,8.5,369.0,494.0,74.7,6684.0,2605.0,164.0,196.0,83.7,153.0,181.0,84.5,43.0,91.0,47.3,0,1.8,1.4,15.0,24.0,11.0,4.0,31.0,494.0,456.0,38.0,12.0,0.0,3.0,23,15.0,2.0,0.0,0.0,0.0,369.0,0.0,6.0,33.0,27.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,7,11.0,5.0,1.0,5.0,9.0,55.6,4.0,24.0,11.0,13.0,11,28,15.0,0.0,50,610.0,82.0,219.0,240.0,155.0,28.0,610.0,23.0,14.0,60.9,6.0,26.1,378.0,1821.0,842.0,23.0,13.0,7.0,10.0,5.0,365.0,30.0,1,0,0,9,9,0,23,11,7,0.0,0.0,0,57.0,25.0,20.0,55.6,1
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,1,23,7,30.4,0.04,0.14,15.6,0.0,0,0,2.4,2.4,0.12,-1.4,-1.4,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6.0,28.0,21.4,32.0,3.0,53.1,45.0,13.0,84.6,59.8,16.0,2.0,12.5,1.0,10.0,367.0,494.0,74.3,6873.0,2692.0,149.0,187.0,79.7,169.0,200.0,84.5,41.0,89.0,46.1,1,1.6,0.8,17.0,44.0,10.0,4.0,38.0,494.0,443.0,48.0,9.0,0.0,0.0,20,20.0,5.0,3.0,1.0,0.0,367.0,3.0,6.0,38.0,26.0,3.0,1.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5,6.0,1.0,1.0,2.0,6.0,33.3,4.0,12.0,4.0,8.0,11,19,27.0,0.0,49,614.0,67.0,187.0,286.0,145.0,27.0,614.0,12.0,6.0,50.0,4.0,33.3,356.0,1857.0,819.0,15.0,14.0,3.0,11.0,7.0,361.0,36.0,2,0,0,9,7,3,20,11,5,0.0,0.0,0,70.0,25.0,23.0,52.1,1
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,0,13,7,53.8,0.0,0.0,13.7,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,6,5,1,16.7,0,3.2,-1.8,0,0,0,0,5.0,10.0,50.0,45.0,4.0,8.9,23.4,8.0,75.0,53.6,11.0,0.0,0.0,1.0,24.0,474.0,573.0,82.7,8669.0,3101.0,197.0,224.0,87.9,227.0,262.0,86.6,42.0,65.0,64.6,0,0.6,0.8,10.0,34.0,6.0,4.0,44.0,573.0,525.0,47.0,10.0,1.0,5.0,15,19.0,4.0,1.0,2.0,0.0,474.0,1.0,5.0,21.0,16.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14,8.0,10.0,0.0,8.0,24.0,33.3,16.0,5.0,0.0,5.0,3,21,12.0,0.0,52,652.0,72.0,228.0,332.0,97.0,10.0,652.0,9.0,3.0,33.3,4.0,44.4,413.0,2290.0,1045.0,12.0,6.0,0.0,13.0,7.0,467.0,44.0,1,0,0,10,9,1,15,3,14,0.0,0.0,0,49.0,17.0,10.0,63.0,1
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,2,15,4,26.7,0.13,0.5,15.8,1.0,0,0,1.0,1.0,0.07,1.0,1.0,7,4,3,42.9,0,3.5,-0.5,0,0,0,0,3.0,17.0,17.6,30.0,2.0,50.0,37.3,7.0,28.6,33.6,12.0,0.0,0.0,1.0,30.0,359.0,456.0,78.7,6137.0,2069.0,175.0,193.0,90.7,140.0,156.0,89.7,31.0,77.0,40.3,2,0.8,0.8,11.0,29.0,4.0,2.0,36.0,456.0,402.0,51.0,16.0,0.0,4.0,19,17.0,6.0,4.0,2.0,0.0,359.0,3.0,6.0,27.0,13.0,6.0,2.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,7,6.0,3.0,5.0,3.0,7.0,42.9,4.0,9.0,3.0,6.0,3,17,14.0,0.0,50,542.0,65.0,173.0,263.0,108.0,16.0,542.0,17.0,8.0,47.1,8.0,47.1,217.0,1161.0,645.0,10.0,10.0,3.0,4.0,2.0,357.0,35.0,2,1,0,12,16,3,19,3,7,0.0,0.0,0,46.0,19.0,19.0,50.0,1
2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,3,12,5,41.7,0.17,0.4,17.0,0.0,1,1,1.6,0.8,0.07,1.4,1.2,4,2,2,50.0,0,2.5,0.5,0,0,0,0,2.0,18.0,11.1,38.0,5.0,31.6,33.5,8.0,75.0,59.0,24.0,1.0,4.2,0.0,7.3,385.0,500.0,77.0,6889.0,2337.0,162.0,186.0,87.1,166.0,195.0,85.1,45.0,91.0,49.5,1,0.3,0.5,7.0,22.0,7.0,3.0,30.0,500.0,446.0,54.0,15.0,0.0,4.0,12,23.0,5.0,0.0,4.0,0.0,385.0,0.0,8.0,20.0,11.0,3.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,8,3.0,6.0,2.0,4.0,15.0,26.7,11.0,13.0,6.0,7.0,5,16,32.0,2.0,53,621.0,81.0,212.0,281.0,129.0,21.0,620.0,21.0,11.0,52.4,8.0,38.1,392.0,1954.0,775.0,7.0,5.0,2.0,22.0,3.0,381.0,30.0,3,0,0,12,14,0,12,5,8,1.0,0.0,0,49.0,24.0,23.0,51.1,2
2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,0,7,1,14.3,0.0,0.0,17.1,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,4,0,4,100.0,1,0.6,0.6,0,0,0,0,5.0,14.0,35.7,34.0,11.0,14.7,30.3,11.0,81.8,58.7,15.0,1.0,6.7,1.0,12.7,335.0,461.0,72.7,6633.0,2597.0,131.0,157.0,83.4,146.0,184.0,79.3,50.0,84.0,59.5,0,0.4,0.6,5.0,15.0,4.0,1.0,29.0,461.0,408.0,49.0,12.0,0.0,4.0,13,22.0,3.0,0.0,3.0,0.0,335.0,4.0,17.0,12.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19,19.0,9.0,2.0,16.0,24.0,66.7,8.0,23.0,6.0,17.0,15,45,20.0,0.0,43,600.0,75.0,240.0,256.0,108.0,21.0,600.0,16.0,6.0,37.5,9.0,56.3,336.0,1896.0,826.0,12.0,8.0,3.0,18.0,9.0,331.0,29.0,2,0,0,5,12,4,13,15,19,0.0,0.0,0,61.0,15.0,14.0,51.7,1
2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,2,6,2,33.3,0.17,0.5,20.1,0.0,1,1,1.0,0.2,0.04,1.0,0.8,3,0,3,100.0,1,0.5,0.5,0,0,0,0,6.0,25.0,24.0,45.0,4.0,37.8,34.6,9.0,88.9,59.2,11.0,0.0,0.0,0.0,8.8,360.0,493.0,73.0,6168.0,2179.0,178.0,208.0,85.6,144.0,190.0,75.8,29.0,75.0,38.7,1,0.2,0.3,4.0,15.0,4.0,0.0,23.0,493.0,441.0,52.0,18.0,0.0,0.0,14,22.0,2.0,2.0,0.0,0.0,360.0,0.0,7.0,13.0,9.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0,12,18.0,3.0,3.0,7.0,18.0,38.9,11.0,8.0,5.0,3.0,6,30,27.0,1.0,53,623.0,84.0,269.0,273.0,86.0,14.0,622.0,13.0,0.0,0.0,8.0,61.5,355.0,1780.0,860.0,16.0,6.0,6.0,20.0,3.0,355.0,23.0,2,0,0,13,16,0,14,6,12,1.0,0.0,0,59.0,18.0,22.0,45.0,1
2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,1,11,5,45.5,0.09,0.2,15.0,0.0,0,0,1.5,1.5,0.17,-0.5,-0.5,5,2,3,60.0,0,0.7,-1.3,0,0,0,0,6.0,18.0,33.3,55.0,4.0,20.0,27.0,7.0,100.0,66.9,10.0,0.0,0.0,3.0,23.3,485.0,610.0,79.5,8239.0,2811.0,211.0,247.0,85.4,228.0,261.0,87.4,32.0,74.0,43.2,0,0.8,0.7,7.0,31.0,7.0,1.0,39.0,610.0,570.0,40.0,8.0,2.0,1.0,18,19.0,3.0,0.0,3.0,0.0,485.0,0.0,5.0,19.0,14.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,7,10.0,6.0,1.0,5.0,16.0,31.3,11.0,14.0,2.0,12.0,10,27,9.0,2.0,55,709.0,70.0,246.0,347.0,122.0,15.0,709.0,14.0,6.0,42.9,7.0,50.0,395.0,2350.0,1233.0,16.0,14.0,3.0,15.0,4.0,480.0,39.0,1,0,0,8,6,0,18,10,7,0.0,0.0,0,56.0,20.0,17.0,54.1,2
2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,0,2,0,0.0,0.0,,16.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,6,3,3,50.0,0,2.3,-0.7,0,0,0,0,4.0,17.0,23.5,28.0,6.0,39.3,35.0,11.0,54.5,48.0,14.0,1.0,7.1,0.0,9.7,254.0,361.0,70.4,4129.0,1661.0,123.0,143.0,86.0,108.0,144.0,75.0,17.0,52.0,32.7,0,0.1,0.1,2.0,12.0,3.0,0.0,14.0,361.0,319.0,39.0,8.0,0.0,2.0,3,15.0,1.0,0.0,0.0,0.0,254.0,3.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,11.0,5.0,2.0,7.0,19.0,36.8,12.0,21.0,7.0,14.0,9,27,28.0,0.0,31,474.0,96.0,237.0,180.0,59.0,9.0,474.0,5.0,3.0,60.0,2.0,40.0,271.0,1129.0,588.0,8.0,6.0,3.0,15.0,10.0,251.0,14.0,0,0,0,8,7,3,3,9,10,0.0,0.0,0,54.0,7.0,12.0,36.8,1
2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2,1,Bochum,2,16,4,25.0,0.06,0.25,15.7,1.0,1,1,2.3,1.6,0.1,-0.3,-0.6,3,1,2,66.7,0,1.0,0.0,0,0,0,0,1.0,9.0,11.1,24.0,11.0,16.7,29.1,9.0,55.6,48.8,10.0,2.0,20.0,0.0,7.0,429.0,538.0,79.7,7280.0,2527.0,194.0,223.0,87.0,206.0,246.0,83.7,26.0,51.0,51.0,1,1.3,1.6,12.0,35.0,11.0,2.0,47.0,538.0,493.0,41.0,13.0,4.0,0.0,21,12.0,5.0,1.0,4.0,0.0,429.0,4.0,7.0,32.0,24.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,4,4.0,4.0,0.0,3.0,13.0,23.1,10.0,9.0,5.0,4.0,7,15,19.0,0.0,58,649.0,60.0,144.0,359.0,150.0,25.0,648.0,20.0,8.0,40.0,8.0,40.0,446.0,2417.0,1365.0,15.0,16.0,2.0,12.0,7.0,427.0,47.0,3,0,0,11,14,4,21,7,4,0.0,0.0,0,52.0,31.0,25.0,55.4,1
