Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-18,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,L,0,1,Valencia,0,5.0,4.0,80.0,0.0,0.0,25.4,1.0,0,0,0.2,0.2,0.05,-0.2,-0.2,6.0,1,5.0,83.3,0,0.8,-0.2,0,0,0,0,9.0,23.0,39.1,36.0,9.0,36.1,31.6,10.0,100.0,65.0,12.0,1.0,8.3,0.0,7.5,440.0,532.0,82.7,6983.0,2392.0,243.0,266.0,91.4,148.0,169.0,87.6,34.0,62.0,54.8,0,0.1,0.3,3.0,27.0,4.0,0.0,26.0,532.0,476.0,55.0,26.0,1.0,1.0,8.0,15.0,2.0,1.0,1.0,0.0,440.0,1.0,14.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,10.0,6.0,1.0,7.0,12.0,58.3,5.0,19.0,6.0,13.0,15.0,32,10.0,0.0,53.0,628.0,78.0,223.0,309.0,103.0,7.0,628.0,18.0,9.0,50.0,9.0,50.0,392.0,2216.0,1167.0,20.0,14.0,3.0,14.0,7.0,438.0,26.0,3,1,0,13.0,24.0,1.0,8.0,15.0,9.0,0.0,0.0,0,42.0,6.0,8.0,42.9,1
2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,1,5,Atlético Madrid,1,10.0,3.0,30.0,0.1,0.33,26.7,2.0,0,1,1.4,0.6,0.06,-0.4,0.4,6.0,5,1.0,16.7,0,2.1,-2.9,0,0,0,0,0.0,6.0,0.0,20.0,4.0,20.0,30.3,7.0,28.6,35.4,4.0,0.0,0.0,0.0,9.0,549.0,636.0,86.3,8467.0,2437.0,294.0,309.0,95.1,213.0,243.0,87.7,30.0,54.0,55.6,1,0.5,0.6,8.0,44.0,8.0,1.0,36.0,636.0,586.0,48.0,6.0,0.0,1.0,16.0,25.0,4.0,2.0,1.0,0.0,549.0,2.0,12.0,22.0,17.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,6.0,6.0,4.0,11.0,20.0,55.0,9.0,5.0,0.0,5.0,16.0,32,15.0,0.0,62.0,737.0,53.0,162.0,413.0,170.0,11.0,736.0,25.0,13.0,52.0,12.0,48.0,499.0,2428.0,1191.0,17.0,15.0,1.0,15.0,16.0,547.0,36.0,4,0,0,11.0,8.0,2.0,16.0,16.0,11.0,1.0,0.0,0,51.0,3.0,12.0,20.0,1
2017-09-11,21:00 (12:00),La Liga,Matchweek 3,Mon,Away,W,3,1,Málaga,3,10.0,8.0,80.0,0.3,0.38,15.9,0.0,0,0,2.0,2.0,0.2,1.0,1.0,6.0,1,5.0,83.3,0,1.3,0.3,0,0,0,0,6.0,28.0,21.4,38.0,4.0,57.9,44.3,9.0,66.7,56.1,23.0,1.0,4.3,0.0,6.3,357.0,467.0,76.4,7076.0,2744.0,137.0,162.0,84.6,154.0,178.0,86.5,53.0,97.0,54.6,3,2.0,0.8,10.0,22.0,8.0,2.0,24.0,467.0,408.0,57.0,25.0,2.0,2.0,10.0,19.0,2.0,0.0,1.0,0.0,357.0,2.0,9.0,19.0,16.0,0.0,2.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,17.0,12.0,9.0,7.0,1.0,3.0,9.0,33.3,6.0,7.0,2.0,5.0,11.0,28,23.0,0.0,50.0,559.0,77.0,238.0,233.0,101.0,17.0,559.0,19.0,13.0,68.4,6.0,31.6,324.0,1781.0,894.0,17.0,11.0,5.0,11.0,10.0,355.0,24.0,2,0,0,11.0,21.0,2.0,10.0,11.0,12.0,0.0,0.0,0,57.0,15.0,18.0,45.5,1
2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Home,W,1,0,Athletic Club,1,12.0,3.0,25.0,0.08,0.33,18.6,2.0,0,0,1.0,1.0,0.08,0.0,0.0,5.0,0,5.0,100.0,1,0.8,0.8,0,0,0,0,5.0,15.0,33.3,27.0,5.0,37.0,37.2,8.0,62.5,55.4,19.0,0.0,0.0,1.0,13.7,403.0,512.0,78.7,7206.0,2521.0,188.0,219.0,85.8,151.0,172.0,87.8,50.0,93.0,53.8,1,0.8,0.7,9.0,27.0,5.0,1.0,27.0,512.0,457.0,54.0,19.0,3.0,6.0,11.0,19.0,7.0,3.0,0.0,0.0,403.0,1.0,10.0,22.0,16.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,12.0,9.0,10.0,0.0,6.0,8.0,75.0,2.0,7.0,2.0,5.0,14.0,33,16.0,0.0,55.0,605.0,57.0,190.0,303.0,117.0,15.0,605.0,15.0,9.0,60.0,6.0,40.0,304.0,1957.0,1112.0,21.0,16.0,4.0,8.0,9.0,401.0,27.0,2,0,0,12.0,19.0,1.0,11.0,14.0,12.0,0.0,0.0,0,46.0,10.0,13.0,43.5,1
2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,L,0,1,Sevilla,0,7.0,0.0,0.0,0.0,,15.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,9.0,1,8.0,88.9,0,2.3,1.3,0,0,0,0,4.0,19.0,21.1,31.0,5.0,58.1,43.5,4.0,25.0,37.8,26.0,1.0,3.8,0.0,5.0,351.0,446.0,78.7,5688.0,2340.0,183.0,206.0,88.8,131.0,152.0,86.2,29.0,64.0,45.3,0,0.4,0.5,6.0,16.0,3.0,1.0,26.0,446.0,394.0,51.0,26.0,1.0,4.0,9.0,19.0,0.0,0.0,0.0,0.0,351.0,1.0,9.0,14.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,8.0,0.0,8.0,15.0,53.3,7.0,12.0,2.0,10.0,14.0,30,42.0,1.0,41.0,569.0,88.0,243.0,263.0,66.0,12.0,569.0,12.0,9.0,75.0,3.0,25.0,316.0,1480.0,664.0,9.0,6.0,1.0,15.0,11.0,348.0,26.0,2,0,0,8.0,21.0,1.0,9.0,14.0,11.0,0.0,0.0,0,50.0,12.0,19.0,38.7,1
2017-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Leganés,0,8.0,3.0,37.5,0.0,0.0,22.6,2.0,0,0,0.7,0.7,0.09,-0.7,-0.7,3.0,2,1.0,33.3,0,1.8,-0.2,0,0,0,0,2.0,3.0,66.7,26.0,7.0,11.5,23.2,5.0,0.0,25.6,6.0,1.0,16.7,1.0,19.5,632.0,734.0,86.1,11048.0,3579.0,311.0,338.0,92.0,227.0,265.0,85.7,78.0,100.0,78.0,0,0.6,1.0,5.0,54.0,10.0,1.0,63.0,734.0,685.0,48.0,15.0,4.0,11.0,17.0,23.0,3.0,1.0,0.0,0.0,632.0,1.0,8.0,16.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,8.0,7.0,2.0,6.0,11.0,54.5,5.0,6.0,3.0,3.0,9.0,26,11.0,0.0,70.0,830.0,49.0,232.0,426.0,175.0,15.0,830.0,30.0,12.0,40.0,18.0,60.0,646.0,2690.0,1446.0,20.0,12.0,2.0,18.0,15.0,631.0,63.0,1,0,0,10.0,15.0,1.0,17.0,9.0,10.0,0.0,0.0,0,65.0,11.0,14.0,44.0,1
2017-10-01,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,L,0,3,Barcelona,0,11.0,1.0,9.1,0.0,0.0,21.5,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,10.0,3,7.0,70.0,0,3.8,0.8,0,0,0,0,5.0,10.0,50.0,41.0,8.0,17.1,27.8,8.0,37.5,40.5,12.0,0.0,0.0,3.0,13.5,503.0,586.0,85.8,8293.0,2741.0,284.0,309.0,91.9,154.0,172.0,89.5,55.0,84.0,65.5,0,0.6,0.5,9.0,18.0,8.0,2.0,29.0,586.0,542.0,44.0,12.0,2.0,13.0,7.0,17.0,3.0,2.0,0.0,0.0,503.0,0.0,8.0,20.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,13.0,5.0,2.0,8.0,28.0,28.6,20.0,13.0,6.0,7.0,20.0,40,15.0,1.0,52.0,690.0,103.0,280.0,302.0,115.0,20.0,690.0,17.0,9.0,52.9,8.0,47.1,417.0,2330.0,1195.0,23.0,17.0,6.0,14.0,9.0,502.0,28.0,1,0,0,11.0,9.0,0.0,7.0,20.0,12.0,0.0,0.0,0,45.0,2.0,3.0,40.0,1
2017-10-16,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,L,2,5,Celta Vigo,2,24.0,11.0,45.8,0.08,0.18,16.5,0.0,0,0,2.1,2.1,0.09,-0.1,-0.1,7.0,5,2.0,28.6,0,3.5,-1.5,0,0,0,0,7.0,14.0,50.0,21.0,4.0,38.1,30.7,10.0,60.0,49.5,3.0,1.0,33.3,0.0,10.8,459.0,546.0,84.1,8517.0,2809.0,217.0,235.0,92.3,177.0,206.0,85.9,60.0,89.0,67.4,2,1.9,1.6,21.0,44.0,12.0,4.0,40.0,546.0,486.0,58.0,12.0,2.0,9.0,27.0,16.0,14.0,8.0,2.0,0.0,459.0,2.0,8.0,45.0,29.0,9.0,3.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,2.0,2.0,3.0,13.0,23.1,10.0,9.0,3.0,6.0,7.0,15,8.0,2.0,59.0,629.0,37.0,108.0,329.0,199.0,36.0,629.0,12.0,8.0,66.7,4.0,33.3,456.0,2100.0,1130.0,21.0,22.0,7.0,11.0,5.0,455.0,38.0,2,0,0,13.0,12.0,2.0,27.0,7.0,4.0,0.0,0.0,0,44.0,12.0,8.0,60.0,1
2017-10-22,12:00 (03:00),La Liga,Matchweek 9,Sun,Away,L,0,4,Villarreal,0,16.0,5.0,31.3,0.0,0.0,19.9,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,9.0,4,6.0,55.6,0,2.5,-0.5,0,0,0,0,3.0,11.0,27.3,32.0,8.0,25.0,29.3,13.0,23.1,34.2,11.0,1.0,9.1,3.0,17.0,426.0,515.0,82.7,6724.0,2520.0,234.0,252.0,92.9,137.0,165.0,83.0,38.0,65.0,58.5,0,0.8,0.9,13.0,24.0,5.0,0.0,27.0,515.0,458.0,56.0,18.0,3.0,3.0,11.0,15.0,6.0,1.0,3.0,0.0,426.0,1.0,7.0,29.0,21.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,4.0,1.0,5.0,14.0,35.7,9.0,11.0,6.0,5.0,11.0,22,27.0,0.0,49.0,618.0,73.0,233.0,264.0,128.0,24.0,618.0,27.0,19.0,70.4,8.0,29.6,356.0,2158.0,1372.0,31.0,19.0,7.0,9.0,9.0,424.0,27.0,5,0,0,9.0,14.0,1.0,11.0,11.0,8.0,0.0,0.0,1,46.0,8.0,7.0,53.3,1
2017-10-30,20:00 (13:00),La Liga,Matchweek 10,Mon,Home,L,1,3,La Coruña,1,13.0,5.0,38.5,0.08,0.2,17.4,1.0,0,0,0.6,0.6,0.05,0.4,0.4,5.0,3,2.0,60.0,0,1.9,-1.1,1,1,0,0,3.0,6.0,50.0,30.0,4.0,10.0,23.8,6.0,50.0,40.8,15.0,0.0,0.0,1.0,17.3,534.0,631.0,84.6,9067.0,3285.0,245.0,273.0,89.7,233.0,259.0,90.0,42.0,72.0,58.3,1,0.5,0.4,8.0,33.0,5.0,0.0,52.0,631.0,573.0,56.0,14.0,1.0,4.0,21.0,24.0,8.0,3.0,5.0,0.0,534.0,2.0,11.0,23.0,13.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,6.0,7.0,2.0,5.0,13.0,38.5,8.0,6.0,3.0,3.0,8.0,23,19.0,0.0,62.0,726.0,70.0,230.0,367.0,133.0,22.0,726.0,20.0,15.0,75.0,5.0,25.0,553.0,2864.0,1482.0,26.0,11.0,8.0,22.0,15.0,531.0,52.0,1,0,0,11.0,15.0,2.0,21.0,8.0,10.0,0.0,1.0,0,57.0,9.0,10.0,47.4,1
