Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Away,D,1,1,Celta Vigo,1,14,5,35.7,0.07,0.2,21.7,0.0,0,0,0.6,0.6,0.05,0.4,0.4,2,1,2,50.0,0,0.4,0.4,0,0,0,0,4.0,12.0,33.3,15.0,4.0,46.7,39.2,8.0,62.5,46.1,22.0,2.0,9.1,0.0,8.5,361.0,466.0,77.5,6055.0,2282.0,179.0,212.0,84.4,141.0,166.0,84.9,32.0,64.0,50.0,0,0.5,0.5,12.0,28.0,8.0,3.0,48.0,466.0,415.0,50.0,15.0,1.0,5.0,20,18.0,7.0,3.0,3.0,0.0,361.0,1.0,12.0,26.0,24.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,12,17.0,6.0,2.0,17.0,27.0,63.0,10.0,6.0,2.0,4.0,13,38,20.0,0.0,52,574.0,52.0,173.0,274.0,134.0,14.0,574.0,10.0,7.0,70.0,2.0,20.0,323.0,1806.0,1019.0,20.0,17.0,3.0,22.0,7.0,360.0,47.0,2,0,0,14,13,1,20,13,12,0,0,1,49.0,9.0,16.0,36.0,1
2018-08-26,18:15 (09:15),La Liga,Matchweek 2,Sun,Home,W,2,0,Valencia,2,19,9,47.4,0.11,0.22,18.5,1.0,0,0,1.3,1.3,0.07,0.7,0.7,3,0,3,100.0,1,0.7,0.7,0,0,0,0,5.0,9.0,55.6,27.0,10.0,22.2,26.8,6.0,50.0,48.2,16.0,0.0,0.0,1.0,17.5,397.0,489.0,81.2,7494.0,2795.0,175.0,195.0,89.7,165.0,186.0,88.7,55.0,82.0,67.1,1,0.7,1.0,14.0,30.0,12.0,3.0,34.0,489.0,437.0,50.0,12.0,0.0,6.0,20,25.0,6.0,2.0,3.0,0.0,397.0,2.0,17.0,34.0,25.0,1.0,2.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,11,9.0,6.0,2.0,6.0,11.0,54.5,5.0,21.0,10.0,11.0,13,30,34.0,0.0,49,617.0,71.0,220.0,266.0,138.0,24.0,617.0,18.0,11.0,61.1,7.0,38.9,366.0,1787.0,956.0,15.0,13.0,2.0,15.0,13.0,394.0,33.0,1,0,0,16,10,2,20,13,11,0,0,0,58.0,14.0,6.0,70.0,1
2018-09-02,16:15 (07:15),La Liga,Matchweek 3,Sun,Away,L,1,2,Alavés,1,10,6,60.0,0.0,0.0,22.4,1.0,1,1,1.2,0.4,0.04,-0.2,-0.4,5,2,3,60.0,0,1.4,-0.6,0,0,0,0,2.0,6.0,33.3,23.0,9.0,17.4,28.7,4.0,50.0,33.8,9.0,0.0,0.0,0.0,7.5,404.0,526.0,76.8,7898.0,2621.0,149.0,171.0,87.1,200.0,238.0,84.0,55.0,103.0,53.4,0,0.3,0.7,7.0,31.0,11.0,1.0,60.0,526.0,469.0,56.0,19.0,2.0,8.0,26,18.0,12.0,2.0,9.0,0.0,404.0,1.0,13.0,20.0,15.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,4,5.0,4.0,1.0,3.0,12.0,25.0,9.0,5.0,0.0,5.0,9,19,9.0,1.0,62,605.0,41.0,168.0,307.0,141.0,18.0,604.0,13.0,8.0,61.5,5.0,38.5,415.0,2429.0,1450.0,24.0,15.0,1.0,15.0,10.0,402.0,59.0,3,0,0,13,17,1,26,9,4,1,0,0,47.0,15.0,16.0,48.4,1
2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Home,W,1,0,Levante,1,23,9,39.1,0.04,0.11,20.8,2.0,0,0,1.6,1.6,0.07,-0.6,-0.6,4,0,4,100.0,1,0.6,0.6,0,0,0,0,13.0,22.0,59.1,19.0,5.0,52.6,41.5,14.0,85.7,50.6,15.0,0.0,0.0,0.0,16.0,384.0,475.0,80.8,7889.0,3089.0,148.0,170.0,87.1,170.0,201.0,84.6,65.0,93.0,69.9,1,0.9,0.9,14.0,35.0,12.0,4.0,47.0,475.0,427.0,48.0,11.0,4.0,7.0,17,17.0,5.0,0.0,3.0,1.0,384.0,0.0,10.0,37.0,30.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,8,10.0,4.0,2.0,6.0,13.0,46.2,7.0,14.0,3.0,11.0,9,25,12.0,0.0,56,570.0,52.0,164.0,240.0,171.0,27.0,570.0,11.0,9.0,81.8,2.0,18.2,363.0,1953.0,1045.0,26.0,16.0,7.0,11.0,7.0,379.0,47.0,1,0,0,17,10,0,17,9,8,0,0,0,45.0,14.0,13.0,51.9,1
2018-09-22,20:45 (11:45),La Liga,Matchweek 5,Sat,Away,L,0,1,Real Madrid,0,10,3,30.0,0.0,0.0,23.0,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,5,1,4,80.0,0,1.2,0.2,0,0,0,0,5.0,12.0,41.7,26.0,6.0,26.9,34.1,9.0,55.6,42.1,28.0,0.0,0.0,0.0,9.5,337.0,416.0,81.0,5693.0,2277.0,149.0,166.0,89.8,142.0,165.0,86.1,29.0,53.0,54.7,0,0.3,0.4,7.0,24.0,7.0,1.0,32.0,416.0,370.0,44.0,8.0,0.0,1.0,10,22.0,3.0,0.0,0.0,1.0,337.0,2.0,11.0,13.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,11.0,6.0,0.0,4.0,15.0,26.7,11.0,9.0,5.0,4.0,11,28,33.0,0.0,36,538.0,85.0,225.0,210.0,106.0,13.0,538.0,11.0,7.0,63.6,4.0,36.4,262.0,1769.0,1064.0,20.0,12.0,3.0,16.0,16.0,330.0,31.0,2,0,0,16,5,2,10,11,8,0,0,0,53.0,9.0,5.0,64.3,1
2018-09-25,20:00 (11:00),La Liga,Matchweek 6,Tue,Home,W,1,0,Eibar,1,9,5,55.6,0.11,0.2,24.9,0.0,0,0,0.9,0.9,0.1,0.1,0.1,1,0,1,100.0,1,0.4,0.4,0,0,0,0,3.0,12.0,25.0,28.0,2.0,25.0,28.5,8.0,62.5,40.5,12.0,1.0,8.3,3.0,19.6,348.0,467.0,74.5,6513.0,2576.0,142.0,167.0,85.0,151.0,190.0,79.5,44.0,83.0,53.0,1,0.9,0.9,8.0,32.0,11.0,3.0,44.0,467.0,424.0,42.0,9.0,3.0,4.0,13,20.0,4.0,1.0,0.0,1.0,348.0,1.0,11.0,13.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,12,8.0,11.0,3.0,6.0,14.0,42.9,8.0,14.0,1.0,13.0,15,37,28.0,0.0,46,590.0,62.0,232.0,257.0,108.0,14.0,590.0,13.0,9.0,69.2,4.0,30.8,280.0,1582.0,719.0,15.0,4.0,4.0,18.0,11.0,345.0,44.0,2,0,0,9,7,1,13,15,12,0,0,0,65.0,31.0,17.0,64.6,1
2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Away,D,2,2,Rayo Vallecano,2,12,5,41.7,0.17,0.4,17.4,1.0,0,0,1.5,1.5,0.13,0.5,0.5,4,2,2,75.0,0,1.8,-0.2,1,1,0,0,5.0,9.0,55.6,18.0,2.0,38.9,34.1,4.0,50.0,44.0,18.0,0.0,0.0,1.0,11.7,344.0,449.0,76.6,6351.0,2260.0,149.0,171.0,87.1,130.0,160.0,81.3,51.0,83.0,61.4,0,0.3,0.3,6.0,22.0,5.0,2.0,36.0,449.0,394.0,55.0,13.0,2.0,2.0,19,32.0,3.0,1.0,0.0,0.0,344.0,0.0,9.0,20.0,15.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,13,10.0,8.0,3.0,8.0,22.0,36.4,14.0,10.0,4.0,6.0,10,31,23.0,1.0,48,553.0,51.0,182.0,254.0,123.0,18.0,553.0,16.0,8.0,50.0,8.0,50.0,245.0,1677.0,809.0,14.0,13.0,4.0,13.0,15.0,341.0,36.0,3,0,0,16,11,0,19,10,13,0,1,0,60.0,8.0,10.0,44.4,1
2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Home,W,3,1,Villarreal,3,28,12,42.9,0.11,0.25,19.4,0.0,0,0,2.4,2.4,0.09,0.6,0.6,5,1,4,80.0,0,1.7,0.7,0,0,0,0,2.0,7.0,28.6,13.0,3.0,38.5,37.2,4.0,50.0,39.8,17.0,1.0,5.9,0.0,8.3,466.0,547.0,85.2,8551.0,3168.0,204.0,221.0,92.3,205.0,227.0,90.3,51.0,78.0,65.4,2,2.1,1.2,21.0,48.0,17.0,4.0,67.0,547.0,508.0,38.0,10.0,1.0,4.0,23,12.0,10.0,1.0,4.0,0.0,466.0,1.0,9.0,52.0,43.0,1.0,2.0,3.0,1.0,2.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,19.0,14,5.0,10.0,4.0,6.0,14.0,42.9,8.0,8.0,5.0,3.0,10,29,22.0,1.0,55,671.0,58.0,168.0,323.0,190.0,31.0,671.0,15.0,9.0,60.0,6.0,40.0,484.0,2429.0,1308.0,33.0,19.0,9.0,20.0,12.0,463.0,67.0,3,0,0,13,8,1,23,10,14,0,0,0,65.0,6.0,9.0,40.0,1
2018-10-21,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,W,2,0,Huesca,2,6,2,33.3,0.33,1.0,13.0,1.0,0,0,1.7,1.7,0.28,0.3,0.3,2,0,2,100.0,1,0.1,0.1,0,0,0,0,3.0,8.0,37.5,14.0,4.0,28.6,32.4,9.0,44.4,37.3,18.0,0.0,0.0,0.0,11.5,329.0,433.0,76.0,6169.0,2333.0,128.0,156.0,82.1,162.0,187.0,86.6,36.0,66.0,54.5,2,1.6,1.0,5.0,30.0,5.0,0.0,33.0,433.0,373.0,56.0,20.0,0.0,2.0,7,22.0,4.0,2.0,1.0,0.0,329.0,4.0,13.0,10.0,5.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,17,13.0,10.0,4.0,10.0,25.0,40.0,15.0,11.0,3.0,8.0,8,35,32.0,1.0,47,546.0,61.0,200.0,275.0,81.0,12.0,546.0,18.0,9.0,50.0,9.0,50.0,279.0,1580.0,973.0,17.0,11.0,4.0,11.0,8.0,326.0,32.0,3,0,0,14,21,4,7,8,17,0,0,0,49.0,14.0,12.0,53.8,1
2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1,1,Valladolid,1,10,3,30.0,0.1,0.33,21.6,1.0,0,0,0.5,0.5,0.05,0.5,0.5,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,6.0,19.0,31.6,17.0,1.0,52.9,41.3,14.0,71.4,50.4,19.0,0.0,0.0,0.0,6.5,331.0,430.0,77.0,6773.0,2571.0,118.0,134.0,88.1,163.0,194.0,84.0,49.0,78.0,62.8,1,0.4,0.5,9.0,22.0,7.0,1.0,36.0,430.0,371.0,55.0,19.0,0.0,4.0,11,18.0,2.0,0.0,0.0,0.0,331.0,4.0,14.0,16.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,19,14.0,8.0,3.0,10.0,21.0,47.6,11.0,11.0,3.0,8.0,12,37,28.0,2.0,45,547.0,67.0,205.0,239.0,110.0,14.0,547.0,10.0,7.0,70.0,3.0,30.0,309.0,1816.0,1019.0,15.0,11.0,1.0,19.0,11.0,330.0,36.0,2,0,0,16,16,4,11,12,19,0,0,0,57.0,13.0,11.0,54.2,1
