Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-19,22:15 (13:15),La Liga,Matchweek 1,Sun,Away,L,0,2,Real Madrid,0,5,1,20.0,0.0,0.0,21.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,9.0,28.0,32.1,22.0,2.0,90.9,54.0,8.0,100.0,65.0,14.0,0.0,0.0,0.0,9.3,157.0,248.0,63.3,3047.0,1404.0,68.0,83.0,81.9,54.0,84.0,64.3,26.0,63.0,41.3,0,0.2,0.2,4.0,11.0,3.0,1.0,18.0,248.0,203.0,45.0,17.0,3.0,5.0,6,17.0,0.0,0.0,0.0,0.0,157.0,0.0,8.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,7.0,10.0,2.0,8.0,24.0,33.3,16.0,11.0,2.0,9.0,9,28,14.0,2.0,23,330.0,49.0,128.0,151.0,55.0,3.0,330.0,12.0,7.0,58.3,5.0,41.7,139.0,791.0,367.0,7.0,9.0,1.0,8.0,15.0,155.0,18.0,7,0,0,28,11,0,6,9,12,0,0,0,56.0,8.0,11.0,42.1,1
2018-08-24,20:15 (11:15),La Liga,Matchweek 2,Fri,Home,W,2,0,Eibar,2,7,4,57.1,0.29,0.5,17.5,0.0,0,0,1.4,1.4,0.25,0.6,0.6,0,0,0,,1,0.0,0.0,0,0,0,0,13.0,36.0,36.1,26.0,1.0,92.3,54.9,13.0,92.3,61.5,13.0,0.0,0.0,3.0,16.8,153.0,285.0,53.7,3569.0,2021.0,63.0,93.0,67.7,46.0,82.0,56.1,40.0,84.0,47.6,1,0.9,0.8,6.0,14.0,6.0,1.0,18.0,285.0,210.0,73.0,16.0,3.0,10.0,12,38.0,5.0,0.0,3.0,0.0,153.0,2.0,12.0,13.0,8.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,6,4.0,4.0,1.0,5.0,14.0,35.7,9.0,16.0,1.0,15.0,15,24,43.0,1.0,38,420.0,55.0,164.0,174.0,85.0,10.0,420.0,10.0,6.0,60.0,4.0,40.0,179.0,1093.0,393.0,4.0,7.0,1.0,21.0,13.0,152.0,18.0,2,0,0,14,9,2,12,15,6,0,0,0,34.0,22.0,25.0,46.8,1
2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Home,D,0,0,Valladolid,0,12,3,25.0,0.0,0.0,17.5,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2,4,0,4,100.0,1,1.3,1.3,0,0,0,0,6.0,13.0,46.2,21.0,3.0,38.1,37.8,5.0,100.0,66.6,13.0,2.0,15.4,5.0,15.1,304.0,434.0,70.0,5938.0,2464.0,113.0,135.0,83.7,131.0,172.0,76.2,50.0,90.0,55.6,0,1.0,1.1,8.0,22.0,8.0,4.0,34.0,434.0,368.0,65.0,15.0,0.0,8.0,30,38.0,6.0,1.0,4.0,0.0,304.0,1.0,16.0,19.0,12.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9,3.0,10.0,2.0,2.0,5.0,40.0,3.0,6.0,1.0,5.0,14,29,25.0,0.0,54,562.0,41.0,123.0,286.0,157.0,26.0,562.0,22.0,9.0,40.9,13.0,59.1,235.0,1470.0,757.0,28.0,14.0,8.0,26.0,12.0,301.0,34.0,3,0,0,22,14,1,30,14,9,0,0,0,58.0,28.0,12.0,70.0,1
2018-09-16,20:45 (11:45),La Liga,Matchweek 4,Sun,Away,W,2,0,Sevilla,2,10,5,50.0,0.2,0.4,16.9,0.0,0,0,1.9,1.9,0.19,0.1,0.1,1,0,1,100.0,1,0.2,0.2,0,0,0,0,15.0,37.0,40.5,21.0,1.0,95.2,55.8,17.0,100.0,61.4,24.0,0.0,0.0,2.0,13.0,183.0,284.0,64.4,3690.0,2135.0,82.0,99.0,82.8,55.0,79.0,69.6,34.0,77.0,44.2,1,1.3,0.7,8.0,17.0,6.0,2.0,34.0,284.0,230.0,53.0,16.0,1.0,5.0,6,18.0,1.0,0.0,0.0,0.0,183.0,1.0,10.0,19.0,18.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,9,13.0,2.0,0.0,8.0,18.0,44.4,10.0,18.0,5.0,13.0,15,30,48.0,0.0,30,425.0,81.0,188.0,159.0,84.0,11.0,425.0,11.0,5.0,45.5,6.0,54.5,177.0,1006.0,575.0,10.0,12.0,2.0,14.0,18.0,182.0,34.0,6,0,0,22,10,1,6,15,9,0,0,0,55.0,17.0,17.0,50.0,1
2018-09-22,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0,2,Atlético Madrid,0,11,2,18.2,0.0,0.0,19.5,2.0,0,0,0.6,0.6,0.05,-0.6,-0.6,5,2,3,60.0,0,1.5,-0.5,0,0,0,0,7.0,19.0,36.8,21.0,1.0,71.4,48.6,5.0,80.0,59.4,8.0,1.0,12.5,2.0,16.0,318.0,434.0,73.3,7126.0,2740.0,105.0,131.0,80.2,140.0,176.0,79.5,69.0,111.0,62.2,0,0.4,0.9,7.0,40.0,11.0,4.0,46.0,434.0,387.0,47.0,17.0,1.0,17.0,15,21.0,1.0,0.0,0.0,0.0,318.0,0.0,10.0,15.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,5.0,6.0,7.0,2.0,13.0,15.4,11.0,8.0,0.0,8.0,16,34,18.0,0.0,41,546.0,36.0,120.0,270.0,162.0,17.0,546.0,14.0,7.0,50.0,7.0,50.0,281.0,1528.0,653.0,14.0,16.0,2.0,16.0,10.0,316.0,45.0,1,1,0,12,13,0,15,16,11,0,0,0,58.0,9.0,18.0,33.3,1
2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,D,1,1,Alavés,1,13,5,38.5,0.08,0.2,14.6,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1,2,1,0,50.0,0,1.2,0.2,0,0,0,0,18.0,31.0,58.1,27.0,0.0,85.2,55.6,8.0,100.0,62.3,15.0,0.0,0.0,1.0,16.2,194.0,343.0,56.6,4783.0,2503.0,55.0,84.0,65.5,81.0,133.0,60.9,53.0,106.0,50.0,1,0.6,0.6,9.0,23.0,5.0,0.0,26.0,343.0,283.0,56.0,12.0,0.0,9.0,16,27.0,7.0,3.0,4.0,0.0,194.0,4.0,10.0,21.0,14.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,6.0,8.0,2.0,6.0,20.0,30.0,14.0,15.0,5.0,10.0,11,27,28.0,0.0,51,461.0,51.0,153.0,198.0,116.0,23.0,461.0,9.0,6.0,66.7,3.0,33.3,143.0,947.0,494.0,8.0,11.0,3.0,17.0,6.0,188.0,26.0,2,0,0,22,9,4,16,11,9,0,1,0,55.0,38.0,40.0,48.7,1
2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Away,D,1,1,Celta Vigo,1,12,4,33.3,0.08,0.25,12.8,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,10.0,29.0,34.5,23.0,0.0,78.3,49.8,12.0,91.7,53.5,12.0,0.0,0.0,4.0,20.8,271.0,410.0,66.1,5033.0,2123.0,129.0,151.0,85.4,82.0,118.0,69.5,45.0,105.0,42.9,1,0.7,1.0,9.0,20.0,11.0,5.0,22.0,410.0,347.0,62.0,16.0,0.0,8.0,21,23.0,9.0,2.0,5.0,0.0,271.0,1.0,13.0,19.0,16.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,3.0,10.0,0.0,5.0,6.0,83.3,1.0,9.0,2.0,7.0,19,32,19.0,1.0,48,522.0,51.0,119.0,253.0,153.0,25.0,522.0,11.0,2.0,18.2,9.0,81.8,194.0,1105.0,557.0,13.0,10.0,4.0,13.0,11.0,267.0,22.0,2,0,0,15,13,1,21,19,9,0,0,0,56.0,30.0,34.0,46.9,1
2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Home,L,0,1,Levante,0,15,4,26.7,0.0,0.0,15.8,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,9.0,25.0,36.0,23.0,2.0,73.9,47.9,9.0,88.9,61.2,4.0,2.0,50.0,1.0,13.5,276.0,407.0,67.8,5522.0,2601.0,108.0,129.0,83.7,104.0,136.0,76.5,46.0,99.0,46.5,0,0.7,0.9,13.0,27.0,12.0,3.0,43.0,407.0,339.0,66.0,20.0,1.0,12.0,36,25.0,10.0,3.0,5.0,0.0,276.0,2.0,20.0,24.0,14.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,8.0,10.0,3.0,8.0,16.0,50.0,8.0,15.0,3.0,12.0,10,31,15.0,1.0,54,528.0,40.0,129.0,239.0,164.0,37.0,528.0,24.0,9.0,37.5,15.0,62.5,205.0,1342.0,749.0,19.0,15.0,5.0,17.0,5.0,274.0,43.0,4,1,0,17,17,2,36,10,14,0,0,0,50.0,15.0,21.0,41.7,1
2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Rayo Vallecano,1,5,2,40.0,0.2,0.5,15.4,0.0,0,0,0.5,0.5,0.1,0.5,0.5,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,8.0,20.0,40.0,14.0,0.0,100.0,58.9,7.0,85.7,58.6,19.0,0.0,0.0,0.0,4.0,146.0,246.0,59.3,3098.0,1573.0,57.0,75.0,76.0,44.0,71.0,62.0,32.0,72.0,44.4,1,0.5,0.4,5.0,13.0,5.0,2.0,21.0,246.0,191.0,51.0,15.0,0.0,10.0,8,25.0,2.0,0.0,2.0,0.0,146.0,4.0,4.0,10.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,11,10.0,11.0,3.0,12.0,26.0,46.2,14.0,9.0,5.0,4.0,8,32,22.0,0.0,36,362.0,45.0,123.0,162.0,84.0,11.0,362.0,14.0,4.0,28.6,10.0,71.4,142.0,937.0,529.0,14.0,9.0,3.0,16.0,13.0,146.0,21.0,5,0,0,25,13,4,8,8,11,0,0,0,44.0,21.0,14.0,60.0,1
2018-10-28,12:00 (04:00),La Liga,Matchweek 10,Sun,Home,W,2,0,Betis,2,15,5,33.3,0.13,0.4,16.5,0.0,0,0,2.2,2.2,0.15,-0.2,-0.2,3,0,3,100.0,1,0.1,0.1,0,0,0,0,5.0,16.0,31.3,14.0,1.0,78.6,48.8,6.0,83.3,57.8,15.0,0.0,0.0,0.0,,188.0,286.0,65.7,4040.0,1917.0,71.0,91.0,78.0,75.0,92.0,81.5,37.0,74.0,50.0,2,1.4,1.3,10.0,22.0,11.0,4.0,30.0,286.0,229.0,52.0,15.0,0.0,11.0,18,25.0,5.0,1.0,2.0,0.0,188.0,5.0,11.0,23.0,9.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,12,5.0,10.0,5.0,9.0,23.0,39.1,14.0,12.0,1.0,11.0,11,31,26.0,0.0,32,410.0,37.0,123.0,153.0,140.0,22.0,410.0,19.0,11.0,57.9,8.0,42.1,198.0,1221.0,558.0,13.0,8.0,4.0,17.0,15.0,185.0,28.0,1,0,0,9,13,5,18,11,12,0,0,0,53.0,23.0,19.0,54.8,1
