Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,0,13,1,7.7,0.0,0.0,20.9,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,3.0,5.0,60.0,14.0,4.0,21.4,30.2,5.0,40.0,37.4,11.0,1.0,9.1,0.0,8.8,537.0,649.0,82.7,11407.0,4080.0,161.0,179.0,89.9,278.0,330.0,84.2,93.0,120.0,77.5,0,0.6,1.4,10.0,57.0,12.0,5.0,77.0,649.0,589.0,59.0,21.0,1.0,14.0,26,29.0,3.0,0.0,2.0,0.0,537.0,1.0,9.0,22.0,18.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,5.0,5.0,2.0,5.0,14.0,35.7,9.0,4.0,0.0,4.0,13,25,14.0,0.0,67,746.0,31.0,168.0,429.0,155.0,21.0,746.0,30.0,16.0,53.3,14.0,46.7,476.0,2295.0,1274.0,16.0,11.0,2.0,14.0,13.0,534.0,77.0,1,0,0,21,20,1,26,13,8,0,0,0,65.0,34.0,18.0,65.4,1
2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,1,10,5,50.0,0.1,0.2,20.3,0.0,0,0,0.4,0.4,0.04,0.6,0.6,8,4,4,75.0,0,4.1,0.1,2,2,0,0,5.0,17.0,29.4,24.0,3.0,45.8,35.5,6.0,100.0,68.8,15.0,0.0,0.0,0.0,7.5,296.0,393.0,75.3,5577.0,1973.0,127.0,153.0,83.0,126.0,145.0,86.9,38.0,79.0,48.1,0,0.2,0.4,5.0,18.0,6.0,1.0,29.0,393.0,353.0,38.0,11.0,2.0,9.0,17,12.0,4.0,3.0,0.0,0.0,296.0,2.0,6.0,16.0,13.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,7,10.0,1.0,2.0,10.0,21.0,47.6,11.0,10.0,5.0,5.0,16,29,25.0,1.0,34,489.0,67.0,190.0,203.0,99.0,15.0,489.0,10.0,6.0,60.0,4.0,40.0,242.0,1205.0,704.0,15.0,14.0,3.0,10.0,8.0,294.0,29.0,2,0,0,13,10,2,17,16,7,0,2,0,51.0,12.0,11.0,52.2,1
2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,1,14,6,42.9,0.07,0.17,21.3,1.0,0,0,1.0,1.0,0.07,0.0,0.0,3,0,3,100.0,1,0.7,0.7,0,0,0,0,13.0,28.0,46.4,20.0,1.0,80.0,50.0,12.0,100.0,61.7,17.0,2.0,11.8,2.0,16.3,227.0,317.0,71.6,4907.0,2091.0,84.0,102.0,82.4,92.0,115.0,80.0,45.0,85.0,52.9,1,0.8,0.6,9.0,12.0,4.0,1.0,22.0,317.0,269.0,47.0,16.0,1.0,11.0,15,16.0,2.0,1.0,1.0,0.0,227.0,1.0,5.0,23.0,13.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,7.0,5.0,1.0,6.0,11.0,54.5,5.0,9.0,4.0,5.0,15,28,29.0,0.0,35,432.0,64.0,158.0,199.0,79.0,10.0,432.0,14.0,7.0,50.0,7.0,50.0,206.0,1130.0,628.0,13.0,11.0,3.0,12.0,12.0,224.0,21.0,2,0,0,11,16,1,15,15,9,0,0,0,46.0,14.0,13.0,51.9,1
2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,3,11,6,54.5,0.27,0.5,16.3,1.0,0,0,1.7,1.7,0.18,1.3,1.3,7,2,5,71.4,0,1.4,-0.6,0,0,0,0,3.0,22.0,13.6,17.0,1.0,94.1,53.3,6.0,100.0,61.5,17.0,1.0,5.9,0.0,3.5,231.0,326.0,70.9,4731.0,1654.0,83.0,97.0,85.6,112.0,138.0,81.2,36.0,82.0,43.9,3,1.4,0.6,7.0,20.0,2.0,1.0,27.0,326.0,295.0,31.0,12.0,2.0,5.0,14,7.0,3.0,1.0,1.0,0.0,231.0,0.0,5.0,19.0,12.0,3.0,1.0,1.0,2.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,24.0,12,12.0,11.0,1.0,8.0,23.0,34.8,15.0,12.0,8.0,4.0,10,34,23.0,2.0,33,421.0,62.0,151.0,205.0,73.0,16.0,421.0,11.0,8.0,72.7,3.0,27.3,244.0,1324.0,767.0,19.0,11.0,6.0,10.0,6.0,229.0,27.0,1,0,0,15,10,0,14,10,12,0,0,0,55.0,17.0,24.0,41.5,1
2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,2,7,5,71.4,0.29,0.4,15.6,1.0,0,0,1.5,1.5,0.22,0.5,0.5,11,2,9,81.8,0,3.3,1.3,0,0,0,0,5.0,12.0,41.7,21.0,10.0,38.1,34.0,6.0,66.7,47.2,7.0,1.0,14.3,0.0,5.0,294.0,378.0,77.8,5307.0,1970.0,137.0,155.0,88.4,112.0,133.0,84.2,34.0,65.0,52.3,1,1.4,0.5,4.0,9.0,5.0,2.0,15.0,378.0,344.0,33.0,9.0,3.0,8.0,9,13.0,2.0,1.0,0.0,0.0,294.0,1.0,6.0,13.0,7.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,10,11.0,9.0,0.0,7.0,15.0,46.7,8.0,8.0,7.0,1.0,18,38,17.0,0.0,33,472.0,61.0,182.0,247.0,49.0,7.0,472.0,12.0,8.0,66.7,4.0,33.3,191.0,1382.0,650.0,8.0,11.0,0.0,10.0,5.0,291.0,14.0,5,0,0,16,9,1,9,18,10,0,0,0,44.0,6.0,10.0,37.5,1
2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,0,8,2,25.0,0.0,0.0,25.0,1.0,0,0,0.8,0.8,0.11,-0.8,-0.8,6,1,5,83.3,0,1.6,0.6,0,0,0,0,10.0,21.0,47.6,32.0,0.0,43.8,36.4,7.0,100.0,63.6,7.0,0.0,0.0,6.0,36.5,262.0,354.0,74.0,5213.0,1967.0,107.0,117.0,91.5,107.0,134.0,79.9,45.0,86.0,52.3,0,0.8,0.8,5.0,19.0,7.0,4.0,34.0,354.0,308.0,42.0,13.0,0.0,3.0,18,15.0,5.0,2.0,2.0,0.0,262.0,4.0,6.0,15.0,10.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4,2.0,6.0,0.0,1.0,12.0,8.3,11.0,9.0,2.0,7.0,12,20,19.0,1.0,36,430.0,57.0,149.0,198.0,87.0,11.0,430.0,8.0,4.0,50.0,4.0,50.0,255.0,1350.0,603.0,14.0,11.0,3.0,7.0,9.0,261.0,34.0,1,0,0,18,14,4,18,12,4,0,0,0,49.0,12.0,11.0,52.2,1
2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,1,12,2,16.7,0.0,0.0,24.0,1.0,1,1,1.7,0.9,0.08,-0.7,-0.9,6,1,5,100.0,0,1.4,0.4,1,1,0,0,2.0,14.0,14.3,22.0,7.0,40.9,37.1,10.0,50.0,43.8,9.0,1.0,11.1,2.0,16.8,336.0,437.0,76.9,6530.0,2365.0,118.0,134.0,88.1,156.0,181.0,86.2,47.0,91.0,51.6,0,0.8,0.8,7.0,24.0,6.0,3.0,29.0,437.0,390.0,47.0,15.0,0.0,7.0,21,15.0,5.0,1.0,3.0,0.0,336.0,0.0,9.0,23.0,12.0,4.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,14,11.0,7.0,2.0,8.0,11.0,72.7,3.0,8.0,1.0,7.0,17,37,22.0,0.0,48,550.0,59.0,189.0,270.0,100.0,17.0,549.0,13.0,4.0,30.8,9.0,69.2,218.0,1396.0,830.0,16.0,10.0,2.0,10.0,10.0,333.0,29.0,2,0,0,14,14,0,21,17,14,1,1,0,53.0,19.0,20.0,48.7,1
2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,2,10,3,30.0,0.2,0.67,20.0,1.0,0,0,1.2,1.2,0.12,0.8,0.8,4,3,1,50.0,0,1.9,-1.1,1,1,0,0,8.0,12.0,66.7,30.0,8.0,30.0,33.8,10.0,30.0,37.1,20.0,0.0,0.0,1.0,12.7,285.0,412.0,69.2,5956.0,2429.0,85.0,107.0,79.4,140.0,179.0,78.2,52.0,106.0,49.1,2,1.1,1.0,6.0,24.0,7.0,1.0,33.0,412.0,352.0,56.0,16.0,4.0,2.0,18,22.0,4.0,2.0,0.0,0.0,285.0,4.0,2.0,16.0,12.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,11,7.0,7.0,2.0,3.0,9.0,33.3,6.0,8.0,2.0,6.0,13,29,35.0,0.0,52,530.0,66.0,221.0,218.0,98.0,14.0,530.0,11.0,7.0,63.6,4.0,36.4,255.0,1355.0,637.0,15.0,7.0,6.0,20.0,12.0,280.0,32.0,3,0,0,9,16,4,18,13,11,0,1,0,53.0,35.0,20.0,63.6,1
2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,0,12,2,16.7,0.0,0.0,21.3,1.0,0,0,0.9,0.9,0.08,-0.9,-0.9,8,0,8,100.0,1,2.0,2.0,0,0,0,0,5.0,20.0,25.0,24.0,4.0,58.3,44.3,7.0,85.7,52.4,19.0,1.0,5.3,1.0,17.7,303.0,421.0,72.0,6272.0,2283.0,114.0,141.0,80.9,136.0,176.0,77.3,52.0,94.0,55.3,0,0.8,1.0,8.0,22.0,7.0,0.0,39.0,421.0,366.0,55.0,16.0,1.0,5.0,29,25.0,6.0,4.0,1.0,0.0,303.0,0.0,7.0,20.0,12.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16,12.0,8.0,4.0,12.0,21.0,57.1,9.0,6.0,2.0,4.0,8,32,23.0,0.0,46,533.0,48.0,158.0,239.0,141.0,19.0,533.0,15.0,6.0,40.0,9.0,60.0,282.0,1623.0,644.0,17.0,15.0,3.0,7.0,8.0,296.0,38.0,1,0,0,15,14,0,29,8,16,0,0,0,52.0,23.0,22.0,51.1,1
2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,2,13,5,38.5,0.08,0.2,20.0,0.0,1,1,2.4,1.7,0.13,-0.4,-0.7,5,1,4,80.0,0,2.0,1.0,0,0,0,0,12.0,22.0,54.5,25.0,1.0,56.0,38.5,9.0,88.9,56.0,17.0,0.0,0.0,1.0,34.0,307.0,394.0,77.9,6290.0,2606.0,104.0,124.0,83.9,157.0,182.0,86.3,43.0,71.0,60.6,1,1.6,1.8,12.0,18.0,10.0,2.0,34.0,394.0,348.0,43.0,16.0,1.0,5.0,13,12.0,4.0,2.0,2.0,0.0,307.0,3.0,7.0,27.0,18.0,3.0,2.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,9,5.0,8.0,4.0,9.0,26.0,34.6,17.0,9.0,3.0,6.0,16,33,36.0,1.0,44,516.0,65.0,164.0,255.0,105.0,18.0,515.0,15.0,13.0,86.7,2.0,13.3,292.0,1514.0,794.0,14.0,17.0,1.0,13.0,13.0,302.0,34.0,1,1,0,11,16,3,13,16,9,1,0,0,59.0,18.0,13.0,58.1,1
