Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-19,18:15 (09:15),La Liga,Matchweek 1,Sun,Away,W,2,1,Eibar,2,8,6,75.0,0.25,0.33,25.6,1.0,0,0,1.7,1.7,0.21,0.3,0.3,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,12.0,38.0,31.6,28.0,1.0,89.3,52.0,13.0,100.0,61.5,34.0,0.0,0.0,0.0,7.0,196.0,297.0,66.0,3983.0,1973.0,85.0,100.0,85.0,76.0,107.0,71.0,31.0,75.0,41.3,1,1.6,0.3,6.0,15.0,3.0,0.0,22.0,297.0,252.0,43.0,12.0,1.0,3.0,6,16.0,0.0,0.0,0.0,0.0,196.0,2.0,6.0,14.0,9.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,20.0,16,12.0,8.0,0.0,9.0,15.0,60.0,6.0,10.0,4.0,6.0,16,36,52.0,0.0,32.0,431.0,82.0,185.0,189.0,67.0,5.0,431.0,18.0,10.0,55.6,8.0,44.4,205.0,1181.0,593.0,12.0,12.0,4.0,11.0,10.0,194.0,22.0,1,0,0,13,10,2,6,16,16,0,0,0,43.0,21.0,23.0,47.7,1
2018-08-27,22:00 (13:00),La Liga,Matchweek 2,Mon,Away,D,2,2,Athletic Club,2,9,4,44.4,0.22,0.5,24.4,0.0,0,0,0.3,0.3,0.03,1.7,1.7,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,6.0,28.0,21.4,24.0,4.0,62.5,42.3,13.0,100.0,64.2,9.0,0.0,0.0,0.0,,280.0,386.0,72.5,4920.0,1926.0,135.0,157.0,86.0,99.0,123.0,80.5,33.0,75.0,44.0,2,0.2,0.5,7.0,16.0,6.0,3.0,28.0,386.0,326.0,59.0,17.0,1.0,2.0,18,24.0,2.0,1.0,1.0,0.0,280.0,1.0,10.0,15.0,12.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,8,6.0,5.0,1.0,7.0,15.0,46.7,8.0,11.0,4.0,7.0,12,24,19.0,0.0,41.0,486.0,58.0,153.0,242.0,100.0,11.0,486.0,19.0,8.0,42.1,11.0,57.9,248.0,1572.0,870.0,20.0,16.0,0.0,13.0,8.0,278.0,28.0,2,0,0,16,15,1,18,12,8,0,0,0,46.0,17.0,24.0,41.5,1
2018-09-02,18:30 (09:30),La Liga,Matchweek 3,Sun,Away,L,2,8,Barcelona,2,7,3,42.9,0.29,0.67,16.1,0.0,0,0,1.7,1.7,0.25,0.3,0.3,14,8,7,50.0,0,6.7,-0.3,1,1,0,0,8.0,25.0,32.0,15.0,1.0,80.0,48.7,15.0,86.7,57.9,4.0,0.0,0.0,0.0,,255.0,330.0,77.3,4346.0,1747.0,141.0,154.0,91.6,82.0,103.0,79.6,27.0,54.0,50.0,2,1.7,0.8,5.0,15.0,7.0,1.0,26.0,330.0,284.0,45.0,8.0,0.0,0.0,10,9.0,4.0,2.0,0.0,1.0,255.0,1.0,5.0,11.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,14,12.0,4.0,0.0,7.0,20.0,35.0,13.0,11.0,4.0,7.0,13,29,23.0,0.0,32.0,424.0,66.0,163.0,200.0,67.0,17.0,424.0,6.0,2.0,33.3,4.0,66.7,206.0,1146.0,592.0,14.0,15.0,4.0,7.0,12.0,252.0,26.0,2,0,0,12,5,1,10,13,14,0,1,1,32.0,5.0,7.0,41.7,1
2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Home,L,0,1,Rayo Vallecano,0,14,4,28.6,0.0,0.0,17.1,0.0,0,0,1.7,1.7,0.14,-1.7,-1.7,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,2.0,9.0,22.2,17.0,3.0,29.4,31.2,5.0,80.0,57.6,12.0,0.0,0.0,0.0,,368.0,487.0,75.6,7507.0,2494.0,143.0,171.0,83.6,155.0,194.0,79.9,67.0,105.0,63.8,0,1.7,1.0,10.0,30.0,15.0,9.0,45.0,487.0,419.0,67.0,18.0,2.0,5.0,33,36.0,6.0,3.0,1.0,0.0,368.0,1.0,8.0,21.0,16.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12,5.0,8.0,2.0,7.0,14.0,50.0,7.0,15.0,10.0,5.0,9,24,15.0,0.0,55.0,592.0,39.0,172.0,255.0,172.0,30.0,592.0,14.0,9.0,64.3,5.0,35.7,335.0,2020.0,1153.0,26.0,16.0,5.0,18.0,11.0,366.0,45.0,2,0,0,16,18,1,33,9,12,0,0,0,44.0,16.0,13.0,55.2,1
2018-09-21,21:00 (12:00),La Liga,Matchweek 5,Fri,Home,L,0,1,Real Sociedad,0,13,3,23.1,0.0,0.0,20.5,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,5.0,19.0,26.3,19.0,2.0,68.4,48.2,6.0,100.0,68.0,10.0,0.0,0.0,1.0,11.7,317.0,420.0,75.5,6219.0,2414.0,125.0,148.0,84.5,138.0,156.0,88.5,49.0,98.0,50.0,0,0.5,1.3,10.0,34.0,9.0,7.0,34.0,420.0,364.0,56.0,13.0,0.0,8.0,28,28.0,7.0,3.0,3.0,0.0,317.0,0.0,14.0,20.0,13.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,9.0,6.0,2.0,6.0,17.0,35.3,11.0,12.0,2.0,10.0,9,26,19.0,0.0,48.0,534.0,34.0,162.0,243.0,136.0,18.0,534.0,12.0,6.0,50.0,6.0,50.0,258.0,1542.0,622.0,14.0,13.0,3.0,24.0,16.0,314.0,34.0,5,0,0,16,10,0,28,9,13,0,0,0,56.0,26.0,28.0,48.1,1
2018-09-25,22:00 (13:00),La Liga,Matchweek 6,Tue,Away,L,0,3,Atlético Madrid,0,8,1,12.5,0.0,0.0,18.1,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9,5,3,2,40.0,0,1.5,-1.5,0,0,0,0,6.0,12.0,50.0,9.0,4.0,33.3,28.9,13.0,69.2,49.7,7.0,0.0,0.0,0.0,,413.0,495.0,83.4,7242.0,2492.0,185.0,207.0,89.4,157.0,178.0,88.2,51.0,72.0,70.8,0,0.9,0.4,6.0,28.0,3.0,0.0,37.0,495.0,450.0,43.0,2.0,0.0,6.0,16,21.0,3.0,2.0,0.0,0.0,413.0,2.0,10.0,10.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15,13.0,3.0,1.0,4.0,24.0,16.7,20.0,13.0,6.0,7.0,18,35,15.0,0.0,42.0,592.0,56.0,195.0,271.0,134.0,15.0,592.0,17.0,9.0,52.9,8.0,47.1,335.0,1962.0,1171.0,26.0,17.0,3.0,13.0,7.0,410.0,37.0,2,0,0,14,1,2,16,18,15,0,0,0,48.0,8.0,6.0,57.1,1
2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Home,D,1,1,Girona,1,12,5,41.7,0.0,0.0,19.7,0.0,1,1,1.5,0.7,0.06,-0.5,-0.7,3,1,2,100.0,0,1.3,0.3,1,1,0,0,7.0,20.0,35.0,27.0,4.0,51.9,40.6,7.0,85.7,56.1,11.0,1.0,9.1,0.0,4.5,382.0,479.0,79.7,7625.0,2795.0,144.0,170.0,84.7,164.0,183.0,89.6,59.0,96.0,61.5,0,0.6,0.8,10.0,37.0,12.0,3.0,52.0,479.0,431.0,45.0,13.0,0.0,11.0,15,18.0,5.0,5.0,0.0,0.0,382.0,3.0,9.0,25.0,20.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,12,7.0,12.0,0.0,9.0,13.0,69.2,4.0,8.0,3.0,5.0,17,36,21.0,0.0,52.0,586.0,58.0,171.0,284.0,133.0,22.0,585.0,11.0,3.0,27.3,8.0,72.7,315.0,1725.0,948.0,19.0,9.0,5.0,14.0,12.0,372.0,51.0,4,0,0,14,14,3,15,17,12,1,1,0,59.0,20.0,19.0,51.3,1
2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Valladolid,0,11,1,9.1,0.0,0.0,19.6,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,3.0,14.0,21.4,19.0,6.0,47.4,38.6,6.0,83.3,58.5,7.0,0.0,0.0,1.0,37.0,425.0,537.0,79.1,7885.0,2736.0,201.0,228.0,88.2,166.0,195.0,85.1,56.0,95.0,58.9,0,0.6,0.7,9.0,43.0,10.0,4.0,48.0,537.0,489.0,47.0,14.0,1.0,9.0,19,23.0,2.0,2.0,0.0,0.0,425.0,1.0,12.0,22.0,19.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,7.0,10.0,1.0,6.0,10.0,60.0,4.0,11.0,3.0,8.0,7,25,9.0,1.0,57.0,629.0,41.0,157.0,347.0,129.0,16.0,629.0,11.0,3.0,27.3,8.0,72.7,399.0,2191.0,1127.0,19.0,17.0,0.0,13.0,7.0,421.0,47.0,2,0,0,13,8,1,19,7,10,0,0,0,50.0,26.0,16.0,61.9,1
2018-10-21,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,L,0,2,Espanyol,0,10,2,20.0,0.0,0.0,20.4,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,2,2,0,0.0,0,1.8,-0.2,0,0,0,0,9.0,19.0,47.4,25.0,2.0,60.0,40.1,5.0,80.0,49.2,7.0,0.0,0.0,1.0,17.0,379.0,487.0,77.8,7311.0,2658.0,161.0,186.0,86.6,138.0,166.0,83.1,61.0,99.0,61.6,0,0.4,0.4,9.0,32.0,5.0,0.0,48.0,487.0,430.0,56.0,18.0,0.0,11.0,24,24.0,6.0,3.0,3.0,0.0,379.0,1.0,10.0,20.0,15.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14,7.0,8.0,2.0,9.0,18.0,50.0,9.0,13.0,0.0,13.0,13,30,8.0,0.0,53.0,589.0,36.0,156.0,300.0,140.0,12.0,589.0,25.0,15.0,60.0,10.0,40.0,322.0,1933.0,942.0,25.0,20.0,4.0,17.0,17.0,376.0,48.0,3,0,0,21,14,1,24,13,14,0,0,0,58.0,12.0,14.0,46.2,1
2018-10-28,20:45 (12:45),La Liga,Matchweek 10,Sun,Away,L,1,2,Sevilla,1,11,2,18.2,0.09,0.5,19.5,0.0,0,0,0.8,0.8,0.07,0.2,0.2,4,2,2,50.0,0,1.9,-0.1,0,0,0,0,5.0,23.0,21.7,13.0,1.0,61.5,44.7,15.0,100.0,61.5,8.0,0.0,0.0,0.0,5.0,262.0,376.0,69.7,4904.0,2056.0,104.0,132.0,78.8,124.0,157.0,79.0,31.0,75.0,41.3,1,0.7,0.8,8.0,16.0,6.0,1.0,26.0,376.0,323.0,48.0,11.0,0.0,3.0,12,17.0,2.0,0.0,1.0,0.0,262.0,5.0,1.0,22.0,19.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,12,7.0,7.0,0.0,4.0,10.0,40.0,6.0,8.0,3.0,5.0,14,28,24.0,0.0,38.0,468.0,55.0,164.0,222.0,89.0,11.0,468.0,14.0,7.0,50.0,7.0,50.0,248.0,1649.0,783.0,22.0,19.0,2.0,11.0,7.0,260.0,25.0,3,0,0,14,8,5,12,14,12,0,0,0,53.0,20.0,19.0,51.3,1
