Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,1,11,2,18.2,0.09,0.5,15.4,1.0,0,0,1.0,1.0,0.09,0.0,0.0,5,2,3,60.0,0,2.2,0.2,0,0,0,0,9.0,25.0,36.0,18.0,0.0,72.2,47.5,13.0,92.3,61.2,23.0,0.0,0.0,0.0,,228.0,334.0,68.3,4385.0,1918.0,124.0,150.0,82.7,64.0,100.0,64.0,39.0,75.0,52.0,0,0.9,0.7,8.0,18.0,5.0,4.0,21.0,334.0,281.0,52.0,11.0,0.0,5.0,14,23.0,2.0,0.0,2.0,0.0,228.0,1.0,4.0,20.0,12.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,10,6.0,7.0,1.0,5.0,12.0,41.7,7.0,9.0,3.0,6.0,9,23,29.0,0.0,35,423.0,54.0,143.0,193.0,92.0,20.0,423.0,13.0,10.0,76.9,3.0,23.1,216.0,1098.0,562.0,12.0,14.0,1.0,6.0,7.0,227.0,21.0,5,0,0,13,12,1,14,9,10,0,0,0,39.0,29.0,24.0,54.7,1
2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,2,18,4,22.2,0.11,0.5,16.5,0.0,0,0,1.7,1.7,0.1,0.3,0.3,6,2,4,66.7,0,1.8,-0.2,0,0,0,0,5.0,14.0,35.7,41.0,2.0,34.1,34.6,1.0,0.0,31.0,2.0,0.0,0.0,2.0,17.8,508.0,649.0,78.3,10689.0,3333.0,172.0,201.0,85.6,236.0,275.0,85.8,97.0,157.0,61.8,2,1.7,1.5,16.0,41.0,14.0,10.0,52.0,649.0,599.0,47.0,12.0,0.0,6.0,39,26.0,5.0,0.0,4.0,0.0,508.0,3.0,10.0,35.0,26.0,4.0,1.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,7,4.0,4.0,2.0,1.0,9.0,11.1,8.0,6.0,0.0,6.0,9,19,4.0,0.0,67,728.0,35.0,203.0,331.0,199.0,26.0,728.0,14.0,7.0,50.0,7.0,50.0,449.0,2123.0,988.0,18.0,14.0,3.0,8.0,9.0,504.0,52.0,1,0,0,12,9,3,39,9,7,0,0,0,55.0,29.0,32.0,47.5,1
2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,1,7,2,28.6,0.0,0.0,23.1,0.0,1,1,1.1,0.3,0.04,-0.1,-0.3,8,4,4,62.5,0,2.9,-1.1,1,1,0,0,10.0,22.0,45.5,16.0,3.0,81.3,49.8,10.0,90.0,59.9,20.0,1.0,5.0,0.0,14.0,202.0,282.0,71.6,4194.0,1946.0,96.0,111.0,86.5,70.0,90.0,77.8,35.0,76.0,46.1,0,0.2,0.3,6.0,18.0,3.0,3.0,25.0,282.0,239.0,42.0,11.0,0.0,7.0,11,15.0,1.0,0.0,1.0,0.0,202.0,1.0,1.0,13.0,11.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,7,5.0,4.0,2.0,5.0,18.0,27.8,13.0,11.0,3.0,8.0,11,22,24.0,0.0,23,379.0,64.0,168.0,150.0,66.0,8.0,378.0,8.0,2.0,25.0,6.0,75.0,208.0,1119.0,471.0,7.0,8.0,1.0,13.0,10.0,199.0,25.0,1,0,0,11,11,1,11,11,7,1,1,0,48.0,16.0,19.0,45.7,1
2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,0,15,3,20.0,0.0,0.0,20.2,0.0,0,1,1.4,0.6,0.04,-1.4,-0.6,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,8.0,16.0,50.0,18.0,2.0,50.0,42.5,8.0,87.5,62.5,7.0,1.0,14.3,1.0,15.8,311.0,411.0,75.7,6379.0,2154.0,128.0,145.0,88.3,110.0,131.0,84.0,66.0,116.0,56.9,0,0.4,0.6,9.0,27.0,7.0,7.0,38.0,411.0,361.0,47.0,10.0,0.0,7.0,36,21.0,6.0,3.0,2.0,1.0,311.0,3.0,5.0,27.0,19.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12,6.0,7.0,1.0,4.0,11.0,36.4,7.0,4.0,1.0,3.0,10,24,10.0,0.0,47,482.0,35.0,110.0,249.0,129.0,17.0,481.0,12.0,10.0,83.3,2.0,16.7,262.0,1605.0,952.0,16.0,10.0,1.0,8.0,5.0,311.0,38.0,4,0,0,16,8,3,36,10,12,0,0,0,36.0,19.0,13.0,59.4,1
2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,0,4,2,50.0,0.0,0.0,12.3,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,11.0,30.0,36.7,24.0,1.0,79.2,53.0,13.0,84.6,59.5,20.0,2.0,10.0,1.0,14.5,214.0,383.0,55.9,4366.0,2371.0,90.0,125.0,72.0,85.0,138.0,61.6,38.0,99.0,38.4,0,0.2,0.4,3.0,19.0,3.0,1.0,24.0,383.0,316.0,60.0,17.0,0.0,0.0,16,26.0,2.0,0.0,2.0,0.0,214.0,7.0,8.0,8.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13,8.0,8.0,2.0,6.0,16.0,37.5,10.0,6.0,2.0,4.0,11,29,32.0,0.0,44,481.0,62.0,200.0,217.0,66.0,9.0,481.0,8.0,5.0,62.5,3.0,37.5,205.0,878.0,350.0,5.0,6.0,1.0,12.0,9.0,207.0,23.0,1,0,0,17,13,7,16,11,13,0,0,0,62.0,45.0,32.0,58.4,1
2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,2,10,6,60.0,0.2,0.33,17.2,0.0,0,0,1.1,1.1,0.11,0.9,0.9,5,1,4,80.0,0,1.0,0.0,0,0,0,0,8.0,21.0,38.1,23.0,3.0,69.6,46.9,6.0,83.3,49.2,11.0,1.0,9.1,1.0,14.0,173.0,255.0,67.8,3404.0,1572.0,85.0,92.0,92.4,46.0,74.0,62.2,35.0,71.0,49.3,1,0.7,0.7,7.0,11.0,4.0,3.0,11.0,255.0,204.0,50.0,16.0,2.0,5.0,13,22.0,4.0,1.0,3.0,0.0,173.0,1.0,7.0,16.0,12.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,9,11.0,7.0,0.0,6.0,12.0,50.0,6.0,7.0,0.0,7.0,15,33,24.0,1.0,23,371.0,52.0,162.0,124.0,88.0,14.0,371.0,17.0,10.0,58.8,7.0,41.2,157.0,943.0,366.0,5.0,5.0,2.0,15.0,6.0,172.0,11.0,4,0,0,15,11,1,13,15,9,0,0,0,39.0,10.0,14.0,41.7,1
2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,0,11,5,45.5,0.0,0.0,21.3,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,4,1,3,75.0,0,1.6,0.6,0,0,0,0,7.0,21.0,33.3,15.0,2.0,80.0,52.8,9.0,100.0,69.1,23.0,0.0,0.0,0.0,8.5,107.0,198.0,54.0,2263.0,1337.0,47.0,63.0,74.6,43.0,70.0,61.4,17.0,53.0,32.1,0,0.4,0.2,9.0,9.0,1.0,0.0,12.0,198.0,161.0,36.0,10.0,0.0,4.0,5,14.0,1.0,0.0,1.0,0.0,107.0,1.0,5.0,14.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13,12.0,8.0,0.0,5.0,9.0,55.6,4.0,16.0,6.0,10.0,14,34,28.0,0.0,18,320.0,64.0,153.0,115.0,58.0,6.0,320.0,8.0,4.0,50.0,4.0,50.0,132.0,695.0,263.0,5.0,5.0,2.0,14.0,7.0,106.0,12.0,4,0,0,10,7,1,5,14,13,0,0,0,48.0,25.0,16.0,61.0,1
2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,1,13,4,30.8,0.08,0.25,17.5,2.0,0,0,0.9,0.9,0.07,0.1,0.1,2,0,2,100.0,1,0.5,0.5,0,0,0,0,13.0,21.0,61.9,23.0,3.0,69.6,49.8,5.0,100.0,68.6,26.0,2.0,7.7,1.0,10.2,200.0,304.0,65.8,4488.0,2286.0,77.0,99.0,77.8,75.0,109.0,68.8,46.0,84.0,54.8,1,0.8,0.8,11.0,17.0,6.0,3.0,24.0,304.0,255.0,44.0,11.0,2.0,4.0,21,21.0,6.0,3.0,1.0,0.0,200.0,5.0,4.0,21.0,13.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,7,5.0,7.0,3.0,7.0,14.0,50.0,7.0,12.0,2.0,10.0,14,29,27.0,0.0,36,409.0,57.0,131.0,167.0,118.0,21.0,409.0,7.0,2.0,28.6,5.0,71.4,211.0,1246.0,558.0,11.0,11.0,4.0,8.0,9.0,197.0,24.0,1,0,0,12,11,5,21,14,7,0,0,0,54.0,18.0,9.0,66.7,1
2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,1,6,4,66.7,0.0,0.0,27.2,1.0,1,1,1.0,0.2,0.04,0.0,-0.2,4,1,3,75.0,0,2.1,1.1,0,0,0,0,15.0,35.0,42.9,37.0,2.0,64.9,47.1,12.0,91.7,63.3,32.0,2.0,6.3,0.0,9.3,298.0,405.0,73.6,5976.0,2303.0,114.0,134.0,85.1,135.0,160.0,84.4,45.0,94.0,47.9,0,0.1,0.1,3.0,23.0,2.0,0.0,30.0,405.0,366.0,38.0,9.0,0.0,4.0,9,14.0,1.0,0.0,1.0,0.0,298.0,1.0,8.0,12.0,5.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,12,9.0,7.0,0.0,5.0,15.0,33.3,10.0,9.0,5.0,4.0,13,29,48.0,0.0,41,521.0,96.0,208.0,239.0,75.0,6.0,520.0,13.0,6.0,46.2,7.0,53.8,271.0,1214.0,587.0,7.0,3.0,1.0,12.0,5.0,294.0,29.0,2,0,0,13,8,1,9,13,12,1,0,0,52.0,17.0,11.0,60.7,1
2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,0,21,6,28.6,0.0,0.0,20.2,0.0,0,0,1.4,1.4,0.07,-1.4,-1.4,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,15.0,21.0,71.4,31.0,5.0,41.9,39.9,8.0,100.0,57.0,7.0,1.0,14.3,0.0,8.3,443.0,565.0,78.4,8535.0,3457.0,196.0,220.0,89.1,188.0,230.0,81.7,58.0,98.0,59.2,0,0.9,0.7,14.0,40.0,11.0,4.0,58.0,565.0,508.0,55.0,12.0,0.0,4.0,22,30.0,2.0,0.0,1.0,0.0,443.0,2.0,13.0,34.0,23.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16,17.0,7.0,2.0,11.0,20.0,55.0,9.0,11.0,2.0,9.0,7,33,19.0,2.0,58,682.0,58.0,181.0,330.0,175.0,19.0,682.0,9.0,6.0,66.7,3.0,33.3,408.0,1958.0,843.0,14.0,10.0,3.0,18.0,12.0,438.0,58.0,2,0,0,14,12,2,22,7,16,0,0,0,67.0,15.0,11.0,57.7,1
