Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,0,2,1,50.0,0.0,0.0,30.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,1,100.0,1,0.0,0.0,0,0,0,0,7.0,35.0,20.0,29.0,3.0,79.3,50.0,12.0,100.0,64.3,20.0,1.0,5.0,0.0,8.0,195.0,315.0,61.9,4176.0,1837.0,72.0,100.0,72.0,95.0,115.0,82.6,28.0,89.0,31.5,0,0.0,0.2,1.0,12.0,0.0,0.0,12.0,315.0,256.0,58.0,22.0,0.0,3.0,15,21.0,2.0,2.0,0.0,0.0,195.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15,16.0,8.0,3.0,14.0,30.0,46.7,16.0,8.0,2.0,6.0,10,37,33.0,0.0,33,418.0,74.0,202.0,161.0,62.0,4.0,418.0,14.0,9.0,64.3,5.0,35.7,174.0,1220.0,624.0,12.0,8.0,3.0,10.0,7.0,193.0,12.0,1,0,0,20,17,1,15,10,15,0,0,0,52.0,18.0,34.0,34.6,1
2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,0,7,4,57.1,0.0,0.0,21.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,5,1,4,80.0,0,1.6,0.6,0,0,0,0,8.0,26.0,30.8,23.0,4.0,60.9,44.0,12.0,100.0,62.9,11.0,1.0,9.1,1.0,12.0,259.0,358.0,72.3,5150.0,2099.0,101.0,112.0,90.2,119.0,142.0,83.8,34.0,82.0,41.5,0,0.4,0.5,6.0,23.0,6.0,1.0,31.0,358.0,314.0,42.0,12.0,1.0,7.0,20,10.0,6.0,2.0,3.0,1.0,259.0,2.0,12.0,11.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14,15.0,6.0,2.0,6.0,18.0,33.3,12.0,16.0,1.0,15.0,14,37,22.0,0.0,36,477.0,77.0,197.0,193.0,102.0,14.0,477.0,9.0,4.0,44.4,5.0,55.6,238.0,1402.0,697.0,15.0,11.0,3.0,16.0,4.0,258.0,31.0,1,0,0,13,9,2,20,14,14,0,0,0,58.0,9.0,12.0,42.9,1
2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,0,7,4,57.1,0.0,0.0,21.0,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,3,0,3,100.0,1,0.9,0.9,0,0,0,0,3.0,25.0,12.0,24.0,5.0,75.0,48.5,7.0,100.0,66.9,20.0,2.0,10.0,0.0,4.7,238.0,372.0,64.0,4367.0,1763.0,92.0,116.0,79.3,112.0,144.0,77.8,29.0,92.0,31.5,0,0.2,0.2,4.0,13.0,2.0,2.0,14.0,372.0,306.0,65.0,23.0,0.0,3.0,16,27.0,7.0,1.0,3.0,1.0,238.0,1.0,7.0,13.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18,14.0,7.0,4.0,13.0,22.0,59.1,9.0,13.0,5.0,8.0,12,37,31.0,0.0,46,506.0,68.0,226.0,204.0,79.0,8.0,506.0,5.0,3.0,60.0,2.0,40.0,205.0,1265.0,547.0,9.0,7.0,2.0,22.0,13.0,238.0,14.0,1,0,0,14,21,1,16,12,18,0,0,0,61.0,12.0,28.0,30.0,1
2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,0,15,5,33.3,0.0,0.0,23.5,4.0,0,0,1.1,1.1,0.07,-1.1,-1.1,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,5.0,13.0,38.5,23.0,8.0,34.8,32.5,7.0,71.4,54.4,11.0,1.0,9.1,0.0,6.0,417.0,519.0,80.3,8436.0,2556.0,153.0,176.0,86.9,191.0,216.0,88.4,68.0,115.0,59.1,0,0.8,0.7,11.0,36.0,5.0,1.0,53.0,519.0,476.0,42.0,8.0,1.0,8.0,29,18.0,7.0,3.0,3.0,0.0,417.0,1.0,6.0,28.0,17.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,6.0,3.0,0.0,1.0,4.0,25.0,3.0,6.0,2.0,4.0,11,20,21.0,0.0,58,611.0,44.0,183.0,299.0,134.0,15.0,611.0,18.0,12.0,66.7,6.0,33.3,339.0,2227.0,1408.0,24.0,18.0,6.0,13.0,12.0,415.0,53.0,3,0,0,9,12,1,29,11,6,0,0,0,53.0,22.0,21.0,51.2,1
2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,3,14,4,28.6,0.21,0.75,18.9,0.0,0,0,2.1,2.1,0.15,0.9,0.9,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,6.0,13.0,46.2,19.0,0.0,52.6,38.4,3.0,100.0,57.7,12.0,0.0,0.0,0.0,7.5,398.0,509.0,78.2,6908.0,2426.0,170.0,195.0,87.2,171.0,207.0,82.6,40.0,71.0,56.3,3,2.1,1.8,14.0,33.0,9.0,2.0,51.0,509.0,465.0,43.0,11.0,1.0,2.0,27,17.0,8.0,3.0,4.0,0.0,398.0,1.0,16.0,28.0,22.0,2.0,0.0,1.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,14,8.0,12.0,4.0,6.0,14.0,42.9,8.0,13.0,4.0,9.0,8,32,13.0,0.0,53,611.0,49.0,173.0,267.0,177.0,20.0,611.0,17.0,8.0,47.1,9.0,52.9,363.0,1940.0,910.0,13.0,13.0,2.0,9.0,7.0,396.0,51.0,2,0,0,11,8,1,27,8,14,0,0,0,64.0,13.0,19.0,40.6,1
2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,2,20,6,30.0,0.1,0.33,21.3,0.0,0,0,1.0,1.0,0.05,1.0,1.0,4,1,3,75.0,0,1.0,0.0,0,0,0,0,5.0,15.0,33.3,15.0,2.0,66.7,46.0,5.0,100.0,69.4,19.0,1.0,5.3,0.0,12.0,448.0,539.0,83.1,7868.0,2597.0,216.0,233.0,92.7,166.0,190.0,87.4,53.0,90.0,58.9,2,0.9,1.5,19.0,40.0,5.0,2.0,52.0,539.0,487.0,50.0,11.0,0.0,9.0,30,24.0,8.0,1.0,2.0,1.0,448.0,2.0,6.0,39.0,33.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,21.0,16,6.0,9.0,6.0,9.0,16.0,56.3,7.0,6.0,4.0,2.0,10,31,18.0,0.0,64,640.0,48.0,168.0,249.0,227.0,29.0,640.0,14.0,10.0,71.4,4.0,28.6,372.0,2270.0,1294.0,40.0,26.0,14.0,13.0,11.0,444.0,52.0,1,0,0,17,10,2,30,10,16,0,0,0,51.0,8.0,14.0,36.4,1
2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,1,9,3,33.3,0.11,0.33,18.3,0.0,0,0,0.8,0.8,0.1,0.2,0.2,7,0,6,100.0,1,1.2,1.2,1,0,1,0,7.0,23.0,30.4,22.0,4.0,59.1,45.8,10.0,100.0,63.3,29.0,0.0,0.0,0.0,3.0,273.0,365.0,74.8,4883.0,2066.0,134.0,153.0,87.6,90.0,110.0,81.8,39.0,82.0,47.6,0,0.2,0.1,5.0,18.0,2.0,0.0,23.0,365.0,320.0,42.0,17.0,1.0,2.0,5,12.0,2.0,0.0,1.0,0.0,273.0,3.0,4.0,15.0,8.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,13,15.0,4.0,0.0,5.0,13.0,38.5,8.0,14.0,7.0,7.0,17,36,31.0,0.0,38,492.0,77.0,245.0,183.0,70.0,11.0,492.0,12.0,6.0,50.0,6.0,50.0,231.0,1455.0,838.0,16.0,9.0,5.0,13.0,8.0,270.0,23.0,3,0,0,12,16,3,5,17,13,0,1,0,56.0,9.0,24.0,27.3,1
2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,1,9,3,33.3,0.11,0.33,22.1,2.0,0,0,0.8,0.8,0.09,0.2,0.2,1,0,1,100.0,1,0.1,0.1,0,0,0,0,2.0,24.0,8.3,22.0,2.0,68.2,48.8,9.0,100.0,68.1,16.0,3.0,18.8,0.0,8.6,305.0,413.0,73.8,5742.0,2229.0,128.0,148.0,86.5,132.0,162.0,81.5,39.0,79.0,49.4,0,0.5,0.5,5.0,29.0,2.0,1.0,29.0,413.0,357.0,51.0,11.0,0.0,1.0,15,24.0,6.0,1.0,3.0,0.0,305.0,5.0,9.0,14.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,11,4.0,10.0,1.0,8.0,11.0,72.7,3.0,12.0,2.0,10.0,4,19,28.0,0.0,43,514.0,56.0,168.0,232.0,117.0,13.0,514.0,10.0,4.0,40.0,6.0,60.0,234.0,1460.0,761.0,18.0,12.0,9.0,12.0,12.0,304.0,29.0,1,0,0,9,10,5,15,4,11,0,0,0,53.0,16.0,26.0,38.1,1
2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,1,6,2,33.3,0.17,0.5,23.6,1.0,0,0,0.4,0.4,0.07,0.6,0.6,4,0,4,100.0,1,0.4,0.4,0,0,0,0,5.0,27.0,18.5,22.0,4.0,63.6,48.3,13.0,100.0,64.4,18.0,0.0,0.0,0.0,10.5,276.0,377.0,73.2,4917.0,1963.0,127.0,149.0,85.2,111.0,139.0,79.9,31.0,66.0,47.0,1,0.4,0.2,4.0,12.0,2.0,0.0,25.0,377.0,330.0,43.0,9.0,2.0,3.0,7,14.0,6.0,2.0,0.0,0.0,276.0,4.0,7.0,11.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,12,16.0,4.0,1.0,6.0,23.0,26.1,17.0,18.0,9.0,9.0,10,31,40.0,0.0,38,502.0,94.0,221.0,212.0,77.0,6.0,502.0,14.0,8.0,57.1,6.0,42.9,283.0,1423.0,765.0,12.0,8.0,1.0,17.0,6.0,275.0,25.0,4,0,0,10,7,4,7,10,12,0,0,0,51.0,13.0,13.0,50.0,1
2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,1,15,2,13.3,0.07,0.5,20.0,1.0,0,0,1.1,1.1,0.08,-0.1,-0.1,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3.0,8.0,37.5,27.0,7.0,18.5,28.5,7.0,42.9,37.0,9.0,1.0,11.1,0.0,9.3,438.0,531.0,82.5,8034.0,2540.0,197.0,215.0,91.6,173.0,202.0,85.6,54.0,82.0,65.9,0,0.6,1.0,8.0,39.0,8.0,2.0,56.0,531.0,476.0,50.0,19.0,0.0,10.0,24,17.0,5.0,2.0,1.0,0.0,438.0,5.0,11.0,26.0,22.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,6,7.0,5.0,2.0,3.0,10.0,30.0,7.0,17.0,4.0,13.0,11,25,13.0,0.0,55,641.0,52.0,170.0,294.0,180.0,20.0,641.0,21.0,11.0,52.4,10.0,47.6,414.0,2486.0,1535.0,35.0,21.0,5.0,14.0,15.0,437.0,56.0,4,0,0,16,14,5,24,11,6,0,0,0,58.0,11.0,13.0,45.8,1
