Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,1,4,4,100.0,0.25,0.25,13.7,0.0,0,1,2.2,1.4,0.36,-1.2,-0.4,0,0,0,,1,0.0,0.0,0,0,0,0,7.0,14.0,50.0,14.0,2.0,57.1,41.6,9.0,66.7,46.8,17.0,1.0,5.9,0.0,10.0,366.0,453.0,80.8,6350.0,2350.0,159.0,174.0,91.4,129.0,150.0,86.0,47.0,76.0,61.8,1,1.5,0.7,4.0,21.0,6.0,1.0,20.0,453.0,395.0,55.0,21.0,2.0,3.0,7,21.0,3.0,0.0,3.0,0.0,366.0,3.0,10.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,9,8.0,3.0,1.0,5.0,5.0,100.0,0.0,5.0,2.0,3.0,13,25,19.0,0.0,57.0,535.0,44.0,171.0,276.0,92.0,8.0,534.0,9.0,7.0,77.8,2.0,22.2,295.0,1203.0,614.0,5.0,10.0,1.0,15.0,7.0,365.0,20.0,3,1,1,19,20,3,7,13,9,1.0,0.0,0,33.0,19.0,19.0,50.0,1.0
2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,1,6,4,66.7,0.17,0.25,22.1,0.0,0,0,1.8,1.8,0.3,-0.8,-0.8,4,0,4,100.0,1,0.5,0.5,0,0,0,0,4.0,11.0,36.4,14.0,4.0,42.9,41.1,7.0,71.4,55.4,18.0,0.0,0.0,0.0,11.0,419.0,535.0,78.3,7504.0,2638.0,178.0,205.0,86.8,183.0,211.0,86.7,46.0,87.0,52.9,1,1.8,0.9,6.0,32.0,5.0,0.0,34.0,535.0,485.0,46.0,15.0,4.0,6.0,7,19.0,4.0,0.0,4.0,0.0,419.0,4.0,7.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,10,8.0,5.0,0.0,3.0,8.0,37.5,5.0,11.0,1.0,10.0,8,21,31.0,1.0,58.0,642.0,54.0,181.0,357.0,105.0,14.0,642.0,12.0,9.0,75.0,3.0,25.0,351.0,1588.0,884.0,10.0,16.0,2.0,21.0,14.0,417.0,33.0,5,0,0,13,11,4,7,8,10,0.0,0.0,0,52.0,27.0,21.0,56.3,1.0
2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,3,7,3,42.9,0.43,1.0,13.2,0.0,0,0,1.5,1.5,0.22,1.5,1.5,2,2,0,0.0,0,1.0,-1.0,0,0,0,0,9.0,17.0,52.9,21.0,6.0,52.4,41.6,11.0,54.5,43.4,7.0,1.0,14.3,0.0,11.5,375.0,501.0,74.9,6577.0,2725.0,175.0,202.0,86.6,124.0,161.0,77.0,50.0,93.0,53.8,2,1.0,1.3,5.0,18.0,6.0,2.0,27.0,501.0,432.0,60.0,14.0,4.0,7.0,12,31.0,1.0,1.0,0.0,0.0,375.0,9.0,4.0,11.0,8.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,14.0,10,2.0,11.0,1.0,6.0,9.0,66.7,3.0,7.0,0.0,7.0,10,24,12.0,0.0,57.0,592.0,45.0,178.0,311.0,109.0,16.0,592.0,17.0,11.0,64.7,6.0,35.3,318.0,1355.0,605.0,12.0,11.0,3.0,18.0,6.0,374.0,27.0,0,0,0,9,14,9,12,10,10,0.0,0.0,0,50.0,22.0,22.0,50.0,1.0
2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,0,12,2,16.7,0.0,0.0,14.3,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2,5,2,3,60.0,0,1.7,0.0,0,0,0,0,9.0,18.0,50.0,19.0,1.0,68.4,43.7,7.0,71.4,51.3,11.0,0.0,0.0,0.0,3.0,329.0,439.0,74.9,5453.0,2241.0,169.0,197.0,85.8,94.0,123.0,76.4,42.0,77.0,54.5,0,1.2,1.6,12.0,21.0,13.0,2.0,36.0,439.0,384.0,51.0,16.0,0.0,4.0,15,20.0,5.0,0.0,4.0,0.0,329.0,4.0,7.0,24.0,14.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,12.0,5.0,3.0,13.0,20.0,65.0,7.0,10.0,3.0,7.0,8,28,14.0,1.0,46.0,546.0,50.0,152.0,255.0,143.0,29.0,546.0,11.0,5.0,45.5,6.0,54.5,269.0,1288.0,656.0,16.0,18.0,2.0,15.0,10.0,324.0,36.0,3,0,0,10,12,4,15,8,11,0.0,0.0,0,47.0,27.0,25.0,51.9,1.0
2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,2,19,8,42.1,0.11,0.25,15.5,0.0,0,0,2.3,2.3,0.12,-0.3,-0.3,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,6.0,11.0,54.5,19.0,10.0,36.8,30.6,5.0,80.0,57.8,18.0,0.0,0.0,0.0,12.0,433.0,522.0,83.0,7238.0,2385.0,241.0,263.0,91.6,120.0,145.0,82.8,58.0,87.0,66.7,2,2.2,2.2,17.0,26.0,15.0,2.0,50.0,522.0,477.0,45.0,12.0,1.0,10.0,28,14.0,11.0,2.0,4.0,0.0,433.0,0.0,8.0,37.0,27.0,7.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,9.0,6,6.0,2.0,1.0,4.0,16.0,25.0,12.0,6.0,4.0,2.0,7,16,26.0,1.0,46.0,625.0,60.0,165.0,229.0,236.0,32.0,625.0,13.0,9.0,69.2,4.0,30.8,349.0,1818.0,989.0,19.0,13.0,2.0,9.0,9.0,428.0,50.0,1,0,0,12,11,0,28,7,6,0.0,0.0,0,37.0,15.0,11.0,57.7,2.0
2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,0,20,5,25.0,0.0,0.0,16.1,1.0,0,0,1.7,1.7,0.09,-1.7,-1.7,3,0,3,100.0,1,0.7,0.7,0,0,0,0,1.0,2.0,50.0,10.0,2.0,20.0,26.7,4.0,0.0,19.5,12.0,0.0,0.0,0.0,,380.0,469.0,81.0,6032.0,2348.0,186.0,213.0,87.3,136.0,159.0,85.5,32.0,52.0,61.5,0,1.4,1.7,14.0,29.0,9.0,0.0,53.0,469.0,413.0,53.0,13.0,3.0,1.0,23,22.0,13.0,1.0,12.0,0.0,380.0,3.0,4.0,33.0,13.0,9.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,6.0,9.0,4.0,5.0,19.0,26.3,14.0,10.0,1.0,9.0,9,28,19.0,0.0,49.0,577.0,36.0,144.0,255.0,186.0,29.0,577.0,12.0,9.0,75.0,3.0,25.0,324.0,1907.0,1056.0,18.0,23.0,4.0,19.0,8.0,378.0,53.0,3,0,0,14,12,3,23,9,13,0.0,0.0,0,49.0,22.0,27.0,44.9,1.0
2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,2,13,3,23.1,0.15,0.67,15.6,0.0,0,0,1.0,1.0,0.08,1.0,1.0,2,0,2,100.0,1,0.1,0.1,0,0,0,0,10.0,24.0,41.7,20.0,2.0,65.0,46.4,11.0,100.0,62.6,19.0,1.0,5.3,1.0,15.0,435.0,521.0,83.5,6735.0,2659.0,221.0,240.0,92.1,146.0,171.0,85.4,35.0,60.0,58.3,1,0.8,1.3,10.0,26.0,13.0,2.0,31.0,521.0,476.0,45.0,8.0,3.0,0.0,10,20.0,5.0,0.0,3.0,0.0,435.0,0.0,6.0,24.0,22.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0,11,14.0,6.0,1.0,5.0,10.0,50.0,5.0,14.0,3.0,11.0,13,34,26.0,1.0,52.0,658.0,57.0,180.0,330.0,153.0,22.0,658.0,13.0,6.0,46.2,7.0,53.8,319.0,1680.0,819.0,12.0,16.0,2.0,22.0,9.0,432.0,30.0,5,1,1,15,8,0,10,13,11,0.0,0.0,0,45.0,20.0,13.0,60.6,1.0
2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,0,7,1,14.3,0.0,0.0,12.4,0.0,0,0,0.9,0.9,0.12,-0.9,-0.9,3,0,3,100.0,1,1.3,1.3,0,0,0,0,3.0,14.0,21.4,17.0,5.0,47.1,35.4,10.0,60.0,43.1,22.0,1.0,4.5,0.0,12.0,403.0,493.0,81.7,5844.0,2353.0,232.0,251.0,92.4,119.0,144.0,82.6,23.0,53.0,43.4,0,0.9,0.9,7.0,24.0,4.0,0.0,47.0,493.0,445.0,44.0,13.0,2.0,2.0,18,15.0,5.0,2.0,3.0,0.0,403.0,4.0,8.0,13.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,9.0,8.0,1.0,7.0,10.0,70.0,3.0,9.0,3.0,6.0,11,29,24.0,0.0,45.0,597.0,64.0,167.0,272.0,165.0,15.0,597.0,24.0,16.0,66.7,8.0,33.3,363.0,1870.0,920.0,25.0,20.0,6.0,14.0,8.0,402.0,47.0,1,0,0,14,13,4,18,11,11,0.0,0.0,0,51.0,12.0,14.0,46.2,1.0
2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,2,20,9,45.0,0.1,0.22,14.9,0.0,0,0,2.9,2.9,0.15,-0.9,-0.9,3,0,3,100.0,1,1.1,1.1,0,0,0,0,6.0,15.0,40.0,7.0,0.0,85.7,44.9,9.0,100.0,54.7,16.0,0.0,0.0,0.0,,494.0,598.0,82.6,7795.0,2666.0,267.0,291.0,91.8,173.0,202.0,85.6,37.0,67.0,55.2,1,2.3,2.4,14.0,28.0,12.0,0.0,49.0,598.0,540.0,54.0,12.0,2.0,3.0,14,25.0,7.0,1.0,6.0,0.0,494.0,4.0,9.0,35.0,24.0,6.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,22.0,12,15.0,2.0,5.0,7.0,14.0,50.0,7.0,3.0,1.0,2.0,17,39,17.0,0.0,61.0,714.0,42.0,147.0,394.0,180.0,28.0,714.0,8.0,5.0,62.5,3.0,37.5,402.0,1984.0,1069.0,18.0,20.0,2.0,14.0,11.0,487.0,49.0,2,0,0,14,12,4,14,17,12,0.0,0.0,0,59.0,18.0,25.0,41.9,2.0
2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,0,9,1,11.1,0.0,0.0,18.7,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,1,0,1,100.0,1,0.0,0.0,1,0,0,1,5.0,15.0,33.3,12.0,0.0,33.3,30.6,11.0,100.0,62.2,7.0,0.0,0.0,0.0,10.0,373.0,477.0,78.2,6322.0,2534.0,165.0,189.0,87.3,159.0,188.0,84.6,28.0,59.0,47.5,0,0.6,0.8,5.0,34.0,6.0,1.0,46.0,477.0,422.0,53.0,18.0,3.0,3.0,16,19.0,4.0,0.0,3.0,0.0,373.0,2.0,10.0,17.0,11.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,8.0,5.0,3.0,8.0,16.0,50.0,8.0,7.0,1.0,6.0,5,21,13.0,0.0,54.0,570.0,36.0,117.0,288.0,167.0,18.0,570.0,14.0,9.0,64.3,5.0,35.7,313.0,1690.0,977.0,15.0,17.0,3.0,20.0,6.0,370.0,44.0,4,0,0,14,15,2,16,5,11,0.0,1.0,0,51.0,14.0,14.0,50.0,1.0
