Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-16,21:00 (12:00),La Liga,Matchweek 1,Fri,Away,L,0,1,Athletic Club,0,11,2,18.2,0.0,0.0,13.3,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,5,1,4,80.0,0,0.7,-0.3,0,0,0,0,4.0,8.0,50.0,28.0,9.0,21.4,27.4,10.0,20.0,31.7,9.0,1.0,11.1,1.0,18.0,604.0,717.0,84.2,9648.0,2816.0,305.0,331.0,92.1,213.0,239.0,89.1,58.0,91.0,63.7,0,0.6,0.7,9.0,47.0,7.0,2.0,47.0,717.0,663.0,53.0,16.0,1.0,3.0,16,17.0,8.0,6.0,0.0,0.0,604.0,1.0,12.0,19.0,11.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6,2.0,3.0,3.0,5.0,10.0,50.0,5.0,6.0,0.0,6.0,5,13,12.0,1.0,71.0,786.0,59.0,191.0,378.0,221.0,19.0,786.0,15.0,9.0,60.0,6.0,40.0,515.0,2724.0,1546.0,17.0,22.0,2.0,10.0,3.0,598.0,47.0,1,0,0,9,14,1,16,5,6,0.0,0.0,0,38.0,12.0,14.0,46.2,1.0
2019-08-25,21:00 (12:00),La Liga,Matchweek 2,Sun,Home,W,5,2,Betis,5,20,7,35.0,0.25,0.71,15.6,0.0,0,0,2.6,2.6,0.13,2.4,2.4,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,4.0,4.0,100.0,19.0,1.0,21.1,26.0,3.0,0.0,21.3,2.0,0.0,0.0,1.0,21.5,742.0,829.0,89.5,12018.0,3348.0,357.0,379.0,94.2,276.0,298.0,92.6,64.0,84.0,76.2,5,2.6,2.2,20.0,70.0,21.0,2.0,80.0,829.0,777.0,48.0,14.0,1.0,8.0,19,17.0,11.0,2.0,5.0,0.0,742.0,4.0,5.0,37.0,32.0,0.0,2.0,1.0,0.0,2.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,21.0,16,2.0,11.0,8.0,5.0,16.0,31.3,11.0,11.0,1.0,10.0,9,30,3.0,0.0,70.0,918.0,30.0,122.0,435.0,368.0,55.0,918.0,24.0,12.0,50.0,12.0,50.0,593.0,3073.0,1834.0,37.0,30.0,16.0,18.0,10.0,739.0,80.0,1,0,0,14,12,4,19,9,16,0.0,0.0,0,59.0,7.0,6.0,53.8,1.0
2019-08-31,17:00 (08:00),La Liga,Matchweek 3,Sat,Away,D,2,2,Osasuna,2,8,4,50.0,0.25,0.5,20.6,0.0,0,0,0.4,0.4,0.05,1.6,1.6,5,2,3,80.0,0,1.6,-0.4,1,1,0,0,2.0,4.0,50.0,26.0,4.0,7.7,21.4,9.0,22.2,26.4,14.0,0.0,0.0,0.0,17.0,662.0,774.0,85.5,10569.0,2907.0,340.0,375.0,90.7,246.0,273.0,90.1,54.0,82.0,65.9,2,0.3,0.6,7.0,59.0,7.0,2.0,64.0,774.0,717.0,56.0,16.0,6.0,4.0,14,26.0,2.0,1.0,0.0,0.0,662.0,1.0,8.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,12,10.0,3.0,3.0,3.0,12.0,25.0,9.0,5.0,3.0,2.0,6,22,16.0,0.0,73.0,871.0,62.0,222.0,434.0,218.0,15.0,871.0,21.0,13.0,61.9,8.0,38.1,544.0,3005.0,1802.0,23.0,18.0,3.0,21.0,10.0,658.0,64.0,4,0,0,9,15,1,14,6,12,0.0,1.0,0,49.0,18.0,18.0,50.0,1.0
2019-09-14,21:00 (12:00),La Liga,Matchweek 4,Sat,Home,W,5,2,Valencia,5,17,10,58.8,0.29,0.5,19.7,0.0,0,0,2.4,2.4,0.15,2.6,2.6,3,2,1,33.3,0,1.9,-0.1,0,0,0,0,0.0,2.0,0.0,19.0,4.0,10.5,24.0,4.0,0.0,21.5,6.0,1.0,16.7,1.0,13.4,724.0,795.0,91.1,10588.0,2734.0,397.0,419.0,94.7,255.0,276.0,92.4,37.0,47.0,78.7,4,1.5,1.5,14.0,64.0,12.0,0.0,64.0,795.0,762.0,33.0,11.0,3.0,1.0,9,13.0,2.0,2.0,0.0,0.0,724.0,0.0,7.0,28.0,21.0,0.0,5.0,2.0,0.0,0.0,9.0,7.0,0.0,1.0,1.0,0.0,0.0,16.0,10,3.0,8.0,5.0,9.0,16.0,56.3,7.0,8.0,2.0,6.0,7,23,15.0,0.0,64.0,887.0,46.0,123.0,439.0,332.0,30.0,887.0,21.0,16.0,76.2,5.0,23.8,584.0,3194.0,1817.0,37.0,41.0,10.0,14.0,6.0,721.0,64.0,1,0,0,11,10,0,9,7,10,0.0,0.0,0,48.0,5.0,3.0,62.5,1.0
2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,0,7,1,14.3,0.0,0.0,14.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,4,0,3,100.0,1,2.7,2.7,1,0,1,0,2.0,2.0,100.0,23.0,5.0,8.7,23.4,8.0,0.0,21.4,13.0,0.0,0.0,1.0,27.0,603.0,697.0,86.5,10680.0,3003.0,275.0,309.0,89.0,253.0,277.0,91.3,60.0,77.0,77.9,0,0.3,0.6,5.0,49.0,8.0,3.0,57.0,697.0,656.0,41.0,13.0,1.0,8.0,19,11.0,8.0,7.0,0.0,0.0,603.0,0.0,10.0,14.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9,7.0,8.0,5.0,10.0,26.0,38.5,16.0,9.0,2.0,7.0,14,34,17.0,1.0,59.0,806.0,75.0,185.0,382.0,244.0,19.0,806.0,21.0,12.0,57.1,9.0,42.9,451.0,2578.0,1369.0,17.0,23.0,2.0,12.0,9.0,598.0,57.0,3,0,0,10,10,0,19,14,9,0.0,1.0,0,45.0,8.0,12.0,40.0,2.0
2019-09-21,21:00 (12:00),La Liga,Matchweek 5,Sat,Away,L,0,2,Granada,0,8,1,12.5,0.0,0.0,20.8,2.0,0,0,0.5,0.5,0.07,-0.5,-0.5,4,2,2,75.0,0,2.2,0.2,1,1,0,0,2.0,4.0,50.0,23.0,3.0,8.7,25.1,5.0,40.0,31.6,6.0,1.0,16.7,1.0,13.3,607.0,698.0,87.0,9601.0,2708.0,303.0,330.0,91.8,231.0,261.0,88.5,40.0,58.0,69.0,0,0.4,0.9,5.0,40.0,8.0,1.0,46.0,698.0,636.0,61.0,21.0,3.0,6.0,13,27.0,5.0,4.0,1.0,0.0,607.0,1.0,5.0,13.0,8.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,6.0,7.0,3.0,5.0,17.0,29.4,12.0,6.0,0.0,6.0,6,22,7.0,2.0,73.0,777.0,44.0,180.0,420.0,185.0,27.0,777.0,23.0,11.0,47.8,12.0,52.2,507.0,2998.0,1741.0,28.0,20.0,8.0,13.0,8.0,607.0,46.0,2,0,0,12,22,1,13,6,9,0.0,1.0,0,43.0,10.0,11.0,47.6,1.0
2019-09-24,21:00 (12:00),La Liga,Matchweek 6,Tue,Home,W,2,1,Villarreal,2,8,4,50.0,0.25,0.5,16.8,1.0,0,0,0.5,0.5,0.06,1.5,1.5,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,3.0,6.0,50.0,29.0,6.0,10.3,26.6,8.0,37.5,39.8,8.0,0.0,0.0,2.0,15.5,594.0,682.0,87.1,9708.0,2911.0,288.0,313.0,92.0,213.0,238.0,89.5,61.0,77.0,79.2,2,0.4,1.2,6.0,41.0,11.0,0.0,51.0,682.0,622.0,56.0,15.0,0.0,3.0,9,25.0,6.0,3.0,2.0,0.0,594.0,4.0,12.0,16.0,14.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,8,4.0,8.0,2.0,5.0,12.0,41.7,7.0,16.0,5.0,11.0,10,24,12.0,1.0,57.0,779.0,59.0,177.0,370.0,237.0,46.0,779.0,23.0,13.0,56.5,10.0,43.5,480.0,2699.0,1515.0,28.0,26.0,14.0,16.0,11.0,594.0,51.0,4,0,0,4,13,4,9,10,8,0.0,0.0,0,42.0,8.0,7.0,53.3,1.0
2019-09-28,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,2,0,Getafe,2,10,6,60.0,0.2,0.33,19.1,0.0,0,0,1.3,1.3,0.14,0.7,0.7,1,0,1,100.0,1,0.4,0.4,0,0,0,0,8.0,12.0,66.7,26.0,5.0,23.1,29.8,12.0,50.0,37.1,11.0,0.0,0.0,2.0,21.0,394.0,501.0,78.6,7496.0,2759.0,170.0,203.0,83.7,145.0,171.0,84.8,65.0,89.0,73.0,1,0.7,0.5,6.0,31.0,2.0,0.0,34.0,501.0,439.0,59.0,26.0,3.0,11.0,6,19.0,1.0,0.0,0.0,0.0,394.0,3.0,8.0,16.0,13.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,10,7.0,7.0,0.0,5.0,10.0,50.0,5.0,5.0,2.0,3.0,9,23,18.0,0.0,61.0,597.0,70.0,217.0,279.0,108.0,11.0,597.0,17.0,11.0,64.7,6.0,35.3,319.0,1864.0,885.0,13.0,8.0,2.0,14.0,6.0,393.0,34.0,4,1,1,17,21,3,6,9,10,0.0,0.0,0,44.0,14.0,10.0,58.3,1.0
2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,2,1,it Inter,2,17,7,41.2,0.12,0.29,21.6,2.0,0,0,1.5,1.5,0.09,0.5,0.5,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,2.0,4.0,50.0,21.0,4.0,14.3,28.9,5.0,20.0,23.6,5.0,1.0,20.0,2.0,18.6,712.0,795.0,89.6,11673.0,3166.0,343.0,367.0,93.5,298.0,321.0,92.8,49.0,63.0,77.8,2,1.3,1.2,13.0,61.0,15.0,1.0,63.0,795.0,754.0,39.0,20.0,1.0,3.0,6,9.0,3.0,1.0,0.0,0.0,712.0,2.0,6.0,34.0,30.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,8,2.0,6.0,1.0,3.0,11.0,27.3,8.0,10.0,4.0,6.0,6,15,7.0,0.0,65.0,879.0,44.0,141.0,407.0,343.0,27.0,879.0,24.0,21.0,87.5,3.0,12.5,508.0,2815.0,1556.0,34.0,35.0,7.0,11.0,12.0,708.0,62.0,4,0,0,17,18,2,6,6,8,0.0,0.0,0,51.0,5.0,3.0,62.5,2.0
2019-10-06,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,4,0,Sevilla,4,15,8,53.3,0.27,0.5,20.2,3.0,0,0,2.1,2.1,0.14,1.9,1.9,4,0,4,100.0,1,0.7,0.7,0,0,0,0,1.0,8.0,12.5,31.0,5.0,16.1,26.6,11.0,27.3,32.9,20.0,1.0,5.0,1.0,7.9,515.0,583.0,88.3,8332.0,2708.0,252.0,266.0,94.7,185.0,198.0,93.4,49.0,71.0,69.0,3,1.9,0.6,11.0,31.0,7.0,1.0,42.0,583.0,542.0,38.0,11.0,2.0,4.0,6,8.0,7.0,3.0,1.0,0.0,515.0,3.0,6.0,28.0,19.0,1.0,4.0,1.0,2.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,21.0,13,11.0,8.0,2.0,7.0,17.0,41.2,10.0,11.0,4.0,7.0,9,30,29.0,1.0,56.0,708.0,90.0,222.0,328.0,167.0,23.0,708.0,34.0,25.0,73.5,9.0,26.5,432.0,2596.0,1396.0,25.0,20.0,9.0,17.0,11.0,512.0,42.0,5,2,0,10,9,3,6,9,13,0.0,0.0,0,53.0,11.0,12.0,47.8,1.0
2019-10-19,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,3,0,Eibar,3,9,4,44.4,0.33,0.75,19.7,1.0,0,0,1.5,1.5,0.16,1.5,1.5,0,0,0,,1,0.0,0.0,0,0,0,0,6.0,9.0,66.7,28.0,7.0,21.4,28.8,11.0,27.3,25.5,17.0,0.0,0.0,0.0,,524.0,633.0,82.8,8915.0,3361.0,247.0,280.0,88.2,210.0,234.0,89.7,48.0,72.0,66.7,3,1.4,1.3,8.0,27.0,6.0,0.0,33.0,633.0,578.0,48.0,14.0,4.0,6.0,4,20.0,2.0,1.0,0.0,0.0,524.0,7.0,8.0,17.0,14.0,0.0,1.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,7,8.0,4.0,2.0,5.0,13.0,38.5,8.0,4.0,1.0,3.0,8,22,24.0,0.0,56.0,720.0,96.0,323.0,264.0,138.0,27.0,720.0,12.0,9.0,75.0,3.0,25.0,366.0,2068.0,1093.0,26.0,16.0,9.0,11.0,5.0,522.0,33.0,0,0,0,14,15,7,4,8,7,0.0,0.0,0,56.0,13.0,12.0,52.0,1.0
