Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-13,21:00 (12:00),La Liga,Matchweek 1,Sun,Away,L,2,4,Valencia,2,19.0,8.0,42.1,0.11,0.25,16.4,0.0,0,0,2.0,2.0,0.11,0.0,0.0,8.0,4,4.0,50.0,0,3.3,-0.7,0,0,0,0,3.0,9.0,33.3,20.0,6.0,35.0,32.6,7.0,28.6,28.1,9.0,0.0,0.0,2.0,17.3,427.0,512.0,83.4,6808.0,2766.0,224.0,245.0,91.4,156.0,180.0,86.7,33.0,59.0,55.9,1,0.9,1.2,13.0,36.0,6.0,2.0,66.0,512.0,459.0,52.0,13.0,1.0,2.0,21.0,24.0,4.0,2.0,2.0,0.0,427.0,1.0,7.0,33.0,23.0,2.0,4.0,3.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,2.0,3.0,16.0,18.8,13.0,7.0,2.0,5.0,7.0,13,10.0,1.0,56.0,593.0,47.0,150.0,283.0,172.0,19.0,593.0,21.0,13.0,61.9,8.0,38.1,365.0,2107.0,1207.0,25.0,19.0,4.0,13.0,8.0,420.0,65.0,3,0,0,14.0,9.0,1.0,21.0,7.0,2.0,0.0,0.0,0,55.0,12.0,14.0,46.2,1
2020-09-27,12:00 (03:00),La Liga,Matchweek 3,Sun,Away,W,3,1,Osasuna,3,10.0,4.0,40.0,0.3,0.75,14.8,0.0,0,1,3.1,2.3,0.23,-0.1,0.7,3.0,1,2.0,66.7,0,0.6,-0.4,0,0,0,0,3.0,17.0,17.6,17.0,2.0,76.5,49.5,9.0,44.4,39.2,12.0,0.0,0.0,4.0,21.2,342.0,486.0,70.4,6093.0,2560.0,165.0,188.0,87.8,120.0,158.0,75.9,45.0,103.0,43.7,3,2.2,1.7,8.0,31.0,9.0,1.0,40.0,486.0,420.0,59.0,16.0,1.0,4.0,18.0,25.0,7.0,1.0,2.0,0.0,342.0,7.0,13.0,20.0,17.0,1.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,7.0,1.0,2.0,7.0,9.0,77.8,2.0,5.0,1.0,4.0,7.0,17,14.0,0.0,59.0,556.0,49.0,205.0,231.0,126.0,25.0,555.0,19.0,13.0,68.4,6.0,31.6,234.0,1352.0,663.0,20.0,13.0,6.0,8.0,9.0,340.0,40.0,0,0,0,16.0,13.0,7.0,18.0,7.0,7.0,0.0,0.0,0,56.0,20.0,22.0,47.6,1
2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,L,0,1,Sevilla,0,3.0,1.0,33.3,0.0,0.0,19.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,2.0,1,1.0,50.0,0,0.4,-0.6,0,0,0,0,7.0,18.0,38.9,20.0,3.0,65.0,41.8,16.0,31.3,27.0,18.0,0.0,0.0,1.0,26.0,255.0,344.0,74.1,4591.0,2024.0,118.0,137.0,86.1,89.0,109.0,81.7,34.0,68.0,50.0,0,0.1,0.1,2.0,15.0,0.0,0.0,21.0,344.0,284.0,59.0,15.0,1.0,3.0,11.0,22.0,4.0,2.0,2.0,0.0,255.0,1.0,13.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,7.0,0.0,6.0,10.0,60.0,4.0,6.0,3.0,3.0,10.0,22,16.0,1.0,36.0,430.0,75.0,186.0,183.0,65.0,4.0,430.0,22.0,12.0,54.5,10.0,45.5,214.0,969.0,440.0,9.0,10.0,1.0,17.0,6.0,251.0,20.0,2,0,0,17.0,14.0,1.0,11.0,10.0,6.0,0.0,0.0,0,36.0,9.0,14.0,39.1,1
2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Home,L,0,2,Real Madrid,0,11.0,4.0,36.4,0.0,0.0,19.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,3.0,2,1.0,33.3,0,1.5,-0.5,0,0,0,0,4.0,9.0,44.4,29.0,6.0,20.7,25.4,11.0,27.3,24.8,14.0,0.0,0.0,3.0,22.0,361.0,462.0,78.1,5602.0,2212.0,203.0,225.0,90.2,120.0,149.0,80.5,24.0,57.0,42.1,0,0.4,0.9,8.0,24.0,5.0,0.0,36.0,462.0,418.0,41.0,9.0,0.0,4.0,16.0,15.0,4.0,2.0,1.0,0.0,361.0,3.0,5.0,19.0,16.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,9.0,2.0,5.0,20.0,25.0,15.0,8.0,4.0,4.0,11.0,22,22.0,1.0,45.0,559.0,78.0,219.0,242.0,103.0,12.0,559.0,18.0,9.0,50.0,9.0,50.0,335.0,1675.0,876.0,16.0,11.0,1.0,16.0,10.0,357.0,36.0,2,0,0,14.0,6.0,3.0,16.0,11.0,3.0,0.0,0.0,0,53.0,7.0,8.0,46.7,1
2020-10-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Away,L,0,2,Athletic Club,0,6.0,1.0,16.7,0.0,0.0,20.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,4.0,2,2.0,50.0,0,2.2,0.2,0,0,0,0,3.0,12.0,25.0,19.0,3.0,47.4,37.2,11.0,36.4,33.8,12.0,0.0,0.0,1.0,12.3,298.0,397.0,75.1,5488.0,2283.0,134.0,154.0,87.0,125.0,155.0,80.6,34.0,67.0,50.7,0,0.2,0.3,4.0,27.0,6.0,2.0,33.0,397.0,344.0,51.0,14.0,0.0,4.0,14.0,20.0,3.0,0.0,2.0,0.0,298.0,2.0,6.0,9.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,11.0,8.0,0.0,4.0,11.0,36.4,7.0,14.0,4.0,10.0,9.0,28,23.0,1.0,48.0,493.0,61.0,177.0,206.0,116.0,16.0,493.0,13.0,9.0,69.2,4.0,30.8,292.0,1345.0,641.0,15.0,9.0,3.0,13.0,12.0,293.0,32.0,1,0,0,10.0,11.0,2.0,14.0,9.0,13.0,0.0,0.0,0,42.0,9.0,21.0,30.0,1
2020-10-26,21:00 (13:00),La Liga,Matchweek 7,Mon,Home,D,1,1,Celta Vigo,1,9.0,2.0,22.2,0.0,0.0,24.5,1.0,1,1,1.2,0.5,0.05,-0.2,-0.5,3.0,1,2.0,66.7,0,0.5,-0.5,0,0,0,0,6.0,9.0,66.7,14.0,5.0,50.0,40.2,4.0,50.0,45.3,14.0,0.0,0.0,0.0,4.0,434.0,551.0,78.8,7906.0,3152.0,211.0,245.0,86.1,163.0,194.0,84.0,52.0,81.0,64.2,0,0.4,0.4,6.0,54.0,14.0,2.0,61.0,551.0,500.0,46.0,17.0,0.0,11.0,16.0,20.0,3.0,1.0,0.0,0.0,434.0,5.0,8.0,20.0,14.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,7.0,11.0,3.0,3.0,10.0,17.0,58.8,7.0,12.0,5.0,7.0,20.0,37,14.0,0.0,58.0,676.0,47.0,196.0,297.0,188.0,26.0,675.0,17.0,12.0,70.6,5.0,29.4,331.0,1757.0,918.0,25.0,12.0,6.0,23.0,12.0,431.0,61.0,2,0,0,11.0,17.0,5.0,16.0,20.0,7.0,1.0,0.0,0,66.0,8.0,10.0,44.4,1
2020-11-01,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,D,1,1,Granada,1,19.0,4.0,21.1,0.05,0.25,19.3,1.0,0,0,0.9,0.9,0.05,0.1,0.1,2.0,1,1.0,50.0,0,0.5,-0.5,0,0,0,0,1.0,2.0,50.0,17.0,4.0,11.8,26.1,5.0,0.0,22.4,7.0,0.0,0.0,1.0,19.5,441.0,541.0,81.5,7842.0,2667.0,203.0,228.0,89.0,162.0,195.0,83.1,59.0,81.0,72.8,1,0.8,1.6,16.0,44.0,23.0,4.0,78.0,541.0,497.0,44.0,9.0,0.0,6.0,36.0,20.0,8.0,3.0,1.0,0.0,441.0,0.0,11.0,36.0,31.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,1.0,1.0,3.0,10.0,30.0,7.0,5.0,0.0,5.0,7.0,15,14.0,0.0,70.0,619.0,38.0,97.0,265.0,259.0,32.0,619.0,7.0,4.0,57.1,3.0,42.9,342.0,2189.0,1336.0,26.0,30.0,2.0,15.0,5.0,437.0,78.0,3,0,0,14.0,7.0,0.0,36.0,7.0,6.0,0.0,0.0,0,39.0,22.0,14.0,61.1,1
2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Alavés,1,17.0,5.0,29.4,0.06,0.2,17.6,1.0,0,0,2.1,2.1,0.12,-1.1,-1.1,2.0,1,1.0,50.0,0,0.5,-0.5,0,0,0,0,3.0,4.0,75.0,20.0,7.0,20.0,27.7,2.0,0.0,27.5,5.0,0.0,0.0,3.0,31.3,479.0,599.0,80.0,8397.0,2867.0,216.0,251.0,86.1,175.0,214.0,81.8,61.0,85.0,71.8,0,1.9,1.9,12.0,38.0,24.0,4.0,80.0,599.0,538.0,55.0,16.0,0.0,3.0,32.0,23.0,12.0,4.0,0.0,0.0,479.0,6.0,8.0,30.0,26.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,5.0,9.0,2.0,4.0,11.0,36.4,7.0,4.0,3.0,1.0,18.0,34,4.0,0.0,71.0,692.0,34.0,120.0,299.0,274.0,43.0,692.0,20.0,10.0,50.0,10.0,50.0,436.0,2311.0,1356.0,30.0,24.0,9.0,14.0,8.0,476.0,79.0,1,0,0,12.0,15.0,6.0,32.0,18.0,8.0,0.0,0.0,0,62.0,12.0,19.0,38.7,1
2020-11-21,14:00 (05:00),La Liga,Matchweek 10,Sat,Home,D,1,1,Elche,1,13.0,5.0,38.5,0.08,0.2,22.7,0.0,0,0,0.7,0.7,0.06,0.3,0.3,5.0,1,4.0,80.0,0,0.6,-0.4,0,0,0,0,1.0,8.0,12.5,28.0,9.0,17.9,27.9,4.0,75.0,59.8,14.0,0.0,0.0,3.0,20.8,334.0,414.0,80.7,5733.0,2186.0,155.0,171.0,90.6,142.0,166.0,85.5,29.0,59.0,49.2,1,0.6,0.9,9.0,29.0,10.0,1.0,52.0,414.0,368.0,46.0,12.0,0.0,1.0,17.0,23.0,5.0,2.0,0.0,0.0,334.0,0.0,8.0,20.0,14.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,8.0,2.0,9.0,6.0,6.0,16.0,37.5,10.0,11.0,5.0,6.0,12.0,29,14.0,0.0,44.0,521.0,42.0,120.0,247.0,162.0,20.0,521.0,19.0,9.0,47.4,10.0,52.6,338.0,1949.0,951.0,15.0,15.0,4.0,9.0,15.0,332.0,52.0,1,0,0,15.0,11.0,0.0,17.0,12.0,8.0,0.0,0.0,0,56.0,7.0,7.0,50.0,1
2020-11-27,21:00 (12:00),La Liga,Matchweek 11,Fri,Away,D,1,1,Valladolid,1,9.0,2.0,22.2,0.0,0.0,24.4,0.0,1,1,1.1,0.3,0.04,-0.1,-0.3,4.0,1,3.0,75.0,0,0.9,-0.1,0,0,0,0,1.0,6.0,16.7,21.0,4.0,23.8,28.0,8.0,12.5,19.4,15.0,1.0,6.7,0.0,7.2,409.0,528.0,77.5,7464.0,2975.0,189.0,215.0,87.9,154.0,188.0,81.9,57.0,98.0,58.2,0,0.2,0.4,5.0,41.0,8.0,2.0,49.0,528.0,466.0,61.0,20.0,0.0,14.0,27.0,20.0,11.0,9.0,0.0,0.0,409.0,1.0,11.0,16.0,12.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,9.0,4.0,5.0,4.0,6.0,13.0,46.2,7.0,3.0,0.0,3.0,8.0,21,14.0,0.0,64.0,632.0,48.0,190.0,303.0,144.0,19.0,631.0,16.0,10.0,62.5,6.0,37.5,320.0,1663.0,972.0,23.0,11.0,3.0,17.0,10.0,407.0,49.0,3,0,0,11.0,16.0,1.0,27.0,8.0,9.0,1.0,0.0,0,55.0,14.0,13.0,51.9,1
