Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Away,W,1,0,Alavés,1,11.0,4.0,36.4,0.09,0.25,20.9,1.0,0,0,0.4,0.4,0.04,0.6,0.6,2.0,0,2.0,100.0,1,1.0,1.0,0,0,0,0,6.0,20.0,30.0,27.0,4.0,63.0,45.5,4.0,75.0,54.5,10.0,0.0,0.0,1.0,27.0,366.0,470.0,77.9,6436.0,2290.0,164.0,190.0,86.3,151.0,170.0,88.8,39.0,83.0,47.0,1,0.3,0.4,7.0,26.0,8.0,3.0,30.0,470.0,409.0,58.0,26.0,0.0,1.0,12.0,23.0,4.0,1.0,2.0,0.0,366.0,3.0,8.0,19.0,14.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,12.0,11.0,3.0,1.0,11.0,16.0,68.8,5.0,9.0,2.0,7.0,7.0,22,11.0,0.0,57.0,547.0,38.0,139.0,283.0,125.0,9.0,547.0,9.0,7.0,77.8,2.0,22.2,255.0,1194.0,582.0,9.0,6.0,2.0,15.0,10.0,362.0,29.0,3,0,0,17.0,17.0,3.0,12.0,7.0,12.0,0.0,0.0,0,40.0,8.0,23.0,25.8,1
2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,0,Valladolid,2,15.0,5.0,33.3,0.07,0.2,21.3,0.0,1,1,1.6,0.8,0.05,0.4,0.2,2.0,0,2.0,100.0,1,0.5,0.5,0,0,0,0,4.0,15.0,26.7,21.0,4.0,61.9,48.2,2.0,100.0,62.0,13.0,0.0,0.0,0.0,,439.0,553.0,79.4,7644.0,2675.0,199.0,225.0,88.4,175.0,201.0,87.1,44.0,84.0,52.4,1,0.8,0.5,14.0,38.0,3.0,1.0,45.0,553.0,511.0,41.0,13.0,1.0,5.0,17.0,20.0,5.0,2.0,3.0,0.0,439.0,1.0,9.0,30.0,22.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,8.0,8.0,1.0,3.0,13.0,23.1,10.0,6.0,4.0,2.0,13.0,30,20.0,0.0,56.0,677.0,43.0,164.0,340.0,176.0,21.0,676.0,18.0,14.0,77.8,4.0,22.2,404.0,1647.0,888.0,31.0,19.0,8.0,18.0,9.0,435.0,45.0,3,0,0,18.0,9.0,1.0,17.0,13.0,10.0,0.0,0.0,0,59.0,20.0,12.0,62.5,1
2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Home,L,2,3,Real Madrid,2,15.0,5.0,33.3,0.13,0.4,18.1,1.0,0,0,1.2,1.2,0.08,0.8,0.8,4.0,3,2.0,50.0,0,2.3,0.3,1,1,0,0,7.0,21.0,33.3,25.0,3.0,68.0,46.2,9.0,44.4,38.1,12.0,0.0,0.0,3.0,22.2,395.0,490.0,80.6,5992.0,2319.0,215.0,233.0,92.3,103.0,130.0,79.2,37.0,65.0,56.9,2,1.0,1.0,12.0,24.0,8.0,2.0,34.0,490.0,434.0,55.0,16.0,0.0,6.0,13.0,18.0,8.0,1.0,4.0,0.0,395.0,1.0,10.0,27.0,20.0,3.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,7.0,10.0,5.0,1.0,6.0,17.0,35.3,11.0,10.0,0.0,10.0,14.0,30,12.0,1.0,45.0,569.0,59.0,149.0,241.0,180.0,20.0,569.0,11.0,6.0,54.5,5.0,45.5,338.0,1274.0,588.0,17.0,11.0,8.0,10.0,9.0,394.0,34.0,5,1,0,9.0,10.0,1.0,13.0,14.0,7.0,0.0,1.0,1,45.0,12.0,12.0,50.0,1
2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Away,L,0,3,Getafe,0,10.0,2.0,20.0,0.0,0.0,21.8,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,4.0,3,1.0,25.0,0,1.9,-1.1,0,0,0,0,7.0,13.0,53.8,31.0,5.0,41.9,33.3,6.0,0.0,12.7,7.0,0.0,0.0,1.0,18.8,553.0,669.0,82.7,9611.0,3487.0,258.0,282.0,91.5,212.0,245.0,86.5,64.0,102.0,62.7,0,0.2,0.3,5.0,24.0,5.0,1.0,40.0,669.0,613.0,55.0,17.0,1.0,7.0,14.0,24.0,4.0,0.0,2.0,0.0,553.0,1.0,13.0,17.0,10.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,6.0,10.0,3.0,6.0,18.0,33.3,12.0,14.0,3.0,11.0,14.0,33,12.0,1.0,69.0,797.0,52.0,270.0,423.0,111.0,13.0,797.0,27.0,18.0,66.7,9.0,33.3,538.0,1770.0,825.0,8.0,9.0,2.0,24.0,12.0,550.0,39.0,4,1,1,17.0,14.0,1.0,14.0,14.0,8.0,0.0,0.0,0,62.0,20.0,16.0,55.6,1
2020-10-03,21:00 (12:00),La Liga,Matchweek 5,Sat,Away,W,2,0,Valencia,2,17.0,8.0,47.1,0.12,0.25,17.2,1.0,0,0,2.0,2.0,0.12,0.0,0.0,2.0,0,2.0,100.0,1,0.8,0.8,0,0,0,0,5.0,17.0,29.4,20.0,4.0,50.0,41.6,8.0,87.5,61.9,9.0,1.0,11.1,1.0,15.3,416.0,508.0,81.9,6964.0,2267.0,212.0,228.0,93.0,132.0,149.0,88.6,49.0,88.0,55.7,2,1.6,1.2,14.0,24.0,9.0,2.0,45.0,508.0,451.0,57.0,15.0,1.0,9.0,20.0,26.0,7.0,0.0,5.0,0.0,416.0,0.0,9.0,32.0,22.0,3.0,4.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,14.0,10.0,4.0,7.0,3.0,8.0,18.0,44.4,10.0,8.0,2.0,6.0,11.0,25,11.0,1.0,53.0,605.0,42.0,124.0,242.0,246.0,27.0,605.0,30.0,21.0,70.0,9.0,30.0,318.0,1549.0,773.0,23.0,18.0,6.0,11.0,4.0,416.0,45.0,2,0,0,14.0,11.0,0.0,20.0,11.0,10.0,0.0,0.0,0,50.0,11.0,16.0,40.7,1
2020-10-18,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,L,0,3,Real Sociedad,0,7.0,1.0,14.3,0.0,0.0,16.2,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,5.0,3,2.0,60.0,0,1.9,-1.1,1,1,0,0,8.0,20.0,40.0,34.0,3.0,52.9,38.7,5.0,40.0,43.4,11.0,1.0,9.1,2.0,16.0,413.0,540.0,76.5,7602.0,2465.0,179.0,212.0,84.4,139.0,167.0,83.2,67.0,111.0,60.4,0,0.3,0.4,5.0,28.0,1.0,1.0,24.0,540.0,478.0,60.0,27.0,0.0,10.0,16.0,18.0,6.0,0.0,5.0,0.0,413.0,2.0,13.0,11.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,3.0,0.0,4.0,12.0,33.3,8.0,10.0,1.0,9.0,12.0,20,12.0,0.0,55.0,630.0,57.0,205.0,315.0,115.0,10.0,630.0,14.0,9.0,64.3,5.0,35.7,372.0,1659.0,740.0,11.0,13.0,4.0,8.0,17.0,410.0,23.0,2,0,0,11.0,18.0,2.0,16.0,12.0,6.0,0.0,1.0,0,57.0,30.0,20.0,60.0,1
2020-10-24,21:00 (12:00),La Liga,Matchweek 7,Sat,Away,L,0,2,Atlético Madrid,0,12.0,3.0,25.0,0.0,0.0,22.8,0.0,0,0,1.1,1.1,0.09,-1.1,-1.1,6.0,2,4.0,66.7,0,1.6,-0.4,0,0,0,0,8.0,15.0,53.3,31.0,3.0,38.7,30.2,7.0,42.9,40.7,8.0,1.0,12.5,1.0,11.5,510.0,610.0,83.6,8732.0,2759.0,232.0,255.0,91.0,209.0,236.0,88.6,49.0,84.0,58.3,0,1.0,0.8,11.0,40.0,8.0,3.0,50.0,610.0,554.0,55.0,22.0,1.0,2.0,25.0,18.0,5.0,0.0,4.0,0.0,510.0,1.0,9.0,22.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,5.0,8.0,1.0,4.0,13.0,30.8,9.0,15.0,1.0,14.0,13.0,27,10.0,0.0,60.0,719.0,59.0,178.0,371.0,176.0,25.0,719.0,22.0,12.0,54.5,10.0,45.5,369.0,2057.0,1034.0,19.0,21.0,6.0,10.0,6.0,503.0,50.0,0,1,0,12.0,18.0,1.0,25.0,13.0,9.0,0.0,0.0,0,55.0,13.0,17.0,43.3,1
2020-11-01,14:00 (05:00),La Liga,Matchweek 8,Sun,Home,W,3,1,Elche,3,16.0,9.0,56.3,0.19,0.33,16.6,0.0,0,1,3.2,2.4,0.15,-0.2,0.6,2.0,1,1.0,50.0,0,1.0,0.0,0,0,0,0,2.0,9.0,22.2,32.0,2.0,21.9,31.0,2.0,100.0,71.5,1.0,0.0,0.0,0.0,10.0,616.0,693.0,88.9,10960.0,3129.0,272.0,288.0,94.4,252.0,275.0,91.6,73.0,99.0,73.7,3,2.1,1.6,11.0,44.0,13.0,2.0,54.0,693.0,653.0,40.0,15.0,0.0,6.0,15.0,20.0,1.0,0.0,0.0,0.0,616.0,0.0,7.0,31.0,24.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,11.0,5.0,9.0,4.0,8.0,18.0,44.4,10.0,4.0,0.0,4.0,17.0,35,3.0,0.0,59.0,779.0,39.0,192.0,394.0,199.0,29.0,778.0,19.0,12.0,63.2,7.0,36.8,522.0,2000.0,1030.0,18.0,19.0,4.0,7.0,5.0,614.0,54.0,2,0,0,13.0,12.0,0.0,15.0,17.0,11.0,1.0,0.0,0,47.0,5.0,9.0,35.7,1
2020-11-07,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,L,2,5,Barcelona,2,12.0,6.0,50.0,0.17,0.33,16.1,0.0,0,0,1.1,1.1,0.09,0.9,0.9,9.0,5,3.0,55.6,0,3.4,-1.6,2,1,1,0,9.0,17.0,52.9,31.0,6.0,41.9,32.8,9.0,44.4,33.1,11.0,1.0,9.1,0.0,9.4,364.0,449.0,81.1,6259.0,2160.0,183.0,208.0,88.0,142.0,156.0,91.0,31.0,61.0,50.8,1,0.9,0.7,8.0,16.0,6.0,1.0,25.0,449.0,402.0,46.0,11.0,0.0,2.0,10.0,15.0,5.0,1.0,4.0,0.0,364.0,1.0,6.0,20.0,14.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,11.0,1.0,1.0,6.0,15.0,40.0,9.0,9.0,1.0,8.0,11.0,24,11.0,0.0,41.0,534.0,77.0,217.0,231.0,91.0,19.0,534.0,11.0,7.0,63.6,4.0,36.4,340.0,1539.0,857.0,16.0,10.0,3.0,13.0,4.0,361.0,25.0,2,1,0,10.0,8.0,1.0,10.0,11.0,7.0,0.0,2.0,0,41.0,7.0,5.0,58.3,1
2020-11-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0,4,Athletic Club,0,7.0,1.0,14.3,0.0,0.0,17.5,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,9.0,4,6.0,55.6,0,3.0,0.0,0,0,0,0,2.0,7.0,28.6,28.0,10.0,17.9,25.9,3.0,66.7,41.3,17.0,0.0,0.0,1.0,11.7,468.0,568.0,82.4,7793.0,2657.0,244.0,270.0,90.4,177.0,207.0,85.5,40.0,67.0,59.7,0,0.4,0.5,7.0,25.0,7.0,1.0,44.0,568.0,517.0,47.0,18.0,1.0,6.0,15.0,18.0,3.0,0.0,2.0,0.0,468.0,4.0,6.0,14.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,10.0,9.0,1.0,7.0,16.0,43.8,9.0,9.0,3.0,6.0,16.0,36,22.0,0.0,59.0,691.0,69.0,220.0,323.0,154.0,14.0,691.0,22.0,8.0,36.4,14.0,63.6,437.0,2427.0,1233.0,15.0,18.0,1.0,16.0,8.0,465.0,43.0,0,0,0,8.0,15.0,4.0,15.0,16.0,9.0,0.0,0.0,1,45.0,10.0,16.0,38.5,1
