Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,0,16,4,25.0,0.0,0.0,20.1,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,1,0,1,100.0,1.0,0.4,0.4,0,0,0,0,2.0,9.0,22.2,31.0,4.0,19.4,29.7,6.0,50.0,36.8,7.0,0.0,0.0,0.0,,640.0,741.0,86.4,11112.0,3073.0,300.0,320.0,93.8,265.0,288.0,92.0,59.0,93.0,63.4,0,0.9,1.0,15.0,54.0,8.0,0.0,61.0,741.0,680.0,58.0,19.0,1.0,8.0,20,21.0,11.0,4.0,1.0,0.0,640.0,3.0,8.0,28.0,20.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7,3.0,8.0,4.0,5.0,12.0,41.7,7.0,4.0,1.0,3.0,10,25,8.0,0.0,68,831.0,46.0,186.0,418.0,237.0,25.0,831.0,25.0,15.0,60.0,10.0,40.0,589.0,2649.0,1326.0,23.0,21.0,9.0,13.0,7.0,640.0,61.0,2,0,0,12,17,3,20,10,7,0.0,0.0,0,50.0,15.0,8.0,65.2,1.0
2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,2,10,3,30.0,0.1,0.33,12.0,1.0,1,1,3.8,3.0,0.3,-1.8,-2.0,5,2,3,60.0,0.0,2.0,0.0,0,0,0,0,0.0,3.0,0.0,27.0,4.0,7.4,26.3,8.0,12.5,32.5,9.0,2.0,22.2,1.0,10.7,494.0,591.0,83.6,8433.0,2690.0,225.0,244.0,92.2,190.0,215.0,88.4,57.0,86.0,66.3,1,2.4,1.7,8.0,28.0,9.0,2.0,44.0,591.0,537.0,46.0,8.0,0.0,9.0,16,24.0,3.0,3.0,0.0,0.0,494.0,8.0,10.0,21.0,17.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,12,7.0,5.0,2.0,5.0,11.0,45.5,6.0,14.0,5.0,9.0,10,24,11.0,0.0,55,678.0,59.0,191.0,358.0,133.0,24.0,677.0,17.0,11.0,64.7,6.0,35.3,359.0,2120.0,1181.0,24.0,14.0,8.0,8.0,10.0,492.0,44.0,2,0,0,10,8,8,16,10,12,0.0,0.0,0,49.0,12.0,12.0,50.0,1.0
2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,1,15,5,33.3,0.07,0.2,14.8,0.0,0,0,2.3,2.3,0.16,-1.3,-1.3,5,0,5,100.0,1.0,0.8,0.8,0,0,0,0,3.0,7.0,42.9,30.0,6.0,10.0,28.0,9.0,44.4,42.7,19.0,0.0,0.0,2.0,17.3,529.0,625.0,84.6,10015.0,3624.0,216.0,244.0,88.5,244.0,266.0,91.7,66.0,88.0,75.0,0,1.0,0.8,11.0,55.0,10.0,1.0,67.0,625.0,582.0,41.0,8.0,0.0,7.0,22,19.0,4.0,1.0,2.0,0.0,529.0,2.0,12.0,24.0,15.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10,6.0,3.0,2.0,6.0,9.0,66.7,3.0,4.0,0.0,4.0,9,20,25.0,0.0,62,724.0,66.0,215.0,326.0,186.0,29.0,724.0,34.0,26.0,76.5,8.0,23.5,501.0,2517.0,1345.0,21.0,16.0,7.0,7.0,7.0,523.0,67.0,2,0,0,11,6,2,22,9,10,0.0,0.0,0,45.0,15.0,11.0,57.7,1.0
2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,2,13,3,23.1,0.15,0.67,15.7,0.0,0,0,2.2,2.2,0.17,-0.2,-0.2,4,0,4,100.0,1.0,0.3,0.3,0,0,0,0,3.0,19.0,15.8,37.0,4.0,37.8,35.5,10.0,50.0,46.2,11.0,0.0,0.0,2.0,27.0,465.0,569.0,81.7,7290.0,2441.0,228.0,251.0,90.8,162.0,186.0,87.1,38.0,79.0,48.1,1,2.1,2.2,12.0,20.0,10.0,1.0,47.0,569.0,510.0,58.0,16.0,1.0,8.0,25,25.0,6.0,1.0,5.0,0.0,465.0,1.0,6.0,25.0,19.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,11,8.0,8.0,3.0,9.0,18.0,50.0,9.0,5.0,1.0,4.0,20,39,14.0,0.0,55,671.0,69.0,192.0,282.0,208.0,30.0,671.0,20.0,15.0,75.0,5.0,25.0,366.0,2116.0,1191.0,30.0,18.0,9.0,14.0,6.0,462.0,47.0,1,0,0,8,14,1,25,20,11,0.0,0.0,0,57.0,8.0,7.0,53.3,1.0
2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,0,14,2,14.3,0.0,0.0,19.5,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,4,1,3,75.0,0.0,0.8,-0.2,0,0,0,0,1.0,2.0,50.0,20.0,9.0,0.0,16.5,10.0,20.0,27.2,22.0,3.0,13.6,0.0,7.3,590.0,699.0,84.4,9534.0,3505.0,283.0,311.0,91.0,221.0,248.0,89.1,46.0,78.0,59.0,0,0.9,1.4,11.0,69.0,13.0,4.0,79.0,699.0,647.0,46.0,6.0,0.0,5.0,29,24.0,4.0,2.0,1.0,0.0,590.0,6.0,8.0,24.0,20.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,5.0,3.0,1.0,3.0,5.0,60.0,2.0,7.0,1.0,6.0,12,21,16.0,2.0,75,787.0,58.0,199.0,349.0,245.0,29.0,787.0,18.0,13.0,72.2,5.0,27.8,512.0,2862.0,1767.0,34.0,14.0,7.0,14.0,9.0,587.0,79.0,2,0,0,7,5,6,29,12,6,0.0,0.0,0,44.0,15.0,19.0,44.1,1.0
2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,2,12,5,41.7,0.17,0.4,22.1,0.0,0,0,1.0,1.0,0.08,1.0,1.0,5,3,3,40.0,0.0,2.7,0.7,0,0,0,0,0.0,0.0,,10.0,1.0,0.0,20.4,2.0,0.0,26.5,1.0,0.0,0.0,1.0,20.0,618.0,717.0,86.2,10282.0,2388.0,292.0,318.0,91.8,251.0,280.0,89.6,53.0,74.0,71.6,1,0.6,0.9,9.0,65.0,13.0,5.0,63.0,717.0,676.0,37.0,9.0,1.0,4.0,37,15.0,7.0,1.0,1.0,0.0,618.0,4.0,7.0,21.0,17.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,31.0,18,9.0,12.0,10.0,4.0,18.0,22.2,14.0,5.0,0.0,5.0,11,42,4.0,0.0,59,798.0,25.0,73.0,408.0,321.0,33.0,798.0,23.0,14.0,60.9,9.0,39.1,506.0,2866.0,1657.0,29.0,32.0,12.0,8.0,4.0,615.0,63.0,2,0,0,11,8,4,37,11,18,0.0,0.0,1,62.0,8.0,9.0,47.1,2.0
2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,3,14,8,57.1,0.14,0.25,15.5,0.0,1,1,3.0,2.2,0.16,0.0,-0.2,4,1,3,75.0,0.0,1.9,0.9,0,0,0,0,0.0,5.0,0.0,26.0,9.0,7.7,21.4,6.0,50.0,41.7,10.0,0.0,0.0,3.0,18.8,493.0,570.0,86.5,8002.0,2715.0,238.0,258.0,92.2,203.0,213.0,95.3,33.0,57.0,57.9,2,1.8,1.0,12.0,38.0,5.0,0.0,39.0,570.0,535.0,34.0,10.0,2.0,7.0,14,9.0,7.0,2.0,4.0,0.0,493.0,1.0,11.0,27.0,18.0,3.0,2.0,3.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,22.0,11,15.0,6.0,1.0,7.0,26.0,26.9,19.0,13.0,4.0,9.0,18,40,22.0,0.0,47,693.0,79.0,254.0,281.0,165.0,28.0,692.0,14.0,9.0,64.3,5.0,35.7,385.0,2552.0,1429.0,29.0,20.0,7.0,12.0,8.0,489.0,39.0,2,0,0,13,10,1,14,18,11,1.0,0.0,0,51.0,6.0,8.0,42.9,1.0
2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,2,22,6,27.3,0.09,0.33,15.2,0.0,0,0,2.6,2.6,0.12,-0.6,-0.6,5,2,3,60.0,0.0,1.9,-0.1,0,0,0,0,0.0,1.0,0.0,36.0,6.0,2.8,20.8,3.0,0.0,19.0,4.0,1.0,25.0,5.0,24.0,719.0,824.0,87.3,12758.0,3639.0,297.0,320.0,92.8,311.0,344.0,90.4,76.0,99.0,76.8,2,2.3,2.4,18.0,59.0,15.0,2.0,79.0,824.0,766.0,58.0,22.0,0.0,17.0,34,22.0,8.0,5.0,2.0,0.0,719.0,0.0,13.0,36.0,27.0,3.0,1.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,5,4.0,4.0,2.0,4.0,18.0,22.2,14.0,9.0,2.0,7.0,13,23,2.0,0.0,65,910.0,49.0,173.0,507.0,238.0,32.0,910.0,22.0,16.0,72.7,6.0,27.3,641.0,3043.0,1424.0,22.0,11.0,3.0,5.0,9.0,713.0,78.0,1,0,0,7,20,0,34,13,5,0.0,0.0,0,50.0,8.0,7.0,53.3,2.0
2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,4,13,6,46.2,0.31,0.67,16.9,0.0,0,0,2.3,2.3,0.18,1.7,1.7,2,1,1,50.0,0.0,0.8,-0.2,0,0,0,0,0.0,3.0,0.0,24.0,5.0,8.3,25.2,7.0,14.3,34.1,15.0,1.0,6.7,4.0,26.8,628.0,717.0,87.6,10175.0,3478.0,294.0,317.0,92.7,243.0,261.0,93.1,57.0,86.0,66.3,4,2.2,1.6,12.0,54.0,11.0,3.0,60.0,717.0,662.0,53.0,10.0,2.0,5.0,20,28.0,6.0,2.0,1.0,0.0,628.0,2.0,8.0,23.0,19.0,1.0,3.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,18.0,11,4.0,6.0,8.0,8.0,17.0,47.1,9.0,5.0,1.0,4.0,5,23,11.0,0.0,60,793.0,52.0,178.0,393.0,230.0,33.0,793.0,24.0,16.0,66.7,8.0,33.3,528.0,2673.0,1239.0,19.0,16.0,10.0,10.0,9.0,626.0,60.0,0,0,0,16,9,2,20,5,11,0.0,0.0,0,47.0,5.0,8.0,38.5,1.0
2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,3,12,7,58.3,0.25,0.43,15.1,0.0,0,0,1.2,1.2,0.1,1.8,1.8,3,2,1,33.3,0.0,1.1,-0.9,0,0,0,0,3.0,12.0,25.0,42.0,7.0,23.8,30.8,13.0,15.4,25.5,11.0,2.0,18.2,7.0,22.7,518.0,613.0,84.5,8753.0,2823.0,228.0,248.0,91.9,188.0,206.0,91.3,60.0,94.0,63.8,2,0.6,1.3,9.0,24.0,7.0,1.0,30.0,613.0,566.0,47.0,14.0,0.0,17.0,12,11.0,6.0,2.0,1.0,0.0,518.0,0.0,13.0,21.0,17.0,1.0,3.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,10.0,7,2.0,4.0,4.0,2.0,8.0,25.0,6.0,12.0,3.0,9.0,23,33,7.0,1.0,55,710.0,84.0,274.0,288.0,155.0,22.0,710.0,14.0,12.0,85.7,2.0,14.3,454.0,2044.0,898.0,18.0,11.0,6.0,12.0,10.0,517.0,30.0,4,0,0,13,14,0,12,23,7,0.0,0.0,0,49.0,11.0,3.0,78.6,2.0
