Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-13,16:00 (07:00),La Liga,Matchweek 1,Sun,Away,D,1,1,Valladolid,1,8,2,25.0,0.13,0.5,24.3,1.0,0,0,0.3,0.3,0.04,0.7,0.7,2,1,1,50.0,0.0,0.7,-0.3,0,0,0,0,4.0,5.0,80.0,19.0,4.0,21.1,27.5,8.0,12.5,28.4,14.0,0.0,0.0,2.0,14.8,327.0,445.0,73.5,6090.0,2212.0,137.0,162.0,84.6,133.0,162.0,82.1,44.0,78.0,56.4,0,0.2,0.2,5.0,21.0,5.0,2.0,30.0,445.0,387.0,57.0,15.0,1.0,4.0,18,29.0,3.0,0.0,3.0,0.0,327.0,1.0,15.0,15.0,10.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,8,5.0,5.0,2.0,7.0,11.0,63.6,4.0,8.0,1.0,7.0,7,19,19.0,0.0,60,528.0,51.0,154.0,241.0,140.0,10.0,528.0,15.0,9.0,60.0,6.0,40.0,292.0,1502.0,775.0,13.0,11.0,4.0,10.0,6.0,323.0,29.0,1,0,0,17,14,1,18,7,8,0.0,0.0,0,46.0,26.0,18.0,59.1,1.0
2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Home,D,0,0,Real Madrid,0,6,1,16.7,0.0,0.0,13.6,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6,4,0,4,100.0,1.0,0.3,0.3,0,0,0,0,8.0,16.0,50.0,29.0,3.0,37.9,34.7,7.0,71.4,45.6,18.0,0.0,0.0,3.0,24.5,266.0,356.0,74.7,4593.0,1911.0,133.0,155.0,85.8,103.0,129.0,79.8,24.0,54.0,44.4,0,0.7,0.4,6.0,16.0,5.0,0.0,24.0,356.0,319.0,35.0,14.0,2.0,1.0,9,12.0,1.0,1.0,0.0,0.0,266.0,2.0,3.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9,11.0,5.0,1.0,10.0,25.0,40.0,15.0,14.0,6.0,8.0,13,30,27.0,0.0,32,460.0,84.0,195.0,191.0,83.0,11.0,460.0,12.0,7.0,58.3,5.0,41.7,283.0,1296.0,666.0,9.0,11.0,2.0,10.0,10.0,263.0,24.0,2,0,0,17,11,2,9,13,9,0.0,0.0,0,48.0,8.0,15.0,34.8,1.0
2020-09-26,18:30 (09:30),La Liga,Matchweek 3,Sat,Away,W,3,0,Elche,3,26,6,23.1,0.08,0.33,15.2,0.0,1,1,3.1,2.3,0.1,-0.1,-0.3,2,0,2,100.0,1.0,1.5,1.5,0,0,0,0,3.0,6.0,50.0,18.0,0.0,27.8,32.4,2.0,50.0,37.0,11.0,0.0,0.0,1.0,17.7,455.0,559.0,81.4,7979.0,2529.0,191.0,211.0,90.5,201.0,230.0,87.4,41.0,77.0,53.2,2,2.2,2.3,19.0,38.0,19.0,2.0,60.0,559.0,503.0,54.0,11.0,3.0,3.0,36,29.0,11.0,3.0,4.0,0.0,455.0,2.0,8.0,41.0,27.0,5.0,1.0,3.0,4.0,1.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,15.0,12,6.0,4.0,5.0,11.0,19.0,57.9,8.0,9.0,1.0,8.0,10,25,12.0,0.0,60,671.0,37.0,94.0,344.0,239.0,44.0,670.0,12.0,8.0,66.7,4.0,33.3,377.0,1623.0,910.0,15.0,6.0,5.0,16.0,11.0,451.0,60.0,1,0,0,12,11,2,36,10,12,1.0,0.0,0,53.0,21.0,12.0,63.6,1.0
2020-09-29,19:00 (10:00),La Liga,Matchweek 4,Tue,Home,L,0,1,Valencia,0,11,3,27.3,0.0,0.0,19.0,3.0,0,0,0.5,0.5,0.05,-0.5,-0.5,5,1,4,80.0,0.0,1.4,0.4,0,0,0,0,7.0,11.0,63.6,21.0,3.0,52.4,38.5,2.0,0.0,27.5,7.0,1.0,14.3,2.0,19.3,458.0,571.0,80.2,7769.0,2669.0,219.0,256.0,85.5,177.0,207.0,85.5,43.0,71.0,60.6,0,0.3,1.0,7.0,51.0,18.0,4.0,66.0,571.0,523.0,47.0,15.0,0.0,1.0,28,19.0,9.0,4.0,4.0,0.0,458.0,1.0,10.0,20.0,12.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6,3.0,5.0,2.0,2.0,3.0,66.7,1.0,8.0,3.0,5.0,12,22,10.0,0.0,65,653.0,33.0,144.0,292.0,226.0,30.0,653.0,17.0,11.0,64.7,6.0,35.3,445.0,1942.0,948.0,14.0,18.0,3.0,13.0,8.0,453.0,65.0,1,0,0,16,15,1,28,12,6,0.0,0.0,0,52.0,22.0,18.0,55.0,1.0
2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,W,3,0,Getafe,3,10,5,50.0,0.2,0.4,16.1,0.0,1,1,2.2,1.4,0.15,0.8,0.6,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,8.0,14.0,57.1,18.0,2.0,55.6,39.9,4.0,100.0,59.8,8.0,0.0,0.0,1.0,21.3,299.0,435.0,68.7,5068.0,2289.0,132.0,169.0,78.1,111.0,145.0,76.6,31.0,65.0,47.7,1,0.8,0.6,4.0,13.0,3.0,1.0,26.0,435.0,376.0,55.0,15.0,1.0,2.0,15,30.0,5.0,4.0,0.0,0.0,299.0,4.0,14.0,19.0,13.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,11,4.0,13.0,2.0,11.0,16.0,68.8,5.0,11.0,2.0,9.0,13,32,17.0,0.0,54,554.0,40.0,177.0,285.0,96.0,12.0,553.0,16.0,9.0,56.3,7.0,43.8,250.0,1135.0,486.0,9.0,6.0,1.0,24.0,14.0,293.0,26.0,3,0,0,21,11,4,15,13,11,0.0,0.0,0,62.0,26.0,21.0,55.3,1.0
2020-10-18,21:00 (12:00),La Liga,Matchweek 6,Sun,Away,W,3,0,Betis,3,7,4,57.1,0.29,0.5,14.2,0.0,1,1,1.7,1.0,0.14,1.3,1.0,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,11.0,24.0,45.8,40.0,2.0,45.0,36.8,10.0,60.0,44.9,11.0,0.0,0.0,2.0,18.0,311.0,449.0,69.3,5583.0,2318.0,138.0,173.0,79.8,117.0,147.0,79.6,40.0,82.0,48.8,2,0.6,0.5,5.0,22.0,8.0,2.0,34.0,449.0,392.0,48.0,11.0,3.0,4.0,12,24.0,2.0,1.0,1.0,0.0,311.0,9.0,10.0,12.0,10.0,0.0,0.0,1.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,22.0,12,14.0,7.0,1.0,5.0,14.0,35.7,9.0,11.0,2.0,9.0,6,28,11.0,1.0,45,543.0,73.0,205.0,234.0,110.0,15.0,542.0,12.0,8.0,66.7,4.0,33.3,219.0,1195.0,640.0,11.0,6.0,1.0,11.0,4.0,307.0,34.0,1,0,0,18,11,9,12,6,12,1.0,0.0,0,53.0,20.0,30.0,40.0,1.0
2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,1,0,hr Rijeka,1,18,6,33.3,0.06,0.17,14.4,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1,2,0,2,100.0,1.0,0.4,0.4,0,0,0,0,3.0,7.0,42.9,19.0,4.0,31.6,31.2,3.0,33.3,46.3,6.0,0.0,0.0,3.0,18.5,588.0,727.0,80.9,10815.0,2824.0,210.0,249.0,84.3,288.0,325.0,88.6,70.0,108.0,64.8,1,1.8,1.7,15.0,44.0,17.0,4.0,57.0,727.0,664.0,63.0,13.0,1.0,5.0,33,33.0,13.0,7.0,5.0,0.0,588.0,0.0,10.0,30.0,24.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3,2.0,7.0,1.0,2.0,12.0,16.7,10.0,12.0,0.0,12.0,13,23,10.0,0.0,66,831.0,31.0,100.0,484.0,251.0,36.0,831.0,13.0,8.0,61.5,5.0,38.5,541.0,2813.0,1473.0,28.0,23.0,6.0,10.0,7.0,582.0,57.0,1,0,0,5,10,0,33,13,3,0.0,0.0,0,59.0,25.0,16.0,61.0,2.0
2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Home,W,4,1,Huesca,4,12,5,41.7,0.25,0.6,15.0,0.0,1,1,2.5,1.7,0.14,1.5,1.3,4,1,3,75.0,0.0,1.1,0.1,0,0,0,0,4.0,12.0,33.3,31.0,5.0,32.3,34.3,2.0,100.0,68.0,8.0,0.0,0.0,0.0,3.0,384.0,482.0,79.7,7353.0,2651.0,163.0,189.0,86.2,167.0,192.0,87.0,51.0,86.0,59.3,3,1.7,1.0,12.0,25.0,18.0,4.0,40.0,482.0,432.0,49.0,17.0,3.0,5.0,14,24.0,4.0,3.0,1.0,0.0,384.0,1.0,7.0,24.0,20.0,2.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,11,7.0,7.0,6.0,5.0,13.0,38.5,8.0,10.0,2.0,8.0,8,28,10.0,0.0,51,576.0,50.0,187.0,241.0,153.0,25.0,575.0,13.0,7.0,53.8,6.0,46.2,371.0,1855.0,817.0,14.0,20.0,1.0,15.0,6.0,383.0,40.0,2,0,0,12,10,1,14,8,11,0.0,0.0,0,47.0,17.0,17.0,50.0,1.0
2020-10-29,21:00 (13:00),Europa Lg,Group stage,Thu,Home,L,0,1,it Napoli,0,14,3,21.4,0.0,0.0,17.2,0.0,0,0,1.4,1.4,0.1,-1.4,-1.4,1,1,0,0.0,0.0,0.0,-1.0,0,0,0,0,2.0,3.0,66.7,27.0,0.0,11.1,24.0,6.0,0.0,17.0,4.0,0.0,0.0,0.0,,615.0,717.0,85.8,11431.0,3200.0,220.0,252.0,87.3,331.0,364.0,90.9,50.0,69.0,72.5,0,1.3,1.3,11.0,58.0,16.0,4.0,75.0,717.0,671.0,44.0,11.0,0.0,4.0,21,23.0,2.0,0.0,1.0,0.0,615.0,2.0,10.0,26.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,5.0,11.0,1.0,9.0,15.0,60.0,6.0,8.0,1.0,7.0,6,23,10.0,0.0,66,802.0,45.0,169.0,417.0,221.0,28.0,802.0,15.0,8.0,53.3,7.0,46.7,578.0,2855.0,1591.0,19.0,17.0,3.0,5.0,9.0,610.0,75.0,1,0,0,14,9,2,21,6,11,0.0,0.0,0,51.0,16.0,9.0,64.0,2.0
2020-11-01,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,W,4,1,Celta Vigo,4,9,7,77.8,0.44,0.57,13.2,0.0,0,0,2.0,2.0,0.27,2.0,2.0,2,1,1,100.0,0.0,1.0,0.0,1,1,0,0,5.0,13.0,38.5,30.0,4.0,26.7,33.6,7.0,71.4,52.6,4.0,0.0,0.0,0.0,,418.0,517.0,80.9,7844.0,2464.0,168.0,189.0,88.9,174.0,195.0,89.2,59.0,94.0,62.8,3,1.1,1.4,6.0,21.0,8.0,2.0,29.0,517.0,459.0,56.0,21.0,2.0,7.0,14,23.0,3.0,1.0,2.0,0.0,418.0,2.0,12.0,14.0,10.0,2.0,0.0,1.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,17.0,10,3.0,11.0,3.0,12.0,23.0,52.2,11.0,11.0,2.0,9.0,17,34,7.0,0.0,54,620.0,57.0,181.0,327.0,117.0,15.0,620.0,14.0,7.0,50.0,7.0,50.0,298.0,1779.0,858.0,8.0,11.0,1.0,16.0,11.0,414.0,29.0,5,0,0,16,19,2,14,17,10,0.0,1.0,0,47.0,11.0,7.0,61.1,1.0
