Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-16,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,D,0,0,Elche,0,9,3,33.3,0.0,0.0,20.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,2,0,2,100.0,1,0.2,0.2,0,0,0,0,2.0,5.0,40.0,14.0,5.0,14.3,30.4,7.0,42.9,30.7,18.0,0.0,0.0,2.0,28.0,313.0,416.0,75.2,5693.0,1990.0,145.0,173.0,83.8,127.0,155.0,81.9,37.0,74.0,50.0,0,0.6,0.4,6.0,26.0,9.0,2.0,43.0,416.0,366.0,49.0,18.0,1.0,8.0,22,15.0,8.0,2.0,3.0,0.0,313.0,1.0,5.0,15.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5,4.0,4.0,1.0,2.0,12.0,16.7,10.0,16.0,0.0,16.0,7,16,16.0,0.0,49,514.0,37.0,131.0,242.0,149.0,16.0,514.0,20.0,14.0,70.0,6.0,30.0,248.0,1421.0,880.0,17.0,11.0,2.0,11.0,1.0,311.0,43.0,2,0,0,19,13,1,22,7,5,0.0,0.0,0,45.0,16.0,10.0,61.5,1.0
2021-08-21,22:00 (13:00),La Liga,Matchweek 2,Sat,Home,D,1,1,Barcelona,1,16,6,37.5,0.06,0.17,15.6,1.0,0,0,1.4,1.4,0.09,-0.4,-0.4,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,5.0,11.0,45.5,15.0,4.0,53.3,40.1,9.0,33.3,30.3,11.0,1.0,9.1,2.0,14.0,219.0,317.0,69.1,4304.0,2130.0,78.0,92.0,84.8,104.0,135.0,77.0,28.0,66.0,42.4,1,0.7,1.3,9.0,32.0,9.0,3.0,33.0,317.0,266.0,48.0,10.0,1.0,4.0,27,14.0,13.0,2.0,7.0,0.0,219.0,3.0,5.0,25.0,19.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,3,4.0,3.0,2.0,2.0,12.0,16.7,10.0,11.0,1.0,10.0,7,16,26.0,0.0,33,420.0,59.0,116.0,156.0,151.0,19.0,420.0,6.0,3.0,50.0,3.0,50.0,202.0,1186.0,680.0,11.0,8.0,2.0,14.0,10.0,213.0,32.0,1,0,0,15,9,3,27,7,3,0.0,0.0,0,42.0,15.0,11.0,57.7,1.0
2021-08-28,17:00 (08:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Celta Vigo,1,6,2,33.3,0.17,0.5,12.9,0.0,0,0,1.4,1.4,0.24,-0.4,-0.4,0,0,0,,1,0.0,0.0,0,0,0,0,10.0,26.0,38.5,24.0,4.0,66.7,51.8,13.0,76.9,48.2,20.0,1.0,5.0,2.0,18.3,213.0,355.0,60.0,3940.0,1989.0,96.0,135.0,71.1,70.0,106.0,66.0,33.0,81.0,40.7,1,1.4,0.9,6.0,13.0,9.0,4.0,24.0,355.0,303.0,51.0,16.0,0.0,4.0,19,17.0,4.0,0.0,1.0,0.0,213.0,1.0,6.0,11.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,8,8.0,5.0,0.0,5.0,14.0,35.7,9.0,15.0,4.0,11.0,11,24,35.0,0.0,38,471.0,75.0,160.0,225.0,91.0,16.0,471.0,15.0,7.0,46.7,8.0,53.3,170.0,916.0,449.0,11.0,7.0,2.0,18.0,17.0,211.0,23.0,1,0,0,11,11,1,19,11,8,0.0,0.0,0,52.0,19.0,27.0,41.3,1.0
2021-09-11,21:00 (12:00),La Liga,Matchweek 4,Sat,Home,W,2,0,Mallorca,2,19,5,26.3,0.11,0.4,15.5,1.0,0,0,1.4,1.4,0.08,0.6,0.6,1,0,1,100.0,1,0.0,0.0,0,0,0,0,2.0,8.0,25.0,14.0,5.0,28.6,34.0,8.0,50.0,44.5,9.0,1.0,11.1,0.0,3.0,306.0,427.0,71.7,5946.0,2706.0,135.0,156.0,86.5,131.0,179.0,73.2,39.0,73.0,53.4,2,1.1,1.3,12.0,32.0,10.0,2.0,33.0,427.0,362.0,62.0,12.0,0.0,2.0,27,34.0,7.0,2.0,3.0,0.0,306.0,3.0,14.0,31.0,20.0,4.0,0.0,4.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,10,6.0,7.0,3.0,11.0,24.0,45.8,13.0,10.0,3.0,7.0,8,24,19.0,0.0,49,541.0,52.0,166.0,216.0,166.0,35.0,541.0,9.0,4.0,44.4,5.0,55.6,325.0,1172.0,622.0,19.0,10.0,4.0,21.0,8.0,304.0,33.0,1,0,0,7,13,3,27,8,10,0.0,0.0,0,55.0,16.0,21.0,43.2,1.0
2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,0,6,0,0.0,0.0,,15.6,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0,2,0,2,100.0,1,0.6,0.6,0,0,0,0,5.0,14.0,35.7,24.0,4.0,41.7,35.0,17.0,23.5,31.7,13.0,1.0,7.7,2.0,14.2,339.0,446.0,76.0,5815.0,2111.0,158.0,183.0,86.3,137.0,158.0,86.7,30.0,75.0,40.0,0,1.0,0.7,5.0,15.0,6.0,1.0,25.0,446.0,395.0,50.0,11.0,1.0,8.0,16,16.0,5.0,2.0,2.0,0.0,339.0,1.0,7.0,11.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11,9.0,3.0,1.0,8.0,23.0,34.8,15.0,14.0,5.0,9.0,7,20,21.0,0.0,45,548.0,89.0,232.0,225.0,94.0,18.0,548.0,17.0,9.0,52.9,8.0,47.1,315.0,1364.0,715.0,11.0,9.0,1.0,15.0,6.0,333.0,24.0,2,0,0,13,8,1,16,7,11,0.0,0.0,0,53.0,12.0,14.0,46.2,1.0
2021-09-21,22:00 (13:00),La Liga,Matchweek 6,Tue,Home,L,1,2,Rayo Vallecano,0,8,1,12.5,0.0,0.0,18.5,0.0,0,0,0.9,0.9,0.12,-0.9,-0.9,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,6.0,8.0,75.0,17.0,5.0,23.5,30.8,5.0,80.0,54.6,16.0,0.0,0.0,1.0,32.0,303.0,431.0,70.3,5310.0,2416.0,153.0,187.0,81.8,110.0,149.0,73.8,34.0,58.0,58.6,0,0.9,0.5,7.0,22.0,4.0,0.0,44.0,431.0,372.0,58.0,22.0,1.0,5.0,13,26.0,2.0,1.0,0.0,0.0,303.0,1.0,8.0,15.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,5.0,6.0,3.0,10.0,19.0,52.6,9.0,7.0,2.0,5.0,5,19,16.0,1.0,47,511.0,36.0,136.0,253.0,134.0,14.0,511.0,13.0,10.0,76.9,3.0,23.1,240.0,1440.0,656.0,19.0,14.0,4.0,17.0,9.0,301.0,44.0,3,0,0,16,19,1,13,5,9,0.0,0.0,0,59.0,21.0,14.0,60.0,1.0
2021-09-25,16:15 (07:15),La Liga,Matchweek 7,Sat,Away,D,1,1,Valencia,1,12,4,33.3,0.08,0.25,16.8,0.0,0,0,0.8,0.8,0.07,0.2,0.2,6,1,5,83.3,0,1.6,0.6,0,0,0,0,6.0,14.0,42.9,18.0,5.0,44.4,34.0,8.0,75.0,54.0,23.0,1.0,4.3,2.0,16.6,258.0,387.0,66.7,5186.0,2171.0,91.0,115.0,79.1,117.0,154.0,76.0,40.0,91.0,44.0,1,0.8,0.9,12.0,18.0,9.0,4.0,28.0,387.0,325.0,59.0,14.0,0.0,7.0,21,30.0,5.0,2.0,2.0,0.0,258.0,3.0,6.0,22.0,18.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,7,8.0,4.0,1.0,4.0,7.0,57.1,3.0,12.0,4.0,8.0,6,19,25.0,0.0,48,498.0,59.0,176.0,205.0,125.0,18.0,498.0,15.0,8.0,53.3,7.0,46.7,236.0,1357.0,734.0,15.0,11.0,4.0,18.0,6.0,253.0,28.0,2,0,0,17,13,3,21,6,7,0.0,0.0,0,64.0,21.0,20.0,51.2,1.0
2021-10-01,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,W,1,0,Alavés,1,15,4,26.7,0.07,0.25,14.0,0.0,0,1,2.0,1.2,0.08,-1.0,-0.2,5,0,5,100.0,1,0.3,0.3,0,0,0,0,8.0,15.0,53.3,26.0,9.0,50.0,38.3,6.0,33.3,33.0,23.0,0.0,0.0,0.0,9.0,374.0,482.0,77.6,6651.0,2527.0,174.0,211.0,82.5,142.0,165.0,86.1,44.0,72.0,61.1,1,1.1,1.5,12.0,32.0,13.0,4.0,42.0,482.0,431.0,51.0,13.0,1.0,3.0,30,18.0,13.0,0.0,8.0,0.0,374.0,0.0,11.0,29.0,17.0,7.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5,2.0,8.0,1.0,4.0,11.0,36.4,7.0,12.0,3.0,9.0,10,21,20.0,0.0,55,593.0,57.0,135.0,301.0,164.0,37.0,592.0,15.0,9.0,60.0,5.0,33.3,367.0,2142.0,1140.0,29.0,17.0,6.0,15.0,6.0,372.0,42.0,3,0,0,16,11,0,30,10,5,0.0,0.0,0,48.0,11.0,27.0,28.9,1.0
2021-10-23,21:00 (12:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Villarreal,2,12,5,41.7,0.08,0.2,19.1,1.0,1,2,2.8,1.2,0.1,-0.8,-0.2,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,0.0,4.0,0.0,17.0,4.0,23.5,24.1,3.0,0.0,16.7,6.0,1.0,16.7,0.0,9.0,411.0,499.0,82.4,7029.0,2279.0,163.0,179.0,91.1,204.0,228.0,89.5,24.0,59.0,40.7,1,1.1,1.0,9.0,26.0,9.0,3.0,46.0,499.0,446.0,50.0,13.0,0.0,4.0,21,23.0,9.0,1.0,3.0,0.0,411.0,3.0,6.0,26.0,17.0,4.0,1.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,5,0.0,4.0,2.0,2.0,25.0,8.0,23.0,12.0,4.0,8.0,8,14,7.0,0.0,52,572.0,40.0,148.0,258.0,169.0,19.0,570.0,13.0,7.0,53.8,6.0,46.2,328.0,1751.0,932.0,17.0,10.0,2.0,12.0,4.0,406.0,46.0,0,0,0,7,12,3,21,8,5,2.0,0.0,0,33.0,6.0,6.0,50.0,1.0
2021-10-26,21:00 (12:00),La Liga,Matchweek 11,Tue,Away,D,1,1,Espanyol,1,23,6,26.1,0.04,0.17,14.5,0.0,0,0,3.3,3.3,0.15,-2.3,-2.3,3,1,2,100.0,0,1.3,0.3,1,1,0,0,1.0,2.0,50.0,6.0,4.0,33.3,27.7,9.0,0.0,21.3,18.0,0.0,0.0,1.0,14.3,416.0,505.0,82.4,6997.0,2330.0,199.0,224.0,88.8,153.0,183.0,83.6,44.0,65.0,67.7,1,2.6,2.2,17.0,32.0,13.0,1.0,51.0,505.0,457.0,46.0,7.0,3.0,4.0,26,16.0,12.0,3.0,2.0,0.0,416.0,2.0,5.0,40.0,28.0,3.0,2.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,11,6.0,8.0,3.0,12.0,18.0,66.7,6.0,8.0,4.0,4.0,7,24,19.0,0.0,54,620.0,44.0,131.0,287.0,208.0,51.0,620.0,18.0,13.0,72.2,5.0,27.8,329.0,2255.0,1355.0,32.0,20.0,11.0,16.0,6.0,415.0,51.0,2,0,0,12,6,2,26,7,11,0.0,1.0,0,41.0,12.0,2.0,85.7,1.0
