Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,L,1,2,Real Madrid,1,10,6,60.0,0.1,0.17,20.0,0.0,0,0,0.7,0.7,0.07,0.3,0.3,15,2,13,86.7,0,2.9,0.9,0,0,0,0,6.0,16.0,37.5,23.0,7.0,43.5,37.0,8.0,75.0,56.0,21.0,0.0,0.0,2.0,24.0,277.0,344.0,80.5,4987.0,1959.0,126.0,137.0,92.0,107.0,116.0,92.2,34.0,64.0,53.1,1,0.5,0.4,6.0,15.0,3.0,0.0,19.0,344.0,308.0,33.0,7.0,1.0,4.0,6,13.0,2.0,0.0,1.0,0.0,277.0,3.0,5.0,17.0,13.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7,6.0,5.0,0.0,7.0,16.0,43.8,9.0,19.0,10.0,9.0,9,20,32.0,0.0,33.0,469.0,90.0,210.0,202.0,62.0,14.0,469.0,9.0,6.0,66.7,3.0,33.3,212.0,1355.0,759.0,17.0,13.0,7.0,13.0,6.0,275.0,19.0,3,0,0,11,4,3,6,9,7,0.0,0.0,0,44.0,7.0,5.0,58.3,1
2022-08-22,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,D,1,1,Elche,1,12,7,58.3,0.08,0.14,18.3,1.0,0,0,0.7,0.7,0.06,0.3,0.3,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,2.0,5.0,40.0,20.0,6.0,15.0,26.1,14.0,14.3,25.9,20.0,2.0,10.0,0.0,10.0,315.0,398.0,79.1,5956.0,2513.0,110.0,126.0,87.3,165.0,187.0,88.2,36.0,66.0,54.5,1,0.7,0.8,10.0,20.0,4.0,1.0,28.0,398.0,339.0,56.0,18.0,3.0,0.0,12,17.0,5.0,4.0,1.0,0.0,315.0,3.0,10.0,20.0,11.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,4.0,4.0,3.0,2.0,13.0,15.4,11.0,9.0,5.0,4.0,11,22,23.0,0.0,46.0,502.0,75.0,219.0,192.0,94.0,16.0,502.0,11.0,8.0,72.7,3.0,27.3,316.0,1585.0,948.0,22.0,12.0,5.0,16.0,11.0,314.0,28.0,4,1,0,16,12,3,12,11,8,0.0,0.0,0,42.0,7.0,9.0,43.8,1
2022-08-27,22:00 (13:00),La Liga,Matchweek 3,Sat,Home,W,2,1,Sevilla,2,11,5,45.5,0.18,0.4,15.0,1.0,0,0,2.3,2.3,0.21,-0.3,-0.3,5,1,4,80.0,0,1.2,0.2,0,0,0,0,6.0,18.0,33.3,28.0,6.0,46.4,43.2,8.0,62.5,43.8,18.0,2.0,11.1,0.0,6.7,195.0,286.0,68.2,3705.0,1754.0,79.0,96.0,82.3,75.0,94.0,79.8,29.0,67.0,43.3,1,1.3,0.4,7.0,15.0,3.0,1.0,18.0,286.0,236.0,46.0,14.0,0.0,3.0,14,17.0,5.0,2.0,3.0,0.0,195.0,4.0,5.0,16.0,11.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3,6.0,0.0,3.0,7.0,12.0,58.3,5.0,7.0,2.0,5.0,6,15,16.0,0.0,33.0,374.0,71.0,167.0,137.0,74.0,17.0,374.0,15.0,8.0,53.3,6.0,40.0,190.0,1105.0,615.0,14.0,10.0,7.0,9.0,1.0,195.0,18.0,5,0,0,18,11,4,14,6,3,0.0,0.0,0,41.0,11.0,15.0,42.3,1
2022-09-05,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,0,1,Valladolid,0,12,0,0.0,0.0,,17.6,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,6,1,5,83.3,0,1.3,0.3,0,0,0,0,8.0,18.0,44.4,22.0,4.0,45.5,40.4,12.0,66.7,49.9,13.0,0.0,0.0,0.0,9.0,284.0,387.0,73.4,5639.0,2641.0,113.0,134.0,84.3,108.0,133.0,81.2,49.0,84.0,58.3,0,0.3,0.5,9.0,18.0,4.0,1.0,31.0,387.0,316.0,67.0,17.0,0.0,3.0,25,28.0,8.0,2.0,6.0,0.0,284.0,4.0,10.0,20.0,10.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,5.0,5.0,2.0,5.0,12.0,41.7,7.0,9.0,1.0,8.0,9,21,17.0,1.0,49.0,491.0,53.0,177.0,205.0,113.0,18.0,491.0,23.0,9.0,39.1,13.0,56.5,248.0,1209.0,583.0,13.0,13.0,3.0,13.0,7.0,279.0,31.0,6,0,0,19,11,4,25,9,5,0.0,0.0,0,34.0,21.0,14.0,60.0,1
2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Home,L,0,1,Osasuna,0,7,2,28.6,0.0,0.0,19.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,4,1,3,75.0,0,1.3,0.3,0,0,0,0,1.0,5.0,20.0,34.0,6.0,11.8,25.9,11.0,9.1,22.9,23.0,2.0,8.7,4.0,19.4,473.0,581.0,81.4,9382.0,3030.0,186.0,215.0,86.5,206.0,234.0,88.0,74.0,112.0,66.1,0,0.2,0.3,5.0,30.0,8.0,2.0,41.0,581.0,531.0,48.0,11.0,0.0,7.0,19,19.0,5.0,1.0,3.0,0.0,473.0,2.0,6.0,14.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,9.0,4.0,0.0,8.0,15.0,53.3,7.0,12.0,5.0,7.0,10,23,24.0,0.0,61.0,694.0,75.0,267.0,312.0,122.0,16.0,694.0,13.0,5.0,38.5,6.0,46.2,428.0,2088.0,1248.0,16.0,12.0,2.0,19.0,9.0,473.0,41.0,0,0,0,4,7,2,19,10,10,0.0,0.0,0,59.0,19.0,13.0,59.4,1
2022-09-17,14:00 (05:00),La Liga,Matchweek 6,Sat,Away,L,0,1,Mallorca,0,9,2,22.2,0.0,0.0,22.3,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,1.0,2.0,50.0,20.0,6.0,10.0,28.0,5.0,0.0,18.0,8.0,0.0,0.0,1.0,23.5,448.0,530.0,84.5,8404.0,2899.0,181.0,205.0,88.3,210.0,228.0,92.1,54.0,80.0,67.5,0,0.3,0.5,6.0,42.0,4.0,2.0,40.0,530.0,481.0,46.0,17.0,1.0,4.0,16,20.0,2.0,0.0,1.0,0.0,448.0,3.0,6.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,8.0,6.0,4.0,7.0,12.0,58.3,5.0,7.0,0.0,7.0,5,23,9.0,0.0,56.0,618.0,39.0,168.0,314.0,140.0,11.0,618.0,13.0,6.0,46.2,5.0,38.5,322.0,1999.0,1123.0,20.0,11.0,1.0,20.0,5.0,445.0,40.0,6,0,0,14,15,3,16,5,11,0.0,0.0,0,50.0,6.0,9.0,40.0,1
2022-09-30,21:00 (12:00),La Liga,Matchweek 7,Fri,Away,L,0,4,Athletic Club,0,8,2,25.0,0.0,0.0,14.9,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,4,4,0,25.0,0,2.0,-2.0,1,1,0,0,4.0,14.0,28.6,24.0,6.0,45.8,41.4,10.0,30.0,32.7,18.0,1.0,5.6,0.0,3.0,271.0,359.0,75.5,5049.0,1925.0,117.0,132.0,88.6,113.0,137.0,82.5,35.0,69.0,50.7,0,0.7,0.7,7.0,9.0,4.0,1.0,21.0,359.0,295.0,58.0,21.0,1.0,6.0,8,20.0,2.0,1.0,0.0,0.0,271.0,6.0,6.0,15.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11,11.0,2.0,0.0,8.0,14.0,57.1,6.0,11.0,5.0,6.0,12,25,23.0,0.0,42.0,466.0,90.0,246.0,162.0,61.0,8.0,466.0,18.0,5.0,27.8,8.0,44.4,220.0,1101.0,677.0,14.0,10.0,2.0,13.0,6.0,268.0,20.0,3,0,0,8,15,6,8,12,11,0.0,1.0,0,49.0,1.0,7.0,12.5,1
2022-10-08,14:00 (05:00),La Liga,Matchweek 8,Sat,Home,W,3,1,Rayo Vallecano,3,10,4,40.0,0.3,0.75,18.9,1.0,0,0,1.2,1.2,0.12,1.8,1.8,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,4.0,20.0,20.0,20.0,3.0,75.0,53.8,10.0,50.0,46.0,24.0,1.0,4.2,0.0,11.8,198.0,304.0,65.1,3930.0,1865.0,84.0,99.0,84.8,81.0,106.0,76.4,30.0,81.0,37.0,3,1.2,0.5,9.0,16.0,7.0,2.0,20.0,304.0,247.0,53.0,15.0,0.0,6.0,17,19.0,7.0,4.0,3.0,0.0,198.0,4.0,7.0,15.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,31.0,15,14.0,15.0,2.0,7.0,14.0,50.0,7.0,11.0,2.0,9.0,2,33,26.0,1.0,37.0,428.0,63.0,174.0,162.0,101.0,16.0,428.0,21.0,7.0,33.3,11.0,52.4,175.0,1180.0,501.0,11.0,5.0,3.0,13.0,7.0,196.0,20.0,4,1,1,22,11,4,17,2,15,0.0,0.0,0,63.0,13.0,8.0,61.9,1
2022-10-16,21:00 (12:00),La Liga,Matchweek 9,Sun,Away,L,1,3,Betis,1,12,5,41.7,0.08,0.2,20.2,0.0,0,0,0.8,0.8,0.07,0.2,0.2,6,3,3,50.0,0,3.4,0.4,0,0,0,0,4.0,6.0,66.7,40.0,5.0,12.5,26.4,8.0,12.5,28.8,14.0,1.0,7.1,2.0,16.5,390.0,475.0,82.1,6931.0,2602.0,176.0,198.0,88.9,170.0,191.0,89.0,36.0,60.0,60.0,1,0.6,1.0,7.0,28.0,8.0,2.0,33.0,475.0,432.0,40.0,6.0,4.0,3.0,15,19.0,3.0,2.0,0.0,0.0,390.0,3.0,7.0,17.0,14.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1,3.0,1.0,2.0,2.0,10.0,20.0,8.0,17.0,6.0,11.0,12,18,18.0,0.0,46.0,572.0,90.0,232.0,224.0,123.0,23.0,572.0,17.0,7.0,41.2,8.0,47.1,363.0,1836.0,995.0,14.0,19.0,3.0,16.0,6.0,386.0,33.0,1,0,0,7,6,3,15,12,1,0.0,0.0,0,46.0,14.0,7.0,66.7,1
2022-10-20,19:00 (10:00),La Liga,Matchweek 10,Thu,Home,W,3,2,Girona,3,13,7,53.8,0.23,0.43,16.8,1.0,0,0,1.8,1.8,0.14,1.2,1.2,5,2,2,80.0,0,2.2,0.2,2,1,1,0,4.0,22.0,18.2,24.0,5.0,62.5,51.9,7.0,100.0,61.3,23.0,1.0,4.3,1.0,15.3,188.0,273.0,68.9,3715.0,1485.0,73.0,87.0,83.9,83.0,96.0,86.5,28.0,73.0,38.4,1,0.6,0.4,8.0,15.0,5.0,1.0,17.0,273.0,223.0,49.0,16.0,1.0,1.0,13,19.0,4.0,1.0,3.0,0.0,188.0,1.0,6.0,20.0,16.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,9,7.0,4.0,0.0,10.0,15.0,66.7,5.0,8.0,4.0,4.0,7,18,34.0,0.0,35.0,384.0,70.0,179.0,139.0,71.0,17.0,384.0,16.0,5.0,31.3,8.0,50.0,163.0,962.0,539.0,17.0,10.0,6.0,9.0,6.0,185.0,17.0,1,0,0,14,13,1,13,7,9,0.0,2.0,0,39.0,13.0,18.0,41.9,1
