Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-13,21:00 (12:00),La Liga,Matchweek 1,Sat,Away,D,0,0,Barcelona,0,4,2,50.0,0.0,0.0,16.1,0.0,0,0,0.5,0.5,0.13,-0.5,-0.5,5,0,5,100.0,1,1.6,1.6,0,0,0,0,6.0,30.0,20.0,26.0,3.0,76.9,50.0,13.0,76.9,62.8,19.0,0.0,0.0,2.0,14.0,208.0,303.0,68.6,4189.0,1809.0,92.0,103.0,89.3,82.0,102.0,80.4,34.0,87.0,39.1,0,0.2,0.5,3.0,14.0,3.0,0.0,17.0,303.0,252.0,47.0,18.0,2.0,6.0,7,15.0,0.0,0.0,0.0,0.0,208.0,4.0,7.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15,7.0,10.0,1.0,6.0,13.0,46.2,7.0,13.0,7.0,6.0,10,28,18.0,0.0,33,409.0,74.0,180.0,169.0,63.0,9.0,409.0,12.0,7.0,58.3,5.0,41.7,183.0,1072.0,416.0,10.0,8.0,1.0,17.0,11.0,207.0,17.0,6,0,0,14,16,4,7,10,15,0.0,0.0,0,53.0,6.0,10.0,37.5,1
2022-08-19,20:00 (11:00),La Liga,Matchweek 2,Fri,Away,W,2,0,Espanyol,2,8,3,37.5,0.25,0.67,19.5,1.0,0,0,1.4,1.4,0.17,0.6,0.6,1,0,1,100.0,1,0.2,0.2,0,0,0,0,2.0,20.0,10.0,30.0,7.0,40.0,38.3,13.0,61.5,46.5,27.0,1.0,3.7,0.0,6.5,343.0,426.0,80.5,6573.0,1959.0,140.0,151.0,92.7,139.0,161.0,86.3,54.0,94.0,57.4,2,1.3,1.0,6.0,14.0,5.0,2.0,29.0,426.0,381.0,43.0,13.0,2.0,6.0,8,14.0,2.0,0.0,2.0,0.0,343.0,2.0,5.0,14.0,12.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,7,5.0,1.0,1.0,7.0,14.0,50.0,7.0,10.0,4.0,6.0,4,11,36.0,0.0,46,512.0,92.0,203.0,236.0,79.0,7.0,512.0,8.0,2.0,25.0,5.0,62.5,330.0,1743.0,970.0,13.0,12.0,2.0,7.0,6.0,339.0,29.0,5,1,1,17,11,2,8,4,7,0.0,0.0,0,39.0,8.0,19.0,29.6,1
2022-08-27,19:30 (10:30),La Liga,Matchweek 3,Sat,Home,L,0,2,Mallorca,0,15,0,0.0,0.0,,19.7,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,4.0,10.0,40.0,21.0,7.0,19.0,27.7,6.0,100.0,58.0,7.0,0.0,0.0,1.0,16.0,486.0,614.0,79.2,9471.0,2989.0,187.0,218.0,85.8,214.0,256.0,83.6,73.0,108.0,67.6,0,0.6,0.9,11.0,44.0,6.0,4.0,58.0,614.0,554.0,59.0,19.0,1.0,7.0,46,24.0,7.0,3.0,1.0,1.0,486.0,1.0,13.0,29.0,20.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6,1.0,10.0,3.0,3.0,7.0,42.9,4.0,7.0,3.0,4.0,10,24,11.0,1.0,65,715.0,33.0,158.0,339.0,228.0,18.0,715.0,14.0,8.0,57.1,3.0,21.4,408.0,2473.0,1481.0,30.0,20.0,5.0,17.0,5.0,481.0,57.0,1,0,0,11,18,1,46,10,6,0.0,0.0,0,62.0,11.0,13.0,45.8,1
2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,1,2,Osasuna,1,5,3,60.0,0.2,0.33,23.8,2.0,0,0,0.2,0.2,0.03,0.8,0.8,5,2,3,60.0,0,3.3,1.3,0,0,0,0,6.0,15.0,40.0,33.0,4.0,39.4,38.9,8.0,25.0,34.6,16.0,0.0,0.0,1.0,32.0,326.0,429.0,76.0,6826.0,2683.0,111.0,129.0,86.0,150.0,182.0,82.4,62.0,101.0,61.4,0,0.0,0.2,2.0,28.0,7.0,1.0,29.0,429.0,379.0,48.0,15.0,0.0,7.0,12,22.0,0.0,0.0,0.0,0.0,326.0,2.0,7.0,9.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,11,9.0,3.0,2.0,7.0,13.0,53.8,6.0,11.0,4.0,7.0,11,25,21.0,1.0,53,526.0,55.0,203.0,230.0,102.0,10.0,526.0,18.0,9.0,50.0,7.0,38.9,261.0,1592.0,761.0,15.0,14.0,1.0,17.0,9.0,324.0,29.0,2,0,0,16,13,2,12,11,11,0.0,0.0,0,46.0,16.0,17.0,48.5,1
2022-09-10,14:00 (05:00),La Liga,Matchweek 5,Sat,Home,W,2,1,Valencia,1,14,6,42.9,0.07,0.17,17.7,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,4,1,3,75.0,0,1.8,0.8,0,0,0,0,6.0,27.0,22.2,20.0,1.0,90.0,57.7,11.0,90.9,58.3,21.0,0.0,0.0,0.0,8.3,240.0,345.0,69.6,4971.0,1959.0,89.0,112.0,79.5,107.0,133.0,80.5,41.0,91.0,45.1,1,1.2,0.7,8.0,22.0,6.0,2.0,31.0,345.0,282.0,62.0,12.0,1.0,4.0,24,30.0,7.0,7.0,0.0,0.0,240.0,1.0,2.0,20.0,12.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,8,6.0,8.0,2.0,6.0,21.0,28.6,15.0,13.0,6.0,7.0,11,27,18.0,1.0,46,478.0,44.0,109.0,202.0,170.0,21.0,478.0,23.0,7.0,30.4,13.0,56.5,232.0,1153.0,486.0,12.0,9.0,4.0,23.0,4.0,239.0,30.0,5,0,0,22,9,1,24,11,8,0.0,0.0,0,46.0,9.0,19.0,32.1,1
2022-09-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,L,2,3,Athletic Club,2,11,2,18.2,0.18,1.0,19.7,0.0,0,0,0.7,0.7,0.07,1.3,1.3,7,3,4,57.1,0,2.8,-0.2,0,0,0,0,2.0,11.0,18.2,29.0,10.0,27.6,32.0,5.0,60.0,45.2,10.0,0.0,0.0,3.0,30.3,448.0,557.0,80.4,8082.0,2575.0,207.0,223.0,92.8,196.0,230.0,85.2,42.0,83.0,50.6,2,0.7,1.1,11.0,40.0,7.0,3.0,40.0,557.0,501.0,53.0,15.0,0.0,4.0,31,22.0,7.0,2.0,3.0,0.0,448.0,3.0,8.0,21.0,17.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,16.0,9,5.0,8.0,3.0,3.0,13.0,23.1,10.0,10.0,2.0,8.0,9,25,10.0,0.0,61,656.0,61.0,201.0,282.0,180.0,18.0,656.0,18.0,10.0,55.6,7.0,38.9,434.0,2186.0,1064.0,19.0,15.0,4.0,13.0,5.0,447.0,40.0,2,0,0,13,12,3,31,9,9,0.0,0.0,0,46.0,10.0,15.0,40.0,1
2022-10-03,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,W,2,1,Elche,2,15,6,40.0,0.13,0.33,19.7,1.0,0,0,0.9,0.9,0.06,1.1,1.1,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,1.0,5.0,20.0,17.0,6.0,23.5,31.4,5.0,20.0,25.0,6.0,0.0,0.0,0.0,8.3,492.0,607.0,81.1,9152.0,3154.0,205.0,229.0,89.5,212.0,247.0,85.8,64.0,112.0,57.1,1,0.7,0.9,12.0,49.0,11.0,5.0,54.0,607.0,541.0,64.0,19.0,1.0,10.0,39,25.0,13.0,12.0,0.0,0.0,492.0,2.0,5.0,29.0,23.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,21.0,14,9.0,7.0,5.0,8.0,17.0,47.1,9.0,17.0,1.0,16.0,8,29,12.0,2.0,70,720.0,32.0,137.0,320.0,271.0,24.0,720.0,19.0,6.0,31.6,10.0,52.6,468.0,2409.0,1308.0,34.0,25.0,6.0,16.0,9.0,489.0,54.0,1,0,0,5,18,2,39,8,14,0.0,0.0,0,53.0,11.0,8.0,57.9,1
2022-10-08,14:00 (05:00),La Liga,Matchweek 8,Sat,Away,L,1,3,Almería,1,12,4,33.3,0.08,0.25,18.0,0.0,0,0,0.8,0.8,0.07,0.2,0.2,4,3,1,25.0,0,1.0,-2.0,0,0,0,0,2.0,8.0,25.0,21.0,5.0,28.6,30.3,8.0,25.0,35.3,12.0,0.0,0.0,2.0,17.0,410.0,516.0,79.5,7433.0,2710.0,182.0,198.0,91.9,158.0,188.0,84.0,54.0,87.0,62.1,1,0.8,0.7,10.0,50.0,9.0,1.0,49.0,516.0,443.0,69.0,26.0,0.0,9.0,29,25.0,6.0,2.0,3.0,0.0,410.0,4.0,10.0,19.0,12.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,15,6.0,11.0,1.0,11.0,18.0,61.1,7.0,4.0,0.0,4.0,8,26,17.0,1.0,63,624.0,45.0,162.0,315.0,150.0,19.0,624.0,17.0,7.0,41.2,7.0,41.2,340.0,2169.0,1005.0,22.0,17.0,0.0,16.0,24.0,405.0,48.0,2,0,0,12,22,4,29,8,15,0.0,0.0,0,55.0,8.0,13.0,38.1,1
2022-10-14,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,D,0,0,Getafe,0,16,2,12.5,0.0,0.0,23.4,1.0,0,1,1.6,0.9,0.05,-1.6,-0.9,3,0,3,100.0,1,0.6,0.6,0,0,0,0,1.0,5.0,20.0,16.0,5.0,31.3,33.2,2.0,0.0,20.5,4.0,0.0,0.0,4.0,24.3,525.0,657.0,79.9,10068.0,3228.0,198.0,221.0,89.6,232.0,272.0,85.3,74.0,115.0,64.3,0,0.7,0.5,11.0,55.0,10.0,3.0,58.0,657.0,599.0,52.0,15.0,0.0,13.0,36,30.0,4.0,1.0,3.0,0.0,525.0,6.0,14.0,28.0,22.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,2.0,4.0,2.0,4.0,9.0,44.4,5.0,10.0,2.0,8.0,7,15,8.0,0.0,65,750.0,28.0,156.0,375.0,223.0,18.0,749.0,15.0,6.0,40.0,5.0,33.3,376.0,2189.0,1244.0,36.0,26.0,1.0,13.0,7.0,519.0,58.0,2,0,0,13,14,6,36,7,3,0.0,0.0,0,68.0,22.0,11.0,66.7,1
2022-10-18,21:00 (12:00),La Liga,Matchweek 10,Tue,Away,D,1,1,Atlético Madrid,1,13,3,23.1,0.0,0.0,20.6,0.0,1,1,1.8,1.1,0.08,-0.8,-1.1,4,1,3,75.0,0,1.5,0.5,0,0,0,0,3.0,4.0,75.0,14.0,6.0,14.3,27.4,8.0,25.0,32.6,12.0,1.0,8.3,0.0,5.0,416.0,524.0,79.4,7627.0,2474.0,173.0,203.0,85.2,197.0,225.0,87.6,40.0,68.0,58.8,0,1.1,0.9,13.0,34.0,8.0,5.0,49.0,524.0,471.0,50.0,13.0,1.0,7.0,26,23.0,4.0,0.0,3.0,0.0,416.0,3.0,8.0,26.0,21.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7,6.0,5.0,3.0,6.0,13.0,46.2,7.0,10.0,2.0,8.0,7,21,18.0,0.0,48,636.0,41.0,140.0,346.0,155.0,15.0,635.0,13.0,0.0,0.0,13.0,100.0,401.0,2062.0,956.0,19.0,16.0,1.0,19.0,8.0,413.0,49.0,0,0,0,11,10,3,26,7,7,0.0,0.0,0,54.0,11.0,9.0,55.0,1
