Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-13,19:00 (10:00),La Liga,Matchweek 1,Sat,Away,W,3,0,Valladolid,3,10.0,4.0,40.0,0.3,0.75,15.1,0.0,0,0,1.5,1.5,0.15,1.5,1.5,6.0,0.0,6.0,100.0,1,0.6,0.6,0,0,0,0,5.0,13.0,38.5,29.0,5.0,24.1,32.4,13.0,46.2,47.9,16.0,0.0,0.0,2.0,25.5,351.0,453.0,77.5,6870.0,2762.0,134.0,155.0,86.5,165.0,198.0,83.3,48.0,85.0,56.5,2,1.1,1.3,8.0,27.0,10.0,1.0,34.0,453.0,401.0,51.0,7.0,6.0,2.0,8.0,25.0,5.0,3.0,0.0,0.0,351.0,1.0,7.0,16.0,12.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,5.0,9.0,4.0,9.0,21.0,42.9,12.0,7.0,1.0,6.0,7.0,25,16.0,0.0,49.0,553.0,67.0,189.0,223.0,148.0,30.0,553.0,25.0,15.0,60.0,8.0,32.0,240.0,1734.0,1014.0,21.0,14.0,5.0,19.0,8.0,344.0,33.0,0,0,0,10.0,5.0,1.0,8.0,7.0,10.0,0.0,0.0,0,52.0,12.0,10.0,54.5,1
2022-08-18,20:45 (11:45),Conf Lg,Play-off round,Thu,Home,W,4,2,hr Hajduk Split,3,,,,,,,,0,0,,,,,,,,,,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2022-08-21,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,W,2,0,Atlético Madrid,2,19.0,5.0,26.3,0.11,0.4,17.1,0.0,0,0,1.8,1.8,0.09,0.2,0.2,5.0,0.0,5.0,100.0,1,1.2,1.2,0,0,0,0,4.0,13.0,30.8,50.0,5.0,20.0,28.9,12.0,25.0,26.3,24.0,2.0,8.3,0.0,12.3,456.0,511.0,89.2,8526.0,2982.0,191.0,199.0,96.0,210.0,219.0,95.9,47.0,71.0,66.2,1,1.4,0.9,10.0,26.0,5.0,0.0,36.0,511.0,476.0,34.0,10.0,1.0,10.0,9.0,5.0,6.0,1.0,3.0,0.0,456.0,1.0,8.0,30.0,17.0,3.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,3.0,2.0,1.0,4.0,8.0,50.0,4.0,11.0,1.0,10.0,12.0,18,32.0,0.0,49.0,634.0,117.0,256.0,274.0,108.0,22.0,634.0,27.0,10.0,37.0,14.0,51.9,372.0,2275.0,1240.0,17.0,13.0,7.0,11.0,4.0,444.0,35.0,3,0,0,11.0,8.0,1.0,9.0,12.0,2.0,0.0,0.0,0,35.0,11.0,12.0,47.8,1
2022-08-25,21:00 (12:00),Conf Lg,Play-off round,Thu,Away,W,2,0,hr Hajduk Split,2,,,,,,,,0,0,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0,,,,,2
2022-08-28,17:30 (08:30),La Liga,Matchweek 3,Sun,Away,D,0,0,Getafe,0,11.0,6.0,54.5,0.0,0.0,16.4,0.0,0,0,1.1,1.1,0.1,-1.1,-1.1,2.0,0.0,2.0,100.0,1,0.2,0.2,0,0,0,0,3.0,3.0,100.0,24.0,10.0,4.2,23.6,7.0,28.6,34.9,8.0,1.0,12.5,1.0,12.3,447.0,527.0,84.8,8464.0,2767.0,160.0,177.0,90.4,227.0,256.0,88.7,44.0,62.0,71.0,0,1.1,0.7,11.0,46.0,9.0,4.0,59.0,527.0,474.0,53.0,16.0,0.0,6.0,12.0,25.0,4.0,2.0,0.0,0.0,447.0,0.0,11.0,21.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,5.0,1.0,3.0,9.0,33.3,6.0,8.0,1.0,7.0,7.0,14,10.0,0.0,64.0,605.0,35.0,120.0,342.0,148.0,17.0,605.0,18.0,12.0,66.7,6.0,33.3,335.0,2471.0,1417.0,17.0,13.0,6.0,14.0,9.0,430.0,59.0,5,0,0,19.0,10.0,0.0,12.0,7.0,6.0,0.0,0.0,0,35.0,9.0,5.0,64.3,1
2022-09-04,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,W,4,0,Elche,4,18.0,10.0,55.6,0.22,0.4,11.1,1.0,0,0,3.4,3.4,0.24,0.6,0.6,0.0,0.0,0.0,,1,0.0,0.0,0,0,0,0,3.0,3.0,100.0,27.0,3.0,7.4,23.8,8.0,12.5,27.9,17.0,2.0,11.8,0.0,8.3,426.0,506.0,84.2,8031.0,2722.0,162.0,178.0,91.0,202.0,231.0,87.4,51.0,73.0,69.9,1,2.2,0.7,11.0,30.0,7.0,1.0,49.0,506.0,465.0,36.0,10.0,3.0,4.0,15.0,11.0,6.0,2.0,0.0,0.0,426.0,5.0,6.0,31.0,20.0,1.0,2.0,6.0,1.0,1.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,21.0,15.0,5.0,14.0,2.0,5.0,6.0,83.3,1.0,7.0,3.0,4.0,3.0,24,20.0,0.0,53.0,617.0,62.0,191.0,296.0,135.0,29.0,617.0,12.0,7.0,58.3,3.0,25.0,334.0,2028.0,1218.0,19.0,12.0,8.0,15.0,16.0,415.0,49.0,1,0,0,10.0,9.0,5.0,15.0,3.0,15.0,0.0,0.0,0,47.0,8.0,8.0,50.0,1
2022-09-08,18:45 (09:45),Conf Lg,Group stage,Thu,Home,W,4,3,pl Lech Poznań,4,15.0,6.0,40.0,0.27,0.67,15.1,0.0,0,0,1.0,1.0,0.07,3.0,3.0,3.0,3.0,0.0,33.3,0,2.3,-0.7,1,1,0,0,3.0,8.0,37.5,22.0,2.0,22.7,27.6,6.0,50.0,35.5,9.0,0.0,0.0,2.0,22.0,398.0,466.0,85.4,7750.0,2399.0,133.0,145.0,91.7,206.0,227.0,90.7,50.0,73.0,68.5,3,1.0,1.4,14.0,33.0,14.0,7.0,51.0,466.0,417.0,48.0,13.0,0.0,1.0,23.0,18.0,7.0,1.0,2.0,0.0,398.0,1.0,6.0,27.0,23.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,5.0,2.0,4.0,6.0,66.7,2.0,6.0,3.0,3.0,8.0,17,15.0,1.0,56.0,553.0,60.0,149.0,257.0,150.0,31.0,553.0,31.0,16.0,51.6,12.0,38.7,267.0,1886.0,1019.0,24.0,12.0,7.0,12.0,4.0,384.0,51.0,4,0,0,14.0,7.0,1.0,23.0,8.0,4.0,0.0,1.0,0,41.0,10.0,7.0,58.8,2
2022-09-11,21:00 (12:00),La Liga,Matchweek 5,Sun,Away,L,0,1,Betis,0,14.0,2.0,14.3,0.0,0.0,17.7,0.0,0,0,1.7,1.7,0.12,-1.7,-1.7,5.0,1.0,4.0,80.0,0,1.1,0.1,0,0,0,0,4.0,7.0,57.1,30.0,5.0,16.7,31.1,6.0,33.3,31.7,16.0,0.0,0.0,1.0,38.0,381.0,465.0,81.9,6591.0,2523.0,189.0,213.0,88.7,156.0,169.0,92.3,32.0,57.0,56.1,0,1.4,1.5,10.0,29.0,12.0,2.0,44.0,465.0,411.0,48.0,15.0,1.0,3.0,24.0,17.0,8.0,3.0,2.0,0.0,381.0,6.0,13.0,24.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,9.0,5.0,3.0,7.0,15.0,46.7,8.0,12.0,5.0,7.0,9.0,26,24.0,1.0,53.0,571.0,71.0,183.0,193.0,205.0,29.0,571.0,28.0,10.0,35.7,9.0,32.1,333.0,1898.0,1051.0,23.0,16.0,4.0,11.0,7.0,377.0,44.0,1,0,0,14.0,11.0,6.0,24.0,9.0,13.0,0.0,0.0,0,41.0,13.0,10.0,56.5,1
2022-09-15,22:00 (12:00),Conf Lg,Group stage,Thu,Away,W,2,1,il Be'er Sheva,2,10.0,3.0,30.0,0.1,0.33,15.8,1.0,1,2,3.4,1.8,0.18,-1.4,-0.8,2.0,1.0,1.0,50.0,0,0.9,-0.1,0,0,0,0,6.0,10.0,60.0,23.0,4.0,30.4,36.2,7.0,42.9,35.7,15.0,1.0,6.7,0.0,4.5,396.0,456.0,86.8,7608.0,2679.0,165.0,177.0,93.2,166.0,175.0,94.9,56.0,79.0,70.9,1,1.5,1.3,8.0,21.0,7.0,3.0,27.0,456.0,411.0,44.0,14.0,2.0,10.0,6.0,18.0,3.0,0.0,1.0,1.0,396.0,1.0,11.0,22.0,12.0,3.0,2.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,3.0,1.0,3.0,3.0,4.0,75.0,1.0,13.0,6.0,7.0,9.0,16,21.0,0.0,50.0,565.0,79.0,223.0,244.0,105.0,18.0,563.0,20.0,7.0,35.0,11.0,55.0,409.0,2271.0,1001.0,17.0,15.0,6.0,13.0,9.0,390.0,27.0,3,0,0,16.0,16.0,1.0,6.0,9.0,5.0,2.0,0.0,0,41.0,6.0,8.0,42.9,2
2022-09-18,16:15 (07:15),La Liga,Matchweek 6,Sun,Home,D,1,1,Sevilla,1,17.0,6.0,35.3,0.06,0.17,19.0,1.0,0,0,1.5,1.5,0.09,-0.5,-0.5,1.0,1.0,0.0,0.0,0,0.3,-0.7,0,0,0,0,3.0,6.0,50.0,25.0,2.0,20.0,28.2,7.0,14.3,33.6,14.0,2.0,14.3,4.0,17.4,327.0,422.0,77.5,6180.0,2126.0,138.0,165.0,83.6,148.0,175.0,84.6,37.0,65.0,56.9,0,1.3,1.2,12.0,34.0,11.0,1.0,48.0,422.0,368.0,53.0,16.0,4.0,5.0,21.0,22.0,6.0,2.0,4.0,0.0,327.0,1.0,7.0,29.0,21.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,16.0,7.0,7.0,6.0,9.0,16.0,56.3,7.0,5.0,3.0,2.0,7.0,27,15.0,1.0,46.0,521.0,48.0,150.0,196.0,183.0,25.0,521.0,24.0,15.0,62.5,6.0,25.0,285.0,1893.0,1124.0,27.0,18.0,6.0,14.0,7.0,316.0,48.0,1,0,0,15.0,12.0,1.0,21.0,7.0,16.0,0.0,0.0,0,46.0,10.0,7.0,58.8,1
