Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Away,L,1,3,Atlético Madrid,1,7,4,57.1,0.14,0.25,14.1,0.0,0,0,0.9,0.9,0.14,0.1,0.1,6,3,3,50.0,0,2.0,-1.0,0,0,0,0,7.0,12.0,58.3,30.0,4.0,26.7,31.8,12.0,33.3,25.2,14.0,1.0,7.1,3.0,16.9,458.0,561.0,81.6,8814.0,2786.0,177.0,195.0,90.8,218.0,248.0,87.9,56.0,95.0,58.9,1,0.7,0.8,5.0,22.0,3.0,1.0,25.0,561.0,507.0,54.0,17.0,0.0,5.0,12,18.0,3.0,2.0,0.0,0.0,458.0,0.0,11.0,10.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,9,11.0,6.0,3.0,8.0,19.0,42.1,11.0,12.0,2.0,10.0,4,24,15.0,1.0,54.0,657.0,78.0,236.0,332.0,95.0,11.0,657.0,8.0,3.0,37.5,3.0,37.5,396.0,2043.0,811.0,12.0,9.0,1.0,15.0,12.0,458.0,25.0,1,0,0,9,14,0,12,4,9,0.0,0.0,0,54.0,9.0,15.0,37.5,1
2023-08-21,21:30 (12:30),La Liga,Matchweek 2,Mon,Home,L,0,2,Rayo Vallecano,0,14,7,50.0,0.0,0.0,16.1,0.0,0,0,1.2,1.2,0.09,-1.2,-1.2,9,2,7,77.8,0,3.4,1.4,0,0,0,0,3.0,11.0,27.3,37.0,7.0,24.3,27.9,7.0,28.6,33.1,16.0,0.0,0.0,0.0,,308.0,414.0,74.4,5725.0,2242.0,135.0,154.0,87.7,133.0,157.0,84.7,37.0,83.0,44.6,0,0.8,1.2,11.0,19.0,10.0,2.0,29.0,414.0,356.0,57.0,18.0,1.0,3.0,22,24.0,5.0,1.0,3.0,0.0,308.0,1.0,9.0,25.0,17.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,9.0,8.0,1.0,5.0,16.0,31.3,11.0,5.0,2.0,3.0,5,23,18.0,0.0,48.0,523.0,65.0,186.0,224.0,118.0,20.0,523.0,22.0,12.0,54.5,10.0,45.5,332.0,1995.0,1119.0,24.0,16.0,4.0,14.0,8.0,301.0,29.0,2,1,0,14,10,1,22,5,11,0.0,0.0,0,56.0,13.0,15.0,46.4,1
2023-08-26,19:30 (10:30),La Liga,Matchweek 3,Sat,Home,W,3,2,Mallorca,3,9,3,33.3,0.22,0.67,21.3,1.0,1,1,1.4,0.6,0.07,1.6,1.4,5,2,3,60.0,0,1.8,-0.2,1,0,0,1,4.0,20.0,20.0,34.0,4.0,44.1,41.0,6.0,83.3,68.0,14.0,2.0,14.3,2.0,15.5,306.0,399.0,76.7,6196.0,2325.0,120.0,134.0,89.6,126.0,144.0,87.5,56.0,101.0,55.4,2,0.6,0.5,7.0,23.0,8.0,2.0,25.0,399.0,334.0,64.0,26.0,1.0,3.0,16,24.0,5.0,1.0,0.0,0.0,306.0,1.0,8.0,16.0,9.0,3.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,5,3.0,3.0,1.0,4.0,7.0,57.1,3.0,2.0,0.0,2.0,6,13,15.0,2.0,53.0,484.0,54.0,186.0,198.0,108.0,14.0,483.0,19.0,7.0,36.8,6.0,31.6,269.0,1372.0,751.0,12.0,11.0,3.0,19.0,3.0,302.0,23.0,2,0,0,11,24,1,16,6,5,0.0,1.0,0,44.0,14.0,19.0,42.4,1
2023-09-02,14:00 (05:00),La Liga,Matchweek 4,Sat,Away,L,3,5,Real Sociedad,2,8,5,62.5,0.25,0.4,18.5,0.0,0,0,0.8,0.8,0.09,1.2,1.2,6,5,2,16.7,0,3.2,-0.8,0,0,0,0,6.0,20.0,30.0,29.0,2.0,41.4,35.5,9.0,88.9,60.9,9.0,1.0,11.1,3.0,15.9,255.0,372.0,68.5,5165.0,1852.0,96.0,113.0,85.0,116.0,145.0,80.0,40.0,93.0,43.0,2,0.7,0.3,7.0,17.0,4.0,1.0,19.0,372.0,304.0,63.0,23.0,1.0,2.0,20,20.0,5.0,3.0,1.0,0.0,255.0,5.0,10.0,14.0,9.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,6,5.0,5.0,0.0,2.0,10.0,20.0,8.0,5.0,2.0,3.0,3,13,18.0,1.0,39.0,458.0,60.0,192.0,184.0,86.0,9.0,458.0,21.0,11.0,52.4,9.0,42.9,218.0,1342.0,570.0,10.0,8.0,2.0,11.0,8.0,252.0,19.0,5,0,0,14,14,5,20,3,6,0.0,0.0,1,43.0,14.0,12.0,53.8,1
2023-09-18,21:00 (12:00),La Liga,Matchweek 5,Mon,Home,L,2,4,Girona,2,12,5,41.7,0.17,0.4,17.5,2.0,0,0,1.6,1.6,0.13,0.4,0.4,6,4,2,33.3,0,2.8,-1.2,0,0,0,0,4.0,6.0,66.7,22.0,4.0,22.7,27.9,3.0,33.3,35.3,13.0,1.0,7.7,6.0,19.4,285.0,370.0,77.0,5367.0,2235.0,117.0,128.0,91.4,128.0,158.0,81.0,35.0,63.0,55.6,2,1.5,0.9,10.0,18.0,8.0,4.0,24.0,370.0,303.0,64.0,24.0,1.0,0.0,24,28.0,4.0,0.0,2.0,0.0,285.0,3.0,11.0,22.0,15.0,3.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,19.0,10,8.0,9.0,2.0,7.0,20.0,35.0,13.0,12.0,5.0,7.0,5,24,11.0,2.0,43.0,479.0,42.0,187.0,200.0,104.0,20.0,479.0,25.0,7.0,28.0,15.0,60.0,234.0,1466.0,762.0,12.0,16.0,1.0,17.0,6.0,284.0,24.0,3,0,0,13,19,3,24,5,10,0.0,0.0,0,53.0,17.0,4.0,81.0,1
2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Away,L,0,1,Las Palmas,0,2,1,50.0,0.0,0.0,33.7,1.0,0,0,0.0,0.0,0.02,0.0,0.0,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,7.0,18.0,38.9,24.0,5.0,62.5,38.9,7.0,42.9,34.4,14.0,1.0,7.1,1.0,10.6,240.0,366.0,65.6,4244.0,1879.0,117.0,150.0,78.0,79.0,112.0,70.5,34.0,73.0,46.6,0,0.0,0.9,0.0,22.0,2.0,1.0,20.0,366.0,307.0,54.0,16.0,2.0,3.0,23,22.0,7.0,4.0,1.0,0.0,240.0,5.0,11.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5,5.0,8.0,3.0,10.0,19.0,52.6,9.0,6.0,1.0,5.0,4,20,12.0,0.0,44.0,455.0,42.0,134.0,220.0,110.0,9.0,455.0,21.0,7.0,33.3,12.0,57.1,237.0,1342.0,567.0,9.0,14.0,3.0,10.0,11.0,239.0,19.0,4,0,0,19,12,5,23,4,5,0.0,0.0,0,53.0,18.0,20.0,47.4,1
2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Home,D,1,1,Betis,1,18,7,38.9,0.06,0.14,15.8,1.0,0,0,1.8,1.8,0.1,-0.8,-0.8,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,9.0,18.0,50.0,32.0,7.0,34.4,36.4,11.0,63.6,50.1,14.0,0.0,0.0,0.0,8.0,275.0,365.0,75.3,5448.0,2669.0,122.0,138.0,88.4,98.0,129.0,76.0,47.0,76.0,61.8,1,1.6,1.7,14.0,26.0,8.0,5.0,29.0,365.0,318.0,45.0,11.0,1.0,0.0,24,16.0,5.0,2.0,3.0,0.0,275.0,2.0,10.0,33.0,18.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,4.0,2.0,5.0,13.0,38.5,8.0,13.0,4.0,9.0,3,15,30.0,1.0,39.0,496.0,79.0,205.0,181.0,116.0,28.0,496.0,26.0,13.0,50.0,11.0,42.3,294.0,1679.0,852.0,20.0,12.0,8.0,7.0,2.0,271.0,27.0,2,0,0,14,10,2,24,3,10,0.0,0.0,0,45.0,10.0,12.0,45.5,1
2023-10-01,14:00 (05:00),La Liga,Matchweek 8,Sun,Away,D,3,3,Almería,3,17,2,11.8,0.12,1.0,14.6,0.0,1,2,2.9,1.3,0.08,0.1,0.7,5,3,2,40.0,0,3.2,0.2,0,0,0,0,7.0,10.0,70.0,25.0,9.0,20.0,29.7,7.0,71.4,52.3,14.0,1.0,7.1,2.0,14.2,330.0,425.0,77.6,6028.0,2517.0,148.0,168.0,88.1,142.0,160.0,88.8,35.0,75.0,46.7,2,1.1,1.6,14.0,20.0,7.0,2.0,34.0,425.0,367.0,54.0,16.0,2.0,2.0,15,22.0,5.0,2.0,1.0,0.0,330.0,4.0,6.0,33.0,20.0,1.0,5.0,4.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,10.0,2,6.0,4.0,0.0,6.0,11.0,54.5,5.0,8.0,3.0,5.0,5,15,18.0,2.0,51.0,534.0,54.0,158.0,265.0,113.0,31.0,532.0,25.0,16.0,64.0,9.0,36.0,335.0,2066.0,1089.0,17.0,18.0,8.0,15.0,7.0,327.0,34.0,1,0,0,14,17,4,15,5,2,2.0,0.0,0,51.0,14.0,17.0,45.2,1
2023-10-08,21:00 (12:00),La Liga,Matchweek 9,Sun,Home,D,2,2,Barcelona,2,7,2,28.6,0.29,1.0,21.8,0.0,0,0,0.8,0.8,0.12,1.2,1.2,10,2,8,80.0,0,3.6,1.6,0,0,0,0,10.0,24.0,41.7,19.0,1.0,78.9,56.5,12.0,75.0,46.3,22.0,1.0,4.5,0.0,9.0,131.0,205.0,63.9,2451.0,1394.0,67.0,76.0,88.2,34.0,53.0,64.2,22.0,56.0,39.3,2,0.7,0.2,4.0,7.0,2.0,0.0,11.0,205.0,163.0,40.0,11.0,0.0,1.0,6,13.0,1.0,0.0,1.0,0.0,131.0,2.0,10.0,12.0,7.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,16.0,9,10.0,5.0,1.0,6.0,19.0,31.6,13.0,16.0,4.0,12.0,7,23,34.0,0.0,20.0,339.0,80.0,195.0,80.0,66.0,10.0,339.0,19.0,7.0,36.8,12.0,63.2,146.0,756.0,358.0,9.0,7.0,3.0,16.0,10.0,129.0,11.0,6,0,0,12,6,2,6,7,9,0.0,0.0,0,49.0,5.0,12.0,29.4,1
2023-10-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,0,2,Osasuna,0,13,3,23.1,0.0,0.0,14.2,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,6,2,4,83.3,0,2.2,0.2,1,1,0,0,2.0,12.0,16.7,33.0,8.0,27.3,27.8,5.0,60.0,45.6,12.0,0.0,0.0,1.0,14.0,294.0,408.0,72.1,4867.0,2108.0,148.0,180.0,82.2,115.0,139.0,82.7,22.0,61.0,36.1,0,0.5,0.9,10.0,16.0,9.0,3.0,25.0,408.0,355.0,52.0,22.0,1.0,6.0,19,15.0,7.0,1.0,4.0,0.0,294.0,1.0,11.0,24.0,13.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,7.0,10.0,0.0,10.0,16.0,62.5,6.0,13.0,3.0,10.0,6,23,33.0,0.0,42.0,531.0,75.0,227.0,216.0,98.0,24.0,531.0,14.0,8.0,57.1,5.0,35.7,278.0,1277.0,710.0,11.0,9.0,4.0,15.0,2.0,291.0,25.0,4,1,0,13,18,1,19,6,8,0.0,1.0,0,54.0,11.0,18.0,37.9,1
