Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,17:00 (08:00),La Liga,Matchweek 1,Sun,Away,W,2,0,Celta Vigo,2,11.0,5.0,45.5,0.18,0.4,15.7,1.0,0,0,1.0,1.0,0.09,1.0,1.0,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,16.0,32.0,50.0,30.0,1.0,66.7,46.8,13.0,92.3,62.7,13.0,0.0,0.0,0.0,4.0,344.0,468.0,73.5,7218.0,3173.0,131.0,155.0,84.5,147.0,171.0,86.0,59.0,117.0,50.4,0,0.6,0.4,7.0,38.0,3.0,3.0,32.0,468.0,416.0,51.0,16.0,0.0,4.0,15.0,19.0,2.0,0.0,2.0,0.0,344.0,1.0,15.0,17.0,9.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,14.0,6.0,11.0,1.0,6.0,17.0,35.3,11.0,11.0,4.0,7.0,14.0,32,20.0,0.0,47.0,568.0,67.0,191.0,262.0,119.0,8.0,568.0,9.0,5.0,55.6,1.0,11.1,312.0,1577.0,682.0,13.0,7.0,1.0,17.0,7.0,341.0,32.0,1,0,0,15.0,10.0,1.0,15.0,14.0,14.0,0.0,0.0,0,65.0,15.0,15.0,50.0,1.0
2023-08-19,21:30 (12:30),La Liga,Matchweek 2,Sat,Home,L,0,2,Athletic Club,0,18.0,7.0,38.9,0.0,0.0,17.8,2.0,0,0,1.3,1.3,0.07,-1.3,-1.3,2.0,2,0.0,0.0,0,1.6,-0.4,0,0,0,0,6.0,18.0,33.3,39.0,4.0,38.5,37.5,7.0,42.9,42.9,10.0,0.0,0.0,1.0,28.0,474.0,608.0,78.0,9514.0,3264.0,183.0,206.0,88.8,220.0,253.0,87.0,69.0,126.0,54.8,0,1.1,1.6,12.0,56.0,12.0,5.0,60.0,608.0,551.0,55.0,12.0,1.0,10.0,39.0,28.0,5.0,4.0,1.0,0.0,474.0,2.0,8.0,36.0,28.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,11.0,1.0,1.0,4.0,11.0,36.4,7.0,9.0,2.0,7.0,15.0,28,10.0,0.0,63.0,717.0,46.0,189.0,298.0,231.0,33.0,717.0,20.0,6.0,30.0,14.0,70.0,389.0,2200.0,1120.0,24.0,18.0,5.0,14.0,8.0,468.0,60.0,1,1,0,9.0,14.0,2.0,39.0,15.0,7.0,0.0,0.0,0,50.0,20.0,19.0,51.3,1.0
2023-08-24,20:30 (11:30),Conf Lg,Play-off round,Thu,Home,L,1,2,be Club Brugge,1,,,,,,,,0,0,,,,,,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2.0
2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Away,W,2,1,Valencia,2,6.0,1.0,16.7,0.17,1.0,13.8,0.0,1,1,1.2,0.4,0.07,0.8,0.6,4.0,1,3.0,75.0,0,1.0,0.0,0,0,0,0,10.0,26.0,38.5,17.0,0.0,76.5,50.8,15.0,86.7,58.2,29.0,1.0,3.4,4.0,19.8,213.0,317.0,67.2,4080.0,1828.0,96.0,121.0,79.3,77.0,92.0,83.7,32.0,77.0,41.6,1,0.4,0.7,5.0,13.0,3.0,2.0,18.0,317.0,257.0,59.0,15.0,0.0,3.0,9.0,24.0,3.0,0.0,3.0,0.0,213.0,1.0,10.0,12.0,4.0,3.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,14.0,11.0,6.0,5.0,3.0,11.0,23.0,47.8,12.0,9.0,2.0,7.0,7.0,21,39.0,0.0,36.0,437.0,70.0,159.0,170.0,112.0,11.0,436.0,10.0,4.0,40.0,5.0,50.0,215.0,931.0,422.0,7.0,10.0,2.0,17.0,9.0,212.0,18.0,4,0,0,12.0,13.0,1.0,9.0,7.0,11.0,1.0,0.0,0,53.0,17.0,16.0,51.5,1.0
2023-08-31,20:30 (11:30),Conf Lg,Play-off round,Thu,Away,D,2,2,be Club Brugge,2,,,,,,,,0,0,,,,,,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,,,,,,,,,0,,,,,2.0
2023-09-03,21:00 (12:00),La Liga,Matchweek 4,Sun,Home,L,1,2,Barcelona,1,11.0,3.0,27.3,0.09,0.33,18.3,0.0,0,0,0.8,0.8,0.07,0.2,0.2,4.0,2,2.0,75.0,0,1.6,-0.4,1,1,0,0,6.0,17.0,35.3,26.0,3.0,61.5,49.6,3.0,33.3,30.7,10.0,1.0,10.0,0.0,8.7,223.0,319.0,69.9,4875.0,1989.0,79.0,93.0,84.9,97.0,131.0,74.0,44.0,80.0,55.0,1,0.7,1.2,9.0,27.0,7.0,1.0,26.0,319.0,259.0,58.0,18.0,0.0,1.0,29.0,26.0,8.0,4.0,4.0,0.0,223.0,2.0,7.0,19.0,13.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,5.0,9.0,2.0,3.0,15.0,20.0,12.0,10.0,2.0,8.0,5.0,21,21.0,0.0,31.0,414.0,47.0,102.0,150.0,169.0,27.0,414.0,18.0,4.0,22.2,9.0,50.0,174.0,1013.0,472.0,12.0,13.0,4.0,8.0,11.0,220.0,26.0,2,1,0,6.0,16.0,2.0,29.0,5.0,9.0,0.0,1.0,0,41.0,16.0,15.0,51.6,1.0
2023-09-17,14:00 (05:00),La Liga,Matchweek 5,Sun,Away,L,2,3,Getafe,2,7.0,2.0,28.6,0.14,0.5,23.3,1.0,1,1,1.1,0.3,0.05,0.9,0.7,6.0,3,3.0,50.0,0,1.3,-1.7,0,0,0,0,7.0,17.0,41.2,27.0,3.0,63.0,45.6,1.0,0.0,38.0,17.0,0.0,0.0,0.0,10.0,357.0,498.0,71.7,6565.0,2364.0,171.0,197.0,86.8,127.0,166.0,76.5,48.0,102.0,47.1,1,0.3,0.3,6.0,35.0,2.0,1.0,24.0,498.0,438.0,53.0,13.0,0.0,6.0,15.0,32.0,3.0,1.0,1.0,0.0,357.0,7.0,9.0,14.0,10.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,6.0,5.0,4.0,1.0,4.0,6.0,66.7,2.0,9.0,3.0,6.0,8.0,18,25.0,0.0,56.0,590.0,43.0,175.0,308.0,114.0,13.0,589.0,12.0,4.0,33.3,6.0,50.0,295.0,1577.0,738.0,8.0,7.0,1.0,11.0,3.0,350.0,24.0,2,0,0,11.0,15.0,7.0,15.0,8.0,6.0,1.0,0.0,0,49.0,31.0,23.0,57.4,1.0
2023-09-23,16:15 (07:15),La Liga,Matchweek 6,Sat,Home,D,0,0,Sevilla,0,16.0,2.0,12.5,0.0,0.0,16.8,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,3.0,0,3.0,100.0,1,0.6,0.6,0,0,0,0,12.0,28.0,42.9,25.0,3.0,68.0,49.8,18.0,61.1,44.9,17.0,0.0,0.0,2.0,18.3,222.0,376.0,59.0,4836.0,2735.0,96.0,122.0,78.7,78.0,134.0,58.2,46.0,103.0,44.7,0,1.1,1.0,10.0,26.0,7.0,3.0,35.0,376.0,310.0,64.0,10.0,0.0,3.0,21.0,28.0,7.0,5.0,0.0,0.0,222.0,2.0,8.0,24.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,6.0,6.0,3.0,8.0,15.0,53.3,7.0,13.0,2.0,11.0,5.0,20,24.0,0.0,44.0,514.0,68.0,198.0,170.0,150.0,35.0,514.0,23.0,6.0,26.1,17.0,73.9,226.0,1220.0,602.0,20.0,16.0,9.0,26.0,6.0,220.0,34.0,2,0,0,11.0,6.0,2.0,21.0,5.0,9.0,0.0,0.0,0,58.0,27.0,28.0,49.1,1.0
2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Home,L,0,2,Atlético Madrid,0,13.0,2.0,15.4,0.0,0.0,15.6,1.0,0,0,1.0,1.0,0.07,-1.0,-1.0,3.0,2,1.0,33.3,0,1.7,-0.3,0,0,0,0,6.0,10.0,60.0,20.0,4.0,45.0,34.7,3.0,33.3,31.7,3.0,0.0,0.0,2.0,15.3,447.0,570.0,78.4,8064.0,2824.0,195.0,224.0,87.1,204.0,243.0,84.0,43.0,80.0,53.8,0,0.7,1.5,9.0,52.0,18.0,4.0,67.0,570.0,521.0,47.0,8.0,1.0,1.0,38.0,26.0,7.0,4.0,2.0,0.0,447.0,2.0,13.0,22.0,17.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,6.0,3.0,6.0,10.0,60.0,4.0,8.0,0.0,8.0,8.0,19,9.0,1.0,55.0,649.0,30.0,99.0,313.0,243.0,32.0,649.0,18.0,10.0,55.6,7.0,38.9,373.0,2039.0,1033.0,26.0,16.0,5.0,13.0,5.0,441.0,66.0,3,1,0,14.0,4.0,2.0,38.0,8.0,5.0,0.0,0.0,0,65.0,20.0,12.0,62.5,1.0
2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Away,W,2,0,Alavés,2,10.0,3.0,30.0,0.2,0.67,20.7,1.0,0,0,1.1,1.1,0.11,0.9,0.9,3.0,0,3.0,,1,1.4,0.0,0,0,0,0,7.0,21.0,33.3,25.0,1.0,52.0,39.1,13.0,69.2,48.3,22.0,2.0,9.1,3.0,20.3,368.0,478.0,77.0,7156.0,2721.0,145.0,173.0,83.8,168.0,199.0,84.4,51.0,89.0,57.3,2,1.0,0.7,9.0,30.0,6.0,3.0,30.0,478.0,427.0,50.0,17.0,2.0,3.0,13.0,17.0,2.0,1.0,1.0,0.0,368.0,1.0,7.0,19.0,15.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,5.0,15.0,33.3,10.0,12.0,8.0,4.0,3.0,9,27.0,1.0,54.0,568.0,66.0,198.0,273.0,104.0,11.0,568.0,16.0,8.0,50.0,5.0,31.3,325.0,1695.0,966.0,23.0,11.0,3.0,12.0,7.0,364.0,30.0,3,0,0,13.0,12.0,1.0,13.0,3.0,4.0,0.0,0.0,0,53.0,18.0,23.0,43.9,1.0
