Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Home,L,1,2,eng Liverpool,1,13,4,30.8,0.08,0.25,,,0,1,,,,,,9,2,7,77.8,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,13,0,,,63,,,,,,,,,,,,,,,,,,,,,,,2,0,0,13,12,4,31,13,10,1.0,0.0,1,,,,,2
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Werder Bremen,1,14,3,21.4,0.07,0.33,23.4,1.0,0,0,1.0,1.0,0.07,0.0,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,5.0,15.0,33.3,30.0,1.0,36.7,36.8,4.0,100.0,66.5,9.0,0.0,0.0,1.0,16.3,561.0,666.0,84.2,10135.0,3589.0,233.0,257.0,90.7,266.0,295.0,90.2,55.0,96.0,57.3,1,0.8,1.2,11.0,60.0,8.0,1.0,54.0,666.0,612.0,51.0,16.0,1.0,0.0,20,24.0,6.0,3.0,3.0,0.0,561.0,3.0,15.0,25.0,22.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,13,7.0,9.0,2.0,9.0,10.0,90.0,1.0,15.0,3.0,12.0,12,30,10.0,0.0,64,760.0,48.0,177.0,385.0,201.0,19.0,760.0,21.0,8.0,38.1,13.0,61.9,478.0,2272.0,1390.0,23.0,22.0,6.0,6.0,24.0,554.0,54.0,1,0,0,17,14,3,20,12,13,0.0,0.0,0,46.0,7.0,12.0,36.8,1
2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Away,L,2,4,eng Liverpool,2,9,4,44.4,0.22,0.5,,,0,0,,,,,,9,4,5,55.6,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,12,0,,,55,,,,,,,,,,,,,,,,,,,,,,,4,0,0,13,3,6,15,12,20,0.0,0.0,0,,,,,2
2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2,2,Leverkusen,2,7,4,57.1,0.29,0.5,21.7,0.0,0,0,0.9,0.9,0.12,1.1,1.1,3,2,1,66.7,0,1.6,-0.4,1,1,0,0,11.0,26.0,42.3,30.0,5.0,46.7,39.2,13.0,92.3,56.9,17.0,2.0,11.8,1.0,12.8,249.0,371.0,67.1,5171.0,2428.0,89.0,113.0,78.8,112.0,145.0,77.2,43.0,93.0,46.2,2,0.8,0.3,4.0,15.0,7.0,1.0,18.0,371.0,313.0,56.0,17.0,1.0,3.0,10,22.0,1.0,0.0,1.0,0.0,249.0,2.0,14.0,9.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,13,7.0,8.0,3.0,6.0,9.0,66.7,3.0,26.0,5.0,21.0,15,33,21.0,0.0,40,481.0,78.0,215.0,193.0,76.0,11.0,481.0,13.0,3.0,23.1,10.0,76.9,211.0,901.0,409.0,10.0,5.0,2.0,12.0,12.0,247.0,18.0,2,0,0,11,16,2,10,15,13,0.0,1.0,0,39.0,11.0,14.0,44.0,1
2017-09-09,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,2,0,Bayern Munich,2,6,3,50.0,0.33,0.67,21.9,1.0,0,0,0.6,0.6,0.1,1.4,1.4,6,0,6,100.0,1,0.8,0.8,0,0,0,0,7.0,36.0,19.4,27.0,3.0,85.2,57.0,13.0,100.0,64.3,39.0,3.0,7.7,1.0,11.0,187.0,296.0,63.2,3282.0,1610.0,88.0,117.0,75.2,64.0,84.0,76.2,22.0,72.0,30.6,2,0.5,0.3,5.0,11.0,3.0,0.0,15.0,296.0,249.0,45.0,11.0,0.0,0.0,2,18.0,2.0,1.0,0.0,0.0,187.0,2.0,9.0,11.0,8.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,13,6.0,8.0,3.0,9.0,17.0,52.9,8.0,16.0,6.0,10.0,18,35,35.0,0.0,29,400.0,88.0,208.0,132.0,65.0,5.0,400.0,10.0,3.0,30.0,7.0,70.0,167.0,874.0,425.0,10.0,9.0,1.0,8.0,11.0,185.0,15.0,3,0,0,15,9,2,2,18,13,0.0,0.0,0,35.0,11.0,12.0,47.8,1
2017-09-14,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,1,2,pt Braga,1,17,5,29.4,0.06,0.2,18.5,0.0,0,0,2.0,2.0,0.12,-1.0,-1.0,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,1.0,8.0,12.5,30.0,10.0,20.0,28.1,9.0,22.2,35.0,11.0,0.0,0.0,2.0,19.8,580.0,683.0,84.9,10492.0,3650.0,237.0,265.0,89.4,270.0,299.0,90.3,61.0,91.0,67.0,1,1.9,1.9,14.0,52.0,12.0,2.0,56.0,683.0,628.0,54.0,13.0,1.0,2.0,27,21.0,8.0,0.0,7.0,0.0,580.0,1.0,11.0,29.0,23.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,13,10.0,5.0,1.0,4.0,12.0,33.3,8.0,11.0,2.0,9.0,15,31,9.0,0.0,66,774.0,53.0,199.0,395.0,190.0,25.0,774.0,23.0,12.0,52.2,10.0,43.5,530.0,2971.0,1658.0,30.0,25.0,7.0,10.0,17.0,577.0,56.0,2,0,0,20,12,1,27,15,13,0.0,0.0,0,53.0,13.0,5.0,72.2,2
2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Hertha BSC,1,8,2,25.0,0.13,0.5,15.8,0.0,0,0,0.5,0.5,0.07,0.5,0.5,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,5.0,12.0,41.7,23.0,4.0,39.1,32.6,6.0,50.0,45.8,12.0,1.0,8.3,0.0,13.3,562.0,652.0,86.2,10276.0,3256.0,221.0,245.0,90.2,259.0,282.0,91.8,62.0,94.0,66.0,1,0.5,1.3,7.0,49.0,6.0,3.0,49.0,652.0,601.0,50.0,20.0,0.0,6.0,22,17.0,5.0,1.0,3.0,0.0,562.0,1.0,8.0,16.0,12.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,16,10.0,7.0,1.0,10.0,14.0,71.4,4.0,9.0,3.0,6.0,6,24,15.0,1.0,59,739.0,49.0,209.0,377.0,155.0,12.0,739.0,14.0,2.0,14.3,12.0,85.7,438.0,2393.0,1328.0,18.0,9.0,1.0,8.0,10.0,558.0,49.0,2,0,0,15,20,1,22,6,16,0.0,0.0,0,37.0,12.0,11.0,52.2,1
2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Away,W,3,2,Mainz 05,3,19,7,36.8,0.16,0.43,16.5,2.0,0,0,1.4,1.4,0.07,1.6,1.6,7,2,5,71.4,0,2.3,0.3,0,0,0,0,7.0,19.0,36.8,38.0,4.0,28.9,29.7,12.0,66.7,51.2,15.0,2.0,13.3,4.0,17.2,419.0,529.0,79.2,8543.0,3466.0,147.0,170.0,86.5,202.0,229.0,88.2,67.0,109.0,61.5,3,1.2,1.2,15.0,26.0,9.0,2.0,39.0,529.0,471.0,54.0,9.0,0.0,1.0,14,19.0,11.0,7.0,3.0,0.0,419.0,4.0,15.0,35.0,22.0,6.0,0.0,4.0,2.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,32.0,25,17.0,13.0,2.0,12.0,16.0,75.0,4.0,15.0,6.0,9.0,7,39,21.0,0.0,56,655.0,84.0,287.0,265.0,106.0,22.0,655.0,18.0,7.0,38.9,11.0,61.1,298.0,1413.0,641.0,6.0,8.0,4.0,16.0,13.0,417.0,38.0,3,0,0,13,9,4,14,7,25,0.0,0.0,0,42.0,17.0,13.0,56.7,1
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,2,0,Schalke 04,2,12,6,50.0,0.17,0.33,17.6,1.0,0,0,1.5,1.5,0.12,0.5,0.5,2,0,2,100.0,1,0.2,0.2,0,0,0,0,10.0,25.0,40.0,37.0,4.0,37.8,35.6,15.0,73.3,50.8,22.0,3.0,13.6,2.0,11.6,373.0,464.0,80.4,7371.0,2963.0,146.0,168.0,86.9,167.0,193.0,86.5,53.0,89.0,59.6,2,1.4,0.8,11.0,26.0,6.0,3.0,26.0,464.0,411.0,52.0,17.0,2.0,3.0,6,19.0,0.0,0.0,0.0,0.0,373.0,1.0,8.0,24.0,19.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,17.0,14,8.0,8.0,1.0,7.0,15.0,46.7,8.0,11.0,3.0,8.0,9,26,18.0,0.0,44,559.0,89.0,241.0,258.0,66.0,10.0,559.0,12.0,6.0,50.0,6.0,50.0,267.0,1275.0,613.0,7.0,7.0,1.0,6.0,9.0,371.0,26.0,3,0,0,17,15,1,6,9,14,0.0,0.0,0,44.0,4.0,13.0,23.5,1
2017-09-28,22:05 (12:05),Europa Lg,Group stage,Thu,Away,L,1,2,bg Ludogorets,1,6,3,50.0,0.17,0.33,14.7,0.0,0,0,0.9,0.9,0.16,0.1,0.1,5,2,3,60.0,0,1.1,-0.9,0,0,0,0,3.0,12.0,25.0,32.0,8.0,31.3,29.7,8.0,25.0,34.9,20.0,2.0,10.0,0.0,5.8,463.0,587.0,78.9,8651.0,3182.0,171.0,208.0,82.2,249.0,286.0,87.1,38.0,80.0,47.5,1,0.9,1.0,5.0,38.0,9.0,1.0,59.0,587.0,524.0,62.0,21.0,1.0,5.0,15,26.0,4.0,1.0,3.0,0.0,463.0,1.0,11.0,11.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,18,12.0,13.0,0.0,20.0,35.0,57.1,15.0,11.0,3.0,8.0,18,43,25.0,0.0,55,692.0,70.0,222.0,365.0,109.0,16.0,692.0,9.0,4.0,44.4,5.0,55.6,339.0,1808.0,988.0,14.0,11.0,1.0,12.0,9.0,458.0,58.0,5,0,0,22,15,1,15,18,18,0.0,0.0,0,53.0,11.0,10.0,52.4,2
