Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,L,0,1,Hannover 96,0,14,5,35.7,0.0,0.0,17.0,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,2.0,6.0,33.3,31.0,3.0,6.5,21.5,5.0,80.0,50.0,3.0,0.0,0.0,1.0,19.3,459.0,571.0,80.4,8647.0,3169.0,186.0,213.0,87.3,213.0,241.0,88.4,55.0,97.0,56.7,0,0.6,1.1,11.0,40.0,7.0,0.0,54.0,571.0,511.0,57.0,13.0,1.0,5.0,24,24.0,13.0,10.0,3.0,0.0,459.0,3.0,9.0,25.0,18.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17,5.0,16.0,3.0,12.0,13.0,92.3,1.0,13.0,1.0,12.0,14,38,6.0,0.0,61.0,668.0,34.0,166.0,368.0,141.0,22.0,668.0,12.0,5.0,41.7,7.0,58.3,395.0,1889.0,1023.0,14.0,5.0,3.0,15.0,15.0,456.0,53.0,3,0,0,18,13,3,24,14,17,0.0,0.0,0,31.0,21.0,25.0,45.7,1
2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,L,0,1,Stuttgart,0,13,6,46.2,0.0,0.0,24.5,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,4,1,3,75.0,0,0.6,-0.4,1,0,0,1,3.0,5.0,60.0,26.0,12.0,11.5,26.7,12.0,16.7,31.3,17.0,5.0,29.4,0.0,6.0,346.0,449.0,77.1,6746.0,2698.0,130.0,161.0,80.7,159.0,184.0,86.4,52.0,83.0,62.7,0,0.9,0.8,12.0,24.0,5.0,3.0,33.0,449.0,388.0,59.0,13.0,0.0,5.0,18,26.0,6.0,2.0,2.0,0.0,346.0,2.0,8.0,25.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,8.0,7.0,2.0,10.0,16.0,62.5,6.0,11.0,3.0,8.0,10,27,13.0,0.0,48.0,539.0,54.0,179.0,265.0,107.0,11.0,539.0,18.0,10.0,55.6,8.0,44.4,319.0,1880.0,992.0,13.0,11.0,4.0,14.0,14.0,339.0,32.0,1,0,0,18,12,2,18,10,11,0.0,1.0,0,44.0,14.0,18.0,43.8,1
2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,3,1,Leverkusen,3,14,5,35.7,0.21,0.6,22.2,1.0,0,0,1.2,1.2,0.09,1.8,1.8,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,3.0,15.0,20.0,20.0,3.0,50.0,40.7,7.0,71.4,54.3,14.0,0.0,0.0,0.0,14.5,228.0,346.0,65.9,4277.0,1771.0,99.0,122.0,81.1,97.0,137.0,70.8,27.0,67.0,40.3,3,1.0,1.0,10.0,20.0,1.0,0.0,26.0,346.0,295.0,51.0,15.0,0.0,4.0,10,26.0,1.0,0.0,0.0,0.0,228.0,0.0,12.0,25.0,18.0,3.0,0.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,23.0,19,8.0,12.0,3.0,10.0,15.0,66.7,5.0,17.0,3.0,14.0,19,42,19.0,0.0,37.0,461.0,48.0,153.0,212.0,98.0,11.0,461.0,18.0,7.0,38.9,11.0,61.1,215.0,1209.0,498.0,12.0,7.0,4.0,10.0,12.0,225.0,25.0,2,0,0,16,14,0,10,19,19,0.0,0.0,0,50.0,16.0,14.0,53.3,1
2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0,4,Bayern Munich,0,11,4,36.4,0.0,0.0,22.5,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,13,4,9,69.2,0,3.2,-0.8,0,0,0,0,8.0,23.0,34.8,29.0,7.0,55.2,43.1,13.0,53.8,45.3,19.0,2.0,10.5,3.0,15.6,185.0,271.0,68.3,3469.0,1733.0,79.0,95.0,83.2,70.0,94.0,74.5,26.0,61.0,42.6,0,0.6,0.3,7.0,13.0,5.0,1.0,16.0,271.0,222.0,48.0,9.0,1.0,2.0,8,16.0,5.0,3.0,2.0,0.0,185.0,1.0,5.0,15.0,9.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18,12.0,6.0,4.0,13.0,22.0,59.1,9.0,19.0,7.0,12.0,16,38,22.0,0.0,26.0,387.0,87.0,177.0,143.0,69.0,8.0,387.0,20.0,11.0,55.0,9.0,45.0,182.0,993.0,549.0,10.0,8.0,2.0,11.0,10.0,181.0,16.0,2,0,0,5,9,1,8,16,18,0.0,0.0,0,34.0,12.0,20.0,37.5,1
2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,2,3,Hoffenheim,2,21,7,33.3,0.1,0.29,22.0,2.0,0,0,1.9,1.9,0.09,0.1,0.1,7,3,4,57.1,0,1.8,-1.2,0,0,0,0,6.0,15.0,40.0,17.0,3.0,47.1,37.9,8.0,87.5,59.6,14.0,1.0,7.1,1.0,12.9,311.0,413.0,75.3,5605.0,2344.0,141.0,167.0,84.4,122.0,145.0,84.1,38.0,80.0,47.5,1,1.7,1.1,14.0,29.0,9.0,2.0,47.0,413.0,353.0,58.0,15.0,1.0,3.0,17,26.0,5.0,2.0,2.0,0.0,311.0,2.0,12.0,35.0,29.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,24.0,17,9.0,10.0,5.0,11.0,18.0,61.1,7.0,19.0,4.0,15.0,14,38,12.0,0.0,44.0,538.0,38.0,154.0,247.0,142.0,24.0,538.0,16.0,4.0,25.0,12.0,75.0,287.0,1711.0,887.0,22.0,12.0,5.0,12.0,20.0,307.0,47.0,3,0,0,9,12,2,17,14,17,0.0,0.0,0,51.0,13.0,17.0,43.3,1
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Hertha BSC,1,7,2,28.6,0.0,0.0,24.8,1.0,1,1,1.1,0.4,0.05,-0.1,-0.4,1,0,1,100.0,1,0.3,0.3,0,0,0,0,4.0,12.0,33.3,15.0,1.0,60.0,44.2,3.0,100.0,64.0,8.0,0.0,0.0,3.0,21.0,280.0,410.0,68.3,5265.0,2418.0,120.0,155.0,77.4,108.0,148.0,73.0,40.0,78.0,51.3,0,0.2,0.5,5.0,25.0,5.0,3.0,30.0,410.0,352.0,58.0,23.0,0.0,3.0,10,27.0,4.0,0.0,2.0,0.0,280.0,0.0,12.0,15.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,13,13.0,6.0,1.0,11.0,21.0,52.4,10.0,6.0,1.0,5.0,13,33,21.0,0.0,43.0,526.0,28.0,173.0,255.0,107.0,8.0,525.0,11.0,6.0,54.5,5.0,45.5,258.0,1422.0,727.0,13.0,10.0,3.0,22.0,8.0,277.0,30.0,3,0,0,20,23,0,10,13,13,1.0,0.0,0,51.0,29.0,26.0,52.7,1
2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Wolfsburg,1,10,3,30.0,0.1,0.33,18.8,1.0,0,0,1.1,1.1,0.11,-0.1,-0.1,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,6.0,17.0,35.3,38.0,2.0,31.6,31.7,5.0,100.0,59.2,15.0,2.0,13.3,3.0,16.1,358.0,466.0,76.8,6523.0,2591.0,143.0,166.0,86.1,159.0,186.0,85.5,42.0,83.0,50.6,1,1.0,0.9,8.0,27.0,10.0,1.0,35.0,466.0,418.0,47.0,8.0,0.0,2.0,10,26.0,6.0,1.0,3.0,0.0,358.0,1.0,13.0,19.0,15.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11,8.0,7.0,2.0,2.0,6.0,33.3,4.0,9.0,1.0,8.0,13,30,20.0,0.0,47.0,562.0,47.0,191.0,258.0,119.0,17.0,562.0,14.0,5.0,35.7,9.0,64.3,339.0,1757.0,902.0,13.0,8.0,4.0,13.0,12.0,355.0,34.0,4,0,0,21,8,1,10,13,11,0.0,0.0,0,54.0,16.0,19.0,45.7,1
2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3,2,Hamburger SV,3,14,4,28.6,0.21,0.75,21.8,0.0,0,0,1.2,1.2,0.09,1.8,1.8,2,2,0,50.0,0,1.2,-0.8,1,1,0,0,6.0,22.0,27.3,20.0,2.0,65.0,45.2,9.0,100.0,68.6,12.0,1.0,8.3,1.0,14.7,252.0,379.0,66.5,4827.0,2042.0,119.0,146.0,81.5,91.0,120.0,75.8,36.0,88.0,40.9,2,0.5,0.6,9.0,23.0,4.0,1.0,31.0,379.0,317.0,58.0,18.0,0.0,4.0,14,24.0,4.0,2.0,0.0,0.0,252.0,4.0,14.0,24.0,17.0,4.0,3.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,22.0,18,11.0,10.0,1.0,12.0,22.0,54.5,10.0,12.0,1.0,11.0,12,34,30.0,1.0,46.0,509.0,56.0,140.0,258.0,122.0,18.0,509.0,20.0,11.0,55.0,9.0,45.0,247.0,1415.0,626.0,16.0,17.0,5.0,18.0,15.0,248.0,31.0,1,0,0,16,18,4,14,12,18,0.0,1.0,0,55.0,16.0,19.0,45.7,1
2017-10-20,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,0,2,Schalke 04,0,5,2,40.0,0.0,0.0,16.5,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,7.0,9.0,77.8,28.0,3.0,17.9,28.4,8.0,50.0,40.0,16.0,2.0,12.5,1.0,18.0,288.0,395.0,72.9,5391.0,2319.0,114.0,145.0,78.6,110.0,133.0,82.7,44.0,66.0,66.7,0,0.6,0.5,5.0,19.0,4.0,1.0,23.0,395.0,339.0,53.0,16.0,0.0,5.0,6,25.0,1.0,1.0,0.0,0.0,288.0,3.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,5.0,4.0,4.0,6.0,16.0,37.5,10.0,15.0,3.0,12.0,16,29,25.0,1.0,41.0,510.0,63.0,194.0,241.0,81.0,6.0,510.0,23.0,12.0,52.2,11.0,47.8,275.0,1445.0,632.0,11.0,8.0,2.0,13.0,12.0,286.0,23.0,0,0,0,15,16,3,6,16,7,0.0,0.0,0,47.0,18.0,13.0,58.1,1
2017-10-27,20:30 (11:30),Bundesliga,Matchweek 10,Fri,Home,D,1,1,Eint Frankfurt,1,6,3,50.0,0.17,0.33,16.4,0.0,0,0,0.4,0.4,0.07,0.6,0.6,3,1,3,66.7,0,0.1,0.1,0,0,0,0,8.0,25.0,32.0,41.0,8.0,51.2,38.8,7.0,57.1,49.9,11.0,2.0,18.2,1.0,12.4,277.0,440.0,63.0,5538.0,2521.0,107.0,141.0,75.9,117.0,156.0,75.0,43.0,102.0,42.2,1,0.3,0.6,4.0,15.0,5.0,1.0,20.0,440.0,361.0,70.0,24.0,0.0,5.0,19,32.0,5.0,4.0,0.0,0.0,277.0,9.0,13.0,12.0,9.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11,8.0,8.0,1.0,10.0,17.0,58.8,7.0,14.0,1.0,13.0,10,27,10.0,1.0,52.0,531.0,71.0,191.0,235.0,108.0,13.0,531.0,20.0,8.0,40.0,12.0,60.0,233.0,1251.0,545.0,11.0,6.0,3.0,15.0,10.0,274.0,20.0,0,0,0,14,22,9,19,10,11,0.0,0.0,1,38.0,19.0,31.0,38.0,1
