Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,L,0,2,Eint Frankfurt,0,22,6,27.3,0.0,0.0,20.6,3.0,0,0,1.7,1.7,0.08,-1.7,-1.7,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,8.0,27.0,29.6,45.0,3.0,40.0,35.3,11.0,81.8,62.4,10.0,1.0,10.0,1.0,13.6,344.0,472.0,72.9,7445.0,2862.0,103.0,132.0,78.0,179.0,208.0,86.1,56.0,108.0,51.9,0,1.1,1.1,15.0,38.0,14.0,1.0,41.0,472.0,408.0,60.0,11.0,0.0,9.0,19,29.0,6.0,2.0,4.0,0.0,344.0,4.0,11.0,42.0,29.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3,2.0,4.0,1.0,2.0,6.0,33.3,4.0,8.0,1.0,7.0,14,21,13.0,0.0,53.0,571.0,61.0,205.0,236.0,135.0,27.0,571.0,11.0,7.0,63.6,4.0,36.4,247.0,1405.0,798.0,11.0,5.0,2.0,16.0,10.0,340.0,40.0,1,0,0,7,11,4,19,14,3,0.0,0.0,0,53.0,24.0,30.0,44.4,1
2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,L,1,3,Hoffenheim,1,11,4,36.4,0.09,0.25,22.3,1.0,0,0,1.2,1.2,0.11,-0.2,-0.2,8,3,5,62.5,0,3.8,0.8,0,0,0,0,7.0,23.0,30.4,30.0,3.0,63.3,41.9,8.0,50.0,48.6,20.0,0.0,0.0,1.0,13.8,248.0,363.0,68.3,4773.0,1986.0,103.0,125.0,82.4,103.0,129.0,79.8,35.0,81.0,43.2,0,0.8,0.7,6.0,20.0,5.0,4.0,20.0,363.0,311.0,50.0,15.0,1.0,3.0,17,20.0,4.0,1.0,3.0,0.0,248.0,2.0,10.0,19.0,14.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,14,5.0,9.0,6.0,4.0,11.0,36.4,7.0,13.0,5.0,8.0,12,32,31.0,1.0,41.0,488.0,65.0,181.0,204.0,109.0,14.0,488.0,9.0,5.0,55.6,4.0,44.4,180.0,1286.0,776.0,15.0,6.0,2.0,19.0,5.0,246.0,20.0,2,0,0,14,11,2,17,12,14,0.0,0.0,0,53.0,15.0,21.0,41.7,1
2018-09-16,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Home,D,3,3,Stuttgart,3,12,5,41.7,0.25,0.6,17.2,1.0,0,0,1.2,1.2,0.1,1.8,1.8,6,3,3,50.0,0,2.3,-0.7,0,0,0,0,8.0,20.0,40.0,24.0,3.0,58.3,39.0,6.0,100.0,67.8,30.0,0.0,0.0,3.0,30.0,294.0,392.0,75.0,6290.0,2151.0,87.0,100.0,87.0,141.0,176.0,80.1,59.0,95.0,62.1,2,0.6,0.8,7.0,23.0,7.0,3.0,29.0,392.0,339.0,52.0,12.0,0.0,6.0,24,25.0,5.0,3.0,1.0,0.0,294.0,1.0,14.0,18.0,13.0,2.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,8,13.0,3.0,0.0,4.0,12.0,33.3,8.0,7.0,3.0,4.0,7,23,52.0,0.0,43.0,520.0,65.0,205.0,199.0,120.0,13.0,520.0,5.0,0.0,0.0,5.0,100.0,209.0,1397.0,755.0,11.0,7.0,1.0,10.0,14.0,292.0,29.0,3,1,1,15,11,1,24,7,8,0.0,0.0,0,43.0,20.0,20.0,50.0,1
2018-09-22,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,3,1,Wolfsburg,3,10,7,70.0,0.3,0.43,21.2,0.0,0,1,2.1,1.3,0.13,0.9,1.7,9,1,8,88.9,0,1.6,0.6,0,0,0,0,8.0,25.0,32.0,17.0,3.0,64.7,46.4,14.0,100.0,65.7,35.0,1.0,2.9,0.0,5.0,158.0,273.0,57.9,3336.0,1730.0,67.0,89.0,75.3,55.0,88.0,62.5,32.0,79.0,40.5,2,1.3,0.5,8.0,13.0,6.0,1.0,23.0,273.0,216.0,57.0,14.0,1.0,4.0,13,20.0,7.0,2.0,4.0,0.0,158.0,0.0,11.0,18.0,13.0,1.0,2.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0,8,7.0,7.0,0.0,7.0,14.0,50.0,7.0,20.0,4.0,16.0,18,32,37.0,0.0,28.0,415.0,75.0,188.0,154.0,80.0,11.0,415.0,11.0,5.0,45.5,6.0,54.5,129.0,890.0,432.0,13.0,7.0,2.0,20.0,16.0,155.0,22.0,3,0,0,16,12,0,13,18,8,1.0,0.0,0,52.0,11.0,27.0,28.9,1
2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Home,W,1,0,Schalke 04,1,15,4,26.7,0.07,0.25,19.5,0.0,0,0,1.4,1.4,0.09,-0.4,-0.4,3,0,3,100.0,1,1.3,1.3,0,0,0,0,5.0,22.0,22.7,29.0,3.0,44.8,39.4,10.0,90.0,66.9,22.0,0.0,0.0,0.0,,248.0,358.0,69.3,5122.0,2022.0,73.0,88.0,83.0,115.0,147.0,78.2,45.0,95.0,47.4,0,0.7,0.7,11.0,20.0,5.0,2.0,22.0,358.0,293.0,65.0,17.0,0.0,3.0,12,34.0,3.0,0.0,2.0,0.0,248.0,0.0,10.0,25.0,15.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,8,9.0,4.0,1.0,6.0,22.0,27.3,16.0,8.0,3.0,5.0,8,22,27.0,0.0,43.0,466.0,67.0,183.0,177.0,108.0,16.0,466.0,17.0,9.0,52.9,8.0,47.1,180.0,1065.0,542.0,5.0,5.0,0.0,13.0,10.0,247.0,22.0,2,0,0,13,11,0,12,8,8,0.0,0.0,0,43.0,15.0,22.0,40.5,1
2018-09-30,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,1,4,Augsburg,0,13,5,38.5,0.0,0.0,16.1,0.0,0,0,1.9,1.9,0.15,-1.9,-1.9,10,4,6,70.0,0,4.4,0.4,1,1,0,0,17.0,28.0,60.7,39.0,2.0,53.8,41.3,13.0,53.8,47.7,17.0,1.0,5.9,1.0,12.0,348.0,447.0,77.9,6753.0,2909.0,146.0,181.0,80.7,135.0,160.0,84.4,52.0,81.0,64.2,0,0.9,0.5,8.0,19.0,3.0,1.0,31.0,447.0,390.0,57.0,15.0,1.0,3.0,12,21.0,3.0,0.0,3.0,0.0,348.0,0.0,1.0,20.0,13.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5,3.0,5.0,2.0,3.0,7.0,42.9,4.0,10.0,3.0,7.0,9,19,24.0,0.0,50.0,558.0,70.0,175.0,274.0,111.0,18.0,558.0,13.0,3.0,23.1,10.0,76.9,243.0,1223.0,550.0,9.0,7.0,3.0,20.0,8.0,341.0,31.0,1,0,0,9,13,0,12,9,5,0.0,1.0,0,45.0,14.0,27.0,34.1,1
2018-10-07,13:30 (04:30),Bundesliga,Matchweek 7,Sun,Home,D,0,0,Leverkusen,0,7,1,14.3,0.0,0.0,22.1,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,0,0,0,,1,0.0,0.0,0,0,0,0,7.0,12.0,58.3,33.0,2.0,24.2,31.0,10.0,40.0,43.2,9.0,0.0,0.0,0.0,4.0,289.0,398.0,72.6,5837.0,2209.0,112.0,136.0,82.4,122.0,147.0,83.0,49.0,86.0,57.0,0,0.4,0.4,3.0,12.0,4.0,0.0,32.0,398.0,347.0,46.0,12.0,0.0,7.0,17,20.0,3.0,1.0,1.0,0.0,289.0,5.0,13.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,12.0,4.0,3.0,8.0,14.0,57.1,6.0,15.0,5.0,10.0,10,29,16.0,0.0,43.0,504.0,62.0,202.0,215.0,93.0,22.0,504.0,17.0,8.0,47.1,9.0,52.9,261.0,1806.0,911.0,21.0,16.0,9.0,12.0,8.0,284.0,31.0,3,0,0,13,12,5,17,10,13,0.0,0.0,0,57.0,24.0,18.0,57.1,1
2018-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Away,D,1,1,Hertha BSC,1,8,3,37.5,0.13,0.33,17.9,0.0,0,0,0.5,0.5,0.06,0.5,0.5,5,1,4,80.0,0,1.0,0.0,0,0,0,0,8.0,21.0,38.1,23.0,1.0,65.2,43.7,7.0,85.7,56.4,19.0,1.0,5.3,0.0,9.8,278.0,372.0,74.7,5072.0,1988.0,124.0,141.0,87.9,109.0,130.0,83.8,37.0,79.0,46.8,0,0.4,0.4,6.0,19.0,9.0,4.0,29.0,372.0,323.0,49.0,17.0,0.0,2.0,15,20.0,3.0,2.0,0.0,0.0,278.0,0.0,10.0,13.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16,18.0,9.0,1.0,11.0,25.0,44.0,14.0,5.0,2.0,3.0,16,44,41.0,0.0,39.0,499.0,71.0,201.0,231.0,69.0,14.0,499.0,11.0,2.0,18.2,9.0,81.8,181.0,1130.0,596.0,10.0,5.0,2.0,7.0,10.0,277.0,29.0,0,0,0,14,12,0,15,16,16,0.0,0.0,0,50.0,21.0,19.0,52.5,1
2018-10-26,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,W,3,1,Gladbach,3,12,6,50.0,0.17,0.33,22.5,0.0,1,1,1.4,0.6,0.05,1.6,1.4,2,1,1,100.0,0,1.2,0.2,1,1,0,0,5.0,17.0,29.4,36.0,4.0,30.6,34.8,9.0,66.7,54.4,23.0,1.0,4.3,0.0,10.0,362.0,451.0,80.3,7111.0,2363.0,130.0,145.0,89.7,181.0,199.0,91.0,44.0,84.0,52.4,1,0.6,0.3,10.0,19.0,3.0,0.0,26.0,451.0,413.0,38.0,12.0,2.0,5.0,9,12.0,3.0,0.0,2.0,1.0,362.0,0.0,10.0,23.0,18.0,1.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,11,9.0,4.0,1.0,5.0,9.0,55.6,4.0,15.0,3.0,12.0,9,23,32.0,0.0,41.0,564.0,82.0,231.0,270.0,66.0,13.0,563.0,7.0,3.0,42.9,4.0,57.1,279.0,1727.0,994.0,20.0,6.0,8.0,12.0,11.0,361.0,26.0,1,0,0,9,12,0,9,9,11,1.0,1.0,0,51.0,10.0,16.0,38.5,1
2018-11-03,15:30 (07:30),Bundesliga,Matchweek 10,Sat,Away,D,1,1,Bayern Munich,1,10,1,10.0,0.1,1.0,22.7,0.0,0,0,0.6,0.6,0.06,0.4,0.4,6,1,5,83.3,0,1.1,0.1,0,0,0,0,8.0,21.0,38.1,24.0,5.0,41.7,37.9,12.0,91.7,65.0,24.0,0.0,0.0,0.0,5.5,224.0,314.0,71.3,4304.0,1928.0,101.0,115.0,87.8,77.0,102.0,75.5,39.0,71.0,54.9,1,0.6,0.4,8.0,15.0,3.0,3.0,20.0,314.0,272.0,40.0,9.0,0.0,2.0,12,15.0,2.0,1.0,1.0,0.0,224.0,2.0,13.0,16.0,13.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,14,11.0,5.0,1.0,9.0,18.0,50.0,9.0,19.0,10.0,9.0,15,32,39.0,0.0,29.0,437.0,85.0,206.0,161.0,78.0,8.0,437.0,15.0,11.0,73.3,4.0,26.7,194.0,1262.0,656.0,16.0,14.0,4.0,15.0,11.0,221.0,20.0,1,0,0,11,9,2,12,15,14,0.0,0.0,0,47.0,10.0,13.0,43.5,1
