Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,1,1,Werder Bremen,1,13,4,30.8,0.08,0.25,21.1,0.0,0,0,1.2,1.2,0.09,-0.2,-0.2,3,1,2,66.7,0,1.0,0.0,0,0,0,0,12.0,23.0,52.2,40.0,2.0,32.5,31.7,14.0,71.4,46.6,22.0,0.0,0.0,2.0,12.0,379.0,479.0,79.1,7435.0,2658.0,151.0,172.0,87.8,157.0,181.0,86.7,59.0,101.0,58.4,1,1.1,0.9,11.0,17.0,5.0,1.0,33.0,479.0,433.0,45.0,8.0,2.0,4.0,13,18.0,3.0,1.0,2.0,0.0,379.0,1.0,9.0,25.0,19.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,15,6.0,10.0,1.0,9.0,18.0,50.0,9.0,9.0,1.0,8.0,29,46,22.0,0.0,45.0,601.0,87.0,228.0,294.0,86.0,12.0,601.0,16.0,7.0,43.8,9.0,56.3,349.0,2123.0,1085.0,20.0,16.0,4.0,6.0,8.0,374.0,33.0,0,0,0,7,5,1,13,29,15,0.0,0.0,0,56.0,18.0,25.0,41.9,1
2018-08-31,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,D,0,0,Dortmund,0,7,0,0.0,0.0,,15.3,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,3,0,3,100.0,1,0.5,0.5,0,0,0,0,15.0,26.0,57.7,43.0,4.0,51.2,35.8,8.0,50.0,38.9,8.0,0.0,0.0,3.0,24.3,496.0,633.0,78.4,9376.0,3239.0,197.0,242.0,81.4,217.0,254.0,85.4,69.0,113.0,61.1,0,0.4,0.8,5.0,31.0,14.0,3.0,50.0,633.0,585.0,46.0,9.0,0.0,4.0,21,24.0,4.0,0.0,3.0,0.0,496.0,2.0,6.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,6.0,10.0,5.0,7.0,9.0,77.8,2.0,15.0,3.0,12.0,11,32,15.0,0.0,56.0,738.0,59.0,209.0,381.0,152.0,20.0,738.0,9.0,4.0,44.4,5.0,55.6,383.0,2165.0,1064.0,19.0,14.0,3.0,17.0,15.0,491.0,49.0,0,0,0,12,5,2,21,11,12,0.0,0.0,0,67.0,22.0,28.0,44.0,1
2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,2,3,RB Leipzig,2,16,7,43.8,0.13,0.29,14.4,0.0,0,0,1.3,1.3,0.08,0.7,0.7,6,3,3,50.0,0,2.1,-0.9,0,0,0,0,7.0,16.0,43.8,46.0,9.0,28.3,30.1,7.0,42.9,32.6,10.0,2.0,20.0,1.0,14.0,519.0,641.0,81.0,9692.0,2995.0,208.0,230.0,90.4,231.0,263.0,87.8,66.0,109.0,60.6,1,0.6,0.7,10.0,24.0,6.0,1.0,43.0,641.0,574.0,65.0,15.0,0.0,5.0,25,27.0,12.0,4.0,7.0,1.0,519.0,2.0,17.0,30.0,18.0,5.0,2.0,3.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,4,4.0,4.0,2.0,6.0,9.0,66.7,3.0,11.0,4.0,7.0,15,25,11.0,0.0,67.0,735.0,58.0,231.0,370.0,136.0,20.0,735.0,13.0,5.0,38.5,8.0,61.5,416.0,2114.0,1114.0,11.0,10.0,2.0,15.0,10.0,517.0,43.0,4,0,0,14,12,2,25,15,4,0.0,0.0,0,44.0,13.0,26.0,33.3,1
2018-09-22,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0,2,Nürnberg,0,8,2,25.0,0.0,0.0,16.2,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,6,2,5,66.7,0,2.0,1.0,0,0,0,0,12.0,20.0,60.0,38.0,8.0,44.7,37.3,9.0,33.3,32.1,23.0,2.0,8.7,0.0,9.7,346.0,434.0,79.7,6585.0,2609.0,139.0,154.0,90.3,152.0,174.0,87.4,48.0,83.0,57.8,0,0.6,0.6,7.0,18.0,6.0,1.0,37.0,434.0,387.0,46.0,17.0,0.0,5.0,15,14.0,3.0,1.0,2.0,0.0,346.0,1.0,9.0,15.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4,6.0,2.0,0.0,5.0,10.0,50.0,5.0,8.0,3.0,5.0,9,17,34.0,0.0,45.0,536.0,89.0,212.0,242.0,85.0,15.0,536.0,9.0,2.0,22.2,7.0,77.8,282.0,1416.0,811.0,10.0,13.0,2.0,8.0,7.0,342.0,36.0,1,1,0,9,14,1,15,9,4,0.0,0.0,1,35.0,16.0,19.0,45.7,1
2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Home,L,1,3,Hoffenheim,1,16,6,37.5,0.0,0.0,17.8,0.0,1,1,2.2,1.4,0.09,-1.2,-1.4,9,3,6,66.7,0,3.1,0.1,0,0,0,0,4.0,6.0,66.7,34.0,7.0,11.8,23.5,8.0,25.0,34.6,12.0,0.0,0.0,4.0,20.4,464.0,576.0,80.6,9154.0,3391.0,172.0,198.0,86.9,207.0,245.0,84.5,76.0,107.0,71.0,0,0.6,1.4,10.0,31.0,13.0,3.0,53.0,576.0,516.0,59.0,14.0,0.0,4.0,23,25.0,8.0,2.0,5.0,1.0,464.0,1.0,8.0,28.0,21.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,9,10.0,6.0,1.0,9.0,12.0,75.0,3.0,18.0,5.0,13.0,21,38,20.0,0.0,58.0,711.0,70.0,198.0,386.0,135.0,28.0,710.0,13.0,4.0,30.8,9.0,69.2,373.0,2434.0,1498.0,29.0,16.0,4.0,22.0,8.0,459.0,53.0,2,0,0,13,13,1,23,21,9,1.0,0.0,0,63.0,12.0,17.0,41.4,1
2018-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,L,1,4,Eint Frankfurt,1,4,1,25.0,0.25,1.0,21.7,0.0,0,0,0.5,0.5,0.13,0.5,0.5,7,4,3,42.9,0,2.7,-1.3,0,0,0,0,16.0,30.0,53.3,33.0,2.0,66.7,42.7,9.0,88.9,54.0,13.0,0.0,0.0,0.0,4.0,376.0,513.0,73.3,6349.0,2443.0,183.0,205.0,89.3,143.0,180.0,79.4,37.0,80.0,46.3,1,0.5,0.6,4.0,23.0,1.0,0.0,28.0,513.0,455.0,55.0,17.0,0.0,0.0,18,20.0,4.0,3.0,1.0,0.0,376.0,3.0,18.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,14,10.0,10.0,2.0,4.0,11.0,36.4,7.0,15.0,5.0,10.0,14,36,21.0,0.0,58.0,630.0,62.0,179.0,335.0,120.0,9.0,630.0,17.0,9.0,52.9,8.0,47.1,282.0,1700.0,753.0,22.0,13.0,5.0,15.0,7.0,375.0,28.0,2,0,0,12,16,3,18,14,14,0.0,0.0,0,66.0,24.0,35.0,40.7,1
2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,3,1,Stuttgart,3,15,6,40.0,0.2,0.5,18.6,0.0,0,0,1.7,1.7,0.11,1.3,1.3,5,1,4,80.0,0,1.4,0.4,0,0,0,0,5.0,16.0,31.3,21.0,1.0,66.7,47.6,5.0,40.0,43.0,16.0,1.0,6.3,2.0,11.8,320.0,456.0,70.2,6088.0,2618.0,135.0,168.0,80.4,138.0,173.0,79.8,39.0,89.0,43.8,3,1.5,1.1,12.0,39.0,9.0,5.0,40.0,456.0,396.0,57.0,11.0,2.0,2.0,21,34.0,5.0,2.0,3.0,0.0,320.0,3.0,12.0,30.0,26.0,2.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,7,6.0,8.0,1.0,5.0,14.0,35.7,9.0,13.0,2.0,11.0,10,25,21.0,0.0,50.0,575.0,47.0,156.0,273.0,149.0,19.0,575.0,10.0,3.0,30.0,7.0,70.0,204.0,1288.0,617.0,10.0,7.0,4.0,20.0,11.0,313.0,37.0,1,0,0,16,9,3,21,10,7,0.0,0.0,0,51.0,26.0,23.0,53.1,1
2018-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,D,2,2,Leverkusen,2,11,6,54.5,0.18,0.33,18.6,1.0,0,0,0.9,0.9,0.08,1.1,1.1,7,2,4,71.4,0,2.3,0.3,1,0,1,0,13.0,25.0,52.0,23.0,3.0,82.6,49.3,7.0,85.7,52.0,35.0,2.0,5.7,0.0,7.5,184.0,279.0,65.9,3944.0,2226.0,69.0,90.0,76.7,67.0,89.0,75.3,39.0,80.0,48.8,0,0.3,0.4,7.0,16.0,4.0,1.0,26.0,279.0,233.0,44.0,14.0,0.0,2.0,11,15.0,5.0,1.0,4.0,0.0,184.0,2.0,6.0,15.0,9.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,9,6.0,7.0,0.0,9.0,18.0,50.0,9.0,10.0,3.0,7.0,13,26,30.0,0.0,35.0,384.0,70.0,141.0,176.0,75.0,13.0,384.0,12.0,8.0,66.7,4.0,33.3,169.0,1115.0,528.0,11.0,7.0,5.0,10.0,22.0,182.0,26.0,5,1,1,19,14,2,11,13,9,0.0,1.0,0,50.0,21.0,21.0,50.0,1
2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1,2,Augsburg,1,17,4,23.5,0.06,0.25,20.3,1.0,0,0,0.8,0.8,0.05,0.2,0.2,4,2,2,75.0,0,2.1,0.1,1,1,0,0,6.0,12.0,50.0,17.0,4.0,52.9,39.4,5.0,60.0,38.4,8.0,0.0,0.0,0.0,,406.0,533.0,76.2,7180.0,2962.0,185.0,233.0,79.4,140.0,172.0,81.4,63.0,93.0,67.7,0,0.7,1.2,11.0,38.0,10.0,5.0,57.0,533.0,464.0,68.0,21.0,0.0,1.0,25,34.0,5.0,1.0,4.0,0.0,406.0,1.0,13.0,31.0,23.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,11,8.0,8.0,2.0,7.0,9.0,77.8,2.0,11.0,1.0,10.0,13,31,14.0,0.0,62.0,654.0,32.0,131.0,362.0,166.0,15.0,654.0,14.0,7.0,50.0,7.0,50.0,288.0,1654.0,798.0,14.0,15.0,1.0,19.0,17.0,405.0,57.0,2,0,0,15,16,1,25,13,11,0.0,1.0,0,54.0,35.0,25.0,58.3,1
2018-11-03,15:30 (07:30),Bundesliga,Matchweek 10,Sat,Away,L,1,3,Schalke 04,1,19,6,31.6,0.05,0.17,21.0,2.0,0,0,1.3,1.3,0.07,-0.3,-0.3,6,3,3,66.7,0,3.0,0.0,1,1,0,0,2.0,9.0,22.2,21.0,3.0,33.3,32.0,7.0,28.6,29.3,10.0,1.0,10.0,0.0,3.0,339.0,437.0,77.6,5777.0,2117.0,149.0,173.0,86.1,132.0,154.0,85.7,39.0,72.0,54.2,1,1.1,1.7,14.0,22.0,11.0,4.0,37.0,437.0,386.0,50.0,10.0,0.0,3.0,20,22.0,7.0,4.0,3.0,0.0,339.0,1.0,13.0,31.0,21.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,15,12.0,12.0,1.0,14.0,33.0,42.4,19.0,12.0,5.0,7.0,14,39,18.0,0.0,43.0,552.0,52.0,183.0,257.0,121.0,19.0,552.0,18.0,10.0,55.6,8.0,44.4,293.0,1809.0,955.0,23.0,11.0,2.0,11.0,11.0,339.0,37.0,3,0,0,10,10,1,20,14,15,0.0,1.0,0,58.0,13.0,11.0,54.2,1
