Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,1,8,3,37.5,0.0,0.0,17.0,2.0,1,1,1.4,1.0,0.13,-0.4,-1.0,7,2,5,71.4,0,1.2,-0.8,0,0,0,0,4.0,18.0,22.2,24.0,6.0,41.7,39.3,9.0,88.9,54.9,13.0,1.0,7.7,1.0,16.5,223.0,340.0,65.6,4381.0,1842.0,90.0,119.0,75.6,94.0,126.0,74.6,37.0,71.0,52.1,0,0.8,1.0,5.0,16.0,8.0,3.0,27.0,340.0,285.0,53.0,13.0,1.0,1.0,9,26.0,2.0,2.0,0.0,0.0,223.0,2.0,11.0,15.0,9.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,5,7.0,5.0,1.0,5.0,14.0,35.7,9.0,10.0,0.0,10.0,14,27,20.0,0.0,42,449.0,53.0,135.0,222.0,98.0,21.0,448.0,16.0,9.0,56.3,7.0,43.8,216.0,1344.0,792.0,16.0,10.0,2.0,20.0,11.0,220.0,26.0,3,1,0,12,15,2,9,14,5,1.0,0.0,0,37.0,19.0,10.0,65.5,1
2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,0,15,4,26.7,0.0,0.0,18.6,0.0,0,1,1.6,0.8,0.05,-1.6,-0.8,3,2,1,33.3,0,0.6,-1.4,0,0,0,0,3.0,9.0,33.3,25.0,3.0,32.0,31.4,6.0,16.7,30.3,1.0,0.0,0.0,3.0,22.5,374.0,501.0,74.7,7760.0,2646.0,126.0,145.0,86.9,193.0,234.0,82.5,55.0,102.0,53.9,0,0.6,1.5,8.0,42.0,11.0,2.0,53.0,501.0,443.0,57.0,18.0,2.0,5.0,26,21.0,9.0,1.0,8.0,0.0,374.0,1.0,10.0,23.0,12.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,5.0,4.0,2.0,4.0,8.0,50.0,4.0,6.0,0.0,6.0,9,20,5.0,1.0,57,578.0,24.0,120.0,319.0,144.0,27.0,577.0,14.0,5.0,35.7,9.0,64.3,333.0,2379.0,1482.0,30.0,13.0,8.0,8.0,11.0,370.0,51.0,1,1,0,18,14,1,26,9,8,0.0,0.0,0,56.0,28.0,20.0,58.3,1
2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,1,16,6,37.5,0.06,0.17,19.2,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,8.0,13.0,61.5,20.0,4.0,40.0,35.0,8.0,62.5,44.9,10.0,0.0,0.0,0.0,,351.0,482.0,72.8,6763.0,2658.0,148.0,177.0,83.6,153.0,190.0,80.5,46.0,89.0,51.7,1,0.8,1.0,13.0,32.0,12.0,4.0,36.0,482.0,430.0,48.0,6.0,0.0,2.0,21,25.0,6.0,3.0,3.0,0.0,351.0,4.0,11.0,26.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,13,12.0,5.0,2.0,10.0,16.0,62.5,6.0,20.0,5.0,15.0,12,31,19.0,0.0,50,589.0,45.0,162.0,300.0,132.0,22.0,589.0,9.0,6.0,66.7,3.0,33.3,260.0,1628.0,930.0,17.0,11.0,2.0,9.0,16.0,349.0,35.0,4,0,0,13,5,4,21,12,13,0.0,0.0,0,57.0,31.0,15.0,67.4,1
2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,1,11,2,18.2,0.09,0.5,17.7,0.0,0,0,0.9,0.9,0.08,0.1,0.1,5,1,3,100.0,0,2.4,1.4,2,1,1,0,2.0,10.0,20.0,19.0,3.0,47.4,39.4,4.0,25.0,35.3,7.0,0.0,0.0,0.0,7.0,206.0,328.0,62.8,4255.0,1615.0,69.0,92.0,75.0,99.0,142.0,69.7,36.0,79.0,45.6,1,0.9,0.4,10.0,13.0,1.0,0.0,16.0,328.0,271.0,53.0,15.0,0.0,1.0,19,25.0,7.0,1.0,6.0,0.0,206.0,4.0,4.0,20.0,10.0,5.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,22,13.0,12.0,3.0,10.0,23.0,43.5,13.0,13.0,4.0,9.0,22,50,23.0,0.0,39,463.0,44.0,174.0,205.0,90.0,14.0,463.0,10.0,4.0,40.0,6.0,60.0,191.0,1093.0,562.0,10.0,9.0,2.0,13.0,16.0,204.0,16.0,2,0,0,13,16,4,19,22,22,0.0,2.0,0,58.0,24.0,29.0,45.3,2
2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,0,10,2,20.0,0.0,0.0,19.7,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,7,2,5,85.7,0,2.5,0.5,1,1,0,0,11.0,21.0,52.4,21.0,2.0,76.2,44.0,9.0,55.6,45.1,14.0,0.0,0.0,1.0,21.0,231.0,331.0,69.8,4756.0,1991.0,82.0,100.0,82.0,104.0,131.0,79.4,41.0,85.0,48.2,0,0.4,0.4,7.0,18.0,2.0,1.0,23.0,331.0,286.0,44.0,12.0,0.0,2.0,9,20.0,0.0,0.0,0.0,0.0,231.0,1.0,8.0,15.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9,5.0,10.0,2.0,8.0,21.0,38.1,13.0,14.0,0.0,14.0,16,33,20.0,0.0,31,435.0,53.0,120.0,235.0,88.0,12.0,435.0,12.0,5.0,41.7,7.0,58.3,203.0,1130.0,546.0,16.0,13.0,4.0,12.0,8.0,229.0,23.0,2,0,0,12,11,1,9,16,9,0.0,1.0,0,52.0,10.0,16.0,38.5,1
2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,0,15,3,20.0,0.0,0.0,21.8,1.0,0,0,1.1,1.1,0.07,-1.1,-1.1,4,1,3,75.0,0,1.1,0.1,0,0,0,0,5.0,11.0,45.5,20.0,2.0,35.0,32.9,6.0,66.7,50.0,9.0,0.0,0.0,0.0,11.5,356.0,476.0,74.8,6841.0,2333.0,144.0,170.0,84.7,164.0,198.0,82.8,44.0,87.0,50.6,0,0.7,0.8,11.0,37.0,9.0,4.0,48.0,476.0,424.0,48.0,12.0,0.0,4.0,27,25.0,3.0,0.0,3.0,0.0,356.0,4.0,7.0,26.0,21.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16,9.0,8.0,1.0,8.0,17.0,47.1,9.0,15.0,5.0,10.0,12,30,17.0,0.0,57,580.0,42.0,186.0,249.0,157.0,19.0,580.0,22.0,16.0,72.7,6.0,27.3,304.0,2303.0,1286.0,31.0,22.0,4.0,14.0,8.0,355.0,48.0,4,0,0,13,12,4,27,12,16,0.0,0.0,0,49.0,22.0,15.0,59.5,1
2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,1,15,2,13.3,0.07,0.5,22.6,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,5,0,5,100.0,1,1.1,1.1,0,0,0,0,7.0,18.0,38.9,27.0,8.0,48.1,40.1,8.0,62.5,45.8,20.0,2.0,10.0,0.0,7.8,261.0,367.0,71.1,5288.0,2208.0,96.0,124.0,77.4,116.0,136.0,85.3,43.0,88.0,48.9,1,0.9,0.5,8.0,21.0,4.0,1.0,32.0,367.0,314.0,50.0,21.0,0.0,3.0,15,16.0,4.0,2.0,2.0,0.0,261.0,3.0,6.0,25.0,16.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,11,11.0,10.0,2.0,6.0,11.0,54.5,5.0,9.0,4.0,5.0,12,35,24.0,0.0,43,482.0,59.0,178.0,206.0,108.0,17.0,482.0,18.0,10.0,55.6,8.0,44.4,187.0,1590.0,1002.0,22.0,15.0,7.0,10.0,9.0,257.0,32.0,2,0,0,22,20,3,15,12,11,0.0,0.0,0,52.0,22.0,28.0,44.0,1
2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,1,14,5,35.7,0.07,0.2,19.7,0.0,0,0,1.0,1.0,0.07,0.0,0.0,1,0,1,100.0,1,0.3,0.3,0,0,0,0,6.0,9.0,66.7,18.0,6.0,22.2,29.2,9.0,55.6,40.0,8.0,0.0,0.0,0.0,4.0,370.0,506.0,73.1,7368.0,2841.0,140.0,176.0,79.5,174.0,213.0,81.7,53.0,93.0,57.0,1,0.7,0.6,12.0,35.0,3.0,0.0,52.0,506.0,447.0,57.0,15.0,2.0,7.0,27,28.0,4.0,0.0,4.0,0.0,370.0,2.0,12.0,22.0,15.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,13,9.0,7.0,3.0,4.0,16.0,25.0,12.0,24.0,7.0,17.0,20,39,24.0,0.0,52,633.0,53.0,205.0,302.0,133.0,21.0,633.0,15.0,9.0,60.0,6.0,40.0,286.0,1961.0,1112.0,24.0,22.0,8.0,8.0,17.0,364.0,51.0,2,0,0,11,14,2,27,20,13,0.0,0.0,0,59.0,25.0,20.0,55.6,2
2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,2,15,5,33.3,0.13,0.4,20.6,1.0,0,0,1.9,1.9,0.13,0.1,0.1,3,0,3,100.0,1,0.1,0.1,0,0,0,0,12.0,19.0,63.2,25.0,1.0,52.0,39.4,9.0,66.7,48.0,12.0,1.0,8.3,0.0,7.0,313.0,429.0,73.0,6296.0,2593.0,129.0,155.0,83.2,117.0,145.0,80.7,58.0,111.0,52.3,1,1.0,0.7,7.0,27.0,8.0,1.0,27.0,429.0,377.0,50.0,14.0,0.0,5.0,13,20.0,6.0,0.0,6.0,0.0,313.0,2.0,2.0,23.0,14.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,7,3.0,6.0,1.0,3.0,10.0,30.0,7.0,7.0,3.0,4.0,18,28,20.0,0.0,51,532.0,47.0,153.0,278.0,111.0,21.0,532.0,8.0,3.0,37.5,5.0,62.5,271.0,1564.0,775.0,20.0,12.0,5.0,13.0,7.0,311.0,27.0,1,0,0,13,14,2,13,18,7,0.0,0.0,0,57.0,19.0,21.0,47.5,1
2018-10-20,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,L,0,2,Werder Bremen,0,12,4,33.3,0.0,0.0,15.1,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2,3,2,1,33.3,0,1.1,-0.9,0,0,0,0,5.0,12.0,41.7,33.0,3.0,27.3,32.1,5.0,60.0,51.8,9.0,0.0,0.0,1.0,17.6,349.0,474.0,73.6,7396.0,2702.0,116.0,139.0,83.5,159.0,190.0,83.7,67.0,113.0,59.3,0,0.8,1.1,10.0,38.0,5.0,4.0,40.0,474.0,416.0,49.0,10.0,0.0,9.0,22,28.0,3.0,2.0,1.0,0.0,349.0,9.0,11.0,21.0,12.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,7.0,5.0,1.0,5.0,8.0,62.5,3.0,10.0,1.0,9.0,17,30,9.0,0.0,47,583.0,51.0,188.0,258.0,142.0,19.0,583.0,20.0,11.0,55.0,9.0,45.0,277.0,1822.0,888.0,22.0,9.0,1.0,16.0,12.0,345.0,39.0,1,0,0,13,9,9,22,17,10,0.0,0.0,0,68.0,19.0,23.0,45.2,1
