Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,L,1,3,Düsseldorf,1,24,10,41.7,0.04,0.1,16.0,0.0,0,0,1.9,1.9,0.08,-0.9,-0.9,7,3,4,57.1,0,2.0,-1.0,0,0,0,0,3.0,3.0,100.0,12.0,4.0,16.7,28.0,8.0,12.5,25.9,11.0,0.0,0.0,0.0,10.5,591.0,700.0,84.4,10214.0,3585.0,254.0,282.0,90.1,276.0,310.0,89.0,47.0,69.0,68.1,1,1.1,2.0,18.0,52.0,14.0,2.0,78.0,700.0,637.0,61.0,14.0,0.0,2.0,34,21.0,14.0,8.0,6.0,0.0,591.0,2.0,12.0,47.0,30.0,7.0,2.0,5.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,7,1.0,4.0,4.0,2.0,8.0,25.0,6.0,10.0,0.0,10.0,5,14,18.0,0.0,67.0,803.0,44.0,157.0,442.0,210.0,35.0,803.0,9.0,5.0,55.6,4.0,44.4,584.0,2497.0,1300.0,18.0,15.0,0.0,16.0,12.0,589.0,78.0,0,0,0,9,13,2,34,5,7,0.0,0.0,0,44.0,19.0,14.0,57.6,1
2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,L,2,3,Hoffenheim,2,18,5,27.8,0.11,0.4,17.7,0.0,0,0,1.2,1.2,0.07,0.8,0.8,3,3,0,0.0,0,1.6,-1.4,0,0,0,0,13.0,27.0,48.1,33.0,1.0,72.7,46.2,6.0,50.0,43.0,11.0,0.0,0.0,1.0,20.5,353.0,465.0,75.9,6431.0,2390.0,150.0,167.0,89.8,156.0,191.0,81.7,37.0,78.0,47.4,2,1.1,0.7,13.0,22.0,4.0,0.0,35.0,465.0,405.0,59.0,19.0,0.0,2.0,14,24.0,6.0,3.0,3.0,0.0,353.0,1.0,8.0,33.0,18.0,4.0,2.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,8,7.0,6.0,0.0,6.0,11.0,54.5,5.0,6.0,3.0,3.0,6,19,14.0,0.0,46.0,541.0,52.0,160.0,288.0,95.0,17.0,541.0,10.0,7.0,70.0,3.0,30.0,266.0,1564.0,743.0,16.0,10.0,6.0,10.0,8.0,347.0,34.0,5,1,1,17,13,1,14,6,8,0.0,0.0,0,37.0,23.0,25.0,47.9,1
2019-09-01,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,W,3,2,Augsburg,3,15,5,33.3,0.2,0.6,16.9,0.0,0,0,2.3,2.3,0.15,0.7,0.7,6,2,4,66.7,0,1.7,-0.3,0,0,0,0,3.0,9.0,33.3,30.0,3.0,16.7,30.2,5.0,80.0,50.8,7.0,0.0,0.0,3.0,22.8,509.0,629.0,80.9,9666.0,2936.0,193.0,222.0,86.9,253.0,290.0,87.2,59.0,97.0,60.8,3,2.2,2.1,13.0,48.0,11.0,2.0,63.0,629.0,574.0,55.0,14.0,3.0,2.0,27,29.0,4.0,1.0,3.0,0.0,509.0,0.0,9.0,29.0,24.0,3.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,14.0,9,7.0,6.0,1.0,5.0,9.0,55.6,4.0,9.0,1.0,8.0,4,18,13.0,0.0,66.0,716.0,48.0,175.0,336.0,206.0,22.0,716.0,12.0,7.0,58.3,5.0,41.7,443.0,2637.0,1617.0,33.0,32.0,3.0,12.0,7.0,504.0,63.0,1,0,0,10,12,0,27,4,9,0.0,0.0,0,48.0,20.0,17.0,54.1,1
2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,2,1,Union Berlin,2,14,5,35.7,0.07,0.2,20.8,1.0,1,2,2.2,0.6,0.04,-0.2,0.4,5,1,4,100.0,0,1.4,0.4,1,1,0,0,4.0,13.0,30.8,24.0,3.0,41.7,42.0,9.0,33.3,35.2,23.0,3.0,13.0,0.0,10.0,340.0,449.0,75.7,6221.0,2598.0,150.0,179.0,83.8,143.0,176.0,81.3,40.0,72.0,55.6,1,0.6,0.9,11.0,25.0,6.0,1.0,40.0,449.0,389.0,58.0,20.0,0.0,1.0,13,23.0,4.0,1.0,3.0,0.0,340.0,2.0,8.0,29.0,15.0,5.0,1.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,8,5.0,5.0,0.0,5.0,11.0,45.5,6.0,3.0,2.0,1.0,8,18,18.0,0.0,53.0,540.0,61.0,167.0,266.0,110.0,13.0,538.0,7.0,5.0,71.4,2.0,28.6,281.0,1612.0,905.0,14.0,9.0,1.0,14.0,12.0,340.0,40.0,4,1,1,12,23,2,13,8,8,2.0,1.0,0,37.0,19.0,30.0,38.8,1
2019-09-21,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,L,0,3,RB Leipzig,0,8,0,0.0,0.0,,18.3,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,7,3,4,57.1,0,1.5,-1.5,0,0,0,0,4.0,9.0,44.4,27.0,4.0,22.2,32.3,10.0,30.0,36.0,21.0,0.0,0.0,1.0,20.0,433.0,526.0,82.3,7363.0,2365.0,198.0,222.0,89.2,186.0,214.0,86.9,35.0,57.0,61.4,0,0.6,1.0,6.0,34.0,7.0,2.0,35.0,526.0,466.0,57.0,16.0,1.0,3.0,17,23.0,4.0,1.0,3.0,0.0,433.0,3.0,10.0,14.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9,10.0,4.0,3.0,3.0,8.0,37.5,5.0,8.0,3.0,5.0,10,27,27.0,1.0,47.0,643.0,69.0,192.0,325.0,132.0,23.0,643.0,25.0,14.0,56.0,11.0,44.0,355.0,2389.0,1393.0,18.0,12.0,5.0,20.0,13.0,429.0,34.0,0,0,0,12,13,3,17,10,9,0.0,0.0,0,38.0,11.0,15.0,42.3,1
2019-09-28,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,D,2,2,Dortmund,2,11,5,45.5,0.18,0.4,17.9,0.0,0,0,0.8,0.8,0.08,1.2,1.2,7,2,5,71.4,0,2.4,0.4,0,0,0,0,4.0,17.0,23.5,27.0,6.0,44.4,39.9,15.0,33.3,36.5,27.0,0.0,0.0,0.0,4.0,345.0,432.0,79.9,5703.0,2293.0,182.0,199.0,91.5,121.0,146.0,82.9,33.0,62.0,53.2,2,0.7,0.6,9.0,16.0,6.0,1.0,34.0,432.0,387.0,42.0,8.0,1.0,2.0,10,14.0,2.0,1.0,1.0,0.0,345.0,3.0,8.0,21.0,15.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,11,11.0,3.0,2.0,10.0,24.0,41.7,14.0,12.0,5.0,7.0,21,37,35.0,0.0,35.0,564.0,93.0,231.0,255.0,88.0,13.0,564.0,18.0,10.0,55.6,8.0,44.4,361.0,1766.0,798.0,14.0,10.0,3.0,9.0,6.0,345.0,34.0,0,0,0,10,8,3,10,21,11,0.0,0.0,0,51.0,10.0,6.0,62.5,1
2019-10-06,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Away,D,2,2,Eint Frankfurt,2,10,4,40.0,0.1,0.25,20.1,0.0,1,1,1.8,1.0,0.13,0.2,0.0,7,2,5,71.4,0,1.2,-0.8,0,0,0,0,11.0,28.0,39.3,23.0,3.0,56.5,42.2,19.0,78.9,49.5,43.0,0.0,0.0,0.0,6.2,236.0,336.0,70.2,4071.0,1809.0,125.0,147.0,85.0,78.0,99.0,78.8,27.0,65.0,41.5,0,0.4,0.3,7.0,11.0,3.0,1.0,18.0,336.0,282.0,52.0,14.0,1.0,1.0,5,15.0,1.0,0.0,0.0,0.0,236.0,2.0,11.0,18.0,11.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,19.0,14,13.0,4.0,2.0,7.0,15.0,46.7,8.0,15.0,4.0,11.0,11,30,50.0,0.0,37.0,493.0,98.0,221.0,195.0,80.0,13.0,492.0,14.0,9.0,64.3,5.0,35.7,251.0,1399.0,683.0,16.0,11.0,4.0,22.0,8.0,234.0,18.0,1,0,0,8,12,2,5,11,14,1.0,0.0,0,43.0,15.0,17.0,46.9,1
2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,D,1,1,Hertha BSC,1,16,5,31.3,0.06,0.2,17.9,0.0,0,0,0.9,0.9,0.06,0.1,0.1,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,2.0,4.0,50.0,30.0,5.0,10.0,22.1,8.0,12.5,28.3,13.0,0.0,0.0,2.0,22.0,487.0,601.0,81.0,8222.0,3038.0,225.0,252.0,89.3,201.0,234.0,85.9,44.0,78.0,56.4,1,0.5,0.8,9.0,38.0,12.0,1.0,65.0,601.0,546.0,55.0,12.0,0.0,4.0,24,26.0,7.0,5.0,2.0,0.0,487.0,0.0,10.0,26.0,24.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,5.0,1.0,6.0,19.0,31.6,13.0,7.0,1.0,6.0,8,20,16.0,0.0,54.0,697.0,53.0,159.0,359.0,183.0,29.0,697.0,4.0,1.0,25.0,3.0,75.0,500.0,2462.0,1350.0,19.0,15.0,7.0,13.0,11.0,486.0,65.0,1,0,0,9,11,0,24,8,10,0.0,0.0,0,50.0,8.0,27.0,22.9,1
2019-10-26,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,D,2,2,Leverkusen,2,11,3,27.3,0.18,0.67,21.2,0.0,0,0,0.9,0.9,0.08,1.1,1.1,4,2,3,50.0,0,1.1,0.1,0,0,0,0,6.0,15.0,40.0,23.0,4.0,47.8,38.2,12.0,33.3,33.8,34.0,0.0,0.0,0.0,4.0,271.0,368.0,73.6,4451.0,1984.0,135.0,159.0,84.9,95.0,122.0,77.9,27.0,51.0,52.9,1,0.8,0.6,8.0,20.0,7.0,2.0,20.0,368.0,314.0,54.0,16.0,0.0,2.0,9,22.0,1.0,0.0,0.0,0.0,271.0,0.0,8.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,9,13.0,4.0,0.0,5.0,20.0,25.0,15.0,17.0,9.0,8.0,14,31,43.0,0.0,38.0,515.0,103.0,239.0,202.0,77.0,13.0,515.0,10.0,6.0,60.0,4.0,40.0,307.0,1452.0,679.0,11.0,10.0,2.0,20.0,11.0,270.0,20.0,1,0,0,13,12,0,9,14,9,0.0,0.0,1,51.0,13.0,12.0,52.0,1
2019-11-02,15:30 (07:30),Bundesliga,Matchweek 10,Sat,Home,D,2,2,Freiburg,2,21,10,47.6,0.1,0.2,18.0,0.0,0,0,1.5,1.5,0.07,0.5,0.5,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,6.0,15.0,40.0,32.0,3.0,25.0,29.4,9.0,77.8,50.0,14.0,0.0,0.0,0.0,12.5,374.0,472.0,79.2,6521.0,2489.0,175.0,201.0,87.1,146.0,164.0,89.0,40.0,75.0,53.3,2,1.2,1.1,16.0,32.0,9.0,2.0,36.0,472.0,423.0,49.0,12.0,0.0,3.0,12,20.0,5.0,1.0,4.0,0.0,374.0,0.0,8.0,37.0,24.0,3.0,3.0,6.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,8,13.0,4.0,1.0,7.0,15.0,46.7,8.0,7.0,0.0,7.0,13,31,17.0,1.0,46.0,591.0,61.0,177.0,265.0,158.0,26.0,591.0,10.0,4.0,40.0,6.0,60.0,369.0,1720.0,796.0,17.0,18.0,5.0,17.0,12.0,368.0,35.0,3,0,0,18,9,0,12,13,8,0.0,0.0,0,49.0,23.0,18.0,56.1,1
