Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,1,1,Eint Frankfurt,1,12,4,33.3,0.08,0.25,22.3,0.0,0,0,0.8,0.8,0.07,0.2,0.2,6,1,5,83.3,0,2.5,1.5,0,0,0,0,11.0,30.0,36.7,43.0,6.0,53.5,43.2,9.0,77.8,60.6,26.0,0.0,0.0,0.0,8.0,250.0,366.0,68.3,5457.0,2664.0,96.0,120.0,80.0,102.0,132.0,77.3,48.0,92.0,52.2,1,0.6,0.4,7.0,32.0,1.0,0.0,26.0,366.0,319.0,46.0,16.0,2.0,5.0,12,16.0,3.0,2.0,1.0,0.0,250.0,1.0,10.0,19.0,13.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,13,10.0,10.0,0.0,4.0,11.0,36.4,7.0,14.0,6.0,8.0,24,44,30.0,1.0,38.0,510.0,91.0,251.0,172.0,90.0,11.0,510.0,11.0,8.0,72.7,3.0,27.3,218.0,1107.0,550.0,12.0,6.0,6.0,26.0,16.0,247.0,26.0,2,0,0,13,14,1,12,24,13,0.0,0.0,0,54.0,15.0,17.0,46.9,1
2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Köln,1,7,2,28.6,0.14,0.5,26.3,0.0,0,0,0.2,0.2,0.03,0.8,0.8,2,0,2,100.0,1,0.8,0.8,0,0,0,0,15.0,20.0,75.0,58.0,2.0,32.8,32.9,5.0,20.0,27.8,19.0,1.0,5.3,2.0,16.0,361.0,456.0,79.2,7723.0,2893.0,115.0,128.0,89.8,175.0,203.0,86.2,63.0,95.0,66.3,1,0.1,0.3,4.0,25.0,2.0,0.0,34.0,456.0,398.0,57.0,16.0,1.0,7.0,18,31.0,4.0,1.0,2.0,0.0,361.0,1.0,10.0,13.0,8.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,12,9.0,7.0,1.0,3.0,9.0,33.3,6.0,17.0,6.0,11.0,18,35,25.0,0.0,47.0,596.0,82.0,255.0,246.0,98.0,7.0,596.0,20.0,4.0,20.0,16.0,80.0,334.0,1744.0,838.0,7.0,7.0,1.0,29.0,7.0,360.0,34.0,3,0,0,12,13,1,18,18,12,0.0,0.0,0,51.0,23.0,17.0,57.5,1
2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,1,Werder Bremen,0,9,4,44.4,0.0,0.0,18.1,0.0,0,0,1.1,1.1,0.13,-1.1,-1.1,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,14.0,21.0,66.7,72.0,7.0,27.8,30.7,7.0,14.3,30.3,11.0,0.0,0.0,1.0,24.3,496.0,606.0,81.8,9976.0,3510.0,183.0,211.0,86.7,229.0,258.0,88.8,75.0,110.0,68.2,0,1.1,1.0,9.0,26.0,7.0,2.0,26.0,606.0,556.0,48.0,17.0,0.0,6.0,11,21.0,1.0,0.0,0.0,0.0,496.0,2.0,6.0,18.0,11.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,6.0,6.0,1.0,4.0,9.0,44.4,5.0,5.0,1.0,4.0,7,20,9.0,1.0,62.0,686.0,85.0,284.0,304.0,105.0,13.0,686.0,14.0,10.0,71.4,4.0,28.6,453.0,2498.0,1381.0,18.0,13.0,1.0,17.0,10.0,496.0,26.0,2,0,0,16,12,2,11,7,7,0.0,0.0,0,49.0,26.0,22.0,54.2,1
2020-10-17,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,1,11,5,45.5,0.09,0.2,19.8,1.0,0,0,1.4,1.4,0.13,-0.4,-0.4,9,4,5,55.6,0,3.4,-0.6,0,0,0,0,9.0,21.0,42.9,45.0,4.0,44.4,39.5,8.0,12.5,23.4,27.0,1.0,3.7,0.0,8.4,291.0,385.0,75.6,5666.0,2286.0,117.0,130.0,90.0,129.0,154.0,83.8,36.0,79.0,45.6,1,0.6,0.6,6.0,15.0,5.0,0.0,23.0,385.0,335.0,48.0,7.0,3.0,5.0,12,23.0,6.0,4.0,2.0,0.0,291.0,2.0,8.0,19.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11,9.0,5.0,3.0,4.0,10.0,40.0,6.0,14.0,1.0,13.0,12,29,30.0,1.0,34.0,502.0,106.0,257.0,174.0,74.0,13.0,502.0,15.0,7.0,46.7,8.0,53.3,308.0,1353.0,634.0,11.0,11.0,3.0,11.0,9.0,285.0,23.0,1,0,0,6,6,2,12,12,11,0.0,0.0,0,53.0,7.0,7.0,50.0,1
2020-10-25,15:30 (07:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Wolfsburg,1,9,1,11.1,0.11,1.0,23.8,1.0,0,0,0.5,0.5,0.06,0.5,0.5,4,2,2,50.0,0,1.3,-0.7,0,0,0,0,8.0,24.0,33.3,55.0,2.0,40.0,33.6,4.0,50.0,45.0,18.0,1.0,5.6,2.0,16.8,454.0,591.0,76.8,8572.0,2930.0,189.0,215.0,87.9,197.0,235.0,83.8,61.0,113.0,54.0,1,0.4,0.6,6.0,37.0,4.0,3.0,28.0,591.0,530.0,60.0,13.0,0.0,10.0,18,37.0,3.0,2.0,1.0,0.0,454.0,1.0,8.0,16.0,9.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,4.0,5.0,4.0,2.0,14.0,14.3,12.0,15.0,5.0,10.0,8,21,19.0,1.0,52.0,696.0,86.0,266.0,282.0,152.0,16.0,696.0,15.0,10.0,66.7,5.0,33.3,335.0,1552.0,719.0,10.0,7.0,3.0,17.0,6.0,450.0,28.0,1,0,0,10,12,1,18,8,9,0.0,0.0,0,60.0,19.0,26.0,42.2,1
2020-10-31,15:30 (07:30),Bundesliga,Matchweek 6,Sat,Home,L,0,2,Dortmund,0,5,2,40.0,0.0,0.0,19.9,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,10,2,8,80.0,0,1.8,-0.2,0,0,0,0,13.0,30.0,43.3,38.0,5.0,57.9,43.2,10.0,80.0,56.0,20.0,0.0,0.0,0.0,17.0,201.0,300.0,67.0,4363.0,2050.0,66.0,83.0,79.5,96.0,121.0,79.3,37.0,80.0,46.3,0,0.2,0.2,3.0,11.0,0.0,0.0,15.0,300.0,255.0,44.0,17.0,0.0,4.0,6,14.0,0.0,0.0,0.0,0.0,201.0,1.0,8.0,9.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,9.0,4.0,0.0,2.0,16.0,12.5,14.0,19.0,7.0,12.0,25,38,31.0,0.0,25.0,428.0,95.0,248.0,150.0,32.0,4.0,428.0,12.0,9.0,75.0,3.0,25.0,193.0,944.0,448.0,9.0,1.0,2.0,14.0,4.0,201.0,15.0,1,0,0,13,13,1,6,25,6,0.0,0.0,0,51.0,16.0,15.0,51.6,1
2020-11-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,0,5,Union Berlin,0,6,1,16.7,0.0,0.0,20.1,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,9,5,4,55.6,0,3.7,-1.3,1,1,0,0,1.0,4.0,25.0,35.0,4.0,8.6,25.9,3.0,33.3,26.7,9.0,0.0,0.0,0.0,19.0,470.0,559.0,84.1,8529.0,2324.0,185.0,209.0,88.5,214.0,246.0,87.0,55.0,75.0,73.3,0,0.2,0.3,4.0,14.0,5.0,1.0,23.0,559.0,505.0,53.0,18.0,0.0,2.0,12,25.0,1.0,0.0,1.0,0.0,470.0,1.0,8.0,12.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,1.0,1.0,1.0,4.0,25.0,3.0,3.0,1.0,2.0,10,13,19.0,0.0,49.0,626.0,55.0,210.0,339.0,79.0,8.0,626.0,8.0,5.0,62.5,3.0,37.5,376.0,1828.0,939.0,5.0,5.0,0.0,11.0,9.0,465.0,23.0,1,0,0,9,17,1,12,10,3,0.0,1.0,0,36.0,11.0,20.0,35.5,1
2020-11-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,1,2,Leverkusen,0,0,0,,,,,0.0,0,0,0.0,0.0,,0.0,0.0,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,8.0,24.0,33.3,42.0,4.0,45.2,39.2,5.0,100.0,57.0,30.0,1.0,3.3,1.0,12.5,239.0,365.0,65.5,4896.0,2155.0,80.0,106.0,75.5,124.0,162.0,76.5,33.0,78.0,42.3,0,0.0,0.2,0.0,14.0,3.0,2.0,23.0,365.0,326.0,36.0,10.0,0.0,1.0,9,18.0,0.0,0.0,0.0,0.0,239.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,11.0,8.0,2.0,10.0,19.0,52.6,9.0,8.0,2.0,6.0,20,41,38.0,0.0,31.0,489.0,93.0,252.0,175.0,67.0,4.0,489.0,3.0,0.0,0.0,3.0,100.0,261.0,1074.0,454.0,8.0,7.0,1.0,12.0,10.0,237.0,23.0,0,0,0,5,10,3,9,20,12,0.0,0.0,0,49.0,18.0,12.0,60.0,1
2020-11-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1,2,RB Leipzig,1,14,3,21.4,0.07,0.33,15.9,0.0,0,0,1.6,1.6,0.12,-0.6,-0.6,6,2,3,66.7,0,2.8,0.8,1,0,1,0,17.0,32.0,53.1,56.0,2.0,53.6,39.8,5.0,40.0,29.8,9.0,0.0,0.0,0.0,15.0,311.0,447.0,69.6,6300.0,2623.0,114.0,151.0,75.5,151.0,188.0,80.3,43.0,87.0,49.4,0,0.9,1.1,8.0,29.0,6.0,2.0,23.0,447.0,394.0,52.0,15.0,0.0,3.0,17,22.0,7.0,2.0,5.0,0.0,311.0,1.0,10.0,21.0,15.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,14,9.0,7.0,3.0,11.0,19.0,57.9,8.0,8.0,2.0,6.0,10,29,15.0,1.0,42.0,545.0,81.0,218.0,204.0,128.0,22.0,545.0,20.0,8.0,40.0,12.0,60.0,337.0,1273.0,566.0,5.0,4.0,2.0,6.0,7.0,310.0,23.0,2,0,0,15,14,1,17,10,14,0.0,1.0,0,51.0,20.0,25.0,44.4,1
2020-12-05,15:30 (06:30),Bundesliga,Matchweek 10,Sat,Home,W,2,1,Mainz 05,2,12,5,41.7,0.17,0.4,20.7,0.0,0,0,1.2,1.2,0.1,0.8,0.8,5,1,4,80.0,0,1.7,0.7,0,0,0,0,15.0,25.0,60.0,35.0,2.0,45.7,37.4,9.0,100.0,62.1,14.0,1.0,7.1,0.0,10.0,368.0,517.0,71.2,7260.0,2976.0,146.0,177.0,82.5,165.0,206.0,80.1,50.0,110.0,45.5,1,1.2,0.6,10.0,31.0,6.0,1.0,31.0,517.0,468.0,48.0,19.0,1.0,2.0,15,16.0,2.0,1.0,0.0,0.0,368.0,1.0,5.0,22.0,15.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,9,11.0,7.0,1.0,9.0,20.0,45.0,11.0,18.0,3.0,15.0,19,38,19.0,0.0,48.0,640.0,69.0,235.0,321.0,90.0,8.0,640.0,6.0,4.0,66.7,2.0,33.3,356.0,1433.0,741.0,16.0,5.0,1.0,16.0,9.0,367.0,30.0,3,0,0,16,17,1,15,19,9,0.0,0.0,0,69.0,31.0,25.0,55.4,1
