Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-20,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Mainz 05,3,22,8,36.4,0.09,0.25,14.6,1.0,1,1,2.8,2.0,0.09,0.2,0.0,1,1,0,0.0,0,0.9,-0.1,0,0,0,0,3.0,4.0,75.0,34.0,2.0,11.8,23.3,4.0,0.0,18.3,13.0,0.0,0.0,1.0,23.0,688.0,784.0,87.8,11592.0,3960.0,334.0,359.0,93.0,277.0,308.0,89.9,62.0,80.0,77.5,2,1.9,1.8,18.0,48.0,14.0,1.0,59.0,784.0,741.0,42.0,12.0,0.0,0.0,18,17.0,7.0,1.0,5.0,0.0,688.0,1.0,15.0,42.0,23.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,20.0,15,4.0,15.0,1.0,14.0,21.0,66.7,7.0,11.0,4.0,7.0,7,27,12.0,0.0,72,895.0,40.0,203.0,511.0,185.0,43.0,894.0,13.0,9.0,69.2,4.0,30.8,461.0,2103.0,1176.0,21.0,12.0,7.0,18.0,10.0,686.0,59.0,1,0,0,5,11,1,18,7,15,1.0,0.0,0,65.0,11.0,8.0,57.9,1
2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1,1,Leverkusen,1,7,2,28.6,0.14,0.5,17.6,1.0,0,0,0.9,0.9,0.14,0.1,0.1,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,6.0,17.0,35.3,33.0,3.0,42.4,38.2,9.0,33.3,33.6,16.0,1.0,6.3,2.0,18.7,293.0,419.0,69.9,5531.0,2412.0,133.0,165.0,80.6,114.0,150.0,76.0,42.0,86.0,48.8,1,0.7,0.5,5.0,21.0,2.0,0.0,25.0,419.0,364.0,55.0,21.0,1.0,0.0,14,22.0,1.0,1.0,0.0,0.0,293.0,0.0,9.0,12.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,11,4.0,6.0,2.0,4.0,18.0,22.2,14.0,10.0,1.0,9.0,13,25,20.0,0.0,41,524.0,71.0,227.0,218.0,81.0,10.0,524.0,15.0,8.0,53.3,7.0,46.7,197.0,1165.0,569.0,11.0,9.0,3.0,16.0,14.0,286.0,23.0,3,0,0,10,15,0,14,13,11,0.0,0.0,0,67.0,18.0,19.0,48.6,1
2020-10-03,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,4,0,Schalke 04,3,21,6,28.6,0.1,0.33,17.0,2.0,1,1,3.9,3.2,0.16,-0.9,-1.2,1,0,1,100.0,1,0.4,0.4,0,0,0,0,0.0,1.0,0.0,21.0,4.0,4.8,22.7,4.0,0.0,18.0,2.0,0.0,0.0,1.0,17.5,595.0,674.0,88.3,9436.0,2946.0,292.0,314.0,93.0,230.0,248.0,92.7,43.0,57.0,75.4,2,3.1,2.3,18.0,53.0,13.0,3.0,52.0,674.0,631.0,40.0,9.0,1.0,1.0,19,18.0,8.0,3.0,4.0,0.0,595.0,3.0,11.0,38.0,23.0,3.0,6.0,3.0,3.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,19.0,11,1.0,16.0,2.0,7.0,16.0,43.8,9.0,6.0,1.0,5.0,19,38,5.0,0.0,67,778.0,25.0,88.0,524.0,170.0,26.0,777.0,16.0,13.0,81.3,3.0,18.8,494.0,2670.0,1541.0,24.0,19.0,3.0,14.0,10.0,591.0,52.0,1,0,0,14,8,3,19,19,11,0.0,0.0,0,53.0,18.0,11.0,62.1,1
2020-10-17,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,2,0,Augsburg,2,16,4,25.0,0.13,0.5,16.1,0.0,0,0,2.1,2.1,0.14,-0.1,-0.1,2,0,2,100.0,1,0.8,0.8,0,0,0,0,2.0,3.0,66.7,30.0,7.0,6.7,20.5,2.0,50.0,47.5,9.0,0.0,0.0,2.0,40.5,574.0,701.0,81.9,9510.0,3044.0,273.0,314.0,86.9,247.0,282.0,87.6,38.0,61.0,62.3,2,1.8,2.2,12.0,52.0,14.0,2.0,68.0,701.0,656.0,44.0,14.0,1.0,4.0,29,19.0,8.0,5.0,3.0,0.0,574.0,1.0,11.0,30.0,27.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,12,7.0,5.0,3.0,6.0,14.0,42.9,8.0,15.0,2.0,13.0,5,20,8.0,0.0,67,809.0,43.0,135.0,428.0,250.0,36.0,809.0,16.0,9.0,56.3,7.0,43.8,528.0,2558.0,1385.0,16.0,17.0,3.0,22.0,9.0,571.0,68.0,1,0,0,13,8,1,29,5,12,0.0,0.0,0,69.0,19.0,10.0,65.5,1
2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,tr Başakşehir,2,12,6,50.0,0.17,0.33,15.4,0.0,0,0,1.0,1.0,0.08,1.0,1.0,3,0,3,100.0,1,0.2,0.2,0,0,0,0,2.0,16.0,12.5,44.0,12.0,31.8,33.5,7.0,28.6,29.6,12.0,0.0,0.0,2.0,24.5,387.0,507.0,76.3,6534.0,2603.0,189.0,227.0,83.3,148.0,175.0,84.6,39.0,76.0,51.3,2,0.9,0.9,11.0,23.0,8.0,1.0,32.0,507.0,458.0,48.0,19.0,0.0,3.0,10,18.0,3.0,1.0,1.0,0.0,387.0,1.0,5.0,20.0,13.0,3.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,21.0,13,12.0,7.0,2.0,9.0,20.0,45.0,11.0,7.0,0.0,7.0,19,40,20.0,0.0,48,628.0,79.0,234.0,271.0,127.0,31.0,628.0,15.0,6.0,40.0,9.0,60.0,416.0,1841.0,933.0,14.0,8.0,7.0,19.0,2.0,385.0,32.0,4,0,0,18,14,1,10,19,13,0.0,0.0,0,51.0,18.0,17.0,51.4,2
2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2,1,Hertha BSC,2,25,7,28.0,0.04,0.14,17.1,0.0,1,1,2.7,1.9,0.08,-0.7,-0.9,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,0.0,3.0,0.0,17.0,1.0,17.6,29.5,7.0,0.0,23.4,4.0,1.0,25.0,3.0,15.0,491.0,597.0,82.2,8243.0,3159.0,220.0,254.0,86.6,217.0,243.0,89.3,39.0,66.0,59.1,1,1.9,2.1,22.0,55.0,21.0,2.0,68.0,597.0,536.0,59.0,19.0,0.0,4.0,26,25.0,7.0,3.0,2.0,0.0,491.0,2.0,11.0,49.0,32.0,5.0,3.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,12.0,9,5.0,6.0,1.0,5.0,12.0,41.7,7.0,12.0,3.0,9.0,13,25,11.0,0.0,67,705.0,40.0,142.0,311.0,256.0,48.0,704.0,17.0,12.0,70.6,5.0,29.4,378.0,2275.0,1268.0,36.0,22.0,11.0,11.0,6.0,490.0,68.0,1,0,0,11,21,2,26,13,9,1.0,0.0,0,53.0,24.0,9.0,72.7,1
2020-10-28,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,5,eng Manchester Utd,0,9,2,22.2,0.0,0.0,18.1,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,8,5,3,50.0,0,5.2,0.2,1,1,0,0,3.0,4.0,75.0,28.0,2.0,14.3,26.5,4.0,0.0,23.8,6.0,0.0,0.0,1.0,18.5,439.0,549.0,80.0,7601.0,2400.0,196.0,229.0,85.6,171.0,202.0,84.7,50.0,71.0,70.4,0,0.3,0.5,7.0,23.0,7.0,0.0,38.0,549.0,488.0,59.0,19.0,0.0,6.0,17,25.0,5.0,1.0,4.0,0.0,439.0,2.0,11.0,18.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8,7.0,10.0,3.0,7.0,19.0,36.8,12.0,10.0,4.0,6.0,7,27,8.0,0.0,53,649.0,59.0,158.0,318.0,179.0,15.0,649.0,15.0,8.0,53.3,7.0,46.7,382.0,2005.0,862.0,14.0,20.0,1.0,13.0,6.0,436.0,38.0,3,0,0,20,18,2,17,7,8,0.0,1.0,0,52.0,11.0,7.0,61.1,2
2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Gladbach,0,15,3,20.0,0.0,0.0,18.3,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,4.0,10.0,40.0,36.0,8.0,25.0,29.7,1.0,100.0,45.0,9.0,1.0,11.1,5.0,25.0,446.0,574.0,77.7,7541.0,2767.0,194.0,232.0,83.6,185.0,218.0,84.9,45.0,77.0,58.4,0,0.7,1.0,13.0,22.0,8.0,3.0,30.0,574.0,525.0,47.0,18.0,0.0,2.0,15,22.0,4.0,3.0,1.0,0.0,446.0,2.0,10.0,25.0,20.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8,6.0,4.0,0.0,3.0,20.0,15.0,17.0,12.0,0.0,12.0,12,22,10.0,0.0,51,675.0,50.0,200.0,361.0,124.0,22.0,675.0,11.0,8.0,72.7,3.0,27.3,318.0,1921.0,1032.0,18.0,16.0,4.0,14.0,6.0,444.0,30.0,4,0,0,17,13,2,15,12,8,0.0,0.0,0,57.0,20.0,16.0,55.6,1
2020-11-04,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,2,11,4,36.4,0.09,0.25,19.5,0.0,1,1,1.9,1.1,0.12,0.1,-0.1,2,1,0,50.0,0,1.7,0.7,1,0,1,0,7.0,17.0,41.2,39.0,1.0,41.0,36.4,2.0,50.0,33.5,16.0,2.0,12.5,3.0,15.8,399.0,538.0,74.2,6191.0,2407.0,188.0,216.0,87.0,145.0,179.0,81.0,26.0,66.0,39.4,1,0.8,0.6,10.0,38.0,11.0,1.0,46.0,538.0,477.0,59.0,25.0,0.0,3.0,14,26.0,4.0,2.0,1.0,0.0,399.0,2.0,18.0,22.0,20.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,22,13.0,22.0,2.0,20.0,30.0,66.7,10.0,14.0,3.0,11.0,12,49,15.0,1.0,49,669.0,68.0,176.0,332.0,165.0,21.0,668.0,11.0,5.0,45.5,6.0,54.5,334.0,1290.0,610.0,13.0,8.0,3.0,16.0,12.0,396.0,46.0,2,0,0,20,18,2,14,12,22,0.0,1.0,0,68.0,22.0,13.0,62.9,2
2020-11-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Freiburg,3,14,6,42.9,0.14,0.33,19.7,1.0,1,1,2.2,1.4,0.1,0.8,0.6,3,0,3,100.0,1,0.4,0.4,0,0,0,0,4.0,10.0,40.0,36.0,6.0,19.4,27.9,6.0,50.0,39.5,13.0,0.0,0.0,0.0,17.0,479.0,578.0,82.9,7684.0,2736.0,239.0,271.0,88.2,186.0,212.0,87.7,34.0,63.0,54.0,1,1.0,1.4,12.0,34.0,11.0,6.0,33.0,578.0,537.0,40.0,14.0,0.0,3.0,14,16.0,3.0,1.0,2.0,0.0,479.0,1.0,4.0,25.0,22.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,8,3.0,7.0,0.0,5.0,12.0,41.7,7.0,17.0,2.0,15.0,7,17,19.0,0.0,55,690.0,60.0,180.0,371.0,141.0,22.0,689.0,13.0,7.0,53.8,6.0,46.2,354.0,2058.0,1054.0,17.0,13.0,2.0,15.0,4.0,477.0,32.0,2,0,0,14,12,1,14,7,8,1.0,0.0,0,53.0,17.0,15.0,53.1,1
