Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-17,20:00 (11:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Kukësi,4,,,,,,,,0,0,,,,,,,,,,1,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0,,,,,2
2020-09-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,D,0,0,Leverkusen,0,9.0,1.0,11.1,0.0,0.0,17.5,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,3.0,0.0,3.0,100.0,1,0.1,0.1,0,0,0,0,9.0,24.0,37.5,41.0,4.0,48.8,38.5,5.0,80.0,50.4,14.0,1.0,7.1,0.0,5.5,309.0,430.0,71.9,5855.0,2249.0,124.0,150.0,82.7,129.0,162.0,79.6,42.0,82.0,51.2,0,0.9,1.0,8.0,19.0,7.0,1.0,33.0,430.0,386.0,41.0,13.0,1.0,5.0,15.0,18.0,4.0,4.0,0.0,0.0,309.0,3.0,12.0,17.0,13.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,8.0,19.0,1.0,7.0,15.0,46.7,8.0,15.0,2.0,13.0,16.0,44,23.0,0.0,41.0,555.0,67.0,191.0,245.0,124.0,13.0,555.0,7.0,6.0,85.7,1.0,14.3,320.0,1421.0,713.0,14.0,13.0,4.0,17.0,6.0,305.0,33.0,1,0,0,14.0,12.0,3.0,15.0,16.0,17.0,0.0,0.0,0,67.0,11.0,18.0,37.9,1
2020-09-24,20:15 (11:15),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ua Desna Chernihiv,2,,,,,,,,0,0,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2020-09-27,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Away,D,1,1,Freiburg,1,8.0,2.0,25.0,0.13,0.5,20.9,1.0,0,0,0.5,0.5,0.06,0.5,0.5,7.0,1.0,6.0,85.7,0,1.6,0.6,0,0,0,0,7.0,17.0,41.2,23.0,1.0,47.8,38.6,9.0,66.7,49.2,23.0,0.0,0.0,0.0,10.0,323.0,426.0,75.8,6054.0,2312.0,126.0,149.0,84.6,158.0,180.0,87.8,35.0,74.0,47.3,0,0.2,0.6,5.0,30.0,4.0,1.0,36.0,426.0,374.0,52.0,13.0,0.0,4.0,9.0,27.0,1.0,1.0,0.0,0.0,323.0,0.0,10.0,15.0,11.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,7.0,6.0,6.0,0.0,11.0,19.0,57.9,8.0,14.0,6.0,8.0,14.0,26,25.0,0.0,47.0,547.0,74.0,171.0,268.0,115.0,13.0,547.0,16.0,11.0,68.8,5.0,31.3,325.0,1671.0,795.0,17.0,20.0,6.0,18.0,12.0,320.0,34.0,3,0,0,13.0,11.0,0.0,9.0,14.0,7.0,0.0,0.0,0,42.0,21.0,24.0,46.7,1
2020-10-01,21:45 (11:45),Europa Lg,Play-off round,Thu,Away,L,1,2,gr AEK Athens,1,9.0,5.0,55.6,0.11,0.2,,,0,0,,,,,,2.0,2.0,1.0,0.0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,9.0,0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,17.0,15.0,2.0,15.0,9.0,16.0,,,0,,,,,2
2020-10-04,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,0,0,Augsburg,0,18.0,6.0,33.3,0.0,0.0,21.1,1.0,0,0,1.0,1.0,0.06,-1.0,-1.0,1.0,0.0,1.0,100.0,1,0.3,0.3,0,0,0,0,2.0,6.0,33.3,26.0,5.0,15.4,27.5,4.0,50.0,42.0,8.0,0.0,0.0,3.0,23.2,550.0,682.0,80.6,10302.0,3531.0,196.0,234.0,83.8,269.0,297.0,90.6,66.0,100.0,66.0,0,0.8,1.4,14.0,40.0,15.0,2.0,68.0,682.0,621.0,58.0,12.0,1.0,4.0,34.0,29.0,12.0,6.0,4.0,0.0,550.0,3.0,18.0,32.0,22.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,5.0,9.0,3.0,5.0,20.0,25.0,15.0,17.0,2.0,15.0,13.0,30,18.0,0.0,64.0,812.0,54.0,203.0,393.0,219.0,37.0,812.0,19.0,13.0,68.4,6.0,31.6,469.0,2383.0,1183.0,24.0,22.0,6.0,16.0,13.0,546.0,66.0,0,0,0,7.0,12.0,3.0,34.0,13.0,14.0,0.0,0.0,0,59.0,21.0,18.0,53.8,1
2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Gladbach,1,15.0,6.0,40.0,0.07,0.17,18.7,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,2.0,1.0,1.0,100.0,0,1.1,0.1,1,1,0,0,6.0,18.0,33.3,40.0,6.0,27.5,33.2,8.0,87.5,54.3,13.0,0.0,0.0,0.0,,374.0,512.0,73.0,7161.0,2551.0,130.0,155.0,83.9,180.0,224.0,80.4,50.0,90.0,55.6,1,1.1,0.7,11.0,26.0,4.0,1.0,27.0,512.0,446.0,62.0,16.0,0.0,1.0,18.0,32.0,4.0,1.0,2.0,0.0,374.0,4.0,14.0,24.0,19.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,5.0,11.0,4.0,9.0,15.0,60.0,6.0,10.0,3.0,7.0,15.0,35,25.0,0.0,53.0,627.0,73.0,202.0,299.0,132.0,16.0,627.0,18.0,13.0,72.2,5.0,27.8,298.0,1759.0,948.0,15.0,12.0,3.0,15.0,15.0,369.0,26.0,2,0,0,13.0,14.0,4.0,18.0,15.0,10.0,0.0,1.0,0,49.0,19.0,18.0,51.4,1
2020-10-25,15:30 (07:30),Bundesliga,Matchweek 5,Sun,Home,W,2,1,Arminia,2,14.0,4.0,28.6,0.14,0.5,16.2,0.0,0,0,2.2,2.2,0.16,-0.2,-0.2,1.0,1.0,0.0,0.0,0,0.5,-0.5,0,0,0,0,7.0,19.0,36.8,36.0,8.0,38.9,34.4,5.0,100.0,65.2,13.0,2.0,15.4,0.0,8.7,432.0,554.0,78.0,8304.0,3188.0,164.0,191.0,85.9,210.0,249.0,84.3,51.0,88.0,58.0,2,2.0,1.2,9.0,36.0,11.0,2.0,51.0,554.0,507.0,46.0,11.0,2.0,7.0,22.0,24.0,4.0,3.0,0.0,0.0,432.0,1.0,11.0,22.0,14.0,2.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,8.0,9.0,1.0,1.0,5.0,15.0,33.3,10.0,12.0,5.0,7.0,22.0,33,27.0,0.0,48.0,689.0,69.0,244.0,316.0,133.0,25.0,689.0,14.0,12.0,85.7,2.0,14.3,289.0,1420.0,646.0,14.0,10.0,2.0,22.0,11.0,430.0,51.0,2,0,0,13.0,10.0,1.0,22.0,22.0,8.0,0.0,0.0,0,56.0,26.0,19.0,57.8,1
2020-11-01,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,D,1,1,Hertha BSC,1,11.0,4.0,36.4,0.09,0.25,22.5,0.0,0,0,0.6,0.6,0.06,0.4,0.4,5.0,1.0,4.0,80.0,0,0.8,-0.2,0,0,0,0,5.0,11.0,45.5,17.0,5.0,41.2,33.5,9.0,44.4,39.3,19.0,2.0,10.5,1.0,10.3,300.0,427.0,70.3,5063.0,2220.0,144.0,181.0,79.6,117.0,154.0,76.0,23.0,53.0,43.4,1,0.5,0.7,8.0,22.0,7.0,2.0,45.0,427.0,375.0,50.0,11.0,0.0,5.0,17.0,22.0,6.0,3.0,3.0,0.0,300.0,2.0,8.0,17.0,15.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,16.0,9.0,16.0,3.0,13.0,22.0,59.1,9.0,15.0,7.0,8.0,18.0,46,22.0,0.0,47.0,554.0,54.0,157.0,269.0,132.0,17.0,554.0,8.0,6.0,75.0,2.0,25.0,301.0,1261.0,546.0,10.0,11.0,3.0,18.0,7.0,296.0,45.0,1,0,0,15.0,6.0,2.0,17.0,18.0,16.0,0.0,0.0,0,49.0,20.0,16.0,55.6,1
2020-11-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,2,1,Hoffenheim,2,13.0,7.0,53.8,0.15,0.29,21.1,0.0,0,1,1.9,1.3,0.1,0.1,0.7,5.0,1.0,3.0,80.0,0,2.1,1.1,1,0,1,0,11.0,23.0,47.8,25.0,5.0,60.0,40.0,10.0,80.0,55.4,26.0,0.0,0.0,0.0,5.5,323.0,453.0,71.3,5610.0,2497.0,154.0,191.0,80.6,106.0,139.0,76.3,43.0,75.0,57.3,2,0.8,0.8,10.0,23.0,8.0,1.0,39.0,453.0,404.0,44.0,14.0,1.0,4.0,10.0,15.0,3.0,0.0,0.0,0.0,323.0,5.0,11.0,24.0,14.0,2.0,2.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0,12.0,11.0,7.0,0.0,8.0,25.0,32.0,17.0,13.0,3.0,10.0,16.0,34,26.0,0.0,46.0,581.0,76.0,206.0,274.0,107.0,21.0,580.0,20.0,12.0,60.0,8.0,40.0,314.0,1474.0,687.0,17.0,8.0,8.0,18.0,3.0,321.0,38.0,1,0,0,15.0,13.0,5.0,10.0,16.0,12.0,1.0,1.0,0,77.0,18.0,16.0,52.9,1
