Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-13,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Home,D,1,1,Bayern Munich,1,11,4,36.4,0.09,0.25,15.8,0.0,0,0,2.3,2.3,0.21,-1.3,-1.3,9,1,8,88.9,0,2.1,1.1,0,0,0,0,9.0,25.0,36.0,30.0,4.0,60.0,45.5,9.0,77.8,52.9,17.0,1.0,5.9,0.0,4.3,262.0,370.0,70.8,4590.0,2205.0,121.0,145.0,83.4,87.0,117.0,74.4,32.0,72.0,44.4,1,2.2,1.8,8.0,22.0,9.0,2.0,27.0,370.0,326.0,41.0,8.0,3.0,4.0,12,19.0,3.0,1.0,2.0,0.0,262.0,3.0,4.0,17.0,12.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,12,10.0,15.0,7.0,17.0,39.0,43.6,22.0,13.0,4.0,9.0,18,50,21.0,0.0,35.0,518.0,81.0,214.0,196.0,113.0,19.0,518.0,22.0,12.0,54.5,10.0,45.5,227.0,1293.0,654.0,14.0,9.0,4.0,16.0,8.0,262.0,27.0,2,0,0,7,4,3,12,18,12,0.0,0.0,0,62.0,16.0,20.0,44.4,1
2021-08-21,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,4,Leverkusen,0,10,5,50.0,0.0,0.0,18.5,0.0,0,1,1.7,0.9,0.09,-1.7,-0.9,6,4,2,33.3,0,2.8,-1.2,0,0,0,0,1.0,5.0,20.0,21.0,2.0,14.3,27.7,6.0,33.3,32.8,9.0,0.0,0.0,1.0,11.0,437.0,520.0,84.0,8092.0,2927.0,191.0,207.0,92.3,197.0,217.0,90.8,44.0,67.0,65.7,0,0.9,0.9,9.0,29.0,9.0,2.0,51.0,520.0,465.0,53.0,13.0,0.0,6.0,11,26.0,3.0,1.0,1.0,0.0,437.0,2.0,12.0,19.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,6.0,9.0,3.0,8.0,25.0,32.0,17.0,15.0,1.0,14.0,4,22,15.0,1.0,53.0,634.0,49.0,167.0,318.0,151.0,20.0,633.0,17.0,10.0,58.8,7.0,41.2,245.0,1399.0,823.0,12.0,13.0,4.0,20.0,13.0,431.0,51.0,2,0,0,11,9,2,11,4,10,1.0,0.0,0,49.0,10.0,6.0,62.5,1
2021-08-29,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Union Berlin,1,20,5,25.0,0.05,0.2,17.0,1.0,0,0,1.8,1.8,0.1,-0.8,-0.8,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,3.0,11.0,27.3,40.0,4.0,22.5,29.4,10.0,20.0,28.9,12.0,0.0,0.0,0.0,13.3,668.0,791.0,84.5,11901.0,3996.0,293.0,331.0,88.5,285.0,305.0,93.4,72.0,105.0,68.6,0,0.9,1.1,14.0,45.0,6.0,0.0,53.0,791.0,729.0,59.0,14.0,5.0,4.0,14,24.0,8.0,3.0,5.0,0.0,668.0,3.0,18.0,35.0,26.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,9,2.0,9.0,3.0,6.0,21.0,28.6,15.0,8.0,3.0,5.0,9,23,10.0,0.0,72.0,896.0,49.0,254.0,487.0,160.0,24.0,896.0,24.0,12.0,50.0,12.0,50.0,495.0,2276.0,1138.0,15.0,14.0,3.0,20.0,8.0,662.0,52.0,0,0,0,6,14,3,14,9,9,0.0,0.0,0,60.0,21.0,21.0,50.0,1
2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Home,W,3,1,Arminia,3,18,4,22.2,0.17,0.75,17.9,0.0,0,0,1.7,1.7,0.09,1.3,1.3,7,1,6,85.7,0,1.7,0.7,0,0,0,0,5.0,15.0,33.3,50.0,9.0,24.0,29.0,10.0,30.0,36.0,14.0,0.0,0.0,1.0,23.0,559.0,643.0,86.9,9811.0,3326.0,238.0,261.0,91.2,249.0,268.0,92.9,54.0,76.0,71.1,3,1.3,1.6,15.0,30.0,12.0,3.0,46.0,643.0,596.0,45.0,18.0,1.0,1.0,11,12.0,3.0,1.0,2.0,0.0,559.0,2.0,5.0,36.0,32.0,3.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,18.0,7,8.0,6.0,4.0,9.0,15.0,60.0,6.0,11.0,3.0,8.0,9,27,17.0,1.0,64.0,765.0,73.0,304.0,343.0,120.0,24.0,765.0,11.0,7.0,63.6,4.0,36.4,532.0,2534.0,1337.0,22.0,12.0,3.0,22.0,8.0,551.0,46.0,1,0,0,10,18,2,11,9,7,0.0,0.0,0,49.0,11.0,13.0,45.8,1
2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,1,Augsburg,0,11,0,0.0,0.0,,18.9,2.0,0,0,0.6,0.6,0.06,-0.6,-0.6,1,1,0,0.0,0,0.7,-0.3,0,0,0,0,2.0,4.0,50.0,32.0,3.0,12.5,25.6,6.0,0.0,21.5,9.0,1.0,11.1,3.0,18.8,535.0,638.0,83.9,10158.0,3410.0,203.0,236.0,86.0,263.0,293.0,89.8,63.0,90.0,70.0,0,0.5,0.9,6.0,49.0,4.0,1.0,51.0,638.0,583.0,53.0,15.0,2.0,0.0,23,24.0,6.0,2.0,2.0,0.0,535.0,2.0,5.0,21.0,13.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9,10.0,6.0,2.0,6.0,19.0,31.6,13.0,7.0,2.0,5.0,8,26,6.0,1.0,70.0,726.0,38.0,197.0,376.0,157.0,19.0,726.0,19.0,11.0,57.9,8.0,42.1,517.0,2849.0,1569.0,27.0,13.0,7.0,14.0,12.0,533.0,51.0,2,0,0,9,12,2,23,8,9,0.0,0.0,0,46.0,21.0,9.0,70.0,1
2021-09-25,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Dortmund,1,15,3,20.0,0.07,0.33,15.9,1.0,0,0,1.6,1.6,0.11,-0.6,-0.6,0,0,0,,1,0.0,0.0,0,0,0,0,4.0,8.0,50.0,41.0,6.0,17.1,28.6,6.0,16.7,23.0,4.0,2.0,50.0,0.0,5.3,491.0,582.0,84.4,8749.0,3207.0,204.0,226.0,90.3,240.0,267.0,89.9,41.0,69.0,59.4,0,1.0,1.2,11.0,30.0,9.0,1.0,43.0,582.0,526.0,52.0,17.0,2.0,1.0,15,23.0,5.0,2.0,1.0,0.0,491.0,4.0,7.0,25.0,17.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,11,6.0,11.0,3.0,11.0,21.0,52.4,10.0,9.0,1.0,8.0,11,31,6.0,0.0,55.0,680.0,45.0,226.0,312.0,145.0,24.0,680.0,15.0,12.0,80.0,3.0,20.0,337.0,1756.0,977.0,20.0,13.0,4.0,19.0,12.0,490.0,43.0,4,0,0,17,15,4,15,11,11,0.0,0.0,0,41.0,8.0,4.0,66.7,1
2021-10-02,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,3,1,Wolfsburg,3,18,9,50.0,0.17,0.33,17.5,1.0,0,1,3.3,2.5,0.14,-0.3,0.5,5,1,4,80.0,0,1.6,0.6,0,0,0,0,4.0,13.0,30.8,34.0,8.0,35.3,35.5,9.0,11.1,23.0,15.0,0.0,0.0,1.0,25.0,318.0,424.0,75.0,6123.0,2469.0,122.0,149.0,81.9,147.0,182.0,80.8,46.0,72.0,63.9,3,2.3,0.9,14.0,28.0,4.0,1.0,26.0,424.0,370.0,51.0,17.0,3.0,1.0,13,17.0,6.0,1.0,2.0,2.0,318.0,3.0,9.0,34.0,19.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,20.0,17,10.0,10.0,0.0,11.0,21.0,52.4,10.0,12.0,1.0,11.0,8,28,22.0,0.0,48.0,557.0,76.0,228.0,198.0,137.0,25.0,556.0,21.0,8.0,38.1,13.0,61.9,305.0,1828.0,785.0,18.0,10.0,6.0,19.0,6.0,317.0,26.0,3,0,0,10,16,3,13,8,17,1.0,0.0,0,53.0,14.0,15.0,48.3,1
2021-10-16,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,D,1,1,Stuttgart,1,31,8,25.8,0.03,0.13,17.9,1.0,0,0,2.6,2.6,0.08,-1.6,-1.6,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4.0,10.0,40.0,40.0,3.0,20.0,27.0,4.0,50.0,40.5,3.0,0.0,0.0,1.0,14.7,552.0,660.0,83.6,8423.0,3128.0,308.0,345.0,89.3,195.0,228.0,85.5,32.0,59.0,54.2,0,1.9,1.5,23.0,28.0,9.0,2.0,46.0,660.0,603.0,57.0,21.0,4.0,1.0,19,21.0,9.0,4.0,5.0,0.0,552.0,0.0,6.0,54.0,40.0,5.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,12,9.0,9.0,1.0,10.0,16.0,62.5,6.0,10.0,0.0,10.0,7,26,9.0,1.0,59.0,782.0,43.0,220.0,400.0,174.0,30.0,782.0,12.0,10.0,83.3,2.0,16.7,572.0,2545.0,1264.0,27.0,24.0,7.0,17.0,14.0,549.0,46.0,3,0,0,14,21,0,19,7,12,0.0,0.0,0,73.0,13.0,16.0,44.8,1
2021-10-23,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,Hertha BSC,0,10,1,10.0,0.0,0.0,16.9,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,4,1,3,75.0,0,1.3,0.3,0,0,0,0,2.0,4.0,50.0,21.0,5.0,19.0,25.7,4.0,0.0,22.8,7.0,0.0,0.0,3.0,26.7,464.0,580.0,80.0,8513.0,2993.0,173.0,208.0,83.2,234.0,258.0,90.7,47.0,76.0,61.8,0,0.4,0.6,8.0,43.0,5.0,1.0,58.0,580.0,515.0,62.0,13.0,1.0,3.0,17,37.0,6.0,3.0,3.0,0.0,464.0,3.0,15.0,18.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,5.0,7.0,1.0,8.0,15.0,53.3,7.0,20.0,2.0,18.0,9,22,12.0,0.0,58.0,703.0,39.0,151.0,409.0,150.0,13.0,703.0,25.0,9.0,36.0,16.0,64.0,434.0,1892.0,912.0,12.0,6.0,2.0,22.0,9.0,461.0,58.0,2,0,0,21,11,3,17,9,9,0.0,0.0,0,54.0,18.0,9.0,66.7,1
2021-10-31,17:30 (09:30),Bundesliga,Matchweek 10,Sun,Home,W,2,1,Bochum,2,15,4,26.7,0.13,0.5,15.6,0.0,0,0,1.9,1.9,0.13,0.1,0.1,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,2.0,8.0,25.0,35.0,2.0,17.1,27.1,6.0,33.3,37.2,9.0,0.0,0.0,5.0,30.4,563.0,675.0,83.4,9857.0,3827.0,255.0,275.0,92.7,263.0,301.0,87.4,41.0,72.0,56.9,2,1.6,1.4,14.0,41.0,5.0,1.0,61.0,675.0,608.0,65.0,18.0,7.0,6.0,19,30.0,9.0,4.0,3.0,1.0,563.0,2.0,17.0,29.0,23.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,9,5.0,7.0,1.0,5.0,7.0,71.4,2.0,9.0,1.0,8.0,5,18,12.0,1.0,65.0,776.0,50.0,246.0,410.0,129.0,24.0,776.0,23.0,12.0,52.2,11.0,47.8,503.0,1902.0,947.0,16.0,5.0,7.0,19.0,10.0,559.0,61.0,1,0,0,7,14,2,19,5,9,0.0,0.0,0,70.0,10.0,8.0,55.6,1
