Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Home,L,1,6,Bayern Munich,1,8,2,25.0,0.13,0.5,17.9,0.0,0,0,0.9,0.9,0.11,0.1,0.1,10.0,6.0,4.0,40.0,0,3.7,-2.3,0,0,0,0,5.0,12.0,41.7,21.0,3.0,47.6,36.5,9.0,22.2,31.1,10.0,0.0,0.0,0.0,3.0,292.0,396.0,73.7,5598.0,2159.0,111.0,132.0,84.1,148.0,174.0,85.1,31.0,69.0,44.9,0,0.3,0.5,4.0,26.0,4.0,1.0,25.0,396.0,343.0,49.0,13.0,1.0,3.0,15.0,15.0,5.0,3.0,2.0,0.0,292.0,4.0,9.0,11.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,8.0,7.0,1.0,7.0,16.0,43.8,9.0,10.0,7.0,3.0,17.0,33,15.0,0.0,37,501.0,60.0,206.0,177.0,123.0,14.0,501.0,29.0,10.0,34.5,15.0,51.7,242.0,1467.0,818.0,16.0,7.0,7.0,11.0,5.0,290.0,25.0,2,0,0,10.0,11.0,4.0,15.0,17.0,9.0,0.0,0.0,0.0,59.0,6.0,3.0,66.7,1.0
2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1,1,Hertha BSC,1,11,1,9.1,0.09,1.0,12.6,0.0,0,0,1.6,1.6,0.14,-0.6,-0.6,5.0,1.0,4.0,80.0,0,1.0,0.0,0,0,0,0,1.0,12.0,8.3,21.0,7.0,38.1,35.0,8.0,50.0,45.4,9.0,1.0,11.1,0.0,14.3,405.0,537.0,75.4,7053.0,2365.0,170.0,203.0,83.7,185.0,215.0,86.0,36.0,83.0,43.4,1,1.4,0.9,9.0,34.0,6.0,3.0,50.0,537.0,482.0,52.0,12.0,2.0,6.0,20.0,25.0,5.0,2.0,3.0,0.0,405.0,3.0,12.0,18.0,12.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,8.0,11.0,3.0,10.0,22.0,45.5,12.0,5.0,0.0,5.0,7.0,29,9.0,1.0,61,633.0,49.0,165.0,353.0,117.0,22.0,633.0,15.0,10.0,66.7,5.0,33.3,366.0,1590.0,859.0,13.0,7.0,8.0,13.0,6.0,402.0,50.0,1,0,0,11.0,11.0,3.0,20.0,7.0,16.0,0.0,0.0,0.0,66.0,12.0,19.0,38.7,1.0
2022-08-21,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Köln,1,9,3,33.3,0.11,0.33,19.9,2.0,0,0,0.9,0.9,0.1,0.1,0.1,2.0,1.0,1.0,50.0,0,0.9,-0.1,0,0,0,0,4.0,9.0,44.4,17.0,2.0,41.2,36.6,6.0,33.3,32.2,18.0,1.0,5.6,0.0,6.3,342.0,469.0,72.9,6515.0,2666.0,136.0,162.0,84.0,153.0,190.0,80.5,47.0,86.0,54.7,0,0.8,1.3,6.0,26.0,5.0,0.0,36.0,469.0,410.0,56.0,13.0,1.0,6.0,17.0,30.0,5.0,3.0,1.0,0.0,342.0,3.0,15.0,18.0,12.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,10.0,2.0,10.0,2.0,7.0,12.0,58.3,5.0,11.0,0.0,11.0,6.0,20,32.0,0.0,54,589.0,61.0,223.0,226.0,151.0,23.0,589.0,27.0,13.0,48.1,12.0,44.4,280.0,1682.0,657.0,18.0,12.0,8.0,14.0,13.0,340.0,36.0,0,0,0,16.0,10.0,3.0,17.0,6.0,10.0,0.0,0.0,0.0,67.0,13.0,18.0,41.9,1.0
2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,W,4,3,Werder Bremen,4,10,6,60.0,0.4,0.67,12.7,0.0,0,0,1.8,1.8,0.18,2.2,2.2,4.0,3.0,1.0,50.0,0,1.5,-1.5,1,1,0,0,4.0,14.0,28.6,17.0,1.0,64.7,49.6,7.0,42.9,42.7,11.0,1.0,9.1,0.0,6.0,305.0,437.0,69.8,5125.0,2218.0,141.0,167.0,84.4,118.0,156.0,75.6,25.0,65.0,38.5,3,1.2,0.7,7.0,27.0,3.0,0.0,32.0,437.0,364.0,68.0,20.0,2.0,4.0,17.0,30.0,7.0,5.0,0.0,0.0,305.0,5.0,12.0,18.0,10.0,4.0,4.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,5.0,5.0,1.0,10.0,23.0,43.5,13.0,13.0,1.0,12.0,11.0,22,11.0,0.0,46,531.0,43.0,147.0,260.0,130.0,22.0,531.0,13.0,8.0,61.5,3.0,23.1,296.0,1261.0,576.0,18.0,7.0,8.0,20.0,10.0,300.0,31.0,2,0,0,18.0,16.0,5.0,17.0,11.0,6.0,0.0,1.0,0.0,54.0,11.0,13.0,45.8,1.0
2022-09-03,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,W,4,0,RB Leipzig,4,13,8,61.5,0.23,0.38,16.3,0.0,1,1,3.1,2.3,0.18,0.9,0.7,0.0,0.0,0.0,,1,0.0,0.0,0,0,0,0,3.0,9.0,33.3,19.0,5.0,42.1,39.1,8.0,12.5,29.0,10.0,1.0,10.0,3.0,15.1,359.0,448.0,80.1,6039.0,2692.0,156.0,176.0,88.6,150.0,167.0,89.8,36.0,67.0,53.7,2,1.3,1.6,9.0,28.0,10.0,3.0,39.0,448.0,403.0,41.0,10.0,3.0,2.0,10.0,18.0,4.0,3.0,0.0,0.0,359.0,4.0,8.0,23.0,16.0,1.0,0.0,2.0,2.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,20.0,9.0,7.0,10.0,3.0,10.0,15.0,66.7,5.0,7.0,2.0,5.0,18.0,38,17.0,0.0,44,583.0,58.0,188.0,254.0,148.0,39.0,582.0,19.0,4.0,21.1,14.0,73.7,356.0,1583.0,704.0,18.0,13.0,8.0,30.0,12.0,357.0,39.0,1,0,0,14.0,10.0,4.0,10.0,18.0,9.0,1.0,0.0,0.0,64.0,6.0,8.0,42.9,1.0
2022-09-07,18:45 (09:45),Champions Lg,Group stage,Wed,Home,L,0,3,pt Sporting CP,0,11,2,18.2,0.0,0.0,19.1,1.0,0,0,0.8,0.8,0.07,-0.8,-0.8,5.0,3.0,2.0,40.0,0,1.7,-1.3,0,0,0,0,2.0,10.0,20.0,23.0,2.0,39.1,36.3,4.0,25.0,30.8,5.0,0.0,0.0,2.0,20.6,377.0,482.0,78.2,6121.0,2255.0,189.0,222.0,85.1,151.0,182.0,83.0,26.0,51.0,51.0,0,0.2,0.5,4.0,30.0,6.0,0.0,39.0,482.0,432.0,45.0,6.0,1.0,4.0,14.0,30.0,1.0,1.0,0.0,0.0,377.0,5.0,9.0,14.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,8.0,13.0,3.0,9.0,17.0,52.9,8.0,14.0,0.0,14.0,16.0,40,7.0,0.0,45,592.0,38.0,148.0,330.0,117.0,17.0,592.0,13.0,4.0,30.8,9.0,69.2,314.0,1732.0,854.0,23.0,10.0,4.0,18.0,16.0,374.0,38.0,2,0,0,11.0,7.0,5.0,14.0,16.0,14.0,0.0,0.0,0.0,68.0,12.0,5.0,70.6,2.0
2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0,1,Wolfsburg,0,10,0,0.0,0.0,,17.1,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,3.0,1.0,2.0,66.7,0,0.5,-0.5,0,0,0,0,2.0,6.0,33.3,19.0,4.0,15.8,22.3,5.0,60.0,55.8,11.0,0.0,0.0,1.0,21.5,458.0,576.0,79.5,8371.0,2592.0,177.0,211.0,83.9,231.0,256.0,90.2,40.0,77.0,51.9,0,0.5,0.7,6.0,24.0,10.0,3.0,39.0,576.0,520.0,53.0,14.0,1.0,4.0,26.0,22.0,10.0,7.0,0.0,0.0,458.0,3.0,12.0,18.0,11.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,3.0,4.0,3.0,4.0,6.0,66.7,2.0,7.0,0.0,7.0,5.0,15,12.0,0.0,62,653.0,42.0,163.0,357.0,144.0,24.0,653.0,11.0,4.0,36.4,3.0,27.3,466.0,2054.0,1131.0,17.0,15.0,1.0,10.0,7.0,453.0,37.0,2,0,0,16.0,13.0,3.0,26.0,5.0,8.0,0.0,0.0,0.0,56.0,12.0,9.0,57.1,1.0
2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,1,0,fr Marseille,1,14,7,50.0,0.07,0.14,18.1,1.0,0,0,1.2,1.2,0.09,-0.2,-0.2,4.0,0.0,4.0,100.0,1,0.7,0.7,0,0,0,0,7.0,19.0,36.8,26.0,5.0,61.5,44.5,7.0,42.9,35.9,10.0,1.0,10.0,0.0,5.0,282.0,395.0,71.4,4690.0,2035.0,146.0,173.0,84.4,108.0,144.0,75.0,21.0,60.0,35.0,0,0.7,0.2,9.0,13.0,0.0,0.0,24.0,395.0,350.0,43.0,16.0,0.0,2.0,6.0,17.0,2.0,1.0,1.0,0.0,282.0,2.0,6.0,26.0,22.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,12.0,8.0,1.0,15.0,27.0,55.6,12.0,9.0,3.0,6.0,6.0,27,16.0,0.0,39,518.0,60.0,220.0,239.0,64.0,16.0,518.0,23.0,9.0,39.1,11.0,47.8,340.0,1873.0,931.0,16.0,13.0,7.0,22.0,12.0,278.0,24.0,1,0,0,16.0,12.0,2.0,6.0,6.0,9.0,0.0,0.0,0.0,68.0,14.0,9.0,60.9,2.0
2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,3,1,Stuttgart,3,13,8,61.5,0.23,0.38,18.6,2.0,0,0,1.0,1.0,0.08,2.0,2.0,2.0,1.0,1.0,50.0,0,0.2,-0.8,0,0,0,0,2.0,16.0,12.5,23.0,6.0,47.8,35.9,10.0,50.0,42.0,22.0,0.0,0.0,0.0,7.7,340.0,445.0,76.4,5575.0,2333.0,162.0,188.0,86.2,138.0,170.0,81.2,26.0,58.0,44.8,1,0.7,0.7,7.0,21.0,3.0,1.0,26.0,445.0,396.0,48.0,11.0,0.0,0.0,9.0,21.0,4.0,1.0,3.0,0.0,340.0,1.0,6.0,24.0,19.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,18.0,12.0,13.0,5.0,0.0,8.0,18.0,44.4,10.0,15.0,3.0,12.0,3.0,21,33.0,0.0,44,582.0,92.0,247.0,230.0,110.0,19.0,582.0,28.0,9.0,32.1,17.0,60.7,321.0,1583.0,791.0,18.0,7.0,7.0,11.0,9.0,339.0,26.0,0,0,0,11.0,9.0,1.0,9.0,3.0,12.0,0.0,0.0,0.0,53.0,6.0,18.0,25.0,1.0
2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2,0,Union Berlin,2,13,4,30.8,0.15,0.5,23.0,1.0,0,0,0.8,0.8,0.07,1.2,1.2,5.0,0.0,5.0,100.0,1,1.4,1.4,0,0,0,0,2.0,11.0,18.2,16.0,2.0,37.5,33.4,9.0,55.6,42.6,23.0,2.0,8.7,0.0,7.5,381.0,492.0,77.4,6870.0,2323.0,163.0,189.0,86.2,174.0,204.0,85.3,38.0,70.0,54.3,1,0.5,0.7,6.0,16.0,2.0,0.0,23.0,492.0,440.0,52.0,12.0,1.0,1.0,7.0,26.0,4.0,2.0,1.0,0.0,381.0,0.0,14.0,22.0,12.0,0.0,6.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,8.0,11.0,3.0,0.0,7.0,9.0,77.8,2.0,16.0,5.0,11.0,14.0,28,30.0,0.0,47,641.0,83.0,255.0,319.0,81.0,22.0,641.0,36.0,21.0,58.3,13.0,36.1,335.0,1730.0,925.0,13.0,15.0,6.0,16.0,9.0,380.0,23.0,3,1,1,4.0,11.0,0.0,7.0,14.0,8.0,0.0,0.0,0.0,66.0,17.0,17.0,50.0,1.0
