Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,3,11,7,63.6,0.27,0.43,19.0,0.0,0,0,1.4,1.4,0.13,1.6,1.6,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,7.0,13.0,53.8,19.0,4.0,52.6,40.9,6.0,50.0,43.2,11.0,2.0,18.2,1.0,12.4,380.0,475.0,80.0,6130.0,2150.0,191.0,214.0,89.3,144.0,177.0,81.4,28.0,52.0,53.8,3,1.3,1.5,8.0,31.0,8.0,3.0,26.0,475.0,438.0,35.0,10.0,1.0,3.0,15,12.0,4.0,3.0,0.0,0.0,380.0,2.0,8.0,18.0,12.0,1.0,4.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,15.0,11,5.0,6.0,4.0,8.0,17.0,47.1,9.0,14.0,4.0,10.0,8,23,15.0,0.0,44,574.0,47.0,147.0,289.0,146.0,14.0,574.0,22.0,11.0,50.0,9.0,40.9,307.0,1965.0,1104.0,29.0,21.0,3.0,9.0,7.0,375.0,26.0,1,0,0,13,9,2,15,8,11,0.0,0.0,0,61.0,12.0,13.0,48.0,1
2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,3,24,11,45.8,0.13,0.27,15.8,0.0,0,0,2.7,2.7,0.11,0.3,0.3,2,0,2,100.0,1,0.2,0.2,0,0,0,0,4.0,11.0,36.4,26.0,5.0,38.5,32.2,10.0,20.0,21.8,15.0,1.0,6.7,1.0,8.8,649.0,740.0,87.7,9491.0,3417.0,364.0,385.0,94.5,197.0,222.0,88.7,43.0,63.0,68.3,3,2.4,3.1,22.0,43.0,21.0,0.0,54.0,740.0,693.0,45.0,8.0,4.0,4.0,10,18.0,8.0,2.0,1.0,0.0,649.0,2.0,7.0,43.0,39.0,2.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,9.0,9.0,100.0,0.0,9.0,2.0,7.0,9,25,11.0,0.0,60,854.0,58.0,197.0,437.0,232.0,46.0,854.0,16.0,7.0,43.8,7.0,43.8,435.0,2587.0,1487.0,31.0,24.0,7.0,21.0,13.0,644.0,53.0,3,0,0,8,6,2,10,9,11,0.0,0.0,0,64.0,5.0,7.0,41.7,1
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,5,25,13,52.0,0.2,0.38,17.3,1.0,0,0,2.8,2.8,0.11,2.2,2.2,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,0.0,1.0,0.0,20.0,5.0,5.0,20.4,1.0,0.0,12.0,4.0,0.0,0.0,3.0,30.3,727.0,812.0,89.5,10511.0,3807.0,443.0,472.0,93.9,236.0,257.0,91.8,27.0,36.0,75.0,5,2.4,2.8,20.0,79.0,17.0,2.0,86.0,812.0,775.0,36.0,11.0,1.0,3.0,14,18.0,4.0,1.0,3.0,0.0,727.0,1.0,15.0,46.0,38.0,0.0,5.0,2.0,1.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,7.0,4,2.0,4.0,1.0,5.0,7.0,71.4,2.0,10.0,4.0,6.0,4,11,3.0,0.0,72,913.0,26.0,104.0,474.0,345.0,35.0,913.0,26.0,15.0,57.7,8.0,30.8,577.0,2980.0,1725.0,27.0,30.0,6.0,20.0,14.0,722.0,83.0,3,0,0,8,10,1,14,4,4,0.0,0.0,0,66.0,7.0,6.0,53.8,1
2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,2,12,4,33.3,0.08,0.25,20.7,1.0,1,1,2.1,1.3,0.11,-0.1,-0.3,9,2,7,77.8,0,3.0,1.0,0,0,0,0,3.0,8.0,37.5,21.0,6.0,28.6,30.6,7.0,28.6,32.1,18.0,2.0,11.1,1.0,14.2,512.0,601.0,85.2,8322.0,3157.0,275.0,296.0,92.9,192.0,213.0,90.1,36.0,55.0,65.5,0,1.1,0.9,10.0,42.0,12.0,0.0,50.0,601.0,561.0,37.0,5.0,1.0,2.0,9,18.0,4.0,0.0,3.0,0.0,512.0,3.0,19.0,23.0,14.0,1.0,5.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,23.0,12,12.0,8.0,3.0,9.0,20.0,45.0,11.0,9.0,2.0,7.0,21,44,19.0,0.0,49,744.0,79.0,246.0,355.0,151.0,28.0,743.0,33.0,16.0,48.5,17.0,51.5,465.0,2191.0,1065.0,18.0,5.0,4.0,21.0,6.0,511.0,50.0,3,0,0,6,6,3,9,21,12,1.0,0.0,0,63.0,7.0,13.0,35.0,1
2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,4,22,10,45.5,0.18,0.4,20.2,0.0,0,0,3.0,3.0,0.14,1.0,1.0,6,0,6,100.0,1,0.9,0.9,0,0,0,0,2.0,4.0,50.0,29.0,5.0,10.3,23.2,6.0,16.7,27.7,11.0,0.0,0.0,0.0,13.5,634.0,688.0,92.2,9813.0,3162.0,319.0,335.0,95.2,242.0,255.0,94.9,38.0,48.0,79.2,4,2.7,2.0,18.0,38.0,12.0,0.0,51.0,688.0,650.0,34.0,9.0,2.0,7.0,11,12.0,6.0,0.0,4.0,0.0,634.0,4.0,4.0,40.0,32.0,2.0,2.0,3.0,0.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,22.0,11,13.0,6.0,3.0,11.0,25.0,44.0,14.0,11.0,2.0,9.0,9,31,13.0,1.0,56,794.0,76.0,207.0,424.0,173.0,34.0,794.0,16.0,8.0,50.0,6.0,37.5,420.0,2317.0,1407.0,25.0,16.0,8.0,16.0,4.0,633.0,51.0,1,0,0,10,8,4,11,9,11,0.0,0.0,0,50.0,4.0,1.0,80.0,2
2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,4,20,9,45.0,0.15,0.33,16.7,0.0,1,1,3.4,2.7,0.14,0.6,0.3,2,1,1,50.0,0,1.2,0.2,0,0,0,0,2.0,2.0,100.0,25.0,5.0,8.0,24.5,2.0,0.0,22.0,7.0,2.0,28.6,0.0,10.0,779.0,865.0,90.1,12531.0,3803.0,421.0,447.0,94.2,269.0,293.0,91.8,65.0,77.0,84.4,3,2.5,1.6,16.0,71.0,15.0,1.0,64.0,865.0,822.0,41.0,9.0,3.0,7.0,15,21.0,7.0,1.0,3.0,0.0,779.0,2.0,14.0,38.0,25.0,0.0,6.0,5.0,1.0,1.0,8.0,5.0,0.0,1.0,1.0,1.0,0.0,14.0,10,3.0,7.0,4.0,6.0,10.0,60.0,4.0,11.0,0.0,11.0,4,18,12.0,0.0,71,964.0,40.0,177.0,515.0,276.0,38.0,963.0,23.0,14.0,60.9,6.0,26.1,661.0,3172.0,1668.0,31.0,23.0,11.0,17.0,10.0,776.0,64.0,1,0,0,9,10,2,15,4,10,1.0,0.0,0,57.0,14.0,6.0,70.0,1
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,2,6,3,50.0,0.33,0.67,20.6,2.0,0,0,1.1,1.1,0.19,0.9,0.9,3,0,3,100.0,1,0.5,0.5,0,0,0,0,2.0,6.0,33.3,24.0,6.0,16.7,28.2,7.0,71.4,41.6,13.0,2.0,15.4,1.0,14.3,552.0,637.0,86.7,8740.0,2900.0,314.0,339.0,92.6,203.0,222.0,91.4,33.0,53.0,62.3,1,0.9,0.8,3.0,26.0,4.0,0.0,31.0,637.0,598.0,38.0,12.0,4.0,1.0,8,17.0,1.0,0.0,1.0,0.0,552.0,1.0,12.0,10.0,6.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,8,8.0,6.0,1.0,6.0,16.0,37.5,10.0,16.0,3.0,13.0,7,22,24.0,1.0,55,752.0,57.0,205.0,447.0,107.0,17.0,752.0,20.0,12.0,60.0,7.0,35.0,419.0,2028.0,1070.0,17.0,12.0,5.0,20.0,5.0,546.0,30.0,1,0,0,11,12,1,8,7,8,0.0,0.0,0,52.0,18.0,6.0,75.0,1
2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,2,12,3,25.0,0.17,0.67,16.4,1.0,0,0,1.7,1.7,0.14,0.3,0.3,5,1,4,80.0,0,1.7,0.7,0,0,0,0,4.0,11.0,36.4,48.0,2.0,18.8,27.9,7.0,42.9,35.1,9.0,0.0,0.0,1.0,20.0,660.0,744.0,88.7,10021.0,2937.0,356.0,383.0,93.0,238.0,260.0,91.5,38.0,56.0,67.9,2,1.5,1.3,9.0,31.0,10.0,1.0,41.0,744.0,704.0,39.0,12.0,3.0,2.0,7,15.0,3.0,1.0,1.0,0.0,660.0,1.0,8.0,21.0,19.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,7,6.0,5.0,2.0,6.0,17.0,35.3,11.0,10.0,3.0,7.0,8,21,16.0,0.0,62,847.0,83.0,225.0,442.0,185.0,21.0,847.0,14.0,5.0,35.7,8.0,57.1,547.0,3188.0,1444.0,22.0,35.0,4.0,16.0,2.0,649.0,41.0,0,0,0,6,11,1,7,8,7,0.0,0.0,0,50.0,6.0,11.0,35.3,2
2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,3,23,10,43.5,0.13,0.3,16.6,0.0,0,0,3.2,3.2,0.14,-0.2,-0.2,3,0,3,100.0,1,1.1,1.1,0,0,0,0,1.0,1.0,100.0,24.0,2.0,0.0,18.1,5.0,20.0,31.4,11.0,0.0,0.0,1.0,27.0,705.0,775.0,91.0,10832.0,3539.0,388.0,413.0,93.9,242.0,260.0,93.1,46.0,56.0,82.1,3,3.1,2.8,21.0,44.0,14.0,0.0,53.0,775.0,732.0,41.0,7.0,3.0,4.0,14,17.0,11.0,5.0,2.0,1.0,705.0,2.0,10.0,41.0,28.0,5.0,6.0,1.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0,4,1.0,4.0,2.0,3.0,10.0,30.0,7.0,17.0,1.0,16.0,7,14,8.0,0.0,64,886.0,39.0,188.0,489.0,213.0,41.0,886.0,23.0,13.0,56.5,9.0,39.1,481.0,2424.0,1333.0,28.0,18.0,7.0,18.0,7.0,702.0,52.0,3,0,0,8,7,2,14,7,4,0.0,0.0,0,54.0,4.0,10.0,28.6,1
2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,W,2,1,Wolfsburg,2,13,7,53.8,0.15,0.29,14.1,0.0,0,0,1.9,1.9,0.15,0.1,0.1,6,1,5,83.3,0,1.7,0.7,0,0,0,0,4.0,9.0,44.4,37.0,8.0,21.6,30.6,6.0,33.3,32.7,10.0,1.0,10.0,2.0,14.5,564.0,656.0,86.0,8868.0,3236.0,301.0,334.0,90.1,202.0,224.0,90.2,45.0,64.0,70.3,2,1.9,2.2,12.0,30.0,7.0,1.0,45.0,656.0,610.0,44.0,16.0,7.0,3.0,10,17.0,3.0,2.0,0.0,0.0,564.0,2.0,10.0,26.0,21.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,5,5.0,3.0,1.0,5.0,10.0,50.0,5.0,8.0,3.0,5.0,8,17,13.0,1.0,58,758.0,69.0,221.0,379.0,165.0,24.0,758.0,21.0,10.0,47.6,9.0,42.9,409.0,2025.0,1108.0,22.0,15.0,8.0,15.0,2.0,559.0,45.0,5,0,0,14,14,2,10,8,5,0.0,0.0,0,55.0,7.0,7.0,50.0,1
