Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Köln,1,13,2,15.4,0.08,0.5,12.5,0.0,0,0,1.8,1.8,0.16,-0.8,-0.8,4,0,4,100.0,1,1.5,1.5,0,0,0,0,1.0,1.0,100.0,27.0,5.0,0.0,18.5,7.0,14.3,23.4,12.0,0.0,0.0,0.0,12.0,649.0,746.0,87.0,11871.0,3663.0,262.0,288.0,91.0,307.0,338.0,90.8,65.0,81.0,80.2,1,2.0,0.9,11.0,48.0,4.0,1.0,68.0,746.0,698.0,47.0,13.0,1.0,5.0,18,20.0,6.0,1.0,5.0,0.0,649.0,1.0,14.0,20.0,7.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,8,4.0,6.0,1.0,5.0,12.0,41.7,7.0,10.0,2.0,8.0,10,21,16.0,0.0,66,862.0,65.0,239.0,435.0,197.0,22.0,862.0,25.0,12.0,48.0,13.0,52.0,628.0,3099.0,1451.0,16.0,21.0,6.0,22.0,7.0,645.0,68.0,1,0,0,13,11,1,18,10,8,0.0,0.0,0,58.0,15.0,14.0,51.7,1
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1,1,Bochum,1,14,3,21.4,0.07,0.33,15.4,0.0,0,0,1.3,1.3,0.09,-0.3,-0.3,7,1,6,85.7,0,1.5,0.5,0,0,0,0,8.0,18.0,44.4,62.0,12.0,22.6,29.7,7.0,57.1,44.4,12.0,1.0,8.3,1.0,14.5,439.0,578.0,76.0,8525.0,3369.0,157.0,192.0,81.8,191.0,223.0,85.7,71.0,117.0,60.7,1,1.2,1.2,13.0,31.0,12.0,3.0,39.0,578.0,510.0,68.0,27.0,1.0,6.0,17,28.0,4.0,2.0,1.0,0.0,439.0,0.0,9.0,27.0,22.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10,10.0,3.0,2.0,5.0,11.0,45.5,6.0,9.0,5.0,4.0,4,19,14.0,0.0,64,685.0,90.0,266.0,257.0,169.0,27.0,685.0,19.0,4.0,21.1,13.0,68.4,333.0,1919.0,904.0,14.0,11.0,4.0,21.0,7.0,435.0,39.0,1,0,0,7,19,0,17,4,10,0.0,0.0,0,56.0,31.0,22.0,58.5,1
2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,D,2,2,Heidenheim,2,18,7,38.9,0.06,0.14,18.3,2.0,1,1,3.4,2.6,0.14,-1.4,-1.6,6,2,4,83.3,0,1.5,-0.5,1,1,0,0,4.0,8.0,50.0,28.0,3.0,25.0,30.1,8.0,12.5,24.3,10.0,1.0,10.0,0.0,3.7,455.0,560.0,81.3,8460.0,3191.0,184.0,216.0,85.2,199.0,226.0,88.1,59.0,88.0,67.0,1,2.0,2.5,13.0,31.0,10.0,1.0,51.0,560.0,503.0,55.0,22.0,3.0,10.0,21,19.0,3.0,1.0,2.0,0.0,455.0,2.0,14.0,33.0,26.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,6.0,0.0,4.0,15.0,26.7,11.0,18.0,2.0,16.0,7,19,18.0,0.0,62,686.0,61.0,213.0,315.0,162.0,32.0,685.0,15.0,11.0,73.3,4.0,26.7,296.0,1909.0,1036.0,25.0,10.0,8.0,14.0,9.0,451.0,51.0,3,0,0,9,20,2,21,7,10,0.0,1.0,0,55.0,9.0,11.0,45.0,1
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,4,2,Freiburg,4,15,7,46.7,0.27,0.57,13.8,0.0,0,0,2.3,2.3,0.19,1.7,1.7,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,5.0,11.0,45.5,44.0,5.0,20.5,27.4,11.0,18.2,27.8,13.0,1.0,7.7,2.0,21.3,375.0,460.0,81.5,6853.0,2590.0,160.0,181.0,88.4,176.0,198.0,88.9,34.0,61.0,55.7,4,1.4,1.3,12.0,27.0,10.0,2.0,30.0,460.0,410.0,48.0,15.0,2.0,4.0,14,11.0,8.0,1.0,5.0,1.0,375.0,2.0,6.0,27.0,19.0,3.0,1.0,2.0,2.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,10.0,7,7.0,2.0,1.0,8.0,16.0,50.0,8.0,10.0,5.0,5.0,7,17,13.0,1.0,50,553.0,67.0,215.0,222.0,120.0,27.0,553.0,10.0,4.0,40.0,3.0,30.0,330.0,1609.0,861.0,16.0,10.0,4.0,19.0,11.0,364.0,29.0,3,0,0,16,12,2,14,7,7,0.0,0.0,0,50.0,19.0,19.0,50.0,1
2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,0,14,1,7.1,0.0,0.0,19.0,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,3,2,1,66.7,0,2.0,0.0,1,1,0,0,5.0,10.0,50.0,19.0,5.0,36.8,34.4,9.0,44.4,38.3,14.0,0.0,0.0,0.0,,273.0,359.0,76.0,5092.0,2385.0,126.0,153.0,82.4,100.0,120.0,83.3,39.0,59.0,66.1,0,0.6,0.4,13.0,19.0,1.0,0.0,24.0,359.0,304.0,52.0,10.0,0.0,6.0,13,23.0,7.0,2.0,5.0,0.0,273.0,3.0,13.0,24.0,16.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10,11.0,6.0,0.0,9.0,23.0,39.1,14.0,17.0,4.0,13.0,10,27,21.0,0.0,33,501.0,73.0,216.0,197.0,100.0,12.0,501.0,32.0,14.0,43.8,18.0,56.3,307.0,1765.0,620.0,12.0,10.0,3.0,12.0,3.0,270.0,24.0,3,0,0,10,8,3,13,10,10,0.0,1.0,0,59.0,10.0,3.0,76.9,2
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,1,0,Wolfsburg,1,18,4,22.2,0.06,0.25,19.4,2.0,0,0,1.7,1.7,0.09,-0.7,-0.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,4.0,6.0,66.7,17.0,2.0,29.4,31.2,8.0,12.5,27.8,12.0,0.0,0.0,1.0,14.5,559.0,652.0,85.7,9763.0,3009.0,247.0,266.0,92.9,253.0,277.0,91.3,46.0,74.0,62.2,1,1.2,1.7,13.0,39.0,10.0,0.0,54.0,652.0,604.0,46.0,14.0,3.0,7.0,16,18.0,5.0,3.0,1.0,0.0,559.0,2.0,12.0,33.0,24.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,15,6.0,13.0,3.0,14.0,22.0,63.6,8.0,14.0,2.0,12.0,7,29,15.0,0.0,63,769.0,41.0,181.0,385.0,206.0,31.0,769.0,12.0,9.0,75.0,3.0,25.0,472.0,2509.0,1349.0,23.0,23.0,8.0,18.0,9.0,554.0,53.0,0,0,0,9,14,2,16,7,15,0.0,0.0,0,60.0,7.0,5.0,58.3,1
2023-09-29,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Away,W,3,1,Hoffenheim,3,6,5,83.3,0.5,0.6,13.2,0.0,0,0,1.6,1.6,0.27,1.4,1.4,3,1,2,100.0,0,1.4,0.4,1,1,0,0,7.0,21.0,33.3,33.0,3.0,39.4,36.6,10.0,80.0,55.2,16.0,0.0,0.0,2.0,16.0,320.0,425.0,75.3,6142.0,2041.0,126.0,149.0,84.6,143.0,172.0,83.1,40.0,74.0,54.1,1,1.0,0.2,4.0,20.0,3.0,1.0,20.0,425.0,379.0,44.0,14.0,2.0,5.0,17,15.0,3.0,3.0,0.0,0.0,320.0,2.0,6.0,9.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,23.0,16,17.0,5.0,1.0,11.0,16.0,68.8,5.0,13.0,4.0,9.0,8,31,26.0,1.0,47,537.0,70.0,218.0,204.0,122.0,12.0,537.0,16.0,9.0,56.3,5.0,31.3,266.0,1698.0,1036.0,21.0,15.0,4.0,12.0,9.0,316.0,19.0,5,1,1,16,14,2,17,8,16,0.0,1.0,0,57.0,10.0,18.0,35.7,1
2023-10-04,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,it Milan,0,18,3,16.7,0.0,0.0,20.2,2.0,0,0,1.0,1.0,0.05,-1.0,-1.0,2,0,2,100.0,1,1.1,1.1,0,0,0,0,5.0,10.0,50.0,39.0,1.0,15.4,23.5,9.0,44.4,37.2,10.0,0.0,0.0,0.0,11.0,466.0,554.0,84.1,8047.0,2858.0,225.0,248.0,90.7,187.0,211.0,88.6,44.0,69.0,63.8,0,0.7,0.6,14.0,21.0,8.0,2.0,41.0,554.0,506.0,47.0,14.0,0.0,5.0,16,17.0,6.0,5.0,1.0,0.0,466.0,1.0,10.0,31.0,22.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,4.0,11.0,4.0,9.0,19.0,47.4,10.0,15.0,5.0,10.0,9,28,13.0,0.0,57,666.0,55.0,177.0,323.0,168.0,20.0,666.0,12.0,4.0,33.3,6.0,50.0,425.0,2257.0,1175.0,29.0,26.0,3.0,12.0,13.0,458.0,40.0,3,0,0,9,15,1,16,9,11,0.0,0.0,0,62.0,13.0,12.0,52.0,2
2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,4,2,Union Berlin,4,14,7,50.0,0.29,0.57,16.6,0.0,0,0,1.6,1.6,0.12,2.4,2.4,5,2,3,80.0,0,1.5,-0.5,1,1,0,0,7.0,14.0,50.0,32.0,2.0,21.9,29.3,8.0,87.5,55.9,16.0,0.0,0.0,0.0,8.8,559.0,659.0,84.8,10724.0,3526.0,200.0,232.0,86.2,283.0,301.0,94.0,68.0,99.0,68.7,2,1.2,0.9,8.0,45.0,5.0,1.0,46.0,659.0,606.0,52.0,19.0,0.0,7.0,23,18.0,4.0,1.0,3.0,0.0,559.0,1.0,8.0,20.0,14.0,3.0,0.0,2.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,14.0,11,7.0,7.0,0.0,5.0,8.0,62.5,3.0,12.0,2.0,10.0,8,22,19.0,0.0,66,773.0,60.0,212.0,414.0,150.0,16.0,773.0,19.0,5.0,26.3,13.0,68.4,380.0,2136.0,1147.0,21.0,21.0,6.0,13.0,10.0,555.0,46.0,1,0,0,7,15,1,23,8,11,0.0,1.0,0,61.0,11.0,13.0,45.8,1
2023-10-20,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,1,0,Werder Bremen,1,23,5,21.7,0.04,0.2,16.2,0.0,0,0,2.6,2.6,0.12,-1.6,-1.6,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4.0,6.0,66.7,29.0,5.0,20.7,30.3,3.0,0.0,34.3,11.0,0.0,0.0,0.0,16.0,524.0,616.0,85.1,9295.0,2941.0,228.0,259.0,88.0,215.0,229.0,93.9,59.0,93.0,63.4,1,2.5,2.2,18.0,50.0,15.0,2.0,57.0,616.0,575.0,41.0,10.0,5.0,7.0,22,17.0,10.0,2.0,6.0,0.0,524.0,0.0,10.0,43.0,30.0,5.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,9,5.0,7.0,0.0,6.0,12.0,50.0,6.0,8.0,1.0,7.0,7,19,9.0,1.0,57,725.0,34.0,132.0,376.0,222.0,42.0,725.0,23.0,10.0,43.5,8.0,34.8,498.0,2870.0,1645.0,34.0,28.0,9.0,14.0,12.0,522.0,57.0,1,0,0,5,10,0,22,7,9,0.0,0.0,0,65.0,11.0,15.0,42.3,1
