Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-20,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,4,1,Mainz 05,4,11,6,54.5,0.36,0.67,14.8,2.0,0,0,1.9,1.9,0.17,2.1,2.1,3,1,0,66.7,0,2.5,1.5,2,0,2,0,7.0,27.0,25.9,39.0,3.0,56.4,41.5,7.0,71.4,54.7,12.0,2.0,16.7,2.0,14.0,305.0,417.0,73.1,6325.0,2567.0,97.0,125.0,77.6,162.0,190.0,85.3,43.0,90.0,47.8,4,1.6,1.1,7.0,19.0,7.0,4.0,27.0,417.0,367.0,49.0,14.0,1.0,0.0,15,23.0,3.0,0.0,2.0,0.0,305.0,1.0,7.0,21.0,12.0,3.0,1.0,2.0,2.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,7.0,3,3.0,3.0,1.0,2.0,3.0,66.7,1.0,11.0,4.0,7.0,4,11,21.0,0.0,47,511.0,69.0,227.0,205.0,82.0,17.0,511.0,12.0,3.0,25.0,7.0,58.3,303.0,1129.0,514.0,5.0,6.0,3.0,11.0,6.0,301.0,26.0,1,0,0,15,16,1,15,4,3,0.0,2.0,0,45.0,34.0,25.0,57.6,1
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,W,4,1,Darmstadt 98,4,13,6,46.2,0.31,0.67,15.3,0.0,0,0,1.7,1.7,0.13,2.3,2.3,6,1,5,83.3,0,1.8,0.8,0,0,0,0,4.0,32.0,12.5,28.0,2.0,71.4,46.3,14.0,85.7,58.4,32.0,3.0,9.4,2.0,14.7,148.0,258.0,57.4,2934.0,1495.0,54.0,77.0,70.1,67.0,87.0,77.0,24.0,74.0,32.4,3,0.8,1.1,11.0,10.0,7.0,3.0,16.0,258.0,202.0,56.0,15.0,1.0,0.0,13,20.0,5.0,3.0,2.0,0.0,148.0,0.0,13.0,22.0,12.0,4.0,2.0,2.0,2.0,0.0,8.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,11,5.0,6.0,4.0,9.0,19.0,47.4,10.0,11.0,3.0,8.0,9,24,32.0,0.0,27,371.0,71.0,163.0,126.0,84.0,21.0,371.0,8.0,3.0,37.5,4.0,50.0,115.0,655.0,349.0,3.0,2.0,0.0,19.0,2.0,146.0,16.0,2,1,1,12,15,0,13,9,11,0.0,0.0,0,46.0,19.0,16.0,54.3,1
2023-09-03,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Home,L,0,3,RB Leipzig,0,3,1,33.3,0.0,0.0,21.7,1.0,0,0,0.3,0.3,0.11,-0.3,-0.3,7,3,4,57.1,0,1.9,-1.1,0,0,0,0,5.0,14.0,35.7,23.0,3.0,39.1,32.9,11.0,45.5,35.4,12.0,1.0,8.3,1.0,17.5,264.0,379.0,69.7,4668.0,2094.0,123.0,156.0,78.8,100.0,135.0,74.1,29.0,59.0,49.2,0,0.3,0.3,2.0,21.0,6.0,3.0,26.0,379.0,328.0,50.0,10.0,1.0,1.0,15,22.0,3.0,2.0,1.0,0.0,264.0,1.0,12.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,6.0,6.0,5.0,6.0,16.0,37.5,10.0,11.0,3.0,8.0,9,26,19.0,0.0,36,484.0,58.0,185.0,208.0,98.0,15.0,484.0,22.0,7.0,31.8,12.0,54.5,181.0,978.0,514.0,7.0,7.0,1.0,12.0,14.0,264.0,26.0,3,1,0,16,9,1,15,9,8,0.0,0.0,0,55.0,12.0,22.0,35.3,1
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,1,2,Wolfsburg,1,19,6,31.6,0.05,0.17,14.8,0.0,0,0,1.1,1.1,0.06,-0.1,-0.1,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,2.0,7.0,28.6,32.0,4.0,21.9,27.7,7.0,0.0,19.1,9.0,1.0,11.1,2.0,12.8,474.0,588.0,80.6,9813.0,3401.0,137.0,164.0,83.5,275.0,306.0,89.9,59.0,96.0,61.5,1,0.8,1.7,13.0,50.0,9.0,6.0,49.0,588.0,539.0,48.0,9.0,1.0,5.0,29,22.0,7.0,3.0,4.0,0.0,474.0,1.0,12.0,36.0,29.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,3.0,6.0,5.0,11.0,16.0,68.8,5.0,11.0,2.0,9.0,8,22,13.0,0.0,56,706.0,40.0,175.0,350.0,187.0,28.0,706.0,10.0,4.0,40.0,6.0,60.0,423.0,2194.0,1119.0,12.0,14.0,4.0,15.0,10.0,471.0,48.0,0,0,0,7,7,1,29,8,8,0.0,0.0,0,59.0,22.0,24.0,47.8,1
2023-09-20,18:45 (09:45),Champions Lg,Group stage,Wed,Away,L,0,1,es Real Madrid,0,4,0,0.0,0.0,,12.9,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,7,1,6,85.7,0,2.6,1.6,0,0,0,0,5.0,24.0,20.8,30.0,6.0,50.0,39.8,15.0,60.0,49.0,29.0,2.0,6.9,0.0,6.3,194.0,289.0,67.1,3620.0,1614.0,95.0,112.0,84.8,74.0,98.0,75.5,25.0,71.0,35.2,0,0.2,0.4,3.0,15.0,4.0,1.0,12.0,289.0,249.0,39.0,12.0,0.0,2.0,10,9.0,1.0,0.0,0.0,1.0,194.0,1.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6,10.0,4.0,1.0,7.0,13.0,53.8,6.0,16.0,9.0,7.0,9,24,37.0,0.0,25,408.0,99.0,208.0,136.0,67.0,13.0,408.0,6.0,2.0,33.3,3.0,50.0,207.0,1012.0,520.0,8.0,7.0,2.0,11.0,3.0,194.0,12.0,1,0,0,11,8,1,10,9,6,0.0,0.0,0,36.0,8.0,16.0,33.3,2
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0,2,Hoffenheim,0,22,5,22.7,0.0,0.0,15.2,0.0,0,0,1.6,1.6,0.07,-1.6,-1.6,3,2,1,66.7,0,2.1,0.1,1,1,0,0,4.0,14.0,28.6,30.0,3.0,36.7,29.9,5.0,60.0,53.4,10.0,1.0,10.0,4.0,18.1,418.0,558.0,74.9,7636.0,2922.0,176.0,199.0,88.4,190.0,231.0,82.3,47.0,95.0,49.5,0,0.9,1.0,17.0,44.0,5.0,3.0,51.0,558.0,487.0,71.0,14.0,1.0,2.0,37,38.0,11.0,3.0,6.0,0.0,418.0,0.0,16.0,39.0,23.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,8.0,8.0,3.0,11.0,18.0,61.1,7.0,15.0,5.0,10.0,8,27,15.0,0.0,57,685.0,36.0,173.0,301.0,216.0,33.0,685.0,16.0,9.0,56.3,7.0,43.8,358.0,1745.0,949.0,22.0,12.0,8.0,13.0,5.0,412.0,51.0,1,0,0,11,12,0,37,8,14,0.0,1.0,0,59.0,21.0,17.0,55.3,1
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Heidenheim,0,20,8,40.0,0.0,0.0,16.9,2.0,0,0,2.2,2.2,0.11,-2.2,-2.2,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,3.0,12.0,25.0,39.0,8.0,25.6,35.6,5.0,40.0,39.4,13.0,2.0,15.4,1.0,14.2,360.0,468.0,76.9,6966.0,2959.0,137.0,161.0,85.1,166.0,198.0,83.8,48.0,90.0,53.3,0,1.4,1.3,14.0,33.0,9.0,2.0,58.0,468.0,431.0,36.0,10.0,1.0,0.0,30,12.0,7.0,4.0,3.0,0.0,360.0,1.0,5.0,32.0,22.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,6.0,5.0,2.0,4.0,8.0,50.0,4.0,11.0,0.0,11.0,17,30,21.0,0.0,50,602.0,49.0,176.0,281.0,151.0,26.0,602.0,12.0,6.0,50.0,6.0,50.0,331.0,1980.0,1231.0,19.0,16.0,2.0,17.0,12.0,357.0,58.0,2,0,0,14,11,1,30,17,10,0.0,0.0,0,64.0,21.0,18.0,53.8,1
2023-10-03,18:45 (09:45),Champions Lg,Group stage,Tue,Home,L,2,3,pt Braga,2,13,5,38.5,0.15,0.4,16.7,1.0,0,0,2.0,2.0,0.15,0.0,0.0,6,3,3,50.0,0,1.8,-1.2,0,0,0,0,3.0,10.0,30.0,24.0,7.0,41.7,35.0,6.0,0.0,19.8,16.0,0.0,0.0,0.0,4.0,251.0,360.0,69.7,4929.0,2215.0,86.0,108.0,79.6,113.0,139.0,81.3,40.0,78.0,51.3,2,1.8,1.1,10.0,27.0,13.0,4.0,33.0,360.0,303.0,48.0,10.0,2.0,3.0,23,23.0,5.0,3.0,1.0,0.0,251.0,9.0,9.0,26.0,19.0,2.0,3.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2,8.0,3.0,0.0,7.0,14.0,50.0,7.0,12.0,3.0,9.0,7,18,18.0,0.0,37,448.0,56.0,166.0,196.0,94.0,23.0,448.0,9.0,6.0,66.7,2.0,22.2,224.0,1258.0,700.0,16.0,7.0,3.0,9.0,5.0,249.0,33.0,3,0,0,12,9,9,23,7,2,0.0,0.0,0,45.0,26.0,16.0,61.9,2
2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,2,4,Dortmund,2,12,4,33.3,0.08,0.25,18.7,0.0,1,1,1.4,0.6,0.05,0.6,0.4,7,4,3,42.9,0,1.8,-2.2,0,0,0,0,5.0,11.0,45.5,24.0,5.0,29.2,31.1,7.0,57.1,44.3,18.0,2.0,11.1,1.0,11.5,232.0,342.0,67.8,4316.0,2150.0,105.0,131.0,80.2,95.0,123.0,77.2,29.0,67.0,43.3,1,0.4,0.8,10.0,16.0,8.0,3.0,18.0,342.0,293.0,44.0,6.0,0.0,0.0,18,20.0,6.0,4.0,2.0,0.0,232.0,5.0,9.0,24.0,14.0,5.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,23.0,17,9.0,11.0,3.0,13.0,18.0,72.2,5.0,10.0,4.0,6.0,11,34,23.0,0.0,34,466.0,68.0,170.0,193.0,108.0,20.0,465.0,8.0,3.0,37.5,5.0,62.5,184.0,860.0,412.0,5.0,11.0,2.0,15.0,9.0,232.0,18.0,1,0,0,15,6,5,18,11,17,1.0,0.0,0,60.0,13.0,11.0,54.2,1
2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,0,3,Stuttgart,0,9,1,11.1,0.0,0.0,18.2,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,5,3,2,40.0,0,2.7,-0.3,0,0,0,0,3.0,10.0,30.0,32.0,7.0,28.1,29.1,2.0,50.0,46.0,8.0,1.0,12.5,2.0,16.3,350.0,479.0,73.1,6398.0,2550.0,144.0,174.0,82.8,164.0,197.0,83.2,35.0,85.0,41.2,0,0.4,0.6,5.0,29.0,10.0,4.0,40.0,479.0,426.0,49.0,12.0,1.0,1.0,29,27.0,4.0,1.0,3.0,0.0,350.0,4.0,7.0,15.0,9.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17,11.0,15.0,2.0,7.0,19.0,36.8,12.0,20.0,3.0,17.0,5,33,13.0,0.0,43,598.0,49.0,194.0,265.0,143.0,17.0,598.0,10.0,2.0,20.0,7.0,70.0,249.0,1060.0,581.0,6.0,9.0,0.0,17.0,6.0,346.0,38.0,2,0,0,12,11,4,29,5,17,0.0,0.0,0,68.0,27.0,14.0,65.9,1
