Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-19,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,L,2,3,Real Sociedad,2,16.0,5.0,31.3,0.13,0.4,17.4,1.0,0,0,1.8,1.8,0.11,0.2,0.2,6.0,3,3.0,66.7,0,2.4,-0.6,1,1,0,0,7.0,15.0,46.7,32.0,0.0,37.5,34.7,6.0,50.0,36.3,14.0,0.0,0.0,0.0,13.0,399.0,497.0,80.3,7781.0,2727.0,150.0,169.0,88.8,182.0,212.0,85.8,58.0,88.0,65.9,1,1.7,0.9,14.0,34.0,7.0,0.0,51.0,497.0,444.0,50.0,11.0,1.0,2.0,14.0,24.0,5.0,3.0,2.0,0.0,399.0,3.0,11.0,30.0,23.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,5.0,4.0,2.0,2.0,6.0,33.3,4.0,6.0,1.0,5.0,11.0,22,15.0,1.0,53.0,585.0,47.0,153.0,299.0,136.0,23.0,585.0,12.0,4.0,33.3,8.0,66.7,335.0,1697.0,987.0,26.0,12.0,7.0,15.0,9.0,396.0,49.0,3,0,0,12.0,10.0,3.0,14.0,11.0,6.0,0.0,1.0,0,48.0,11.0,12.0,47.8,1
2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Away,L,1,2,Betis,0,9.0,1.0,11.1,0.0,0.0,21.8,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,3.0,2,1.0,33.3,0,1.4,-0.6,0,0,0,0,4.0,15.0,26.7,29.0,2.0,34.5,34.7,13.0,38.5,38.3,15.0,1.0,6.7,1.0,10.0,414.0,506.0,81.8,7634.0,2553.0,177.0,202.0,87.6,183.0,199.0,92.0,46.0,80.0,57.5,0,0.2,0.5,7.0,28.0,9.0,3.0,41.0,506.0,449.0,55.0,13.0,2.0,5.0,18.0,20.0,6.0,2.0,3.0,0.0,414.0,2.0,9.0,17.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,4.0,1.0,4.0,13.0,30.8,9.0,1.0,0.0,1.0,5.0,17,12.0,0.0,54.0,571.0,56.0,184.0,263.0,130.0,12.0,571.0,13.0,9.0,69.2,4.0,30.8,428.0,2197.0,1004.0,14.0,14.0,3.0,12.0,14.0,410.0,41.0,2,0,0,9.0,13.0,2.0,18.0,5.0,7.0,0.0,0.0,0,41.0,16.0,14.0,53.3,1
2017-09-10,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,W,1,0,Alavés,1,20.0,3.0,15.0,0.05,0.33,17.1,3.0,0,0,2.7,2.7,0.14,-1.7,-1.7,3.0,0,3.0,100.0,1,0.7,0.7,0,0,0,0,5.0,10.0,50.0,39.0,3.0,23.1,29.2,3.0,33.3,35.0,6.0,0.0,0.0,3.0,17.5,505.0,601.0,84.0,9375.0,3284.0,217.0,242.0,89.7,215.0,235.0,91.5,63.0,99.0,63.6,1,2.5,2.1,16.0,37.0,14.0,6.0,51.0,601.0,547.0,50.0,16.0,4.0,4.0,23.0,21.0,9.0,4.0,3.0,0.0,505.0,4.0,9.0,38.0,26.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,7.0,6.0,0.0,4.0,10.0,40.0,6.0,6.0,0.0,6.0,10.0,23,10.0,0.0,66.0,681.0,52.0,184.0,352.0,153.0,30.0,681.0,18.0,12.0,66.7,6.0,33.3,435.0,2461.0,1275.0,23.0,14.0,7.0,14.0,8.0,499.0,51.0,4,0,0,17.0,17.0,4.0,23.0,10.0,13.0,0.0,0.0,0,65.0,18.0,14.0,56.3,1
2017-09-18,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,1,2,Espanyol,1,11.0,1.0,9.1,0.09,1.0,20.9,1.0,0,0,1.1,1.1,0.1,-0.1,-0.1,3.0,2,1.0,33.3,0,0.9,-1.1,0,0,0,0,4.0,12.0,33.3,37.0,5.0,24.3,31.0,4.0,75.0,58.3,11.0,0.0,0.0,1.0,13.0,540.0,653.0,82.7,10033.0,3089.0,217.0,243.0,89.3,259.0,292.0,88.7,57.0,97.0,58.8,1,0.9,0.8,6.0,35.0,6.0,0.0,50.0,653.0,599.0,51.0,11.0,2.0,5.0,15.0,28.0,5.0,2.0,0.0,0.0,540.0,3.0,11.0,19.0,13.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,8.0,7.0,0.0,9.0,14.0,64.3,5.0,8.0,3.0,5.0,12.0,27,12.0,1.0,64.0,744.0,52.0,251.0,373.0,126.0,12.0,744.0,23.0,14.0,60.9,9.0,39.1,449.0,2209.0,1020.0,19.0,20.0,3.0,11.0,17.0,536.0,50.0,4,0,0,14.0,10.0,3.0,15.0,12.0,12.0,0.0,0.0,0,61.0,12.0,10.0,54.5,1
2017-09-21,21:00 (12:00),La Liga,Matchweek 5,Thu,Home,D,1,1,Getafe,1,8.0,4.0,50.0,0.13,0.25,19.6,0.0,0,0,0.6,0.6,0.08,0.4,0.4,3.0,1,2.0,66.7,0,0.9,-0.1,0,0,0,0,13.0,20.0,65.0,36.0,4.0,44.4,37.0,6.0,66.7,48.3,13.0,0.0,0.0,1.0,14.7,487.0,607.0,80.2,9850.0,3670.0,157.0,183.0,85.8,241.0,276.0,87.3,73.0,112.0,65.2,1,0.5,0.4,4.0,34.0,9.0,1.0,43.0,607.0,549.0,53.0,26.0,0.0,4.0,12.0,16.0,3.0,2.0,1.0,0.0,487.0,5.0,10.0,11.0,8.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,6.0,7.0,0.0,5.0,10.0,50.0,5.0,7.0,3.0,4.0,27.0,40,17.0,0.0,65.0,713.0,68.0,215.0,378.0,125.0,16.0,713.0,20.0,9.0,45.0,11.0,55.0,485.0,2027.0,988.0,15.0,15.0,5.0,18.0,16.0,484.0,42.0,2,0,0,9.0,20.0,5.0,12.0,27.0,11.0,0.0,0.0,0,55.0,17.0,13.0,56.7,1
2017-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,W,4,0,Eibar,4,11.0,6.0,54.5,0.36,0.67,20.9,1.0,0,0,1.2,1.2,0.11,2.8,2.8,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,3.0,26.0,11.5,39.0,4.0,59.0,46.5,7.0,42.9,42.4,19.0,0.0,0.0,0.0,5.7,367.0,516.0,71.1,6548.0,2642.0,171.0,197.0,86.8,153.0,200.0,76.5,40.0,107.0,37.4,4,1.1,0.8,8.0,24.0,6.0,1.0,25.0,516.0,451.0,62.0,16.0,5.0,5.0,5.0,34.0,4.0,0.0,0.0,0.0,367.0,3.0,6.0,17.0,11.0,2.0,0.0,1.0,2.0,1.0,7.0,3.0,2.0,0.0,0.0,2.0,0.0,12.0,8.0,7.0,5.0,0.0,6.0,15.0,40.0,9.0,12.0,5.0,7.0,12.0,24,21.0,0.0,50.0,614.0,65.0,273.0,250.0,97.0,18.0,614.0,15.0,4.0,26.7,11.0,73.3,280.0,1173.0,540.0,10.0,1.0,7.0,14.0,9.0,365.0,24.0,1,0,0,5.0,13.0,3.0,5.0,12.0,8.0,0.0,0.0,0,55.0,8.0,21.0,27.6,1
2017-09-29,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,3,3,Girona,3,16.0,9.0,56.3,0.19,0.33,15.3,1.0,0,0,2.3,2.3,0.15,0.7,0.7,5.0,3,2.0,40.0,0,1.3,-1.7,0,0,0,0,2.0,13.0,15.4,26.0,5.0,38.5,37.0,3.0,100.0,67.0,9.0,0.0,0.0,0.0,3.0,496.0,591.0,83.9,8863.0,2932.0,197.0,212.0,92.9,237.0,262.0,90.5,48.0,89.0,53.9,2,1.7,1.5,9.0,35.0,7.0,2.0,47.0,591.0,544.0,46.0,18.0,1.0,1.0,15.0,16.0,5.0,0.0,1.0,0.0,496.0,1.0,7.0,25.0,15.0,3.0,2.0,3.0,1.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,13.0,11.0,7.0,5.0,1.0,3.0,10.0,30.0,7.0,4.0,0.0,4.0,11.0,24,9.0,0.0,64.0,669.0,45.0,172.0,408.0,95.0,17.0,669.0,15.0,6.0,40.0,9.0,60.0,368.0,2009.0,983.0,13.0,9.0,4.0,14.0,11.0,487.0,46.0,2,0,0,9.0,15.0,1.0,15.0,11.0,11.0,0.0,0.0,0,47.0,11.0,14.0,44.0,1
2017-10-16,20:00 (12:00),La Liga,Matchweek 8,Mon,Away,W,5,2,Las Palmas,5,14.0,7.0,50.0,0.36,0.71,16.5,0.0,0,0,1.8,1.8,0.13,3.2,3.2,11.0,2,9.0,66.7,0,2.3,-0.7,0,0,0,0,6.0,26.0,23.1,26.0,1.0,73.1,47.8,10.0,70.0,54.2,25.0,0.0,0.0,1.0,14.6,295.0,373.0,79.1,4753.0,1763.0,164.0,183.0,89.6,95.0,111.0,85.6,28.0,60.0,46.7,4,1.3,0.3,10.0,17.0,5.0,0.0,17.0,373.0,331.0,42.0,15.0,0.0,2.0,5.0,11.0,3.0,1.0,0.0,0.0,295.0,0.0,8.0,23.0,17.0,1.0,3.0,1.0,0.0,1.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,9.0,8.0,7.0,2.0,0.0,4.0,12.0,33.3,8.0,10.0,3.0,7.0,12.0,21,30.0,0.0,41.0,476.0,85.0,192.0,207.0,85.0,17.0,476.0,13.0,10.0,76.9,3.0,23.1,271.0,1494.0,858.0,21.0,18.0,7.0,12.0,5.0,290.0,16.0,1,1,0,12.0,12.0,0.0,5.0,12.0,8.0,0.0,0.0,0,43.0,8.0,12.0,40.0,1
2017-10-22,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,L,0,1,Atlético Madrid,0,19.0,8.0,42.1,0.0,0.0,19.6,2.0,0,0,1.1,1.1,0.06,-1.1,-1.1,2.0,1,1.0,50.0,0,0.7,-0.3,0,0,0,0,6.0,8.0,75.0,21.0,2.0,38.1,36.8,3.0,0.0,29.0,9.0,0.0,0.0,0.0,,580.0,690.0,84.1,10547.0,3287.0,266.0,300.0,88.7,231.0,253.0,91.3,73.0,100.0,73.0,0,0.8,1.1,13.0,67.0,13.0,3.0,61.0,690.0,645.0,44.0,18.0,0.0,8.0,21.0,17.0,4.0,2.0,0.0,0.0,580.0,1.0,15.0,34.0,20.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,8.0,3.0,2.0,6.0,18.0,33.3,12.0,4.0,0.0,4.0,8.0,21,13.0,1.0,67.0,778.0,36.0,174.0,408.0,200.0,27.0,778.0,17.0,13.0,76.5,4.0,23.5,423.0,2326.0,1273.0,27.0,15.0,2.0,13.0,7.0,577.0,61.0,3,0,0,13.0,19.0,1.0,21.0,8.0,10.0,0.0,0.0,0,51.0,20.0,12.0,62.5,1
2017-10-29,20:45 (12:45),La Liga,Matchweek 10,Sun,Away,L,1,2,Málaga,1,10.0,2.0,20.0,0.1,0.5,15.9,1.0,0,0,1.2,1.2,0.12,-0.2,-0.2,3.0,2,1.0,66.7,0,2.3,0.3,1,1,0,0,6.0,13.0,46.2,26.0,1.0,34.6,35.7,7.0,57.1,48.1,12.0,0.0,0.0,0.0,13.0,511.0,613.0,83.4,8931.0,2891.0,243.0,274.0,88.7,209.0,235.0,88.9,49.0,74.0,66.2,1,1.1,1.3,8.0,27.0,4.0,3.0,38.0,613.0,564.0,45.0,16.0,0.0,2.0,12.0,19.0,1.0,0.0,1.0,0.0,511.0,4.0,9.0,20.0,13.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,8.0,5.0,4.0,6.0,13.0,46.2,7.0,7.0,4.0,3.0,17.0,34,20.0,0.0,64.0,711.0,67.0,207.0,396.0,114.0,16.0,711.0,14.0,8.0,57.1,6.0,42.9,471.0,2187.0,1086.0,13.0,16.0,2.0,14.0,9.0,510.0,38.0,3,0,0,12.0,20.0,4.0,12.0,17.0,11.0,0.0,1.0,0,51.0,17.0,9.0,65.4,1
