Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-21,20:15 (11:15),La Liga,Matchweek 1,Mon,Home,W,1,0,Villarreal,1,13.0,2.0,15.4,0.0,0.0,21.2,0.0,1,1,1.4,0.6,0.05,-0.4,-0.6,1.0,0,1.0,100.0,1,0.4,0.4,0,0,0,0,8.0,19.0,42.1,17.0,1.0,88.2,53.7,4.0,100.0,65.5,11.0,1.0,9.1,0.0,9.0,268.0,372.0,72.0,4748.0,2041.0,129.0,153.0,84.3,99.0,119.0,83.2,29.0,75.0,38.7,0,0.6,0.6,11.0,25.0,7.0,0.0,37.0,372.0,318.0,52.0,14.0,0.0,2.0,29.0,22.0,11.0,3.0,4.0,2.0,268.0,2.0,10.0,26.0,18.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,5.0,1.0,1.0,1.0,4.0,25.0,3.0,12.0,5.0,7.0,16.0,23,15.0,0.0,42.0,475.0,35.0,108.0,217.0,157.0,26.0,474.0,21.0,7.0,33.3,14.0,66.7,253.0,1681.0,1055.0,27.0,21.0,10.0,10.0,10.0,265.0,37.0,1,0,0,18.0,14.0,2.0,29.0,16.0,7.0,1.0,0.0,0,50.0,14.0,17.0,45.2,1
2017-08-26,20:15 (11:15),La Liga,Matchweek 2,Sat,Home,D,2,2,La Coruña,2,23.0,4.0,17.4,0.04,0.25,21.1,2.0,1,1,2.4,1.6,0.07,-0.4,-0.6,4.0,2,2.0,50.0,0,1.0,-1.0,0,0,0,0,6.0,11.0,54.5,16.0,5.0,50.0,40.8,4.0,75.0,54.8,8.0,0.0,0.0,1.0,24.0,379.0,468.0,81.0,7335.0,2595.0,180.0,197.0,91.4,129.0,148.0,87.2,64.0,100.0,64.0,0,1.5,1.6,19.0,30.0,12.0,5.0,42.0,468.0,405.0,63.0,16.0,3.0,16.0,34.0,34.0,6.0,0.0,4.0,1.0,379.0,0.0,8.0,43.0,32.0,5.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,9.0,1.0,7.0,3.0,5.0,8.0,62.5,3.0,9.0,2.0,7.0,4.0,15,8.0,0.0,57.0,563.0,27.0,102.0,238.0,230.0,35.0,562.0,27.0,13.0,48.1,14.0,51.9,334.0,2090.0,1205.0,38.0,21.0,6.0,13.0,8.0,376.0,41.0,2,1,1,11.0,10.0,0.0,34.0,4.0,9.0,1.0,0.0,0,43.0,14.0,9.0,60.9,1
2017-09-09,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,1,1,Real Madrid,1,5.0,2.0,40.0,0.2,0.5,19.6,1.0,0,0,0.7,0.7,0.15,0.3,0.3,10.0,1,9.0,90.0,0,2.9,1.9,0,0,0,0,19.0,42.0,45.2,39.0,6.0,66.7,47.9,16.0,100.0,64.3,35.0,1.0,2.9,3.0,13.1,215.0,307.0,70.0,4569.0,2418.0,93.0,121.0,76.9,65.0,79.0,82.3,47.0,86.0,54.7,1,0.7,0.2,4.0,16.0,1.0,0.0,10.0,307.0,261.0,45.0,10.0,1.0,4.0,8.0,14.0,3.0,2.0,1.0,0.0,215.0,1.0,10.0,10.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,10.0,12.0,1.0,2.0,5.0,14.0,35.7,9.0,9.0,1.0,8.0,15.0,30,35.0,0.0,32.0,407.0,102.0,207.0,135.0,67.0,4.0,407.0,8.0,6.0,75.0,2.0,25.0,207.0,1176.0,651.0,10.0,4.0,0.0,15.0,10.0,213.0,10.0,3,0,0,16.0,9.0,1.0,8.0,15.0,10.0,0.0,0.0,0,36.0,11.0,14.0,44.0,1
2017-09-16,13:00 (04:00),La Liga,Matchweek 4,Sat,Home,D,1,1,Valencia,1,9.0,2.0,22.2,0.11,0.5,19.9,0.0,0,0,0.9,0.9,0.11,0.1,0.1,5.0,1,4.0,80.0,0,1.9,0.9,0,0,0,0,13.0,27.0,48.1,23.0,2.0,82.6,47.2,8.0,100.0,61.4,11.0,1.0,9.1,6.0,27.7,302.0,420.0,71.9,5255.0,2278.0,163.0,192.0,84.9,82.0,114.0,71.9,41.0,75.0,54.7,0,0.2,0.3,4.0,29.0,4.0,2.0,28.0,420.0,364.0,54.0,16.0,1.0,5.0,19.0,27.0,1.0,0.0,1.0,0.0,302.0,2.0,10.0,14.0,12.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,5.0,7.0,2.0,4.0,13.0,30.8,9.0,9.0,2.0,7.0,15.0,29,24.0,0.0,47.0,522.0,46.0,138.0,249.0,139.0,15.0,522.0,26.0,11.0,42.3,15.0,57.7,296.0,1553.0,818.0,19.0,11.0,6.0,15.0,8.0,300.0,28.0,2,0,0,21.0,11.0,2.0,19.0,15.0,7.0,0.0,0.0,0,41.0,14.0,18.0,43.8,1
2017-09-21,22:00 (13:00),La Liga,Matchweek 5,Thu,Home,W,3,0,Real Sociedad,3,12.0,8.0,66.7,0.17,0.25,20.4,2.0,1,1,1.9,1.2,0.1,1.1,0.8,3.0,0,3.0,100.0,1,0.6,0.6,0,0,0,0,13.0,30.0,43.3,21.0,1.0,90.5,59.5,11.0,100.0,68.6,22.0,0.0,0.0,0.0,7.0,201.0,296.0,67.9,4053.0,2188.0,96.0,116.0,82.8,72.0,88.0,81.8,30.0,69.0,43.5,1,1.0,0.7,9.0,25.0,5.0,1.0,19.0,296.0,244.0,51.0,13.0,2.0,1.0,12.0,23.0,3.0,2.0,1.0,0.0,201.0,1.0,15.0,24.0,16.0,2.0,2.0,1.0,3.0,0.0,6.0,3.0,1.0,0.0,0.0,2.0,0.0,8.0,6.0,3.0,3.0,2.0,4.0,9.0,44.4,5.0,7.0,1.0,6.0,12.0,20,34.0,0.0,33.0,398.0,68.0,153.0,138.0,115.0,19.0,397.0,19.0,9.0,47.4,10.0,52.6,226.0,1327.0,737.0,14.0,12.0,6.0,13.0,5.0,199.0,19.0,2,0,0,13.0,11.0,1.0,12.0,12.0,6.0,1.0,0.0,0,43.0,8.0,13.0,38.1,1
2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Away,L,0,4,Betis,0,8.0,1.0,12.5,0.0,0.0,20.1,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,6.0,4,2.0,33.3,0,2.3,-1.7,0,0,0,0,13.0,22.0,59.1,16.0,1.0,75.0,47.6,10.0,100.0,66.1,9.0,1.0,11.1,0.0,12.4,245.0,327.0,74.9,4910.0,2121.0,114.0,135.0,84.4,89.0,110.0,80.9,41.0,71.0,57.7,0,0.2,0.4,5.0,23.0,10.0,4.0,25.0,327.0,278.0,47.0,12.0,2.0,4.0,18.0,17.0,3.0,0.0,2.0,1.0,245.0,2.0,7.0,14.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,7.0,6.0,2.0,4.0,12.0,33.3,8.0,4.0,1.0,3.0,9.0,24,12.0,0.0,33.0,397.0,43.0,115.0,189.0,97.0,16.0,397.0,7.0,4.0,57.1,3.0,42.9,222.0,983.0,533.0,13.0,11.0,3.0,17.0,14.0,242.0,25.0,0,0,0,5.0,9.0,2.0,18.0,9.0,10.0,0.0,0.0,0,36.0,6.0,9.0,40.0,1
2017-09-30,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,L,0,2,Alavés,0,13.0,0.0,0.0,0.0,,17.0,1.0,0,0,1.1,1.1,0.09,-1.1,-1.1,3.0,2,1.0,33.3,0,1.5,-0.5,0,0,0,0,3.0,12.0,25.0,16.0,4.0,43.8,39.8,6.0,83.3,60.0,9.0,1.0,11.1,2.0,30.0,415.0,520.0,79.8,8562.0,2451.0,152.0,171.0,88.9,175.0,203.0,86.2,84.0,121.0,69.4,0,0.7,0.8,6.0,42.0,11.0,4.0,60.0,520.0,456.0,61.0,19.0,1.0,12.0,31.0,25.0,8.0,2.0,4.0,2.0,415.0,3.0,17.0,21.0,11.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,11.0,6.0,1.0,7.0,12.0,58.3,5.0,5.0,0.0,5.0,3.0,21,17.0,0.0,63.0,606.0,35.0,106.0,331.0,174.0,29.0,606.0,8.0,4.0,50.0,4.0,50.0,375.0,1977.0,1062.0,14.0,15.0,4.0,16.0,16.0,414.0,60.0,2,0,0,11.0,17.0,3.0,31.0,3.0,11.0,0.0,0.0,0,38.0,6.0,14.0,30.0,1
2017-10-13,21:00 (12:00),La Liga,Matchweek 8,Fri,Away,D,0,0,Espanyol,0,13.0,3.0,23.1,0.0,0.0,22.4,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,5.0,0,5.0,100.0,1,1.9,1.9,0,0,0,0,7.0,29.0,24.1,23.0,2.0,82.6,54.7,10.0,100.0,65.6,26.0,1.0,3.8,2.0,18.3,246.0,364.0,67.6,4905.0,1895.0,86.0,111.0,77.5,122.0,155.0,78.7,32.0,86.0,37.2,0,0.8,0.6,10.0,23.0,7.0,3.0,31.0,364.0,315.0,49.0,14.0,2.0,3.0,16.0,20.0,4.0,0.0,3.0,0.0,246.0,0.0,2.0,25.0,20.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,11.0,6.0,0.0,8.0,19.0,42.1,11.0,15.0,7.0,8.0,13.0,30,33.0,0.0,42.0,490.0,70.0,169.0,220.0,109.0,11.0,490.0,16.0,9.0,56.3,7.0,43.8,254.0,1438.0,839.0,14.0,12.0,2.0,13.0,8.0,244.0,31.0,3,0,0,13.0,8.0,0.0,16.0,13.0,13.0,0.0,0.0,0,49.0,16.0,29.0,35.6,1
2017-10-21,13:00 (04:00),La Liga,Matchweek 9,Sat,Home,D,1,1,Getafe,1,5.0,1.0,20.0,0.2,1.0,19.5,0.0,0,0,0.5,0.5,0.11,0.5,0.5,5.0,1,4.0,80.0,0,0.6,-0.4,0,0,0,0,12.0,18.0,66.7,18.0,3.0,55.6,41.9,8.0,100.0,60.8,13.0,0.0,0.0,0.0,11.5,304.0,428.0,71.0,5969.0,2547.0,127.0,153.0,83.0,112.0,146.0,76.7,54.0,106.0,50.9,1,0.5,0.5,3.0,19.0,3.0,2.0,27.0,428.0,368.0,59.0,21.0,1.0,5.0,13.0,25.0,3.0,0.0,3.0,0.0,304.0,1.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,10.0,6.0,2.0,8.0,18.0,44.4,10.0,15.0,2.0,13.0,19.0,37,18.0,1.0,50.0,539.0,46.0,170.0,279.0,92.0,13.0,539.0,15.0,7.0,46.7,8.0,53.3,250.0,1199.0,616.0,8.0,5.0,3.0,22.0,18.0,301.0,27.0,1,0,0,18.0,16.0,1.0,13.0,19.0,13.0,0.0,0.0,0,55.0,26.0,16.0,61.9,1
2017-10-29,18:30 (10:30),La Liga,Matchweek 10,Sun,Away,D,2,2,Eibar,2,3.0,2.0,66.7,0.67,1.0,11.6,0.0,0,0,1.0,1.0,0.33,1.0,1.0,6.0,2,4.0,66.7,0,1.5,-0.5,0,0,0,0,6.0,18.0,33.3,17.0,5.0,58.8,46.4,9.0,88.9,62.1,28.0,2.0,7.1,3.0,17.0,186.0,311.0,59.8,3409.0,1897.0,93.0,123.0,75.6,66.0,97.0,68.0,25.0,66.0,37.9,2,1.0,0.4,3.0,12.0,3.0,2.0,11.0,311.0,245.0,61.0,9.0,2.0,2.0,6.0,38.0,2.0,0.0,1.0,0.0,186.0,5.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,14.0,4.0,0.0,5.0,20.0,25.0,15.0,12.0,3.0,9.0,6.0,24,46.0,0.0,32.0,431.0,61.0,205.0,155.0,74.0,8.0,431.0,10.0,6.0,60.0,4.0,40.0,195.0,784.0,347.0,4.0,3.0,1.0,15.0,12.0,183.0,11.0,3,0,0,16.0,5.0,5.0,6.0,6.0,12.0,0.0,0.0,0,42.0,12.0,14.0,46.2,1
