Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Home,W,2,1,Leganés,2,17,5,29.4,0.12,0.4,14.2,1.0,0,0,2.2,2.2,0.13,-0.2,-0.2,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,5.0,7.0,71.4,12.0,7.0,16.7,29.5,7.0,71.4,51.3,13.0,0.0,0.0,0.0,19.0,525.0,632.0,83.1,9702.0,3238.0,214.0,242.0,88.4,228.0,265.0,86.0,65.0,94.0,69.1,2,2.0,1.6,13.0,53.0,9.0,3.0,59.0,632.0,585.0,47.0,13.0,1.0,6.0,26,19.0,6.0,2.0,3.0,0.0,525.0,0.0,7.0,31.0,19.0,6.0,1.0,1.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,9,3.0,4.0,3.0,3.0,13.0,23.1,10.0,6.0,2.0,4.0,7,17,16.0,0.0,65,716.0,39.0,157.0,378.0,183.0,19.0,716.0,12.0,7.0,58.3,5.0,41.7,425.0,2089.0,1019.0,15.0,14.0,2.0,16.0,9.0,522.0,59.0,4,0,0,12,13,0,26,7,9,0,0,0,45.0,24.0,29.0,45.3,1
2018-08-27,22:00 (13:00),La Liga,Matchweek 2,Mon,Home,D,2,2,Huesca,2,14,4,28.6,0.14,0.5,20.9,0.0,0,0,0.6,0.6,0.05,1.4,1.4,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,1.0,4.0,25.0,16.0,7.0,12.5,26.6,4.0,50.0,43.5,13.0,3.0,23.1,0.0,6.8,452.0,553.0,81.7,7434.0,2539.0,192.0,219.0,87.7,197.0,226.0,87.2,34.0,63.0,54.0,2,0.6,0.7,12.0,43.0,10.0,2.0,57.0,553.0,504.0,47.0,17.0,0.0,4.0,14,20.0,3.0,1.0,1.0,0.0,452.0,2.0,9.0,25.0,19.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,11,7.0,11.0,1.0,11.0,19.0,57.9,8.0,8.0,0.0,8.0,16,35,18.0,0.0,59,661.0,41.0,146.0,358.0,159.0,22.0,661.0,15.0,8.0,53.3,7.0,46.7,311.0,2026.0,1166.0,23.0,15.0,4.0,15.0,5.0,451.0,57.0,2,0,0,15,15,2,14,16,11,0,0,0,48.0,24.0,17.0,58.5,1
2018-09-15,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,D,1,1,Real Madrid,1,12,4,33.3,0.08,0.25,20.7,0.0,0,0,1.4,1.4,0.16,-0.4,-0.4,6,1,5,83.3,0,1.8,0.8,0,0,0,0,9.0,19.0,47.4,26.0,7.0,50.0,37.7,10.0,60.0,44.7,14.0,1.0,7.1,0.0,5.0,340.0,422.0,80.6,6461.0,2582.0,149.0,167.0,89.2,143.0,162.0,88.3,45.0,77.0,58.4,0,0.8,0.9,6.0,27.0,7.0,0.0,31.0,422.0,384.0,36.0,12.0,1.0,5.0,9,11.0,1.0,1.0,0.0,0.0,340.0,2.0,8.0,19.0,12.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,9,7.0,7.0,2.0,6.0,16.0,37.5,10.0,9.0,1.0,8.0,18,34,25.0,1.0,39,535.0,66.0,203.0,259.0,81.0,14.0,535.0,16.0,12.0,75.0,4.0,25.0,246.0,1493.0,839.0,17.0,5.0,3.0,12.0,8.0,327.0,27.0,6,0,0,19,7,2,9,18,9,0,0,0,43.0,13.0,11.0,54.2,1
2018-09-23,20:00 (11:00),La Liga,Matchweek 5,Sun,Away,D,2,2,Betis,2,7,4,57.1,0.29,0.5,23.1,1.0,0,0,0.6,0.6,0.1,1.4,1.4,4,2,2,50.0,0,0.9,-1.1,0,0,0,0,9.0,27.0,33.3,20.0,3.0,80.0,48.6,11.0,100.0,66.8,28.0,0.0,0.0,0.0,3.5,203.0,286.0,71.0,3594.0,1502.0,106.0,118.0,89.8,61.0,75.0,81.3,22.0,60.0,36.7,2,0.7,1.1,5.0,14.0,3.0,0.0,11.0,286.0,238.0,43.0,12.0,1.0,6.0,5,16.0,1.0,1.0,0.0,0.0,203.0,5.0,7.0,10.0,7.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,4,3.0,7.0,1.0,5.0,19.0,26.3,14.0,14.0,6.0,8.0,13,24,32.0,0.0,30,392.0,71.0,165.0,150.0,83.0,7.0,392.0,9.0,2.0,22.2,7.0,77.8,202.0,887.0,476.0,7.0,5.0,0.0,10.0,2.0,202.0,10.0,7,1,1,20,12,5,5,13,4,0,0,0,37.0,10.0,11.0,47.6,1
2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,L,0,3,Villarreal,0,12,2,16.7,0.0,0.0,14.2,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,6,3,3,50.0,0,2.5,-0.5,0,0,0,0,7.0,12.0,58.3,24.0,5.0,25.0,31.3,9.0,66.7,53.1,9.0,0.0,0.0,1.0,16.5,618.0,722.0,85.6,10066.0,3410.0,295.0,326.0,90.5,220.0,248.0,88.7,57.0,87.0,65.5,0,0.8,1.3,10.0,48.0,13.0,4.0,60.0,722.0,669.0,50.0,14.0,1.0,5.0,29,17.0,6.0,1.0,3.0,0.0,618.0,3.0,6.0,24.0,19.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,6.0,1.0,3.0,4.0,13.0,30.8,9.0,9.0,5.0,4.0,16,26,9.0,1.0,66,807.0,51.0,173.0,413.0,227.0,28.0,807.0,14.0,8.0,57.1,6.0,42.9,484.0,2448.0,1325.0,18.0,27.0,2.0,14.0,16.0,617.0,59.0,1,0,0,3,13,3,29,16,7,0,0,0,51.0,18.0,11.0,62.1,1
2018-09-29,16:15 (07:15),La Liga,Matchweek 7,Sat,Away,D,1,1,Barcelona,1,8,2,25.0,0.13,0.5,23.2,0.0,0,0,0.9,0.9,0.12,0.1,0.1,8,1,7,87.5,0,3.7,2.7,0,0,0,0,6.0,24.0,25.0,20.0,2.0,75.0,49.1,9.0,100.0,65.0,7.0,0.0,0.0,0.0,13.0,186.0,306.0,60.8,3146.0,1380.0,96.0,124.0,77.4,62.0,89.0,69.7,21.0,69.0,30.4,1,0.9,0.8,7.0,17.0,1.0,0.0,17.0,306.0,262.0,41.0,11.0,1.0,3.0,7,16.0,3.0,2.0,1.0,0.0,186.0,3.0,10.0,14.0,10.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13,13.0,5.0,2.0,4.0,16.0,25.0,12.0,18.0,4.0,14.0,10,30,30.0,0.0,30,422.0,69.0,176.0,183.0,73.0,5.0,422.0,12.0,3.0,25.0,9.0,75.0,173.0,1010.0,486.0,9.0,7.0,2.0,11.0,8.0,182.0,15.0,3,0,0,18,9,3,7,10,13,0,0,0,62.0,13.0,18.0,41.9,1
2018-10-05,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,3,Real Sociedad,1,13,5,38.5,0.08,0.2,15.6,1.0,0,0,1.4,1.4,0.11,-0.4,-0.4,3,3,0,66.7,0,2.8,-0.2,2,2,0,0,5.0,9.0,55.6,16.0,3.0,25.0,28.5,5.0,100.0,69.4,5.0,0.0,0.0,1.0,21.3,510.0,632.0,80.7,8912.0,2863.0,255.0,291.0,87.6,179.0,208.0,86.1,61.0,94.0,64.9,0,0.5,1.0,8.0,47.0,9.0,3.0,58.0,632.0,556.0,74.0,18.0,0.0,11.0,34,36.0,11.0,3.0,5.0,0.0,510.0,2.0,17.0,23.0,15.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5,2.0,4.0,3.0,1.0,12.0,8.3,11.0,6.0,0.0,6.0,6,15,5.0,0.0,69,711.0,28.0,105.0,354.0,260.0,32.0,711.0,22.0,10.0,45.5,12.0,54.5,356.0,2290.0,1324.0,32.0,27.0,6.0,14.0,12.0,507.0,58.0,6,0,0,15,16,2,34,6,5,0,2,0,50.0,27.0,22.0,55.1,1
2018-10-21,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,D,1,1,Eibar,1,6,3,50.0,0.17,0.33,14.3,0.0,0,0,0.7,0.7,0.12,0.3,0.3,6,1,5,100.0,0,1.4,0.4,1,1,0,0,19.0,31.0,61.3,26.0,3.0,76.9,52.7,12.0,91.7,63.3,25.0,2.0,8.0,0.0,11.5,208.0,338.0,61.5,4401.0,2238.0,91.0,114.0,79.8,78.0,128.0,60.9,37.0,80.0,46.3,1,0.5,0.3,4.0,18.0,1.0,1.0,19.0,338.0,286.0,47.0,12.0,1.0,5.0,5,19.0,2.0,0.0,2.0,0.0,208.0,5.0,6.0,10.0,7.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,8.0,5.0,0.0,3.0,20.0,15.0,17.0,15.0,3.0,12.0,11,24,43.0,0.0,39,464.0,74.0,223.0,180.0,64.0,5.0,464.0,12.0,5.0,41.7,7.0,58.3,188.0,1057.0,518.0,5.0,4.0,1.0,20.0,8.0,207.0,19.0,3,0,0,13,5,5,5,11,9,0,1,0,52.0,14.0,25.0,35.9,1
2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Away,D,1,1,Rayo Vallecano,1,11,4,36.4,0.09,0.25,14.8,0.0,0,0,1.3,1.3,0.13,-0.3,-0.3,3,1,2,66.7,0,1.5,0.5,0,0,0,0,4.0,13.0,30.8,20.0,5.0,45.0,37.9,5.0,80.0,64.0,17.0,1.0,5.9,1.0,23.8,505.0,628.0,80.4,9183.0,3170.0,236.0,266.0,88.7,213.0,244.0,87.3,52.0,94.0,55.3,0,0.4,0.7,8.0,42.0,7.0,4.0,67.0,628.0,573.0,51.0,14.0,2.0,7.0,29,26.0,4.0,1.0,3.0,0.0,505.0,4.0,13.0,21.0,16.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,20,16.0,7.0,5.0,18.0,36.0,50.0,18.0,11.0,4.0,7.0,5,33,27.0,0.0,65,731.0,55.0,186.0,375.0,182.0,17.0,731.0,16.0,9.0,56.3,7.0,43.8,412.0,2406.0,1254.0,21.0,27.0,1.0,14.0,4.0,504.0,67.0,1,0,0,9,13,4,29,5,20,0,0,0,64.0,20.0,10.0,66.7,1
2018-10-27,16:15 (07:15),La Liga,Matchweek 10,Sat,Home,D,0,0,Valencia,0,13,2,15.4,0.0,0.0,16.9,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,3,0,3,100.0,1,0.4,0.4,0,0,0,0,8.0,19.0,42.1,22.0,2.0,68.2,45.0,5.0,80.0,60.0,8.0,0.0,0.0,0.0,,338.0,454.0,74.4,6307.0,2279.0,140.0,161.0,87.0,149.0,182.0,81.9,43.0,91.0,47.3,0,0.6,0.9,11.0,17.0,5.0,2.0,37.0,454.0,392.0,62.0,27.0,0.0,2.0,28,24.0,5.0,2.0,3.0,0.0,338.0,0.0,8.0,25.0,13.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,4.0,7.0,2.0,4.0,13.0,30.8,9.0,10.0,4.0,6.0,11,24,11.0,0.0,52,541.0,34.0,131.0,297.0,118.0,24.0,541.0,12.0,6.0,50.0,6.0,50.0,269.0,1567.0,894.0,21.0,11.0,2.0,11.0,8.0,336.0,37.0,2,0,0,25,21,0,28,11,9,0,0,0,53.0,27.0,21.0,56.3,1
