Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-20,20:00 (11:00),La Liga,Matchweek 1,Mon,Away,D,1,1,Valencia,1,9,3,33.3,0.11,0.33,20.6,1.0,0,0,0.9,0.9,0.1,0.1,0.1,4,1,3,75.0,0.0,1.5,0.5,0,0,0,0,5.0,21.0,23.8,13.0,5.0,61.5,42.7,13.0,100.0,60.0,7.0,1.0,14.3,0.0,12.0,401.0,518.0,77.4,6018.0,2174.0,236.0,265.0,89.1,108.0,140.0,77.1,32.0,73.0,43.8,1,0.9,0.9,8.0,31.0,3.0,0.0,46.0,518.0,459.0,53.0,9.0,4.0,2.0,17,19.0,10.0,6.0,3.0,0.0,401.0,6.0,5.0,17.0,13.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,16,16.0,8.0,2.0,15.0,22.0,68.2,7.0,3.0,1.0,2.0,8,34,17.0,1.0,49,610.0,50.0,157.0,281.0,176.0,14.0,610.0,18.0,11.0,61.1,7.0,38.9,298.0,1486.0,773.0,16.0,11.0,6.0,10.0,10.0,397.0,45.0,3,0,0,15,10,6,17,8,16,0,0,0,54.0,17.0,18.0,48.6,1.0
2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Home,W,1,0,Rayo Vallecano,1,9,2,22.2,0.11,0.5,18.0,0.0,0,0,0.9,0.9,0.1,0.1,0.1,3,0,3,100.0,1.0,1.1,1.1,0,0,0,0,2.0,17.0,11.8,15.0,1.0,53.3,43.1,11.0,81.8,55.1,17.0,0.0,0.0,1.0,25.0,365.0,482.0,75.7,6888.0,2426.0,149.0,178.0,83.7,158.0,183.0,86.3,46.0,86.0,53.5,1,0.9,0.5,8.0,40.0,11.0,2.0,43.0,482.0,426.0,52.0,9.0,1.0,6.0,21,23.0,8.0,3.0,4.0,0.0,365.0,4.0,12.0,16.0,11.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,21,15.0,13.0,3.0,13.0,28.0,46.4,15.0,8.0,2.0,6.0,14,45,23.0,0.0,47,590.0,53.0,159.0,286.0,147.0,26.0,590.0,19.0,9.0,47.4,10.0,52.6,304.0,1781.0,898.0,16.0,5.0,3.0,10.0,11.0,362.0,42.0,1,0,0,7,8,4,21,14,21,0,0,0,53.0,13.0,4.0,76.5,1.0
2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Away,L,0,2,Celta Vigo,0,10,0,0.0,0.0,,19.9,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,4,2,2,50.0,0.0,1.0,-1.0,0,0,0,0,7.0,13.0,53.8,14.0,5.0,50.0,39.9,6.0,100.0,56.8,8.0,0.0,0.0,0.0,18.0,377.0,483.0,78.1,7120.0,2449.0,165.0,190.0,86.8,159.0,197.0,80.7,52.0,87.0,59.8,0,0.3,0.5,8.0,50.0,8.0,4.0,46.0,483.0,436.0,46.0,15.0,2.0,8.0,31,14.0,8.0,2.0,5.0,0.0,377.0,1.0,6.0,17.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,9.0,8.0,0.0,8.0,21.0,38.1,13.0,4.0,1.0,3.0,5,22,12.0,1.0,50,568.0,35.0,103.0,276.0,194.0,20.0,568.0,8.0,3.0,37.5,5.0,62.5,358.0,1954.0,969.0,11.0,23.0,4.0,17.0,3.0,374.0,45.0,5,1,1,14,12,1,31,5,8,0,0,0,46.0,17.0,20.0,45.9,1.0
2018-09-15,13:00 (04:00),La Liga,Matchweek 4,Sat,Home,D,1,1,Eibar,1,19,9,47.4,0.05,0.11,14.2,0.0,0,0,2.3,2.3,0.12,-1.3,-1.3,3,1,2,66.7,0.0,1.1,0.1,0,0,0,0,9.0,21.0,42.9,20.0,2.0,70.0,45.3,8.0,87.5,61.9,15.0,0.0,0.0,0.0,6.5,446.0,599.0,74.5,7574.0,3182.0,226.0,246.0,91.9,155.0,213.0,72.8,48.0,95.0,50.5,1,2.1,1.7,16.0,25.0,11.0,2.0,40.0,599.0,512.0,84.0,22.0,0.0,1.0,38,38.0,14.0,4.0,9.0,0.0,446.0,3.0,15.0,33.0,22.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,9,3.0,7.0,0.0,0.0,2.0,0.0,2.0,9.0,3.0,6.0,16,26,18.0,0.0,58,697.0,47.0,203.0,335.0,165.0,35.0,697.0,17.0,12.0,70.6,5.0,29.4,335.0,1826.0,775.0,18.0,12.0,7.0,14.0,21.0,440.0,38.0,2,0,0,5,21,3,38,16,9,0,0,0,50.0,30.0,22.0,57.7,1.0
2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,fr Monaco,2,8,3,37.5,0.25,0.67,13.4,0.0,0,0,0.9,0.9,0.12,1.1,1.1,2,1,1,50.0,0.0,1.0,0.0,0,0,0,0,4.0,12.0,33.3,9.0,1.0,33.3,33.6,10.0,90.0,53.2,12.0,0.0,0.0,0.0,19.0,517.0,637.0,81.2,8183.0,2597.0,268.0,298.0,89.9,180.0,213.0,84.5,43.0,80.0,53.8,2,0.9,0.9,8.0,30.0,6.0,2.0,45.0,637.0,579.0,55.0,14.0,4.0,3.0,16,23.0,6.0,3.0,3.0,0.0,517.0,3.0,10.0,14.0,8.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,4,4.0,4.0,0.0,5.0,11.0,45.5,6.0,7.0,1.0,6.0,10,18,19.0,1.0,59,713.0,38.0,139.0,420.0,157.0,17.0,713.0,9.0,6.0,66.7,3.0,33.3,407.0,1859.0,949.0,17.0,13.0,5.0,12.0,9.0,509.0,45.0,2,0,0,13,12,3,16,10,4,0,0,0,54.0,18.0,13.0,58.1,2.0
2018-09-22,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,W,2,0,Getafe,2,7,5,71.4,0.29,0.4,21.1,0.0,0,0,1.1,1.1,0.16,0.9,0.9,2,0,2,100.0,1.0,0.6,0.6,0,0,0,0,3.0,11.0,27.3,13.0,6.0,30.8,32.5,10.0,70.0,56.4,12.0,0.0,0.0,0.0,,487.0,612.0,79.6,7553.0,2622.0,258.0,284.0,90.8,168.0,208.0,80.8,35.0,74.0,47.3,0,0.7,0.8,6.0,30.0,4.0,0.0,22.0,612.0,557.0,51.0,12.0,7.0,7.0,8,23.0,5.0,2.0,2.0,0.0,487.0,4.0,8.0,12.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,7,12.0,5.0,0.0,7.0,14.0,50.0,7.0,11.0,4.0,7.0,13,30,26.0,1.0,59,715.0,53.0,219.0,379.0,121.0,13.0,715.0,13.0,11.0,84.6,2.0,15.4,398.0,1700.0,824.0,9.0,8.0,3.0,16.0,16.0,483.0,21.0,2,0,0,15,12,4,8,13,7,0,0,0,53.0,18.0,9.0,66.7,1.0
2018-09-25,22:00 (13:00),La Liga,Matchweek 6,Tue,Home,W,3,0,Huesca,3,17,5,29.4,0.18,0.6,22.6,1.0,0,0,0.9,0.9,0.06,2.1,2.1,1,0,1,100.0,1.0,0.5,0.5,0,0,0,0,2.0,6.0,33.3,17.0,5.0,17.6,27.0,4.0,75.0,57.5,13.0,0.0,0.0,1.0,17.5,622.0,692.0,89.9,9623.0,2938.0,350.0,369.0,94.9,176.0,195.0,90.3,58.0,76.0,76.3,3,0.8,1.0,14.0,49.0,6.0,0.0,41.0,692.0,650.0,41.0,15.0,3.0,8.0,10,17.0,4.0,0.0,3.0,0.0,622.0,1.0,8.0,30.0,24.0,1.0,1.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,9,9.0,6.0,0.0,8.0,17.0,47.1,9.0,9.0,2.0,7.0,12,27,13.0,0.0,58,787.0,43.0,162.0,432.0,200.0,18.0,787.0,24.0,20.0,83.3,4.0,16.7,494.0,2620.0,1503.0,24.0,31.0,5.0,15.0,13.0,618.0,39.0,0,0,0,1,14,1,10,12,9,0,0,0,57.0,6.0,8.0,42.9,1.0
2018-09-29,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Real Madrid,0,8,3,37.5,0.0,0.0,21.3,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,6,0,6,100.0,1.0,1.0,1.0,0,0,0,0,10.0,19.0,52.6,16.0,2.0,68.8,42.9,9.0,88.9,56.2,21.0,0.0,0.0,0.0,,303.0,399.0,75.9,4917.0,1951.0,155.0,180.0,86.1,93.0,115.0,80.9,32.0,64.0,50.0,0,0.8,0.4,8.0,26.0,4.0,2.0,21.0,399.0,357.0,41.0,7.0,1.0,1.0,19,18.0,6.0,2.0,4.0,0.0,303.0,1.0,10.0,16.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,11.0,7.0,1.0,9.0,18.0,50.0,9.0,18.0,3.0,15.0,12,31,32.0,0.0,35,500.0,62.0,178.0,199.0,128.0,12.0,500.0,10.0,7.0,70.0,3.0,30.0,267.0,1354.0,687.0,15.0,9.0,3.0,12.0,11.0,303.0,21.0,4,0,0,17,7,1,19,12,12,0,0,0,49.0,8.0,16.0,33.3,1.0
2018-10-03,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,3,1,be Club Brugge,3,15,6,40.0,0.2,0.5,15.7,0.0,0,0,1.8,1.8,0.12,1.2,1.2,1,1,0,0.0,0.0,0.4,-0.6,0,0,0,0,4.0,10.0,40.0,18.0,3.0,38.9,35.4,3.0,100.0,61.3,13.0,0.0,0.0,0.0,13.0,612.0,730.0,83.8,9411.0,2966.0,334.0,368.0,90.8,202.0,235.0,86.0,47.0,75.0,62.7,3,1.1,1.4,11.0,49.0,8.0,1.0,51.0,730.0,688.0,38.0,7.0,2.0,5.0,19,20.0,6.0,3.0,3.0,0.0,612.0,4.0,15.0,27.0,23.0,2.0,1.0,0.0,0.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,13.0,9,6.0,5.0,2.0,2.0,3.0,66.7,1.0,7.0,2.0,5.0,15,28,19.0,0.0,60,822.0,39.0,138.0,413.0,277.0,33.0,822.0,11.0,7.0,63.6,4.0,36.4,498.0,2586.0,1437.0,25.0,22.0,7.0,11.0,8.0,609.0,51.0,2,0,0,7,6,4,19,15,9,0,0,0,59.0,19.0,11.0,63.3,2.0
2018-10-07,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,W,1,0,Betis,1,13,4,30.8,0.08,0.25,17.7,0.0,0,0,0.6,0.6,0.05,0.4,0.4,0,0,0,,1.0,0.0,0.0,0,0,0,0,0.0,6.0,0.0,6.0,0.0,33.3,35.0,4.0,100.0,68.3,12.0,0.0,0.0,0.0,4.0,293.0,389.0,75.3,4816.0,1949.0,150.0,174.0,86.2,88.0,111.0,79.3,36.0,69.0,52.2,1,0.6,0.8,11.0,26.0,8.0,1.0,35.0,389.0,347.0,42.0,10.0,3.0,1.0,17,21.0,6.0,3.0,3.0,0.0,293.0,0.0,9.0,22.0,12.0,4.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,17,10.0,9.0,3.0,6.0,11.0,54.5,5.0,13.0,2.0,11.0,8,30,11.0,0.0,37,482.0,31.0,106.0,228.0,150.0,27.0,482.0,6.0,5.0,83.3,1.0,16.7,249.0,1360.0,593.0,16.0,12.0,4.0,13.0,18.0,292.0,35.0,5,0,0,16,10,0,17,8,17,0,0,0,61.0,12.0,7.0,63.2,1.0
