Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-17,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,1,Osasuna,0,13,2,15.4,0.0,0.0,18.7,2.0,0,0,1.4,1.4,0.11,-1.4,-1.4,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,5.0,15.0,33.3,26.0,6.0,42.3,37.6,5.0,80.0,62.0,7.0,1.0,14.3,2.0,17.5,270.0,403.0,67.0,5188.0,1897.0,109.0,137.0,79.6,114.0,138.0,82.6,37.0,94.0,39.4,0,1.2,0.8,8.0,17.0,7.0,4.0,27.0,403.0,335.0,63.0,11.0,0.0,5.0,23,37.0,8.0,0.0,5.0,2.0,270.0,5.0,13.0,21.0,14.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,5.0,8.0,3.0,6.0,10.0,60.0,4.0,1.0,0.0,1.0,6,22,10.0,0.0,52.0,492.0,27.0,156.0,223.0,118.0,21.0,492.0,10.0,5.0,50.0,5.0,50.0,219.0,1270.0,672.0,10.0,5.0,3.0,16.0,6.0,268.0,27.0,1,1,0,17,11,5,23,6,9,0.0,0.0,0,32.0,19.0,30.0,38.8,1
2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Home,L,0,1,Atlético Madrid,0,10,4,40.0,0.0,0.0,22.3,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,4,1,3,75.0,0,1.9,0.9,0,0,0,0,2.0,16.0,12.5,18.0,5.0,44.4,40.8,8.0,100.0,69.3,7.0,0.0,0.0,0.0,,261.0,386.0,67.6,4945.0,2006.0,110.0,132.0,83.3,100.0,131.0,76.3,41.0,93.0,44.1,0,0.3,0.8,7.0,29.0,14.0,5.0,40.0,386.0,334.0,49.0,15.0,0.0,5.0,25,15.0,9.0,1.0,7.0,0.0,261.0,3.0,14.0,16.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,5.0,9.0,3.0,3.0,12.0,25.0,9.0,7.0,0.0,7.0,18,35,16.0,1.0,42.0,488.0,44.0,145.0,216.0,135.0,25.0,488.0,8.0,5.0,62.5,3.0,37.5,231.0,1010.0,508.0,9.0,8.0,2.0,20.0,10.0,260.0,40.0,4,0,0,12,12,3,25,18,13,0.0,0.0,0,50.0,21.0,27.0,43.8,1
2019-08-31,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,L,1,2,Betis,1,19,7,36.8,0.05,0.14,20.3,3.0,0,0,1.4,1.4,0.08,-0.4,-0.4,5,2,3,60.0,0,1.8,-0.2,0,0,0,0,7.0,19.0,36.8,20.0,4.0,60.0,47.6,11.0,63.6,56.6,16.0,0.0,0.0,2.0,16.8,160.0,253.0,63.2,3301.0,1593.0,72.0,89.0,80.9,54.0,73.0,74.0,32.0,72.0,44.4,0,0.4,0.5,8.0,12.0,3.0,0.0,22.0,253.0,203.0,49.0,13.0,0.0,4.0,21,14.0,8.0,1.0,7.0,0.0,160.0,1.0,7.0,31.0,14.0,5.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,7,12.0,1.0,2.0,5.0,16.0,31.3,11.0,16.0,4.0,12.0,9,24,22.0,0.0,32.0,377.0,58.0,157.0,113.0,113.0,24.0,377.0,10.0,6.0,60.0,4.0,40.0,152.0,869.0,332.0,7.0,10.0,4.0,10.0,4.0,159.0,22.0,2,0,0,15,12,1,21,9,7,0.0,0.0,0,36.0,10.0,21.0,32.3,1
2019-09-14,16:00 (07:00),La Liga,Matchweek 4,Sat,Home,L,0,3,Villarreal,0,10,4,40.0,0.0,0.0,21.9,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,3,3,1,0.0,0,1.3,-0.7,0,0,0,0,2.0,9.0,22.2,20.0,7.0,35.0,36.6,4.0,50.0,42.5,16.0,0.0,0.0,0.0,16.3,370.0,479.0,77.2,6981.0,2421.0,152.0,172.0,88.4,159.0,198.0,80.3,51.0,88.0,58.0,0,0.3,0.8,7.0,35.0,5.0,1.0,55.0,479.0,425.0,51.0,11.0,0.0,8.0,25,24.0,8.0,3.0,5.0,0.0,370.0,3.0,5.0,19.0,15.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,6.0,0.0,4.0,10.0,40.0,6.0,9.0,2.0,7.0,4,15,29.0,0.0,49.0,580.0,47.0,153.0,276.0,163.0,19.0,580.0,17.0,9.0,52.9,8.0,47.1,354.0,1905.0,1025.0,18.0,17.0,1.0,12.0,6.0,369.0,54.0,2,0,0,14,10,3,25,4,6,0.0,0.0,1,49.0,21.0,11.0,65.6,1
2019-09-22,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,D,1,1,Valencia,1,13,4,30.8,0.08,0.25,17.8,2.0,0,0,1.2,1.2,0.09,-0.2,-0.2,4,1,3,100.0,0,1.1,0.1,1,1,0,0,10.0,31.0,32.3,22.0,3.0,72.7,52.3,15.0,100.0,69.9,18.0,3.0,16.7,0.0,6.8,272.0,360.0,75.6,5146.0,2233.0,127.0,140.0,90.7,106.0,128.0,82.8,36.0,80.0,45.0,1,1.0,0.8,10.0,33.0,2.0,0.0,35.0,360.0,309.0,50.0,11.0,0.0,2.0,15,16.0,6.0,0.0,3.0,0.0,272.0,1.0,4.0,24.0,12.0,4.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6,9.0,6.0,3.0,9.0,20.0,45.0,11.0,10.0,4.0,6.0,8,26,13.0,0.0,38.0,447.0,53.0,137.0,185.0,130.0,12.0,447.0,10.0,5.0,50.0,5.0,50.0,215.0,1022.0,445.0,10.0,8.0,3.0,10.0,10.0,270.0,35.0,4,0,0,23,14,1,15,8,6,0.0,1.0,0,43.0,18.0,21.0,46.2,1
2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Home,D,1,1,Athletic Club,1,7,3,42.9,0.14,0.33,16.5,1.0,0,0,0.5,0.5,0.07,0.5,0.5,2,1,1,100.0,0,1.1,0.1,1,1,0,0,4.0,18.0,22.2,19.0,5.0,68.4,48.0,6.0,83.3,56.5,13.0,1.0,7.7,1.0,15.7,251.0,385.0,65.2,4677.0,2292.0,108.0,138.0,78.3,109.0,149.0,73.2,29.0,82.0,35.4,0,0.4,0.4,5.0,26.0,7.0,3.0,41.0,385.0,334.0,50.0,12.0,4.0,1.0,19,26.0,4.0,1.0,3.0,0.0,251.0,1.0,8.0,13.0,8.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,11,9.0,9.0,3.0,9.0,18.0,50.0,9.0,7.0,3.0,4.0,9,30,19.0,0.0,40.0,494.0,38.0,156.0,226.0,119.0,12.0,494.0,22.0,12.0,54.5,10.0,45.5,266.0,1188.0,605.0,12.0,8.0,0.0,19.0,7.0,249.0,41.0,0,0,0,11,12,1,19,9,11,0.0,1.0,0,53.0,21.0,33.0,38.9,1
2019-09-28,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,L,0,1,Granada,0,15,6,40.0,0.0,0.0,20.0,2.0,0,0,1.2,1.2,0.08,-1.2,-1.2,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,3.0,15.0,20.0,23.0,6.0,47.8,42.1,8.0,50.0,47.5,18.0,1.0,5.6,0.0,15.5,269.0,372.0,72.3,5042.0,2219.0,112.0,133.0,84.2,119.0,144.0,82.6,34.0,77.0,44.2,0,1.1,0.8,12.0,14.0,6.0,4.0,28.0,372.0,315.0,54.0,17.0,2.0,6.0,11,24.0,3.0,1.0,1.0,0.0,269.0,3.0,7.0,29.0,23.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,10.0,6.0,0.0,3.0,10.0,30.0,7.0,7.0,2.0,5.0,11,27,30.0,0.0,49.0,494.0,64.0,186.0,220.0,91.0,14.0,494.0,11.0,7.0,63.6,4.0,36.4,248.0,1325.0,695.0,14.0,12.0,3.0,9.0,6.0,261.0,27.0,4,0,0,12,19,3,11,11,7,0.0,0.0,0,50.0,24.0,23.0,51.1,1
2019-10-05,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,1,2,Levante,1,24,9,37.5,0.04,0.11,16.4,1.0,0,1,2.8,2.0,0.09,-1.8,-1.0,2,2,0,50.0,0,1.1,-0.9,1,1,0,0,4.0,7.0,57.1,17.0,6.0,23.5,30.1,6.0,50.0,42.8,8.0,0.0,0.0,0.0,17.0,401.0,514.0,78.0,7463.0,3034.0,184.0,201.0,91.5,142.0,179.0,79.3,57.0,98.0,58.2,1,1.5,1.7,17.0,48.0,12.0,7.0,48.0,514.0,469.0,42.0,5.0,1.0,6.0,35,19.0,9.0,2.0,5.0,0.0,401.0,3.0,9.0,42.0,26.0,7.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8,6.0,2.0,2.0,8.0,22.0,36.4,14.0,7.0,4.0,3.0,12,22,9.0,0.0,59.0,618.0,36.0,129.0,312.0,183.0,32.0,617.0,13.0,7.0,53.8,6.0,46.2,326.0,1933.0,1052.0,25.0,18.0,7.0,17.0,6.0,400.0,48.0,3,0,0,10,7,3,35,12,8,1.0,1.0,0,59.0,13.0,17.0,43.3,1
2019-10-19,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,L,0,2,Getafe,0,7,3,42.9,0.0,0.0,18.3,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,2,2,0,0.0,0,1.4,-0.6,0,0,0,0,7.0,21.0,33.3,16.0,2.0,81.3,48.3,8.0,100.0,63.0,14.0,0.0,0.0,1.0,11.6,263.0,396.0,66.4,4336.0,2021.0,113.0,133.0,85.0,80.0,109.0,73.4,35.0,98.0,35.7,0,0.5,0.9,6.0,14.0,4.0,2.0,24.0,396.0,338.0,56.0,18.0,0.0,3.0,19,24.0,3.0,0.0,2.0,0.0,263.0,2.0,5.0,12.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,6.0,0.0,6.0,12.0,50.0,6.0,6.0,0.0,6.0,8,22,14.0,0.0,54.0,486.0,30.0,147.0,218.0,124.0,10.0,486.0,10.0,4.0,40.0,6.0,60.0,195.0,1050.0,437.0,6.0,8.0,0.0,14.0,17.0,261.0,24.0,4,0,0,19,15,2,19,8,9,0.0,0.0,0,48.0,29.0,33.0,46.8,1
2019-10-26,16:00 (07:00),La Liga,Matchweek 10,Sat,Home,W,1,0,Mallorca,1,9,3,33.3,0.11,0.33,16.8,1.0,0,0,1.7,1.7,0.19,-0.7,-0.7,1,0,1,100.0,1,0.1,0.1,0,0,0,0,11.0,19.0,57.9,16.0,1.0,81.3,55.2,7.0,85.7,59.7,18.0,0.0,0.0,0.0,9.5,293.0,377.0,77.7,5438.0,2228.0,147.0,169.0,87.0,94.0,112.0,83.9,41.0,70.0,58.6,1,1.3,0.7,6.0,26.0,5.0,4.0,27.0,377.0,329.0,46.0,14.0,1.0,8.0,17,20.0,4.0,0.0,1.0,0.0,293.0,2.0,6.0,16.0,13.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13,13.0,6.0,1.0,9.0,22.0,40.9,13.0,7.0,3.0,4.0,9,29,18.0,0.0,43.0,474.0,42.0,149.0,204.0,128.0,15.0,474.0,14.0,9.0,64.3,5.0,35.7,289.0,1613.0,794.0,16.0,14.0,8.0,11.0,9.0,291.0,27.0,4,0,0,19,12,2,17,9,13,0.0,0.0,0,42.0,17.0,15.0,53.1,1
