Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Away,W,3,1,Cádiz,3,14.0,5.0,35.7,0.21,0.6,13.3,0.0,0,0,2.4,2.4,0.17,0.6,0.6,5.0,1,4.0,80.0,0.0,1.2,0.2,0,0,0,0,1.0,3.0,33.3,16.0,6.0,12.5,23.5,5.0,20.0,30.4,16.0,0.0,0.0,0.0,5.5,672.0,756.0,88.9,12085.0,3472.0,282.0,298.0,94.6,315.0,341.0,92.4,67.0,97.0,69.1,3,2.4,2.2,14.0,38.0,16.0,5.0,59.0,756.0,714.0,40.0,9.0,1.0,10.0,23.0,19.0,5.0,4.0,0.0,0.0,672.0,2.0,7.0,27.0,23.0,2.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,2.0,12.0,16.7,10.0,2.0,1.0,1.0,7.0,14,23.0,0.0,75.0,852.0,69.0,268.0,432.0,155.0,30.0,852.0,18.0,7.0,38.9,11.0,61.1,491.0,2367.0,1250.0,25.0,11.0,5.0,9.0,8.0,670.0,59.0,2,0,0,14.0,8.0,2.0,23.0,7.0,7.0,0.0,0.0,0,51.0,15.0,19.0,44.1,1.0
2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Home,W,1,0,Levante,1,16.0,2.0,12.5,0.06,0.5,19.4,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,1.0,0,1.0,100.0,1.0,0.0,0.0,0,0,0,0,4.0,10.0,40.0,21.0,1.0,38.1,32.5,3.0,66.7,46.3,9.0,0.0,0.0,1.0,26.0,527.0,613.0,86.0,10102.0,3199.0,211.0,231.0,91.3,252.0,275.0,91.6,61.0,98.0,62.2,1,1.0,0.8,14.0,49.0,15.0,5.0,63.0,613.0,572.0,40.0,18.0,0.0,9.0,25.0,16.0,2.0,0.0,2.0,0.0,527.0,1.0,4.0,27.0,24.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,7.0,1.0,10.0,22.0,45.5,12.0,11.0,0.0,11.0,9.0,25,9.0,1.0,64.0,703.0,45.0,183.0,343.0,185.0,25.0,703.0,10.0,4.0,40.0,6.0,60.0,461.0,2075.0,1036.0,19.0,23.0,5.0,13.0,6.0,524.0,61.0,6,0,0,14.0,15.0,1.0,25.0,9.0,11.0,0.0,0.0,0,54.0,14.0,9.0,60.9,1.0
2020-10-04,21:00 (12:00),La Liga,Matchweek 5,Sun,Away,D,1,1,Barcelona,1,13.0,1.0,7.7,0.08,1.0,13.7,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,5.0,1,4.0,80.0,0.0,1.0,0.0,0,0,0,0,1.0,5.0,20.0,25.0,4.0,12.0,23.5,4.0,50.0,36.3,10.0,2.0,20.0,1.0,10.5,487.0,567.0,85.9,8335.0,2430.0,203.0,226.0,89.8,204.0,218.0,93.6,48.0,77.0,62.3,0,1.3,1.8,11.0,23.0,6.0,4.0,26.0,567.0,533.0,33.0,11.0,2.0,6.0,14.0,11.0,5.0,0.0,2.0,0.0,487.0,1.0,7.0,23.0,16.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7.0,7.0,4.0,3.0,5.0,15.0,33.3,10.0,10.0,1.0,9.0,16.0,30,20.0,1.0,45.0,656.0,80.0,236.0,322.0,103.0,20.0,656.0,12.0,10.0,83.3,2.0,16.7,376.0,2060.0,1156.0,20.0,14.0,5.0,6.0,10.0,485.0,26.0,1,0,0,18.0,10.0,1.0,14.0,16.0,7.0,0.0,0.0,0,61.0,11.0,6.0,64.7,1.0
2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Away,L,0,1,Granada,0,8.0,3.0,37.5,0.0,0.0,18.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,3.0,1,2.0,66.7,0.0,1.6,0.6,0,0,0,0,12.0,22.0,54.5,27.0,5.0,51.9,40.3,9.0,88.9,58.1,22.0,1.0,4.5,0.0,5.0,317.0,402.0,78.9,5907.0,2436.0,147.0,161.0,91.3,115.0,133.0,86.5,43.0,84.0,51.2,0,0.5,0.5,7.0,20.0,6.0,2.0,25.0,402.0,354.0,48.0,18.0,0.0,8.0,9.0,18.0,1.0,0.0,1.0,0.0,317.0,0.0,6.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,11.0,2.0,0.0,4.0,12.0,33.3,8.0,14.0,7.0,7.0,12.0,25,21.0,0.0,48.0,502.0,72.0,194.0,216.0,96.0,10.0,502.0,14.0,8.0,57.1,6.0,42.9,279.0,1411.0,657.0,12.0,11.0,3.0,12.0,11.0,317.0,25.0,4,1,1,11.0,16.0,0.0,9.0,12.0,11.0,0.0,0.0,0,43.0,17.0,14.0,54.8,1.0
2020-10-20,20:00 (12:00),Champions Lg,Group stage,Tue,Away,D,0,0,eng Chelsea,0,5.0,2.0,40.0,0.0,0.0,12.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,4.0,0,4.0,100.0,1.0,0.7,0.7,0,0,0,0,6.0,12.0,50.0,33.0,3.0,24.2,28.5,4.0,100.0,58.3,9.0,0.0,0.0,2.0,30.5,520.0,642.0,81.0,9524.0,2791.0,245.0,276.0,88.8,181.0,205.0,88.3,77.0,113.0,68.1,0,0.2,0.4,4.0,32.0,5.0,1.0,37.0,642.0,591.0,50.0,13.0,0.0,20.0,24.0,27.0,5.0,2.0,2.0,0.0,520.0,1.0,15.0,10.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,7.0,4.0,2.0,4.0,11.0,36.4,7.0,10.0,0.0,10.0,10.0,23,7.0,0.0,56.0,735.0,55.0,207.0,370.0,163.0,19.0,735.0,18.0,8.0,44.4,10.0,55.6,388.0,1978.0,1006.0,12.0,8.0,3.0,8.0,13.0,514.0,37.0,2,0,0,9.0,11.0,1.0,24.0,10.0,7.0,0.0,0.0,0,58.0,18.0,14.0,56.3,2.0
2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,L,0,1,Eibar,0,21.0,3.0,14.3,0.0,0.0,17.9,1.0,0,0,1.7,1.7,0.09,-1.7,-1.7,1.0,1,0.0,0.0,0.0,0.2,-0.8,0,0,0,0,3.0,10.0,30.0,44.0,8.0,20.5,25.8,3.0,33.3,36.3,13.0,1.0,7.7,1.0,14.0,613.0,741.0,82.7,11023.0,3344.0,267.0,295.0,90.5,252.0,289.0,87.2,72.0,114.0,63.2,0,1.8,1.1,18.0,39.0,15.0,5.0,54.0,741.0,673.0,66.0,11.0,1.0,17.0,42.0,37.0,13.0,7.0,2.0,0.0,613.0,2.0,13.0,35.0,24.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,7.0,8.0,2.0,8.0,16.0,50.0,8.0,6.0,1.0,5.0,11.0,28,11.0,0.0,72.0,833.0,81.0,327.0,288.0,225.0,28.0,833.0,17.0,14.0,82.4,3.0,17.6,551.0,2403.0,1210.0,22.0,16.0,3.0,11.0,10.0,611.0,54.0,0,0,0,11.0,11.0,2.0,42.0,11.0,12.0,0.0,0.0,0,53.0,12.0,29.0,29.3,1.0
2020-10-28,21:00 (13:00),Champions Lg,Group stage,Wed,Home,W,1,0,fr Rennes,1,23.0,9.0,39.1,0.04,0.11,16.5,0.0,0,0,2.6,2.6,0.12,-1.6,-1.6,2.0,0,2.0,100.0,1.0,0.2,0.2,0,0,0,0,3.0,6.0,50.0,32.0,5.0,18.8,29.0,1.0,0.0,18.0,5.0,1.0,20.0,1.0,13.7,510.0,609.0,83.7,8915.0,2753.0,244.0,259.0,94.2,180.0,198.0,90.9,66.0,108.0,61.1,1,2.6,1.7,21.0,29.0,10.0,6.0,39.0,609.0,547.0,56.0,18.0,0.0,14.0,32.0,25.0,11.0,0.0,4.0,0.0,510.0,6.0,7.0,44.0,30.0,10.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,7.0,8.0,2.0,13.0,21.0,61.9,8.0,8.0,0.0,8.0,5.0,22,3.0,0.0,66.0,685.0,42.0,167.0,347.0,174.0,29.0,685.0,19.0,12.0,63.2,7.0,36.8,372.0,2095.0,1301.0,22.0,12.0,5.0,13.0,4.0,506.0,39.0,2,0,0,14.0,19.0,6.0,32.0,5.0,12.0,0.0,0.0,0,60.0,21.0,12.0,63.6,2.0
2020-10-31,16:15 (08:15),La Liga,Matchweek 8,Sat,Away,L,1,2,Athletic Club,1,7.0,2.0,28.6,0.14,0.5,11.6,0.0,0,0,1.1,1.1,0.16,-0.1,-0.1,5.0,2,3.0,60.0,0.0,0.8,-1.2,0,0,0,0,5.0,14.0,35.7,24.0,7.0,41.7,34.7,5.0,80.0,54.0,22.0,0.0,0.0,0.0,11.0,380.0,473.0,80.3,7020.0,2444.0,179.0,201.0,89.1,137.0,157.0,87.3,54.0,98.0,55.1,1,1.1,0.9,7.0,23.0,8.0,4.0,32.0,473.0,431.0,41.0,17.0,0.0,9.0,18.0,15.0,1.0,0.0,0.0,0.0,380.0,1.0,5.0,14.0,11.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,5.0,9.0,0.0,8.0,14.0,57.1,6.0,13.0,7.0,6.0,10.0,24,16.0,0.0,53.0,570.0,55.0,203.0,275.0,95.0,15.0,570.0,3.0,2.0,66.7,1.0,33.3,282.0,1240.0,648.0,10.0,6.0,2.0,19.0,3.0,378.0,32.0,5,0,0,19.0,17.0,1.0,18.0,10.0,7.0,0.0,0.0,0,45.0,16.0,13.0,55.2,1.0
2020-11-04,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,3,2,ru Krasnodar,3,22.0,11.0,50.0,0.14,0.27,16.1,1.0,0,0,2.0,2.0,0.09,1.0,1.0,3.0,2,1.0,66.7,0.0,1.5,-0.5,1,1,0,0,2.0,5.0,40.0,15.0,2.0,20.0,27.5,4.0,50.0,46.8,9.0,1.0,11.1,1.0,17.0,612.0,721.0,84.9,11229.0,3037.0,260.0,277.0,93.9,268.0,299.0,89.6,66.0,101.0,65.3,1,1.0,1.5,14.0,50.0,16.0,9.0,54.0,721.0,677.0,44.0,13.0,0.0,16.0,41.0,18.0,6.0,1.0,2.0,0.0,612.0,0.0,13.0,38.0,31.0,1.0,4.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,7.0,3.0,8.0,5.0,7.0,16.0,43.8,9.0,11.0,5.0,6.0,10.0,26,10.0,0.0,63.0,834.0,40.0,135.0,416.0,287.0,40.0,834.0,18.0,12.0,66.7,6.0,33.3,440.0,2130.0,990.0,14.0,12.0,5.0,14.0,4.0,610.0,54.0,2,1,0,12.0,11.0,0.0,41.0,10.0,7.0,0.0,1.0,0,55.0,20.0,20.0,50.0,2.0
2020-11-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Home,W,1,0,Osasuna,1,8.0,0.0,0.0,0.0,,22.7,0.0,1,1,1.1,0.3,0.04,-0.1,-0.3,2.0,0,2.0,100.0,1.0,0.2,0.2,0,0,0,0,1.0,11.0,9.1,29.0,5.0,17.2,27.8,8.0,75.0,44.1,9.0,1.0,11.1,0.0,10.0,496.0,603.0,82.3,8756.0,2757.0,231.0,255.0,90.6,172.0,197.0,87.3,69.0,109.0,63.3,0,0.3,0.7,6.0,24.0,10.0,3.0,44.0,603.0,539.0,60.0,20.0,0.0,9.0,23.0,28.0,3.0,0.0,0.0,0.0,496.0,4.0,8.0,17.0,15.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,7.0,5.0,3.0,3.0,8.0,17.0,47.1,9.0,6.0,3.0,3.0,4.0,15,16.0,0.0,66.0,689.0,61.0,229.0,324.0,140.0,20.0,688.0,25.0,18.0,72.0,7.0,28.0,311.0,1827.0,1026.0,21.0,13.0,4.0,13.0,5.0,490.0,44.0,2,0,0,11.0,19.0,4.0,23.0,4.0,7.0,1.0,0.0,0,50.0,25.0,26.0,49.0,1.0
