Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,22:00 (13:00),La Liga,Matchweek 1,Sat,Home,L,1,4,Real Madrid,1,10,3,30.0,0.0,0.0,19.3,1.0,1,1,1.7,0.9,0.09,-0.7,-0.9,7,4,3,42.9,0,2.0,-2.0,0,0,0,0,9.0,11.0,81.8,16.0,3.0,25.0,31.9,13.0,53.8,38.3,9.0,0.0,0.0,0.0,,360.0,439.0,82.0,6508.0,2692.0,176.0,198.0,88.9,119.0,140.0,85.0,52.0,69.0,75.4,0,0.7,0.3,7.0,19.0,6.0,5.0,20.0,439.0,388.0,50.0,9.0,1.0,7.0,18,23.0,0.0,0.0,0.0,0.0,360.0,1.0,12.0,18.0,15.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4,1.0,5.0,2.0,5.0,19.0,26.3,14.0,9.0,4.0,5.0,8,16,14.0,0.0,42.0,526.0,65.0,192.0,217.0,121.0,11.0,525.0,7.0,4.0,57.1,3.0,42.9,292.0,1562.0,749.0,14.0,16.0,3.0,20.0,7.0,360.0,20.0,1,0,0,14,9,1,18,8,4,1.0,0.0,0,38.0,12.0,3.0,80.0,1
2021-08-21,17:00 (08:00),La Liga,Matchweek 2,Sat,Home,L,0,1,Mallorca,0,9,4,44.4,0.0,0.0,14.8,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,11.0,22.0,50.0,25.0,1.0,68.0,46.6,11.0,45.5,34.0,12.0,0.0,0.0,0.0,13.5,253.0,349.0,72.5,5076.0,1889.0,103.0,120.0,85.8,102.0,123.0,82.9,40.0,87.0,46.0,0,0.3,0.5,6.0,16.0,4.0,1.0,21.0,349.0,301.0,48.0,17.0,1.0,6.0,12,17.0,1.0,1.0,0.0,0.0,253.0,0.0,6.0,18.0,9.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17,13.0,10.0,1.0,9.0,19.0,47.4,10.0,7.0,2.0,5.0,6,30,24.0,0.0,46.0,461.0,63.0,174.0,206.0,89.0,16.0,461.0,10.0,9.0,90.0,1.0,10.0,232.0,1156.0,521.0,9.0,10.0,3.0,23.0,7.0,251.0,20.0,3,1,1,14,14,0,12,6,17,0.0,0.0,0,43.0,11.0,19.0,36.7,1
2021-08-27,22:15 (13:15),La Liga,Matchweek 3,Fri,Away,L,0,3,Valencia,0,9,2,22.2,0.0,0.0,19.2,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,4,3,1,25.0,0,2.9,-0.1,0,0,0,0,10.0,21.0,47.6,30.0,3.0,50.0,37.6,8.0,75.0,52.0,13.0,1.0,7.7,0.0,4.0,309.0,420.0,73.6,6235.0,2481.0,124.0,146.0,84.9,123.0,163.0,75.5,51.0,84.0,60.7,0,0.4,0.3,8.0,22.0,4.0,1.0,24.0,420.0,355.0,63.0,21.0,0.0,9.0,16,26.0,4.0,3.0,1.0,0.0,309.0,2.0,5.0,15.0,6.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5,3.0,2.0,2.0,2.0,8.0,25.0,6.0,6.0,1.0,5.0,8,15,16.0,0.0,51.0,506.0,57.0,173.0,221.0,116.0,16.0,506.0,20.0,13.0,65.0,7.0,35.0,242.0,1375.0,587.0,12.0,6.0,2.0,20.0,7.0,308.0,24.0,4,0,0,15,20,2,16,8,5,0.0,0.0,0,36.0,25.0,15.0,62.5,1
2021-09-18,21:00 (12:00),La Liga,Matchweek 5,Sat,Home,L,0,2,Osasuna,0,8,3,37.5,0.0,0.0,22.6,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,5,2,3,80.0,0,1.8,-0.2,1,1,0,0,8.0,22.0,36.4,21.0,2.0,66.7,47.4,13.0,61.5,48.4,17.0,0.0,0.0,0.0,8.0,354.0,508.0,69.7,6527.0,2789.0,166.0,206.0,80.6,151.0,183.0,82.5,36.0,93.0,38.7,0,0.1,0.8,4.0,25.0,2.0,0.0,28.0,508.0,444.0,62.0,14.0,2.0,1.0,28,30.0,2.0,0.0,2.0,0.0,354.0,2.0,12.0,8.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9,0.0,5.0,5.0,3.0,5.0,60.0,2.0,8.0,1.0,7.0,21,31,15.0,0.0,55.0,626.0,58.0,205.0,280.0,145.0,18.0,626.0,21.0,8.0,38.1,13.0,61.9,322.0,1510.0,703.0,17.0,13.0,5.0,21.0,13.0,348.0,28.0,4,0,0,11,14,2,28,21,9,0.0,1.0,0,68.0,36.0,22.0,62.1,1
2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Away,L,0,1,Espanyol,0,7,2,28.6,0.0,0.0,14.9,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,2,1,1,100.0,0,1.7,0.7,1,1,0,0,6.0,9.0,66.7,14.0,0.0,57.1,43.1,6.0,16.7,33.7,14.0,1.0,7.1,1.0,20.0,307.0,420.0,73.1,5995.0,2505.0,140.0,163.0,85.9,110.0,144.0,76.4,50.0,86.0,58.1,0,0.4,0.6,5.0,38.0,11.0,5.0,39.0,420.0,362.0,53.0,17.0,1.0,10.0,28,20.0,8.0,3.0,2.0,1.0,307.0,5.0,8.0,13.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6,7.0,7.0,1.0,7.0,15.0,46.7,8.0,7.0,4.0,3.0,12,27,16.0,0.0,47.0,506.0,40.0,124.0,253.0,132.0,26.0,506.0,8.0,3.0,37.5,5.0,62.5,230.0,1320.0,671.0,16.0,7.0,5.0,17.0,6.0,301.0,36.0,1,0,0,18,13,5,28,12,6,0.0,1.0,0,38.0,23.0,13.0,63.9,1
2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,W,1,0,Atlético Madrid,1,7,1,14.3,0.14,1.0,16.0,0.0,0,0,0.7,0.7,0.1,0.3,0.3,1,0,1,100.0,1,0.1,0.1,0,0,0,0,7.0,22.0,31.8,18.0,1.0,83.3,54.9,16.0,43.8,41.6,28.0,1.0,3.6,0.0,3.0,168.0,268.0,62.7,3787.0,1816.0,56.0,78.0,71.8,74.0,94.0,78.7,36.0,83.0,43.4,1,0.7,0.5,6.0,14.0,5.0,1.0,17.0,268.0,216.0,52.0,13.0,1.0,4.0,11,19.0,3.0,1.0,2.0,0.0,168.0,0.0,7.0,13.0,7.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,7,9.0,1.0,1.0,3.0,18.0,16.7,15.0,5.0,2.0,3.0,8,19,43.0,0.0,30.0,388.0,94.0,204.0,123.0,65.0,11.0,388.0,14.0,11.0,78.6,3.0,21.4,148.0,834.0,398.0,9.0,4.0,3.0,17.0,6.0,168.0,17.0,2,0,0,18,10,0,11,8,7,0.0,0.0,0,40.0,19.0,17.0,52.8,1
2021-10-01,21:00 (12:00),La Liga,Matchweek 8,Fri,Away,L,0,1,Athletic Club,0,17,5,29.4,0.0,0.0,14.4,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,5,1,3,80.0,0,1.9,0.9,1,0,1,0,12.0,24.0,50.0,28.0,4.0,67.9,43.9,6.0,83.3,49.0,24.0,1.0,4.2,0.0,16.3,283.0,389.0,72.8,5691.0,2292.0,123.0,140.0,87.9,100.0,132.0,75.8,53.0,90.0,58.9,0,0.7,0.5,13.0,17.0,6.0,5.0,18.0,389.0,338.0,49.0,16.0,0.0,7.0,25,16.0,9.0,4.0,4.0,0.0,283.0,2.0,10.0,32.0,14.0,8.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,6.0,4.0,1.0,5.0,14.0,35.7,9.0,13.0,4.0,9.0,16,27,28.0,0.0,45.0,509.0,77.0,202.0,208.0,105.0,25.0,509.0,11.0,7.0,63.6,4.0,36.4,294.0,1167.0,501.0,12.0,11.0,2.0,14.0,7.0,280.0,17.0,2,0,0,12,16,2,25,16,6,0.0,1.0,0,45.0,27.0,11.0,71.1,1
2021-10-18,19:00 (10:00),La Liga,Matchweek 9,Mon,Home,L,0,1,Betis,0,14,2,14.3,0.0,0.0,15.7,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,16.0,18.0,88.9,18.0,2.0,66.7,42.4,7.0,85.7,56.0,13.0,0.0,0.0,1.0,14.7,265.0,361.0,73.4,5009.0,2484.0,130.0,153.0,85.0,79.0,98.0,80.6,40.0,75.0,53.3,0,0.5,0.4,7.0,24.0,3.0,1.0,22.0,361.0,311.0,47.0,11.0,0.0,6.0,24,20.0,7.0,2.0,4.0,0.0,265.0,3.0,8.0,25.0,13.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,6.0,0.0,3.0,9.0,33.3,6.0,14.0,8.0,6.0,7,19,28.0,0.0,37.0,476.0,60.0,158.0,180.0,146.0,20.0,476.0,15.0,7.0,46.7,8.0,53.3,248.0,1439.0,719.0,16.0,13.0,2.0,15.0,5.0,262.0,22.0,1,0,0,8,10,3,24,7,10,0.0,0.0,0,49.0,24.0,21.0,53.3,1
2021-10-23,16:15 (07:15),La Liga,Matchweek 10,Sat,Away,W,2,0,Cádiz,2,7,3,42.9,0.14,0.33,15.7,0.0,1,1,1.3,0.5,0.08,0.7,0.5,3,0,3,100.0,1,0.4,0.4,0,0,0,0,14.0,25.0,56.0,24.0,2.0,66.7,47.2,12.0,75.0,50.3,41.0,0.0,0.0,0.0,4.3,237.0,350.0,67.7,4596.0,2410.0,103.0,128.0,80.5,95.0,127.0,74.8,34.0,75.0,45.3,1,0.4,0.4,4.0,22.0,4.0,1.0,21.0,350.0,310.0,39.0,10.0,1.0,4.0,10,13.0,3.0,2.0,1.0,0.0,237.0,1.0,8.0,12.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,5,6.0,3.0,0.0,4.0,26.0,15.4,22.0,12.0,6.0,6.0,12,21,43.0,1.0,39.0,479.0,95.0,196.0,211.0,80.0,16.0,478.0,19.0,7.0,36.8,12.0,63.2,195.0,1042.0,536.0,9.0,7.0,4.0,10.0,10.0,235.0,20.0,2,0,0,14,11,1,10,12,5,1.0,0.0,0,64.0,33.0,16.0,67.3,1
2021-10-26,19:00 (10:00),La Liga,Matchweek 11,Tue,Home,W,1,0,Elche,1,16,5,31.3,0.06,0.2,17.3,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,1,0,1,,1,0.2,0.0,0,0,0,0,8.0,14.0,57.1,21.0,2.0,52.4,39.0,6.0,50.0,40.3,24.0,2.0,8.3,3.0,15.5,264.0,347.0,76.1,4346.0,1810.0,150.0,165.0,90.9,81.0,104.0,77.9,27.0,53.0,50.9,1,1.6,0.6,11.0,16.0,5.0,2.0,18.0,347.0,305.0,40.0,10.0,1.0,6.0,12,19.0,4.0,2.0,1.0,0.0,264.0,2.0,7.0,27.0,18.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,10,8.0,9.0,2.0,12.0,20.0,60.0,8.0,7.0,2.0,5.0,14,33,32.0,0.0,38.0,474.0,50.0,144.0,233.0,103.0,20.0,474.0,16.0,7.0,43.8,9.0,56.3,290.0,1194.0,520.0,10.0,6.0,3.0,15.0,9.0,262.0,18.0,1,0,0,13,9,2,12,14,10,0.0,0.0,0,47.0,15.0,15.0,50.0,1
