Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,19:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Levante,1,7,2,28.6,0.14,0.5,20.1,1.0,0,0,0.6,0.6,0.08,0.4,0.4,3,1,2,66.7,0,1.1,0.1,0,0,0,0,9.0,26.0,34.6,20.0,2.0,55.0,45.2,18.0,83.3,63.4,13.0,0.0,0.0,0.0,16.3,248.0,355.0,69.9,5080.0,1982.0,88.0,103.0,85.4,111.0,132.0,84.1,37.0,88.0,42.0,0,0.2,0.5,4.0,21.0,4.0,1.0,28.0,355.0,298.0,56.0,16.0,3.0,5.0,19,18.0,2.0,0.0,2.0,0.0,248.0,1.0,8.0,10.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,8,6.0,6.0,2.0,5.0,12.0,41.7,7.0,6.0,1.0,5.0,11,25,17.0,0.0,43,430.0,57.0,142.0,187.0,104.0,12.0,430.0,14.0,11.0,78.6,3.0,21.4,243.0,1293.0,660.0,10.0,9.0,3.0,6.0,8.0,245.0,28.0,1,0,0,10,15,1,19,11,8,0.0,0.0,0,44.0,20.0,13.0,60.6,1
2021-08-20,21:00 (12:00),La Liga,Matchweek 2,Fri,Away,D,1,1,Betis,1,7,2,28.6,0.0,0.0,19.1,1.0,1,1,1.6,0.8,0.11,-0.6,-0.8,7,1,6,85.7,0,1.5,0.5,0,0,0,0,9.0,25.0,36.0,13.0,1.0,100.0,59.4,12.0,100.0,66.6,17.0,0.0,0.0,0.0,,152.0,258.0,58.9,3073.0,1470.0,67.0,87.0,77.0,51.0,75.0,68.0,23.0,70.0,32.9,0,0.6,0.5,4.0,12.0,7.0,5.0,17.0,258.0,205.0,53.0,10.0,1.0,2.0,25,24.0,5.0,2.0,3.0,0.0,152.0,0.0,9.0,11.0,5.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,10,18.0,4.0,1.0,16.0,33.0,48.5,17.0,5.0,2.0,3.0,12,35,24.0,0.0,27,370.0,66.0,165.0,108.0,103.0,17.0,369.0,14.0,7.0,50.0,7.0,50.0,163.0,1034.0,557.0,12.0,8.0,3.0,12.0,7.0,151.0,17.0,0,0,0,10,11,0,25,12,10,1.0,0.0,0,43.0,18.0,16.0,52.9,1
2021-08-29,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,2,3,Osasuna,2,6,2,33.3,0.17,0.5,19.9,0.0,1,1,1.6,0.9,0.14,0.4,0.1,4,3,1,75.0,0,2.6,-0.4,2,2,0,0,4.0,23.0,17.4,14.0,1.0,85.7,52.8,11.0,100.0,70.6,29.0,2.0,6.9,0.0,5.3,148.0,264.0,56.1,2913.0,1338.0,60.0,79.0,75.9,52.0,85.0,61.2,26.0,75.0,34.7,1,0.8,0.5,5.0,13.0,5.0,3.0,23.0,264.0,218.0,46.0,6.0,2.0,5.0,20,21.0,4.0,2.0,0.0,0.0,148.0,0.0,3.0,12.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,13,12.0,4.0,1.0,6.0,21.0,28.6,15.0,10.0,2.0,8.0,15,32,45.0,0.0,28,405.0,77.0,174.0,146.0,92.0,11.0,404.0,11.0,8.0,72.7,3.0,27.3,138.0,894.0,423.0,14.0,9.0,2.0,21.0,7.0,147.0,23.0,4,0,0,9,5,0,20,15,13,0.0,2.0,0,53.0,16.0,35.0,31.4,1
2021-09-12,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,2,Real Sociedad,0,6,1,16.7,0.0,0.0,15.9,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,4,2,2,75.0,0,2.3,0.3,1,1,0,0,6.0,18.0,33.3,17.0,1.0,76.5,48.6,5.0,100.0,66.0,15.0,0.0,0.0,0.0,4.0,121.0,215.0,56.3,2470.0,1252.0,45.0,63.0,71.4,47.0,65.0,72.3,23.0,62.0,37.1,0,0.1,0.3,3.0,8.0,4.0,1.0,10.0,215.0,167.0,46.0,13.0,2.0,3.0,9,23.0,2.0,1.0,0.0,0.0,121.0,2.0,6.0,12.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,11.0,5.0,1.0,6.0,18.0,33.3,12.0,19.0,7.0,12.0,15,32,30.0,0.0,24,333.0,68.0,155.0,128.0,53.0,9.0,333.0,6.0,4.0,66.7,2.0,33.3,132.0,579.0,252.0,2.0,3.0,0.0,16.0,8.0,118.0,9.0,4,1,1,10,9,2,9,15,11,0.0,1.0,0,42.0,14.0,20.0,41.2,1
2021-09-17,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,W,2,1,Celta Vigo,2,6,2,33.3,0.33,1.0,22.2,0.0,0,1,1.1,0.3,0.04,0.9,1.7,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,11.0,29.0,37.9,18.0,0.0,94.4,59.0,12.0,100.0,62.6,32.0,1.0,3.1,2.0,11.4,107.0,230.0,46.5,2453.0,1521.0,44.0,74.0,59.5,34.0,71.0,47.9,27.0,69.0,39.1,1,0.2,0.2,3.0,11.0,4.0,2.0,9.0,230.0,184.0,46.0,7.0,0.0,1.0,11,24.0,1.0,1.0,0.0,0.0,107.0,0.0,5.0,8.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,20.0,11,12.0,6.0,2.0,10.0,18.0,55.6,8.0,16.0,4.0,12.0,10,30,40.0,0.0,23,370.0,77.0,191.0,104.0,79.0,7.0,369.0,12.0,7.0,58.3,5.0,41.7,112.0,668.0,319.0,3.0,5.0,1.0,23.0,7.0,105.0,9.0,3,0,0,8,8,0,11,10,11,1.0,0.0,0,54.0,23.0,26.0,46.9,1
2021-09-23,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,D,0,0,Barcelona,0,13,3,23.1,0.0,0.0,17.4,0.0,0,0,1.3,1.3,0.11,-1.3,-1.3,2,0,2,100.0,1,0.2,0.2,0,0,0,0,7.0,17.0,41.2,17.0,3.0,76.5,46.4,6.0,66.7,51.5,20.0,2.0,10.0,0.0,7.2,229.0,335.0,68.4,4491.0,1969.0,97.0,108.0,89.8,86.0,116.0,74.1,36.0,80.0,45.0,0,0.8,0.6,9.0,23.0,7.0,5.0,31.0,335.0,291.0,43.0,9.0,0.0,2.0,27,23.0,4.0,2.0,2.0,0.0,229.0,1.0,10.0,21.0,12.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,13.0,4.0,3.0,11.0,18.0,61.1,7.0,5.0,1.0,4.0,17,37,20.0,0.0,33,455.0,50.0,162.0,162.0,139.0,18.0,455.0,22.0,10.0,45.5,12.0,54.5,263.0,1744.0,661.0,19.0,9.0,3.0,19.0,7.0,225.0,31.0,3,0,0,16,7,1,27,17,11,0.0,0.0,0,65.0,10.0,17.0,37.0,1
2021-09-26,18:30 (09:30),La Liga,Matchweek 7,Sun,Away,L,1,3,Rayo Vallecano,1,6,1,16.7,0.17,1.0,10.8,0.0,0,0,1.0,1.0,0.16,0.0,0.0,6,3,3,50.0,0,2.8,-0.2,0,0,0,0,13.0,27.0,48.1,28.0,4.0,75.0,53.4,6.0,100.0,77.3,9.0,2.0,22.2,1.0,13.0,209.0,352.0,59.4,4262.0,2060.0,91.0,117.0,77.8,66.0,102.0,64.7,39.0,94.0,41.5,1,1.0,0.9,6.0,23.0,5.0,4.0,24.0,352.0,292.0,58.0,13.0,0.0,4.0,25,32.0,3.0,2.0,0.0,0.0,209.0,2.0,9.0,12.0,7.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,14,8.0,11.0,1.0,6.0,21.0,28.6,15.0,11.0,3.0,8.0,15,35,13.0,0.0,42,458.0,47.0,145.0,198.0,120.0,11.0,458.0,18.0,12.0,66.7,6.0,33.3,209.0,1249.0,523.0,14.0,7.0,2.0,14.0,6.0,208.0,24.0,4,0,0,11,11,2,25,15,14,0.0,0.0,0,54.0,26.0,22.0,54.2,1
2021-10-02,18:30 (09:30),La Liga,Matchweek 8,Sat,Home,D,0,0,Valencia,0,2,1,50.0,0.0,0.0,14.4,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,4,0,4,100.0,1,0.3,0.3,0,0,0,0,10.0,28.0,35.7,15.0,0.0,93.3,57.8,14.0,100.0,70.8,19.0,2.0,10.5,0.0,12.3,161.0,285.0,56.5,3172.0,1698.0,71.0,92.0,77.2,59.0,93.0,63.4,24.0,76.0,31.6,0,0.1,0.1,1.0,18.0,2.0,0.0,20.0,285.0,233.0,51.0,12.0,0.0,6.0,15,23.0,1.0,1.0,0.0,0.0,161.0,1.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17,20.0,11.0,1.0,12.0,26.0,46.2,14.0,12.0,4.0,8.0,12,44,28.0,0.0,33,409.0,61.0,188.0,145.0,80.0,6.0,409.0,10.0,4.0,40.0,6.0,60.0,167.0,829.0,415.0,12.0,6.0,0.0,23.0,5.0,160.0,20.0,3,0,0,16,11,1,15,12,17,0.0,0.0,0,65.0,23.0,20.0,53.5,1
2021-10-18,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Espanyol,0,13,2,15.4,0.0,0.0,19.4,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,6,2,4,66.7,0,1.9,-0.1,0,0,0,0,8.0,14.0,57.1,17.0,0.0,52.9,38.5,6.0,83.3,59.5,17.0,0.0,0.0,1.0,18.5,327.0,431.0,75.9,6162.0,2309.0,151.0,174.0,86.8,112.0,151.0,74.2,55.0,81.0,67.9,0,0.4,0.8,12.0,23.0,9.0,5.0,41.0,431.0,384.0,47.0,10.0,2.0,6.0,40,20.0,9.0,4.0,4.0,0.0,327.0,0.0,8.0,25.0,18.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9,2.0,7.0,1.0,4.0,24.0,16.7,20.0,13.0,5.0,8.0,9,19,21.0,0.0,46,550.0,62.0,164.0,221.0,167.0,22.0,550.0,14.0,8.0,57.1,6.0,42.9,316.0,1609.0,983.0,21.0,16.0,5.0,17.0,3.0,323.0,38.0,0,0,0,10,8,0,40,9,9,0.0,0.0,0,54.0,14.0,18.0,43.8,1
2021-10-23,16:15 (07:15),La Liga,Matchweek 10,Sat,Home,L,0,2,Alavés,0,23,3,13.0,0.0,0.0,18.7,1.0,0,0,1.5,1.5,0.07,-1.5,-1.5,4,2,2,75.0,0,1.3,-0.7,1,1,0,0,6.0,16.0,37.5,38.0,10.0,42.1,35.2,6.0,0.0,27.8,7.0,0.0,0.0,0.0,14.0,418.0,550.0,76.0,7629.0,2798.0,165.0,185.0,89.2,188.0,230.0,81.7,51.0,99.0,51.5,0,1.0,1.2,14.0,33.0,11.0,6.0,54.0,550.0,495.0,55.0,14.0,1.0,3.0,50,18.0,14.0,4.0,6.0,0.0,418.0,0.0,7.0,37.0,17.0,9.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11,5.0,11.0,6.0,12.0,19.0,63.2,7.0,10.0,3.0,7.0,6,28,8.0,1.0,61,650.0,49.0,186.0,287.0,183.0,29.0,650.0,26.0,22.0,84.6,4.0,15.4,370.0,1904.0,1053.0,18.0,8.0,3.0,10.0,5.0,411.0,52.0,0,0,0,11,13,0,50,6,11,0.0,1.0,0,57.0,16.0,33.0,32.7,1
