Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,22:00 (13:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Espanyol,0,14,1,7.1,0.0,0.0,19.5,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,3,0,3,100.0,1,0.2,0.2,0,0,0,0,13.0,28.0,46.4,28.0,3.0,75.0,47.5,8.0,87.5,61.0,10.0,0.0,0.0,1.0,16.3,319.0,446.0,71.5,6121.0,2696.0,145.0,173.0,83.8,119.0,163.0,73.0,46.0,82.0,56.1,0,0.4,1.6,7.0,43.0,14.0,5.0,44.0,446.0,395.0,50.0,15.0,0.0,5.0,36,22.0,4.0,1.0,2.0,0.0,319.0,1.0,9.0,23.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12,8.0,9.0,3.0,10.0,25.0,40.0,15.0,9.0,2.0,7.0,6,26,15.0,0.0,53,558.0,37.0,131.0,215.0,214.0,33.0,558.0,17.0,10.0,58.8,7.0,41.2,286.0,1545.0,839.0,18.0,10.0,5.0,10.0,12.0,314.0,42.0,3,0,0,18,11,1,36,6,12,0.0,0.0,0,57.0,32.0,25.0,56.1,1
2021-08-23,22:00 (13:00),La Liga,Matchweek 2,Mon,Home,D,0,0,Celta Vigo,0,14,6,42.9,0.0,0.0,17.0,0.0,0,1,2.0,1.2,0.09,-2.0,-1.2,0,0,0,,1,0.0,0.0,0,0,0,0,9.0,18.0,50.0,16.0,0.0,81.3,47.8,7.0,71.4,54.6,9.0,0.0,0.0,2.0,21.8,350.0,488.0,71.7,7060.0,2989.0,134.0,170.0,78.8,158.0,187.0,84.5,55.0,100.0,55.0,0,1.2,0.8,13.0,35.0,17.0,8.0,45.0,488.0,442.0,46.0,9.0,0.0,9.0,20,28.0,1.0,0.0,0.0,0.0,350.0,0.0,15.0,27.0,22.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,7.0,12.0,0.0,4.0,20.0,20.0,16.0,10.0,0.0,10.0,25,44,14.0,0.0,47,612.0,38.0,165.0,288.0,166.0,31.0,611.0,21.0,14.0,66.7,7.0,33.3,224.0,1346.0,625.0,15.0,8.0,3.0,16.0,6.0,346.0,45.0,4,0,0,19,8,0,20,25,13,1.0,0.0,0,74.0,28.0,16.0,63.6,1
2021-08-29,19:30 (10:30),La Liga,Matchweek 3,Sun,Away,W,3,2,Cádiz,3,12,2,16.7,0.08,0.5,20.2,0.0,2,2,2.4,1.0,0.09,0.6,0.0,3,2,1,66.7,0,1.5,-0.5,1,1,0,0,11.0,16.0,68.8,25.0,4.0,56.0,40.9,4.0,50.0,45.8,15.0,2.0,13.3,8.0,21.1,537.0,677.0,79.3,9965.0,3721.0,230.0,268.0,85.8,242.0,293.0,82.6,57.0,89.0,64.0,1,1.0,1.2,11.0,66.0,17.0,4.0,74.0,677.0,629.0,47.0,7.0,0.0,5.0,38,22.0,11.0,5.0,4.0,1.0,537.0,1.0,14.0,25.0,19.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,5,4.0,5.0,1.0,3.0,11.0,27.3,8.0,3.0,1.0,2.0,3,13,25.0,0.0,72,785.0,44.0,154.0,368.0,267.0,33.0,783.0,21.0,15.0,71.4,6.0,28.6,465.0,1974.0,1017.0,10.0,14.0,2.0,22.0,11.0,531.0,74.0,0,0,0,6,6,1,38,3,5,0.0,1.0,0,69.0,35.0,16.0,68.6,1
2021-09-12,16:15 (07:15),La Liga,Matchweek 4,Sun,Home,L,1,4,Valencia,1,11,2,18.2,0.09,0.5,18.3,0.0,0,0,0.6,0.6,0.05,0.4,0.4,4,4,1,0.0,0,1.8,-1.2,0,0,0,0,4.0,19.0,21.1,17.0,3.0,76.5,45.8,7.0,85.7,62.1,13.0,0.0,0.0,2.0,16.8,347.0,474.0,73.2,5956.0,2298.0,168.0,194.0,86.6,131.0,168.0,78.0,33.0,77.0,42.9,1,0.5,0.6,9.0,20.0,12.0,4.0,37.0,474.0,408.0,62.0,15.0,1.0,9.0,18,31.0,4.0,0.0,4.0,0.0,347.0,4.0,8.0,19.0,13.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,6,5.0,3.0,1.0,3.0,15.0,20.0,12.0,5.0,3.0,2.0,11,20,14.0,0.0,58,547.0,42.0,158.0,249.0,145.0,19.0,547.0,6.0,4.0,66.7,2.0,33.3,255.0,1203.0,511.0,7.0,7.0,1.0,12.0,9.0,345.0,37.0,4,0,0,20,14,4,18,11,6,0.0,0.0,1,48.0,19.0,23.0,45.2,1
2021-09-18,21:00 (12:00),La Liga,Matchweek 5,Sat,Away,W,2,0,Alavés,2,12,4,33.3,0.08,0.25,18.6,0.0,1,1,1.4,0.6,0.05,0.6,0.4,3,0,3,100.0,1,0.1,0.1,0,0,0,0,15.0,26.0,57.7,25.0,1.0,80.0,48.8,6.0,100.0,59.8,21.0,4.0,19.0,1.0,12.0,267.0,413.0,64.6,4963.0,2570.0,135.0,172.0,78.5,79.0,122.0,64.8,41.0,84.0,48.8,1,0.4,0.3,9.0,14.0,4.0,2.0,25.0,413.0,349.0,64.0,12.0,0.0,2.0,20,37.0,8.0,1.0,7.0,0.0,267.0,0.0,9.0,24.0,17.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,26.0,12,11.0,11.0,4.0,13.0,21.0,61.9,8.0,12.0,2.0,10.0,15,41,28.0,0.0,45,545.0,58.0,164.0,237.0,148.0,13.0,544.0,5.0,2.0,40.0,3.0,60.0,298.0,1099.0,424.0,9.0,6.0,3.0,19.0,7.0,265.0,25.0,3,0,0,14,10,0,20,15,12,0.0,0.0,0,60.0,22.0,36.0,37.9,1
2021-09-23,19:30 (10:30),La Liga,Matchweek 6,Thu,Home,L,1,3,Betis,1,11,3,27.3,0.09,0.33,23.1,0.0,0,0,1.0,1.0,0.09,0.0,0.0,9,3,6,66.7,0,3.1,0.1,0,0,0,0,9.0,23.0,39.1,27.0,5.0,74.1,51.4,3.0,100.0,60.0,16.0,0.0,0.0,0.0,,313.0,439.0,71.3,5748.0,2476.0,129.0,155.0,83.2,130.0,164.0,79.3,39.0,89.0,43.8,1,0.9,0.7,9.0,30.0,13.0,5.0,43.0,439.0,380.0,57.0,12.0,1.0,5.0,25,34.0,4.0,0.0,4.0,0.0,313.0,2.0,12.0,16.0,11.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3,6.0,4.0,0.0,3.0,11.0,27.3,8.0,9.0,5.0,4.0,11,21,20.0,1.0,49,552.0,51.0,148.0,231.0,176.0,18.0,552.0,15.0,9.0,60.0,6.0,40.0,274.0,1237.0,564.0,11.0,12.0,0.0,17.0,6.0,311.0,43.0,2,0,0,18,9,2,25,11,3,0.0,0.0,0,54.0,15.0,27.0,35.7,1
2021-09-26,14:00 (05:00),La Liga,Matchweek 7,Sun,Away,W,3,2,Mallorca,3,11,6,54.5,0.27,0.5,20.4,1.0,0,0,0.9,0.9,0.09,2.1,2.1,8,2,6,75.0,0,3.8,1.8,0,0,0,0,6.0,23.0,26.1,20.0,1.0,75.0,53.4,8.0,100.0,62.5,10.0,0.0,0.0,1.0,22.0,223.0,341.0,65.4,3957.0,1668.0,105.0,134.0,78.4,73.0,105.0,69.5,28.0,67.0,41.8,2,0.9,0.8,8.0,21.0,6.0,2.0,25.0,341.0,283.0,58.0,11.0,0.0,3.0,17,31.0,5.0,2.0,2.0,1.0,223.0,0.0,10.0,18.0,13.0,2.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,12.0,8,4.0,7.0,1.0,4.0,13.0,30.8,9.0,8.0,3.0,5.0,4,16,28.0,1.0,45,448.0,58.0,125.0,198.0,129.0,23.0,448.0,5.0,4.0,80.0,1.0,20.0,154.0,887.0,458.0,9.0,6.0,2.0,11.0,12.0,218.0,25.0,3,0,0,17,7,0,17,4,8,0.0,0.0,0,41.0,28.0,17.0,62.2,1
2021-10-02,14:00 (05:00),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,1,7,3,42.9,0.14,0.33,17.0,0.0,0,0,0.5,0.5,0.07,0.5,0.5,0,0,0,,1,0.0,0.0,0,0,0,0,9.0,25.0,36.0,28.0,2.0,64.3,49.6,7.0,100.0,68.3,16.0,2.0,12.5,2.0,14.0,313.0,448.0,69.9,6097.0,2798.0,124.0,155.0,80.0,140.0,181.0,77.3,42.0,91.0,46.2,1,0.4,0.6,4.0,42.0,8.0,3.0,41.0,448.0,396.0,51.0,9.0,0.0,4.0,22,28.0,6.0,3.0,3.0,0.0,313.0,1.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,14,8.0,9.0,3.0,7.0,11.0,63.6,4.0,9.0,3.0,6.0,8,28,19.0,0.0,51,558.0,45.0,151.0,245.0,172.0,19.0,558.0,7.0,3.0,42.9,4.0,57.1,205.0,1151.0,565.0,11.0,12.0,2.0,23.0,8.0,306.0,41.0,3,0,0,19,9,1,22,8,14,0.0,0.0,0,67.0,19.0,29.0,39.6,1
2021-10-17,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,2,6,2,33.3,0.33,1.0,13.2,0.0,0,0,0.6,0.6,0.11,1.4,1.4,6,1,5,83.3,0,0.9,-0.1,0,0,0,0,10.0,31.0,32.3,25.0,0.0,88.0,57.8,10.0,90.0,58.6,16.0,0.0,0.0,5.0,25.7,164.0,271.0,60.5,3167.0,1581.0,72.0,96.0,75.0,59.0,91.0,64.8,24.0,62.0,38.7,1,0.3,0.6,4.0,22.0,5.0,2.0,18.0,271.0,222.0,46.0,10.0,0.0,3.0,17,20.0,4.0,0.0,3.0,1.0,164.0,3.0,5.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,9,11.0,3.0,1.0,6.0,17.0,35.3,11.0,8.0,1.0,7.0,18,33,25.0,0.0,28,378.0,62.0,150.0,123.0,108.0,18.0,378.0,10.0,7.0,70.0,3.0,30.0,167.0,1110.0,443.0,6.0,9.0,2.0,16.0,4.0,164.0,18.0,5,0,0,14,6,3,17,18,9,0.0,0.0,0,48.0,16.0,16.0,50.0,1
2021-10-22,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Granada,1,17,5,29.4,0.06,0.2,20.1,0.0,0,0,1.0,1.0,0.06,0.0,0.0,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,11.0,23.0,47.8,20.0,0.0,75.0,48.1,8.0,100.0,68.6,14.0,2.0,14.3,3.0,18.6,234.0,345.0,67.8,5025.0,2483.0,96.0,129.0,74.4,84.0,112.0,75.0,52.0,89.0,58.4,0,0.6,0.7,11.0,30.0,8.0,6.0,32.0,345.0,296.0,48.0,13.0,0.0,6.0,25,21.0,4.0,1.0,3.0,0.0,234.0,1.0,7.0,25.0,19.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,6,5.0,5.0,4.0,5.0,9.0,55.6,4.0,8.0,1.0,7.0,8,22,18.0,0.0,42,446.0,39.0,120.0,184.0,147.0,23.0,446.0,8.0,6.0,75.0,2.0,25.0,223.0,866.0,298.0,7.0,8.0,2.0,17.0,4.0,230.0,31.0,1,1,0,15,11,1,25,8,6,0.0,0.0,0,49.0,26.0,13.0,66.7,1
