Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-15,21:30 (12:30),La Liga,Matchweek 1,Mon,Away,L,0,3,Betis,0,4,1,25.0,0.0,0.0,10.2,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,8,3.0,5,62.5,0,4.0,1.0,0,0,0,0,6.0,14.0,42.9,23.0,3.0,47.8,35.9,4.0,75.0,51.5,12.0,1.0,8.3,0.0,8.7,176.0,260.0,67.7,2967.0,1343.0,73.0,93.0,78.5,67.0,82.0,81.7,19.0,50.0,38.0,0,0.2,0.4,3.0,11.0,3.0,1.0,16.0,260.0,210.0,47.0,15.0,0.0,0.0,10,20.0,4.0,3.0,1.0,0.0,176.0,3.0,9.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,8.0,2.0,2.0,8.0,25.0,32.0,17.0,9.0,4.0,5.0,14,26,22.0,1.0,29.0,359.0,56.0,149.0,139.0,77.0,6.0,359.0,15.0,5.0,33.3,7.0,46.7,152.0,930.0,392.0,11.0,9.0,3.0,13.0,9.0,175.0,16.0,6,1,0,18,10,3,10,14,8,0.0,0.0,0,41.0,6.0,14.0,30.0,1
2022-08-22,20:00 (11:00),La Liga,Matchweek 2,Mon,Home,D,1,1,Almería,1,13,3,23.1,0.08,0.33,16.3,0.0,0,0,1.0,1.0,0.08,0.0,0.0,7,1.0,6,85.7,0,1.3,0.3,0,0,0,0,1.0,4.0,25.0,21.0,6.0,19.0,31.4,3.0,0.0,22.3,9.0,1.0,11.1,0.0,14.8,378.0,473.0,79.9,6622.0,2193.0,163.0,181.0,90.1,158.0,180.0,87.8,40.0,70.0,57.1,1,1.0,0.9,13.0,31.0,8.0,2.0,36.0,473.0,423.0,43.0,18.0,1.0,5.0,23,14.0,6.0,2.0,2.0,0.0,378.0,7.0,5.0,25.0,19.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,6.0,0.0,3.0,11.0,27.3,8.0,14.0,4.0,10.0,8,22,11.0,0.0,54.0,574.0,50.0,158.0,250.0,179.0,22.0,574.0,13.0,11.0,84.6,2.0,15.4,382.0,2187.0,1215.0,28.0,24.0,4.0,16.0,9.0,375.0,35.0,1,0,0,12,15,7,23,8,9,0.0,0.0,0,60.0,9.0,7.0,56.3,1
2022-08-27,17:30 (08:30),La Liga,Matchweek 3,Sat,Home,L,0,1,Real Sociedad,0,12,5,41.7,0.0,0.0,19.9,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,5,1.0,3,80.0,0,2.3,1.3,1,0,1,0,5.0,12.0,41.7,25.0,4.0,32.0,34.6,6.0,66.7,46.8,10.0,0.0,0.0,1.0,31.0,325.0,416.0,78.1,5672.0,2136.0,143.0,160.0,89.4,140.0,162.0,86.4,33.0,67.0,49.3,0,0.4,0.5,10.0,23.0,3.0,1.0,27.0,416.0,355.0,59.0,22.0,1.0,1.0,13,25.0,4.0,1.0,0.0,0.0,325.0,2.0,9.0,21.0,15.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10,11.0,5.0,1.0,5.0,8.0,62.5,3.0,12.0,3.0,9.0,7,24,14.0,0.0,45.0,540.0,52.0,185.0,223.0,142.0,10.0,540.0,31.0,11.0,35.5,18.0,58.1,332.0,1920.0,906.0,18.0,21.0,3.0,24.0,8.0,319.0,27.0,3,0,0,14,17,2,13,7,10,0.0,1.0,0,52.0,11.0,6.0,64.7,1
2022-09-04,18:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,4,Villarreal,0,7,0,0.0,0.0,,19.3,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,10,4.0,6,60.0,0,4.8,0.8,0,0,0,0,2.0,5.0,40.0,16.0,4.0,12.5,23.0,7.0,42.9,39.0,14.0,0.0,0.0,0.0,12.3,377.0,451.0,83.6,6410.0,2359.0,171.0,185.0,92.4,148.0,167.0,88.6,39.0,62.0,62.9,0,0.4,0.6,5.0,36.0,4.0,1.0,37.0,451.0,402.0,47.0,14.0,0.0,5.0,25,17.0,4.0,1.0,2.0,0.0,377.0,2.0,9.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7,9.0,8.0,2.0,3.0,10.0,30.0,7.0,7.0,2.0,5.0,11,30,22.0,1.0,47.0,554.0,56.0,158.0,260.0,137.0,14.0,554.0,7.0,1.0,14.3,5.0,71.4,294.0,1594.0,806.0,21.0,16.0,4.0,14.0,16.0,376.0,37.0,3,0,0,9,9,2,25,11,7,0.0,0.0,0,41.0,8.0,8.0,50.0,1
2022-09-11,16:15 (07:15),La Liga,Matchweek 5,Sun,Home,L,1,4,Athletic Club,1,9,2,22.2,0.11,0.5,21.0,0.0,0,0,0.9,0.9,0.1,0.1,0.1,8,4.0,5,62.5,0,3.7,0.7,1,1,0,0,7.0,10.0,70.0,21.0,8.0,38.1,30.7,7.0,28.6,37.6,11.0,1.0,9.1,0.0,2.0,347.0,437.0,79.4,6189.0,2664.0,166.0,182.0,91.2,133.0,158.0,84.2,41.0,76.0,53.9,1,0.8,0.7,8.0,33.0,9.0,4.0,47.0,437.0,383.0,52.0,14.0,0.0,2.0,21,21.0,5.0,2.0,3.0,0.0,347.0,2.0,6.0,17.0,15.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,9,5.0,9.0,4.0,8.0,13.0,61.5,5.0,13.0,3.0,10.0,16,34,11.0,0.0,47.0,551.0,56.0,159.0,257.0,141.0,20.0,551.0,14.0,7.0,50.0,6.0,42.9,382.0,1910.0,819.0,13.0,12.0,5.0,17.0,9.0,346.0,47.0,3,0,0,15,8,2,21,16,9,0.0,1.0,1,52.0,10.0,9.0,52.6,1
2022-09-17,16:15 (07:15),La Liga,Matchweek 6,Sat,Away,L,0,3,Barcelona,0,1,1,100.0,0.0,0.0,16.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0,9,3.0,6,66.7,0,4.1,1.1,0,0,0,0,17.0,36.0,47.2,31.0,1.0,74.2,46.4,13.0,100.0,63.0,17.0,1.0,5.9,0.0,11.2,153.0,236.0,64.8,2926.0,1598.0,76.0,93.0,81.7,41.0,51.0,80.4,26.0,67.0,38.8,0,0.0,0.0,1.0,4.0,1.0,1.0,8.0,236.0,184.0,49.0,16.0,0.0,1.0,3,16.0,0.0,0.0,0.0,0.0,153.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,10.0,4.0,0.0,10.0,17.0,58.8,7.0,11.0,6.0,5.0,12,26,19.0,1.0,24.0,340.0,92.0,197.0,127.0,17.0,1.0,340.0,14.0,6.0,42.9,6.0,42.9,129.0,581.0,232.0,5.0,3.0,0.0,22.0,8.0,152.0,8.0,2,1,0,9,11,3,3,12,9,0.0,0.0,0,44.0,7.0,9.0,43.8,1
2022-10-03,21:00 (12:00),La Liga,Matchweek 7,Mon,Away,L,1,2,Rayo Vallecano,1,6,2,33.3,0.17,0.5,23.2,0.0,0,0,1.1,1.1,0.19,-0.1,-0.1,6,2.0,4,66.7,0,1.0,-1.0,0,0,0,0,17.0,26.0,65.4,19.0,1.0,89.5,58.7,10.0,90.0,56.4,34.0,1.0,2.9,0.0,6.5,159.0,255.0,62.4,3687.0,2276.0,68.0,87.0,78.2,46.0,69.0,66.7,40.0,73.0,54.8,1,0.4,0.4,2.0,14.0,4.0,0.0,19.0,255.0,205.0,50.0,7.0,2.0,3.0,9,27.0,3.0,2.0,1.0,0.0,159.0,0.0,17.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,11,12.0,6.0,1.0,10.0,16.0,62.5,6.0,8.0,4.0,4.0,9,28,40.0,0.0,30.0,392.0,80.0,167.0,138.0,91.0,13.0,392.0,18.0,9.0,50.0,8.0,44.4,182.0,992.0,377.0,8.0,9.0,5.0,16.0,13.0,158.0,19.0,8,0,0,19,4,0,9,9,11,0.0,0.0,0,41.0,8.0,11.0,42.1,1
2022-10-10,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,D,1,1,Mallorca,1,7,2,28.6,0.14,0.5,18.2,1.0,0,0,0.5,0.5,0.08,0.5,0.5,4,1.0,2,100.0,0,2.5,1.5,2,1,1,0,7.0,12.0,58.3,23.0,6.0,39.1,36.6,7.0,42.9,35.3,24.0,1.0,4.2,0.0,6.0,262.0,352.0,74.4,4976.0,2229.0,123.0,145.0,84.8,102.0,122.0,83.6,34.0,71.0,47.9,1,0.4,0.6,6.0,19.0,5.0,3.0,24.0,352.0,304.0,46.0,21.0,0.0,2.0,14,11.0,5.0,2.0,2.0,0.0,262.0,2.0,5.0,13.0,9.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,7,8.0,7.0,0.0,5.0,9.0,55.6,4.0,10.0,3.0,7.0,3,18,21.0,0.0,42.0,440.0,63.0,182.0,203.0,59.0,9.0,440.0,7.0,3.0,42.9,3.0,42.9,253.0,1203.0,554.0,6.0,1.0,1.0,10.0,10.0,260.0,24.0,4,1,0,12,16,2,14,3,7,0.0,2.0,0,38.0,18.0,14.0,56.3,1
2022-10-15,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,2,2,Valencia,2,7,5,71.4,0.14,0.2,12.0,0.0,1,1,1.7,0.9,0.13,0.3,0.1,7,2.0,5,85.7,0,1.7,-0.3,1,1,0,0,7.0,19.0,36.8,28.0,4.0,39.3,35.8,13.0,61.5,43.0,19.0,1.0,5.3,0.0,7.7,266.0,357.0,74.5,4841.0,1912.0,112.0,128.0,87.5,104.0,127.0,81.9,37.0,75.0,49.3,1,0.9,1.0,6.0,12.0,4.0,1.0,11.0,357.0,303.0,53.0,18.0,0.0,3.0,7,19.0,1.0,0.0,1.0,0.0,266.0,1.0,9.0,16.0,8.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,28.0,15,21.0,5.0,2.0,13.0,22.0,59.1,9.0,8.0,4.0,4.0,7,35,37.0,3.0,40.0,480.0,94.0,245.0,194.0,46.0,14.0,479.0,13.0,3.0,23.1,8.0,61.5,260.0,1108.0,465.0,5.0,5.0,2.0,13.0,14.0,263.0,10.0,6,0,0,19,14,1,7,7,15,1.0,1.0,0,57.0,17.0,11.0,60.7,1
2022-10-19,21:00 (12:00),La Liga,Matchweek 10,Wed,Home,L,0,3,Real Madrid,0,10,3,30.0,0.0,0.0,15.4,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,6,3.0,3,50.0,0,2.1,-0.9,0,0,0,0,4.0,6.0,66.7,27.0,6.0,14.8,27.4,3.0,66.7,45.3,5.0,0.0,0.0,0.0,7.7,402.0,469.0,85.7,6901.0,2512.0,192.0,208.0,92.3,162.0,177.0,91.5,33.0,56.0,58.9,0,0.6,0.9,7.0,33.0,8.0,3.0,35.0,469.0,428.0,41.0,16.0,1.0,1.0,18,10.0,8.0,4.0,3.0,0.0,402.0,0.0,10.0,18.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,10.0,2.0,1.0,4.0,15.0,26.7,11.0,11.0,3.0,8.0,8,21,8.0,0.0,38.0,557.0,68.0,185.0,273.0,102.0,18.0,557.0,11.0,6.0,54.5,4.0,36.4,351.0,1825.0,1035.0,19.0,10.0,3.0,16.0,11.0,396.0,35.0,1,0,0,14,10,0,18,8,9,0.0,0.0,0,36.0,4.0,0.0,100.0,1
