Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-13,19:00 (10:00),La Liga,Matchweek 1,Sat,Home,L,0,3,Villarreal,0,12,6,50.0,0.0,0.0,19.5,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,4,3.0,1,25.0,0,1.9,-1.1,0,0,0,0,6.0,14.0,42.9,24.0,2.0,37.5,33.3,10.0,50.0,34.7,7.0,0.0,0.0,4.0,21.4,384.0,478.0,80.3,6479.0,2255.0,199.0,218.0,91.3,147.0,174.0,84.5,33.0,66.0,50.0,0,0.7,0.9,10.0,25.0,9.0,3.0,39.0,478.0,429.0,47.0,11.0,2.0,11.0,22,18.0,4.0,2.0,2.0,0.0,384.0,2.0,9.0,24.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,9.0,6.0,1.0,8.0,23.0,34.8,15.0,10.0,2.0,8.0,19,35,18.0,0.0,51.0,582.0,66.0,201.0,241.0,147.0,15.0,582.0,23.0,12.0,52.2,9.0,39.1,374.0,1875.0,1006.0,24.0,16.0,8.0,9.0,9.0,383.0,39.0,1,0,0,6,10,2,22,19,8,0.0,0.0,0,51.0,10.0,12.0,45.5,1
2022-08-19,22:00 (13:00),La Liga,Matchweek 2,Fri,Away,D,1,1,Sevilla,1,6,3,50.0,0.17,0.33,23.9,0.0,0,0,0.5,0.5,0.08,0.5,0.5,2,1.0,1,50.0,0,0.9,-0.1,0,0,0,0,8.0,27.0,29.6,33.0,5.0,42.4,38.4,16.0,81.3,58.0,33.0,0.0,0.0,3.0,21.5,242.0,329.0,73.6,4655.0,1904.0,109.0,122.0,89.3,93.0,111.0,83.8,32.0,72.0,44.4,1,0.5,0.3,6.0,17.0,1.0,1.0,15.0,329.0,271.0,54.0,22.0,2.0,8.0,5,12.0,2.0,0.0,1.0,0.0,242.0,4.0,8.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,16,12.0,5.0,3.0,5.0,12.0,41.7,7.0,11.0,5.0,6.0,8,28,28.0,1.0,39.0,453.0,87.0,216.0,165.0,75.0,8.0,453.0,18.0,5.0,27.8,8.0,44.4,190.0,1107.0,467.0,8.0,11.0,3.0,14.0,10.0,241.0,15.0,2,1,0,10,19,4,5,8,16,0.0,0.0,0,51.0,16.0,16.0,50.0,1
2022-08-28,19:30 (10:30),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,0,8,2,25.0,0.0,0.0,20.4,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,9,4.0,5,55.6,0,3.8,-0.2,0,0,0,0,2.0,14.0,14.3,28.0,5.0,28.6,32.1,15.0,40.0,37.8,25.0,2.0,8.0,1.0,11.5,252.0,346.0,72.8,4226.0,1739.0,104.0,124.0,83.9,103.0,120.0,85.8,27.0,52.0,51.9,0,0.6,0.3,5.0,11.0,3.0,1.0,15.0,346.0,285.0,58.0,10.0,0.0,3.0,10,24.0,4.0,2.0,1.0,0.0,252.0,3.0,16.0,14.0,10.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11,16.0,4.0,2.0,11.0,27.0,40.7,16.0,11.0,7.0,4.0,9,31,28.0,1.0,33.0,472.0,110.0,277.0,140.0,59.0,9.0,472.0,14.0,8.0,57.1,6.0,42.9,255.0,1059.0,469.0,6.0,7.0,1.0,19.0,9.0,249.0,15.0,3,0,0,8,9,3,10,9,11,0.0,0.0,0,44.0,8.0,13.0,38.1,1
2022-09-05,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,1,0,Almería,1,14,6,42.9,0.07,0.17,18.3,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,0,0.0,0,,1,0.0,0.0,0,0,0,0,4.0,12.0,33.3,24.0,4.0,25.0,32.9,10.0,60.0,46.8,15.0,1.0,6.7,2.0,18.8,306.0,405.0,75.6,5636.0,1885.0,135.0,154.0,87.7,112.0,132.0,84.8,46.0,86.0,53.5,0,0.8,0.8,11.0,13.0,8.0,4.0,28.0,405.0,351.0,48.0,21.0,2.0,9.0,20,14.0,2.0,1.0,1.0,0.0,306.0,6.0,8.0,21.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8,6.0,9.0,5.0,13.0,22.0,59.1,9.0,17.0,9.0,8.0,12,32,18.0,0.0,51.0,525.0,54.0,181.0,217.0,132.0,21.0,525.0,17.0,7.0,41.2,5.0,29.4,307.0,1863.0,980.0,23.0,24.0,4.0,12.0,7.0,303.0,27.0,1,0,0,11,17,6,20,12,8,0.0,0.0,0,45.0,14.0,21.0,40.0,1
2022-09-09,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,1,2,Girona,1,14,4,28.6,0.07,0.25,21.9,0.0,0,0,0.5,0.5,0.04,0.5,0.5,5,2.0,3,60.0,0,2.5,0.5,0,0,0,0,5.0,17.0,29.4,21.0,0.0,47.6,41.1,8.0,87.5,64.1,11.0,0.0,0.0,1.0,14.0,395.0,492.0,80.3,7576.0,2446.0,162.0,181.0,89.5,166.0,198.0,83.8,54.0,85.0,63.5,1,0.5,1.0,13.0,36.0,8.0,3.0,35.0,492.0,427.0,65.0,14.0,0.0,11.0,27,28.0,12.0,3.0,5.0,0.0,395.0,0.0,10.0,26.0,24.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11,7.0,5.0,4.0,9.0,17.0,52.9,8.0,9.0,1.0,8.0,16,32,17.0,0.0,55.0,612.0,66.0,193.0,243.0,179.0,19.0,612.0,16.0,5.0,31.3,6.0,37.5,314.0,1467.0,571.0,13.0,8.0,4.0,18.0,17.0,393.0,35.0,2,0,0,15,11,0,27,16,11,0.0,0.0,0,44.0,14.0,17.0,45.2,1
2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,1,Cádiz,0,18,6,33.3,0.0,0.0,18.1,2.0,0,0,1.5,1.5,0.08,-1.5,-1.5,1,1.0,0,0.0,0,0.4,-0.6,0,0,0,0,6.0,12.0,50.0,30.0,5.0,26.7,29.6,7.0,57.1,48.1,11.0,1.0,9.1,3.0,16.4,382.0,474.0,80.6,7617.0,2622.0,137.0,153.0,89.5,150.0,174.0,86.2,74.0,111.0,66.7,0,1.2,0.8,14.0,37.0,8.0,4.0,53.0,474.0,415.0,57.0,19.0,0.0,8.0,33,21.0,8.0,2.0,6.0,0.0,382.0,2.0,6.0,32.0,25.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,8.0,8.0,5.0,5.0,10.0,50.0,5.0,10.0,3.0,7.0,2,23,15.0,1.0,57.0,586.0,55.0,175.0,263.0,153.0,23.0,586.0,17.0,7.0,41.2,9.0,52.9,374.0,2207.0,1224.0,21.0,17.0,3.0,20.0,9.0,378.0,52.0,1,0,0,12,19,2,33,2,12,0.0,0.0,0,51.0,9.0,14.0,39.1,1
2022-10-01,16:15 (07:15),La Liga,Matchweek 7,Sat,Away,W,3,2,Getafe,3,13,6,46.2,0.15,0.33,23.4,1.0,1,1,1.6,0.8,0.06,1.4,1.2,6,2.0,3,66.7,0,2.0,0.0,1,0,1,0,5.0,13.0,38.5,30.0,2.0,26.7,37.2,7.0,71.4,49.3,16.0,0.0,0.0,0.0,10.0,384.0,465.0,82.6,7207.0,2715.0,155.0,170.0,91.2,165.0,186.0,88.7,46.0,77.0,59.7,1,0.5,0.8,8.0,26.0,5.0,0.0,36.0,465.0,412.0,50.0,22.0,3.0,4.0,9,16.0,2.0,0.0,2.0,0.0,384.0,3.0,8.0,27.0,22.0,2.0,0.0,1.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,14.0,5,9.0,4.0,1.0,7.0,12.0,58.3,5.0,8.0,4.0,4.0,7,21,36.0,0.0,56.0,601.0,83.0,243.0,241.0,126.0,16.0,600.0,20.0,10.0,50.0,6.0,30.0,300.0,1759.0,739.0,16.0,11.0,7.0,16.0,11.0,383.0,36.0,5,0,0,13,21,3,9,7,5,1.0,1.0,0,57.0,12.0,14.0,46.2,1
2022-10-09,14:00 (05:00),La Liga,Matchweek 8,Sun,Home,D,0,0,Betis,0,12,3,25.0,0.0,0.0,22.1,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,1,0.0,1,100.0,1,0.5,0.5,0,0,0,0,0.0,3.0,0.0,24.0,5.0,8.3,26.5,6.0,16.7,23.3,6.0,0.0,0.0,0.0,10.0,466.0,560.0,83.2,9054.0,2861.0,176.0,200.0,88.0,229.0,252.0,90.9,55.0,90.0,61.1,0,0.5,0.6,9.0,42.0,8.0,2.0,61.0,560.0,511.0,48.0,16.0,1.0,12.0,23,22.0,3.0,0.0,2.0,0.0,466.0,1.0,8.0,20.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,8.0,13.0,61.5,5.0,10.0,1.0,9.0,7,23,16.0,0.0,58.0,666.0,56.0,205.0,293.0,174.0,18.0,666.0,23.0,8.0,34.8,13.0,56.5,416.0,2278.0,1261.0,31.0,17.0,2.0,17.0,11.0,460.0,61.0,1,0,0,12,12,1,23,7,11,0.0,0.0,0,55.0,10.0,13.0,43.5,1
2022-10-16,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,L,0,1,Espanyol,0,14,2,14.3,0.0,0.0,21.8,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,3,1.0,2,66.7,0,1.3,0.3,0,0,0,0,4.0,10.0,40.0,30.0,5.0,26.7,31.4,7.0,28.6,30.0,12.0,0.0,0.0,0.0,10.0,333.0,437.0,76.2,6514.0,2612.0,134.0,171.0,78.4,140.0,157.0,89.2,50.0,87.0,57.5,0,0.6,0.4,11.0,21.0,6.0,3.0,22.0,437.0,385.0,50.0,14.0,0.0,3.0,12,23.0,4.0,0.0,4.0,0.0,333.0,2.0,4.0,24.0,19.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,8.0,6.0,1.0,8.0,12.0,66.7,4.0,15.0,5.0,10.0,5,20,17.0,1.0,51.0,540.0,70.0,242.0,214.0,90.0,13.0,540.0,12.0,4.0,33.3,8.0,66.7,210.0,1198.0,659.0,10.0,5.0,1.0,12.0,12.0,331.0,22.0,4,0,0,11,11,2,12,5,11,0.0,0.0,0,44.0,19.0,17.0,52.8,1
2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,W,4,1,Celta Vigo,4,8,6,75.0,0.5,0.67,19.1,0.0,0,1,1.5,0.7,0.09,2.5,3.3,5,1.0,3,80.0,0,1.7,0.7,1,0,1,0,13.0,24.0,54.2,20.0,3.0,65.0,45.4,13.0,84.6,51.2,22.0,1.0,4.5,0.0,8.3,228.0,327.0,69.7,4600.0,2087.0,93.0,118.0,78.8,94.0,111.0,84.7,38.0,81.0,46.9,3,0.5,0.4,6.0,21.0,3.0,3.0,15.0,327.0,279.0,48.0,11.0,0.0,4.0,17,19.0,3.0,0.0,3.0,0.0,228.0,0.0,7.0,16.0,10.0,2.0,0.0,1.0,3.0,0.0,8.0,4.0,2.0,0.0,1.0,1.0,0.0,21.0,16,12.0,8.0,1.0,6.0,14.0,42.9,8.0,19.0,8.0,11.0,6,27,24.0,0.0,38.0,434.0,75.0,157.0,182.0,100.0,12.0,433.0,10.0,5.0,50.0,4.0,40.0,248.0,1228.0,585.0,8.0,10.0,3.0,17.0,6.0,224.0,15.0,1,0,0,12,8,0,17,6,16,1.0,1.0,0,43.0,17.0,14.0,54.8,1
