Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,21:30 (12:30),La Liga,Matchweek 1,Sun,Away,D,0,0,Getafe,0,14,3,21.4,0.0,0.0,19.9,1.0,0,0,1.4,1.4,0.11,-1.4,-1.4,2,0,2,100.0,1,0.2,0.2,0,0,0,0,4.0,4.0,100.0,21.0,2.0,19.0,25.2,8.0,0.0,22.1,13.0,0.0,0.0,0.0,,680.0,767.0,88.7,10491.0,3225.0,360.0,387.0,93.0,267.0,293.0,91.1,32.0,55.0,58.2,0,1.3,1.3,11.0,56.0,9.0,1.0,50.0,767.0,712.0,53.0,23.0,5.0,5.0,17,17.0,4.0,3.0,0.0,0.0,680.0,2.0,2.0,28.0,22.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,5.0,4.0,0.0,4.0,5.0,80.0,1.0,5.0,0.0,5.0,3,12,18.0,0.0,74,856.0,52.0,193.0,471.0,203.0,22.0,856.0,21.0,12.0,57.1,7.0,33.3,582.0,3310.0,1980.0,34.0,26.0,5.0,15.0,4.0,670.0,49.0,2,2,0,11,19,2,17,3,6,0.0,0.0,0,48.0,23.0,15.0,60.5,1.0
2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,2,0,Cádiz,2,24,10,41.7,0.08,0.2,15.5,2.0,0,0,3.4,3.4,0.15,-1.4,-1.4,1,0,1,100.0,1,0.3,0.3,0,0,0,0,2.0,4.0,50.0,15.0,3.0,13.3,26.1,7.0,28.6,28.9,11.0,2.0,18.2,2.0,18.8,585.0,659.0,88.8,8754.0,2796.0,321.0,342.0,93.9,213.0,234.0,91.0,30.0,51.0,58.8,2,2.5,2.3,17.0,49.0,15.0,6.0,58.0,659.0,605.0,53.0,21.0,5.0,2.0,29,14.0,10.0,3.0,4.0,0.0,585.0,1.0,4.0,42.0,31.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,9,3.0,6.0,2.0,4.0,8.0,50.0,4.0,5.0,2.0,3.0,5,16,9.0,1.0,74,748.0,38.0,119.0,325.0,311.0,40.0,748.0,19.0,12.0,63.2,3.0,15.8,522.0,3058.0,1703.0,40.0,42.0,11.0,16.0,8.0,579.0,58.0,4,0,0,9,19,1,29,5,9,0.0,0.0,0,45.0,12.0,15.0,44.4,1.0
2023-08-27,17:30 (08:30),La Liga,Matchweek 3,Sun,Away,W,4,3,Villarreal,4,21,11,52.4,0.19,0.36,16.8,0.0,0,0,3.1,3.1,0.15,0.9,0.9,6,3,3,50.0,0,2.8,-0.2,0,0,0,0,4.0,6.0,66.7,25.0,3.0,20.0,27.8,2.0,50.0,36.0,5.0,0.0,0.0,0.0,7.0,557.0,628.0,88.7,9179.0,2952.0,298.0,313.0,95.2,204.0,230.0,88.7,44.0,60.0,73.3,1,1.6,1.6,14.0,45.0,18.0,1.0,58.0,628.0,584.0,41.0,17.0,2.0,7.0,18,12.0,6.0,2.0,1.0,1.0,557.0,3.0,7.0,35.0,30.0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,15.0,10,8.0,4.0,3.0,9.0,22.0,40.9,13.0,14.0,4.0,10.0,11,26,7.0,0.0,60,730.0,43.0,157.0,384.0,198.0,37.0,730.0,14.0,11.0,78.6,3.0,21.4,478.0,2582.0,1472.0,25.0,22.0,8.0,11.0,13.0,551.0,57.0,3,0,0,14,11,3,18,11,10,0.0,0.0,0,50.0,10.0,13.0,43.5,1.0
2023-09-03,21:00 (12:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Osasuna,2,8,3,37.5,0.13,0.33,15.6,0.0,1,1,2.0,1.2,0.16,0.0,-0.2,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,1.0,2.0,50.0,29.0,8.0,6.9,23.2,3.0,0.0,11.7,25.0,0.0,0.0,0.0,8.7,618.0,694.0,89.0,9735.0,2905.0,351.0,372.0,94.4,219.0,245.0,89.4,41.0,58.0,70.7,1,0.3,1.1,5.0,59.0,9.0,1.0,41.0,694.0,654.0,38.0,7.0,0.0,3.0,16,21.0,5.0,3.0,1.0,0.0,618.0,2.0,8.0,16.0,10.0,2.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,14,14.0,4.0,2.0,9.0,13.0,69.2,4.0,12.0,6.0,6.0,8,28,28.0,0.0,69,818.0,75.0,239.0,358.0,225.0,20.0,817.0,17.0,12.0,70.6,3.0,17.6,614.0,2670.0,1554.0,18.0,22.0,6.0,18.0,13.0,615.0,41.0,3,0,0,16,6,2,16,8,14,1.0,0.0,0,48.0,15.0,16.0,48.4,1.0
2023-09-16,21:00 (12:00),La Liga,Matchweek 5,Sat,Home,W,5,0,Betis,5,17,9,52.9,0.29,0.56,18.7,2.0,0,0,2.4,2.4,0.14,2.6,2.6,2,0,2,100.0,1,0.7,0.7,0,0,0,0,3.0,4.0,75.0,30.0,4.0,13.3,22.0,9.0,0.0,11.2,7.0,0.0,0.0,0.0,12.0,619.0,692.0,89.5,9142.0,2976.0,363.0,388.0,93.6,207.0,221.0,93.7,31.0,42.0,73.8,4,2.2,1.5,14.0,39.0,15.0,6.0,50.0,692.0,646.0,43.0,10.0,2.0,2.0,16,14.0,9.0,4.0,0.0,0.0,619.0,3.0,10.0,34.0,29.0,1.0,2.0,0.0,2.0,0.0,10.0,7.0,0.0,2.0,0.0,1.0,0.0,22.0,12,9.0,8.0,5.0,8.0,18.0,44.4,10.0,5.0,1.0,4.0,6,28,10.0,0.0,65,800.0,59.0,223.0,390.0,193.0,34.0,800.0,31.0,17.0,54.8,13.0,41.9,371.0,2437.0,1548.0,31.0,22.0,11.0,10.0,3.0,613.0,50.0,1,0,0,9,10,3,16,6,12,0.0,0.0,0,44.0,7.0,2.0,77.8,1.0
2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,5,0,be Antwerp,4,22,9,40.9,0.18,0.44,13.8,0.0,0,0,2.8,2.8,0.13,1.2,1.2,1,0,1,100.0,1,0.3,0.3,0,0,0,0,0.0,2.0,0.0,23.0,2.0,8.7,23.3,2.0,0.0,24.5,7.0,0.0,0.0,2.0,21.0,765.0,838.0,91.3,12440.0,3322.0,386.0,405.0,95.3,334.0,357.0,93.6,39.0,55.0,70.9,4,2.4,2.7,16.0,86.0,19.0,2.0,74.0,838.0,804.0,33.0,9.0,2.0,6.0,26,11.0,10.0,2.0,4.0,0.0,765.0,1.0,5.0,37.0,31.0,1.0,2.0,3.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,4,3.0,4.0,3.0,4.0,9.0,44.4,5.0,4.0,0.0,4.0,4,14,9.0,0.0,70,910.0,36.0,136.0,463.0,316.0,55.0,910.0,24.0,13.0,54.2,5.0,20.8,645.0,3082.0,1691.0,30.0,25.0,15.0,11.0,7.0,763.0,74.0,1,0,0,10,7,1,26,4,4,0.0,0.0,0,38.0,13.0,4.0,76.5,2.0
2023-09-23,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,W,3,2,Celta Vigo,3,15,6,40.0,0.2,0.5,20.8,0.0,0,0,1.6,1.6,0.11,1.4,1.4,7,2,5,71.4,0,2.2,0.2,0,0,0,0,3.0,5.0,60.0,30.0,5.0,3.3,23.5,8.0,50.0,39.8,9.0,1.0,11.1,4.0,20.4,767.0,858.0,89.4,12330.0,3606.0,412.0,441.0,93.4,291.0,326.0,89.3,51.0,71.0,71.8,3,1.6,1.6,14.0,79.0,7.0,1.0,69.0,858.0,813.0,43.0,10.0,2.0,9.0,21,20.0,2.0,0.0,2.0,0.0,767.0,2.0,7.0,28.0,27.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,3.0,3.0,6.0,13.0,46.2,7.0,6.0,2.0,4.0,7,18,9.0,0.0,74,941.0,51.0,150.0,532.0,265.0,12.0,941.0,14.0,7.0,50.0,6.0,42.9,690.0,3618.0,2075.0,30.0,26.0,3.0,15.0,6.0,765.0,69.0,2,0,0,10,11,2,21,7,6,0.0,0.0,0,51.0,13.0,10.0,56.5,1.0
2023-09-26,21:30 (12:30),La Liga,Matchweek 7,Tue,Away,D,2,2,Mallorca,2,10,4,40.0,0.2,0.5,15.5,0.0,0,0,1.9,1.9,0.19,0.1,0.1,5,2,3,60.0,0,1.2,-0.8,0,0,0,0,2.0,2.0,100.0,25.0,3.0,4.0,24.0,3.0,33.3,37.7,11.0,0.0,0.0,0.0,12.0,524.0,621.0,84.4,9088.0,2831.0,237.0,271.0,87.5,216.0,243.0,88.9,52.0,70.0,74.3,1,1.8,1.9,8.0,60.0,13.0,3.0,54.0,621.0,565.0,55.0,25.0,6.0,11.0,11,22.0,2.0,1.0,0.0,0.0,524.0,1.0,9.0,19.0,17.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,6,3.0,10.0,0.0,5.0,12.0,41.7,7.0,14.0,3.0,11.0,7,20,13.0,1.0,69,734.0,37.0,125.0,429.0,189.0,21.0,734.0,27.0,12.0,44.4,13.0,48.1,490.0,2718.0,1628.0,29.0,16.0,2.0,22.0,15.0,513.0,53.0,1,0,0,7,18,1,11,7,6,0.0,0.0,0,60.0,19.0,20.0,48.7,1.0
2023-09-29,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,W,1,0,Sevilla,0,18,4,22.2,0.0,0.0,13.5,0.0,0,0,2.4,2.4,0.13,-2.4,-2.4,3,0,3,100.0,1,0.5,0.5,0,0,0,0,5.0,7.0,71.4,37.0,4.0,16.2,24.2,7.0,14.3,25.7,19.0,1.0,5.3,3.0,17.0,431.0,519.0,83.0,7525.0,2728.0,201.0,223.0,90.1,183.0,207.0,88.4,39.0,65.0,60.0,0,2.2,1.5,14.0,32.0,13.0,3.0,50.0,519.0,453.0,65.0,18.0,4.0,7.0,21,26.0,13.0,4.0,2.0,0.0,431.0,1.0,9.0,32.0,21.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9,4.0,4.0,3.0,6.0,10.0,60.0,4.0,8.0,1.0,7.0,5,16,24.0,0.0,58,643.0,61.0,194.0,268.0,186.0,34.0,643.0,28.0,16.0,57.1,10.0,35.7,397.0,2348.0,1301.0,21.0,15.0,10.0,17.0,10.0,426.0,49.0,2,0,0,11,15,1,21,5,9,0.0,0.0,0,43.0,13.0,15.0,46.4,1.0
2023-10-04,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,1,0,pt Porto,1,14,4,28.6,0.07,0.25,20.3,0.0,0,0,1.3,1.3,0.09,-0.3,-0.3,5,0,5,100.0,1,0.7,0.7,0,0,0,0,8.0,16.0,50.0,45.0,5.0,28.9,31.3,8.0,37.5,29.5,13.0,1.0,7.7,0.0,9.3,449.0,532.0,84.4,8502.0,2686.0,175.0,197.0,88.8,221.0,246.0,89.8,48.0,73.0,65.8,1,1.1,0.8,9.0,20.0,4.0,0.0,34.0,532.0,490.0,41.0,6.0,2.0,4.0,9,20.0,6.0,4.0,1.0,0.0,449.0,1.0,6.0,19.0,14.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9,7.0,7.0,1.0,9.0,17.0,52.9,8.0,8.0,3.0,5.0,7,22,23.0,0.0,56,635.0,91.0,245.0,267.0,130.0,21.0,635.0,24.0,12.0,50.0,9.0,37.5,426.0,2289.0,1240.0,26.0,15.0,8.0,13.0,10.0,444.0,34.0,7,1,1,18,4,1,9,7,9,0.0,0.0,0,50.0,11.0,5.0,68.8,2.0
