Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,21:30 (12:30),La Liga,Matchweek 1,Sun,Home,D,0,0,Barcelona,0,5,2,40.0,0.0,0.0,15.6,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6,3,0,3,100.0,1,0.4,0.4,0,0,0,0,14.0,32.0,43.8,25.0,3.0,76.0,48.3,14.0,92.9,63.4,15.0,0.0,0.0,1.0,16.8,186.0,271.0,68.6,3917.0,1893.0,68.0,80.0,85.0,68.0,90.0,75.6,36.0,72.0,50.0,0,0.5,1.1,4.0,17.0,7.0,2.0,21.0,271.0,222.0,45.0,13.0,1.0,4.0,17,14.0,3.0,1.0,2.0,0.0,186.0,4.0,6.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,7.0,1.0,3.0,7.0,19.0,36.8,12.0,6.0,4.0,2.0,15,26,27.0,0.0,26,373.0,69.0,144.0,145.0,88.0,13.0,373.0,5.0,1.0,20.0,4.0,80.0,152.0,787.0,418.0,4.0,7.0,0.0,15.0,5.0,183.0,20.0,8,1,1,20,9,4,17,15,6,0.0,0.0,0,37.0,15.0,23.0,39.5,1
2023-08-20,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,L,0,3,Girona,0,9,2,22.2,0.0,0.0,17.9,1.0,0,0,0.7,0.7,0.08,-0.7,-0.7,6,3,3,50.0,0,1.8,-1.2,0,0,0,0,7.0,18.0,38.9,22.0,1.0,68.2,49.9,4.0,75.0,57.0,7.0,0.0,0.0,2.0,21.6,209.0,321.0,65.1,4339.0,1874.0,79.0,97.0,81.4,81.0,117.0,69.2,40.0,81.0,49.4,0,0.5,0.6,6.0,29.0,8.0,3.0,23.0,321.0,273.0,46.0,13.0,1.0,5.0,21,23.0,2.0,1.0,1.0,0.0,209.0,2.0,9.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,8.0,7.0,6.0,9.0,11.0,81.8,2.0,4.0,1.0,3.0,4,25,10.0,1.0,37,411.0,33.0,102.0,180.0,134.0,16.0,411.0,18.0,4.0,22.2,11.0,61.1,196.0,949.0,411.0,11.0,6.0,2.0,13.0,5.0,208.0,23.0,6,0,0,20,10,2,21,4,11,0.0,0.0,0,54.0,14.0,15.0,48.3,1
2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Home,W,1,0,Alavés,1,14,3,21.4,0.0,0.0,13.4,0.0,1,1,2.2,1.5,0.1,-1.2,-1.5,1,0,1,100.0,1,0.5,0.5,0,0,0,0,8.0,22.0,36.4,28.0,4.0,57.1,43.6,9.0,66.7,46.7,16.0,0.0,0.0,3.0,17.7,226.0,351.0,64.4,4695.0,2414.0,94.0,122.0,77.0,72.0,109.0,66.1,52.0,103.0,50.5,0,0.8,0.9,11.0,25.0,6.0,2.0,25.0,351.0,292.0,59.0,17.0,0.0,6.0,12,28.0,4.0,2.0,1.0,1.0,226.0,0.0,3.0,24.0,13.0,5.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,5,3.0,3.0,1.0,4.0,8.0,50.0,4.0,10.0,6.0,4.0,11,18,24.0,0.0,47,454.0,56.0,166.0,181.0,108.0,16.0,453.0,15.0,4.0,26.7,10.0,66.7,215.0,1077.0,541.0,8.0,7.0,0.0,18.0,6.0,219.0,25.0,1,0,0,13,14,0,12,11,5,1.0,0.0,0,55.0,28.0,24.0,53.8,1
2023-09-02,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,L,1,2,Real Madrid,1,6,2,33.3,0.17,0.5,19.9,0.0,0,0,0.4,0.4,0.07,0.6,0.6,12,2,10,83.3,0,2.6,0.6,0,0,0,0,17.0,32.0,53.1,21.0,0.0,100.0,62.0,13.0,84.6,55.8,21.0,0.0,0.0,3.0,14.1,164.0,253.0,64.8,3482.0,1987.0,83.0,98.0,84.7,49.0,79.0,62.0,27.0,64.0,42.2,0,0.2,0.3,3.0,14.0,2.0,1.0,14.0,253.0,207.0,46.0,14.0,0.0,7.0,12,15.0,1.0,1.0,0.0,0.0,164.0,0.0,4.0,10.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,6,8.0,3.0,3.0,7.0,15.0,46.7,8.0,14.0,4.0,10.0,9,23,38.0,1.0,24,370.0,88.0,170.0,117.0,93.0,11.0,370.0,9.0,3.0,33.3,6.0,66.7,184.0,760.0,390.0,7.0,10.0,3.0,9.0,7.0,162.0,14.0,6,0,0,16,11,0,12,9,6,0.0,0.0,0,42.0,22.0,13.0,62.9,1
2023-09-17,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,3,2,Osasuna,3,11,6,54.5,0.27,0.5,13.5,0.0,0,0,0.5,0.5,0.05,2.5,2.5,3,2,1,66.7,0,1.5,-0.5,1,1,0,0,16.0,38.0,42.1,42.0,4.0,71.4,47.3,9.0,88.9,53.2,10.0,0.0,0.0,2.0,24.0,262.0,398.0,65.8,5522.0,2472.0,107.0,130.0,82.3,86.0,125.0,68.8,61.0,121.0,50.4,3,0.5,0.5,10.0,25.0,5.0,4.0,26.0,398.0,340.0,58.0,18.0,1.0,4.0,21,22.0,6.0,3.0,2.0,0.0,262.0,0.0,6.0,21.0,15.0,4.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,9.0,5,5.0,3.0,1.0,6.0,10.0,60.0,4.0,6.0,0.0,6.0,6,15,17.0,0.0,44,492.0,60.0,148.0,243.0,105.0,17.0,492.0,7.0,2.0,28.6,4.0,57.1,233.0,1162.0,576.0,11.0,6.0,3.0,15.0,6.0,260.0,25.0,6,1,0,15,11,0,21,6,5,0.0,1.0,0,48.0,23.0,31.0,42.6,1
2023-09-24,14:00 (05:00),La Liga,Matchweek 6,Sun,Away,L,3,4,Real Sociedad,3,9,6,66.7,0.22,0.33,18.2,0.0,1,1,1.4,0.6,0.07,1.6,1.4,6,4,2,50.0,0,3.6,-0.4,1,1,0,0,9.0,24.0,37.5,24.0,4.0,70.8,46.9,8.0,87.5,56.6,11.0,0.0,0.0,3.0,19.8,223.0,339.0,65.8,4021.0,1739.0,113.0,133.0,85.0,71.0,102.0,69.6,30.0,79.0,38.0,2,0.6,0.7,8.0,16.0,5.0,3.0,19.0,339.0,292.0,46.0,15.0,0.0,3.0,17,17.0,1.0,0.0,1.0,0.0,223.0,1.0,7.0,20.0,14.0,3.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,19.0,11,8.0,10.0,1.0,11.0,21.0,52.4,10.0,5.0,2.0,3.0,5,24,10.0,1.0,39,427.0,48.0,162.0,178.0,91.0,15.0,426.0,16.0,9.0,56.3,3.0,18.8,189.0,905.0,476.0,10.0,5.0,3.0,10.0,8.0,223.0,19.0,2,0,0,24,12,1,17,5,11,1.0,1.0,0,44.0,32.0,23.0,58.2,1
2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,D,2,2,Athletic Club,2,13,5,38.5,0.15,0.4,16.9,0.0,0,0,1.4,1.4,0.1,0.6,0.6,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,6.0,17.0,35.3,30.0,9.0,43.3,36.9,5.0,80.0,51.4,16.0,2.0,12.5,2.0,15.3,326.0,456.0,71.5,6330.0,2238.0,127.0,153.0,83.0,143.0,183.0,78.1,49.0,94.0,52.1,2,0.9,0.8,8.0,29.0,7.0,7.0,38.0,456.0,407.0,48.0,15.0,1.0,6.0,30,21.0,4.0,3.0,0.0,0.0,326.0,1.0,10.0,23.0,13.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,3,3.0,3.0,0.0,2.0,11.0,18.2,9.0,6.0,3.0,3.0,11,17,20.0,2.0,51,550.0,45.0,137.0,262.0,159.0,21.0,550.0,18.0,8.0,44.4,7.0,38.9,332.0,1595.0,844.0,13.0,14.0,3.0,15.0,7.0,324.0,37.0,6,0,0,19,9,1,30,11,3,0.0,0.0,0,58.0,10.0,18.0,35.7,1
2023-09-30,14:00 (05:00),La Liga,Matchweek 8,Sat,Home,D,0,0,Villarreal,0,22,9,40.9,0.0,0.0,19.5,0.0,0,0,0.9,0.9,0.04,-0.9,-0.9,0,0,0,,1,0.0,0.0,0,0,0,0,5.0,9.0,55.6,15.0,4.0,40.0,32.8,7.0,42.9,43.0,7.0,0.0,0.0,0.0,15.0,426.0,533.0,79.9,8501.0,2887.0,180.0,205.0,87.8,170.0,203.0,83.7,72.0,108.0,66.7,0,0.6,1.4,16.0,49.0,11.0,6.0,64.0,533.0,488.0,43.0,12.0,0.0,10.0,44,17.0,6.0,3.0,1.0,0.0,426.0,2.0,10.0,37.0,28.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,8.0,9.0,5.0,9.0,19.0,47.4,10.0,5.0,1.0,4.0,6,28,14.0,0.0,64,638.0,29.0,121.0,270.0,252.0,29.0,638.0,13.0,3.0,23.1,8.0,61.5,431.0,2323.0,1262.0,26.0,27.0,4.0,13.0,8.0,418.0,64.0,2,0,0,19,11,2,44,6,12,0.0,0.0,0,67.0,13.0,18.0,41.9,1
2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,2,2,Celta Vigo,2,3,2,66.7,0.67,1.0,9.1,0.0,0,0,0.7,0.7,0.23,1.3,1.3,11,2,8,81.8,0,3.9,1.9,1,0,1,0,7.0,35.0,20.0,24.0,0.0,95.8,60.2,12.0,100.0,65.5,26.0,1.0,3.8,3.0,16.6,124.0,230.0,53.9,2441.0,1125.0,55.0,68.0,80.9,32.0,55.0,58.2,25.0,84.0,29.8,2,0.7,0.7,3.0,11.0,4.0,1.0,12.0,230.0,185.0,43.0,16.0,0.0,1.0,7,11.0,1.0,1.0,0.0,0.0,124.0,2.0,7.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,9,13.0,3.0,0.0,8.0,17.0,47.1,9.0,13.0,7.0,6.0,13,29,42.0,0.0,26,356.0,83.0,191.0,107.0,61.0,15.0,356.0,8.0,4.0,50.0,3.0,37.5,113.0,559.0,308.0,3.0,7.0,2.0,6.0,6.0,121.0,10.0,8,1,1,20,13,2,7,13,9,0.0,1.0,0,44.0,9.0,22.0,29.0,1
2023-10-21,16:15 (07:15),La Liga,Matchweek 10,Sat,Home,D,1,1,Betis,1,13,3,23.1,0.08,0.33,15.9,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,3,1,2,66.7,0,1.1,0.1,0,0,0,0,8.0,28.0,28.6,32.0,10.0,53.1,39.4,14.0,78.6,51.6,11.0,2.0,18.2,0.0,11.0,275.0,389.0,70.7,5070.0,2450.0,133.0,162.0,82.1,100.0,123.0,81.3,37.0,88.0,42.0,1,1.1,0.7,10.0,24.0,4.0,2.0,28.0,389.0,334.0,53.0,12.0,2.0,2.0,18,21.0,4.0,3.0,0.0,0.0,275.0,2.0,6.0,21.0,14.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,15,10.0,12.0,2.0,11.0,23.0,47.8,12.0,13.0,4.0,9.0,9,33,20.0,0.0,45,512.0,75.0,183.0,235.0,104.0,18.0,512.0,21.0,13.0,61.9,7.0,33.3,265.0,1475.0,782.0,12.0,15.0,4.0,10.0,10.0,271.0,27.0,5,0,0,17,11,2,18,9,15,0.0,0.0,0,55.0,13.0,18.0,41.9,1
