Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,1,4,1,25.0,0.0,0.0,29.7,0.0,1,1,0.9,0.1,0.03,0.1,-0.1,2,1,1,50.0,0,0.2,-0.8,1,0,0,1,6.0,21.0,28.6,32.0,2.0,56.3,40.4,8.0,37.5,31.6,16.0,1.0,6.3,2.0,19.3,542.0,636.0,85.2,7905.0,2687.0,330.0,349.0,94.6,173.0,200.0,86.5,23.0,54.0,42.6,0,0.1,0.2,3.0,33.0,5.0,0.0,37.0,636.0,571.0,64.0,27.0,1.0,1.0,5,24.0,3.0,0.0,0.0,0.0,542.0,1.0,6.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,5,7.0,6.0,1.0,4.0,8.0,50.0,4.0,5.0,1.0,4.0,9,23,19.0,0.0,68,738.0,54.0,176.0,452.0,114.0,9.0,737.0,23.0,9.0,39.1,12.0,52.2,472.0,2144.0,937.0,13.0,5.0,3.0,12.0,13.0,537.0,37.0,3,0,0,11,19,1,5,9,5,1.0,1.0,0,37.0,14.0,15.0,48.3,1
2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,0,7,1,14.3,0.0,0.0,23.6,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,4,1,3,100.0,0,1.8,0.8,1,1,0,0,3.0,12.0,25.0,47.0,2.0,19.1,26.4,8.0,37.5,32.3,12.0,0.0,0.0,0.0,9.3,549.0,641.0,85.6,8434.0,2847.0,300.0,327.0,91.7,208.0,225.0,92.4,27.0,55.0,49.1,0,0.5,0.4,5.0,30.0,5.0,1.0,35.0,641.0,589.0,51.0,13.0,1.0,2.0,9,24.0,4.0,1.0,1.0,0.0,549.0,1.0,8.0,12.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,7.0,9.0,3.0,7.0,18.0,38.9,11.0,7.0,3.0,4.0,7,26,15.0,0.0,61,739.0,56.0,245.0,377.0,121.0,8.0,739.0,26.0,15.0,57.7,9.0,34.6,493.0,1994.0,872.0,9.0,8.0,2.0,14.0,7.0,544.0,34.0,0,0,0,6,12,1,9,7,13,0.0,1.0,0,45.0,11.0,10.0,52.4,1
2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,0,11,5,45.5,0.0,0.0,18.6,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,1,0,1,100.0,1,0.1,0.1,0,0,0,0,5.0,23.0,21.7,52.0,3.0,36.5,32.9,6.0,66.7,49.7,14.0,1.0,7.1,2.0,17.5,396.0,501.0,79.0,6606.0,2456.0,188.0,210.0,89.5,169.0,192.0,88.0,29.0,69.0,42.0,0,0.9,1.0,10.0,23.0,6.0,0.0,38.0,501.0,438.0,60.0,31.0,3.0,0.0,12,17.0,5.0,3.0,2.0,0.0,396.0,3.0,8.0,19.0,15.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9,4.0,11.0,2.0,10.0,23.0,43.5,13.0,11.0,3.0,8.0,12,29,12.0,1.0,52,604.0,57.0,194.0,300.0,117.0,18.0,604.0,14.0,4.0,28.6,7.0,50.0,349.0,1556.0,793.0,17.0,11.0,4.0,20.0,5.0,394.0,38.0,1,0,0,7,28,3,12,12,9,0.0,0.0,0,58.0,20.0,19.0,51.3,1
2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,0,10,5,50.0,0.0,0.0,20.6,1.0,0,0,1.1,1.1,0.11,-1.1,-1.1,6,1,5,83.3,0,1.2,0.2,0,0,0,0,5.0,11.0,45.5,43.0,7.0,25.6,30.2,5.0,0.0,8.4,11.0,0.0,0.0,1.0,30.0,441.0,524.0,84.2,7009.0,2629.0,225.0,238.0,94.5,168.0,198.0,84.8,31.0,57.0,54.4,0,1.0,1.0,8.0,34.0,9.0,2.0,28.0,524.0,476.0,48.0,18.0,2.0,1.0,15,18.0,5.0,2.0,1.0,0.0,441.0,0.0,10.0,16.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,9.0,5.0,1.0,10.0,27.0,37.0,17.0,8.0,1.0,7.0,5,20,17.0,0.0,54,617.0,61.0,184.0,272.0,168.0,22.0,617.0,18.0,10.0,55.6,7.0,38.9,405.0,1834.0,890.0,14.0,13.0,4.0,13.0,11.0,437.0,28.0,3,0,0,10,15,0,15,5,11,0.0,0.0,0,43.0,9.0,9.0,50.0,1
2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,0,14,2,14.3,0.0,0.0,22.0,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,9,1,8,88.9,0,2.5,1.5,0,0,0,0,4.0,14.0,28.6,32.0,5.0,31.3,29.5,10.0,40.0,29.1,21.0,0.0,0.0,2.0,13.4,420.0,526.0,79.8,7235.0,3117.0,206.0,235.0,87.7,165.0,199.0,82.9,41.0,66.0,62.1,0,0.8,1.1,12.0,44.0,6.0,0.0,46.0,526.0,459.0,67.0,19.0,1.0,1.0,12,33.0,3.0,1.0,0.0,0.0,420.0,0.0,14.0,24.0,19.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10,7.0,7.0,2.0,8.0,18.0,44.4,10.0,14.0,6.0,8.0,6,22,29.0,0.0,57,665.0,81.0,242.0,291.0,138.0,15.0,665.0,27.0,11.0,40.7,12.0,44.4,316.0,1763.0,963.0,23.0,16.0,5.0,25.0,13.0,415.0,45.0,5,0,0,12,12,0,12,6,10,0.0,0.0,0,58.0,11.0,10.0,52.4,1
2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,1,10,3,30.0,0.1,0.33,20.7,1.0,0,0,0.6,0.6,0.06,0.4,0.4,1,0,1,100.0,1,0.1,0.1,0,0,0,0,7.0,19.0,36.8,43.0,3.0,37.2,34.2,7.0,42.9,33.1,20.0,1.0,5.0,2.0,14.0,376.0,474.0,79.3,6211.0,2322.0,182.0,208.0,87.5,157.0,181.0,86.7,23.0,57.0,40.4,1,0.5,0.5,7.0,22.0,7.0,1.0,32.0,474.0,424.0,46.0,22.0,0.0,4.0,15,10.0,6.0,4.0,1.0,0.0,376.0,4.0,7.0,17.0,13.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,13,14.0,8.0,1.0,12.0,19.0,63.2,7.0,8.0,0.0,8.0,7,30,28.0,0.0,56,601.0,62.0,221.0,289.0,99.0,10.0,601.0,22.0,9.0,40.9,10.0,45.5,252.0,1502.0,806.0,7.0,7.0,0.0,18.0,6.0,372.0,31.0,7,1,1,13,19,4,15,7,13,0.0,0.0,0,55.0,20.0,18.0,52.6,1
2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,0,16,2,12.5,0.0,0.0,21.5,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,9,2,7,77.8,0,3.1,1.1,0,0,0,0,4.0,12.0,33.3,41.0,12.0,29.3,32.5,4.0,0.0,11.0,15.0,2.0,13.3,2.0,10.5,615.0,680.0,90.4,9089.0,3329.0,362.0,374.0,96.8,208.0,229.0,90.8,31.0,47.0,66.0,0,0.7,1.1,15.0,35.0,12.0,3.0,46.0,680.0,650.0,28.0,12.0,2.0,3.0,8,8.0,2.0,0.0,0.0,0.0,615.0,2.0,7.0,32.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14,15.0,7.0,2.0,14.0,24.0,58.3,10.0,14.0,9.0,5.0,7,31,26.0,1.0,52,823.0,103.0,280.0,375.0,169.0,19.0,823.0,11.0,6.0,54.5,4.0,36.4,554.0,2210.0,1134.0,15.0,10.0,2.0,22.0,8.0,611.0,45.0,1,0,0,9,7,2,8,7,14,0.0,0.0,0,53.0,3.0,5.0,37.5,1
2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,2,15,4,26.7,0.07,0.25,22.2,0.0,1,1,1.7,0.9,0.06,0.3,0.1,3,1,2,66.7,0,1.6,0.6,0,0,0,0,3.0,7.0,42.9,43.0,3.0,11.6,23.8,5.0,40.0,36.8,10.0,1.0,10.0,5.0,25.6,687.0,791.0,86.9,11235.0,3728.0,335.0,364.0,92.0,271.0,304.0,89.1,58.0,84.0,69.0,1,0.8,1.0,12.0,36.0,14.0,4.0,62.0,791.0,731.0,58.0,15.0,2.0,5.0,28,32.0,4.0,1.0,2.0,0.0,687.0,2.0,9.0,28.0,22.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,9,9.0,7.0,5.0,10.0,19.0,52.6,9.0,9.0,3.0,6.0,7,28,9.0,0.0,73,901.0,49.0,189.0,497.0,220.0,29.0,900.0,16.0,7.0,43.8,8.0,50.0,602.0,2835.0,1356.0,30.0,21.0,5.0,19.0,10.0,685.0,61.0,2,0,0,13,14,2,28,7,9,1.0,0.0,0,55.0,17.0,9.0,65.4,1
2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,2,7,4,57.1,0.14,0.25,22.3,1.0,1,1,1.1,0.3,0.05,0.9,0.7,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,4.0,12.0,33.3,40.0,8.0,25.0,29.4,5.0,40.0,37.8,17.0,0.0,0.0,2.0,16.5,398.0,472.0,84.3,6746.0,2872.0,199.0,225.0,88.4,164.0,178.0,92.1,33.0,58.0,56.9,0,0.2,0.5,4.0,31.0,6.0,1.0,26.0,472.0,427.0,40.0,19.0,3.0,3.0,11,12.0,2.0,2.0,0.0,0.0,398.0,5.0,3.0,15.0,12.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,34.0,20,17.0,13.0,4.0,13.0,22.0,59.1,9.0,12.0,1.0,11.0,15,49,13.0,0.0,51,593.0,52.0,227.0,251.0,126.0,16.0,592.0,23.0,12.0,52.2,9.0,39.1,261.0,1716.0,859.0,21.0,16.0,5.0,16.0,7.0,393.0,26.0,4,0,0,7,14,5,11,15,20,0.0,0.0,0,61.0,3.0,9.0,25.0,1
2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,0,11,5,45.5,0.0,0.0,19.9,0.0,0,1,1.3,0.5,0.05,-1.3,-0.5,4,1,3,100.0,0,1.2,0.2,1,1,0,0,6.0,11.0,54.5,55.0,5.0,18.2,25.2,7.0,14.3,26.3,12.0,1.0,8.3,3.0,16.6,493.0,607.0,81.2,7322.0,3051.0,272.0,315.0,86.3,184.0,205.0,89.8,20.0,50.0,40.0,0,0.4,1.0,9.0,29.0,13.0,2.0,49.0,607.0,562.0,43.0,12.0,0.0,0.0,23,12.0,10.0,6.0,1.0,0.0,493.0,2.0,15.0,23.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12,5.0,7.0,3.0,8.0,17.0,47.1,9.0,4.0,1.0,3.0,6,21,13.0,0.0,60,716.0,61.0,207.0,333.0,181.0,31.0,715.0,16.0,9.0,56.3,6.0,37.5,462.0,2091.0,1232.0,24.0,18.0,1.0,25.0,13.0,487.0,48.0,4,0,0,13,10,2,23,6,12,0.0,1.0,0,66.0,16.0,14.0,53.3,1
