Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-12,21:30 (12:30),La Liga,Matchweek 1,Sat,Away,W,2,0,Athletic Club,2,14,8,57.1,0.14,0.25,16.0,2.0,0,0,0.9,0.9,0.07,1.1,1.1,1,0,1,100.0,1,0.0,0.0,0,0,0,0,3.0,5.0,60.0,33.0,10.0,6.1,22.2,12.0,25.0,27.1,24.0,2.0,8.3,2.0,10.4,556.0,639.0,87.0,9202.0,3152.0,279.0,298.0,93.6,213.0,239.0,89.1,47.0,73.0,64.4,2,0.7,0.9,9.0,37.0,11.0,1.0,49.0,639.0,585.0,52.0,19.0,5.0,6.0,9,15.0,5.0,2.0,2.0,0.0,556.0,2.0,6.0,26.0,13.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,25.0,16,6.0,18.0,1.0,12.0,16.0,75.0,4.0,11.0,3.0,8.0,10,35,24.0,1.0,54,770.0,91.0,273.0,352.0,154.0,24.0,770.0,19.0,8.0,42.1,10.0,52.6,528.0,2588.0,1342.0,21.0,17.0,4.0,19.0,6.0,551.0,48.0,1,0,0,6,16,2,9,10,16,0.0,0.0,0,61.0,9.0,5.0,64.3,1.0
2023-08-19,19:30 (10:30),La Liga,Matchweek 2,Sat,Away,W,3,1,Almería,3,25,9,36.0,0.12,0.33,17.0,1.0,0,0,2.0,2.0,0.08,1.0,1.0,8,1,7,87.5,0,2.1,1.1,0,0,0,0,1.0,2.0,50.0,20.0,6.0,10.0,21.0,10.0,0.0,20.1,20.0,1.0,5.0,0.0,11.0,548.0,622.0,88.1,8095.0,2774.0,326.0,345.0,94.5,174.0,197.0,88.3,32.0,48.0,66.7,2,1.8,1.5,22.0,50.0,15.0,4.0,55.0,622.0,572.0,46.0,10.0,1.0,5.0,26,19.0,5.0,0.0,5.0,0.0,548.0,4.0,7.0,46.0,39.0,2.0,1.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0,8,6.0,5.0,3.0,8.0,17.0,47.1,9.0,7.0,4.0,3.0,10,24,19.0,0.0,57,736.0,71.0,173.0,323.0,252.0,43.0,736.0,24.0,12.0,50.0,11.0,45.8,477.0,2771.0,1638.0,32.0,38.0,13.0,9.0,6.0,546.0,55.0,0,0,0,13,9,4,26,10,8,0.0,0.0,0,37.0,8.0,10.0,44.4,1.0
2023-08-25,21:30 (12:30),La Liga,Matchweek 3,Fri,Away,W,1,0,Celta Vigo,1,9,2,22.2,0.11,0.5,19.4,0.0,0,1,1.4,0.6,0.06,-0.4,0.4,4,0,4,100.0,1,0.3,0.3,0,0,0,0,4.0,9.0,44.4,28.0,5.0,25.0,30.7,12.0,16.7,18.4,18.0,0.0,0.0,0.0,9.0,589.0,672.0,87.6,8987.0,2775.0,332.0,352.0,94.3,205.0,226.0,90.7,35.0,65.0,53.8,1,0.5,1.2,7.0,51.0,4.0,1.0,42.0,672.0,622.0,47.0,17.0,1.0,5.0,17,12.0,5.0,0.0,4.0,0.0,589.0,3.0,5.0,17.0,10.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,6,4.0,2.0,2.0,6.0,10.0,60.0,4.0,11.0,3.0,8.0,8,16,12.0,0.0,63,775.0,73.0,172.0,436.0,178.0,24.0,774.0,25.0,15.0,60.0,6.0,24.0,590.0,2958.0,1519.0,28.0,17.0,8.0,20.0,9.0,583.0,42.0,3,0,0,14,19,3,17,8,6,1.0,0.0,0,51.0,8.0,11.0,42.1,1.0
2023-09-02,16:15 (07:15),La Liga,Matchweek 4,Sat,Home,W,2,1,Getafe,2,26,12,46.2,0.08,0.17,17.7,0.0,0,0,2.8,2.8,0.11,-0.8,-0.8,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,1.0,6.0,16.7,27.0,3.0,22.2,29.0,4.0,0.0,16.3,9.0,1.0,11.1,0.0,13.8,674.0,782.0,86.2,10902.0,3599.0,371.0,404.0,91.8,237.0,268.0,88.4,55.0,79.0,69.6,0,1.5,2.1,22.0,61.0,23.0,3.0,85.0,782.0,727.0,53.0,16.0,4.0,7.0,29,20.0,11.0,1.0,5.0,0.0,674.0,2.0,11.0,45.0,33.0,4.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,9,7.0,5.0,1.0,6.0,9.0,66.7,3.0,7.0,2.0,5.0,4,17,12.0,1.0,76,880.0,46.0,178.0,413.0,295.0,52.0,880.0,17.0,8.0,47.1,7.0,41.2,644.0,3563.0,1861.0,31.0,30.0,9.0,12.0,7.0,668.0,84.0,2,0,0,12,15,2,29,4,9,0.0,0.0,0,56.0,13.0,22.0,37.1,1.0
2023-09-17,21:00 (12:00),La Liga,Matchweek 5,Sun,Home,W,2,1,Real Sociedad,2,17,8,47.1,0.12,0.25,15.9,1.0,0,0,2.0,2.0,0.13,0.0,0.0,5,1,4,80.0,0,1.8,0.8,0,0,0,0,5.0,14.0,35.7,36.0,1.0,30.6,31.4,8.0,37.5,36.0,8.0,0.0,0.0,1.0,24.0,477.0,558.0,85.5,8588.0,2754.0,221.0,245.0,90.2,196.0,215.0,91.2,51.0,77.0,66.2,2,1.7,1.9,12.0,47.0,11.0,3.0,46.0,558.0,507.0,48.0,14.0,0.0,6.0,19,20.0,4.0,0.0,2.0,0.0,477.0,3.0,4.0,31.0,26.0,0.0,3.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,8,9.0,6.0,1.0,10.0,17.0,58.8,7.0,6.0,3.0,3.0,11,27,15.0,0.0,52,667.0,60.0,204.0,299.0,168.0,31.0,667.0,24.0,8.0,33.3,12.0,50.0,484.0,2558.0,1180.0,27.0,12.0,8.0,7.0,3.0,475.0,46.0,3,0,0,11,13,3,19,11,8,0.0,0.0,0,48.0,14.0,7.0,66.7,1.0
2023-09-20,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,de Union Berlin,1,32,7,21.9,0.03,0.14,16.2,1.0,0,0,3.7,3.7,0.12,-2.7,-2.7,0,0,0,,1,0.0,0.0,0,0,0,0,1.0,2.0,50.0,31.0,8.0,6.5,24.5,2.0,0.0,24.5,6.0,0.0,0.0,1.0,13.0,786.0,881.0,89.2,13266.0,4051.0,376.0,394.0,95.4,338.0,372.0,90.9,60.0,83.0,72.3,0,2.7,3.1,29.0,80.0,21.0,6.0,82.0,881.0,824.0,53.0,11.0,2.0,4.0,37,23.0,16.0,7.0,4.0,0.0,786.0,4.0,12.0,62.0,49.0,6.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4,2.0,3.0,1.0,3.0,5.0,60.0,2.0,4.0,1.0,3.0,5,11,10.0,0.0,75,976.0,50.0,175.0,456.0,352.0,46.0,976.0,14.0,6.0,42.9,7.0,50.0,793.0,3637.0,1931.0,35.0,28.0,9.0,13.0,8.0,779.0,81.0,1,0,0,8,11,4,37,5,4,0.0,0.0,0,46.0,16.0,8.0,66.7,2.0
2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Away,L,1,3,Atlético Madrid,1,20,5,25.0,0.05,0.2,21.5,1.0,0,0,1.0,1.0,0.05,0.0,0.0,4,3,1,25.0,0,2.4,-0.6,0,0,0,0,2.0,2.0,100.0,15.0,1.0,6.7,23.6,6.0,16.7,23.0,12.0,0.0,0.0,1.0,15.5,584.0,654.0,89.3,9175.0,2731.0,318.0,335.0,94.9,202.0,222.0,91.0,46.0,63.0,73.0,0,0.8,2.2,15.0,53.0,16.0,1.0,73.0,654.0,603.0,50.0,13.0,3.0,2.0,33,16.0,11.0,7.0,0.0,0.0,584.0,1.0,12.0,35.0,26.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,5.0,1.0,3.0,8.0,37.5,5.0,8.0,3.0,5.0,9,20,14.0,0.0,63,770.0,50.0,143.0,332.0,305.0,34.0,770.0,28.0,11.0,39.3,12.0,42.9,491.0,2510.0,1397.0,22.0,35.0,4.0,17.0,13.0,575.0,73.0,3,0,0,10,13,1,33,9,6,0.0,0.0,0,58.0,5.0,1.0,83.3,1.0
2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Home,W,2,0,Las Palmas,2,21,9,42.9,0.1,0.22,16.4,0.0,0,0,1.7,1.7,0.08,0.3,0.3,2,0,2,100.0,1,0.2,0.2,0,0,0,0,0.0,4.0,0.0,33.0,7.0,12.1,23.9,8.0,0.0,19.8,5.0,0.0,0.0,1.0,25.0,534.0,618.0,86.4,8584.0,2853.0,287.0,302.0,95.0,210.0,230.0,91.3,27.0,53.0,50.9,2,1.7,1.9,18.0,40.0,8.0,1.0,48.0,618.0,568.0,44.0,11.0,4.0,3.0,16,17.0,7.0,3.0,3.0,0.0,534.0,6.0,5.0,39.0,32.0,1.0,1.0,4.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,8,5.0,6.0,1.0,4.0,10.0,40.0,6.0,13.0,6.0,7.0,7,19,8.0,0.0,48,723.0,51.0,178.0,316.0,235.0,51.0,723.0,25.0,10.0,40.0,14.0,56.0,500.0,2841.0,1686.0,31.0,16.0,14.0,13.0,10.0,527.0,47.0,0,0,0,7,7,6,16,7,8,0.0,0.0,0,57.0,5.0,3.0,62.5,1.0
2023-09-30,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,W,3,0,Girona,3,14,7,50.0,0.21,0.43,16.2,0.0,0,0,2.3,2.3,0.17,0.7,0.7,3,0,3,100.0,1,0.7,0.7,0,0,0,0,7.0,15.0,46.7,41.0,5.0,29.3,31.1,17.0,17.6,19.9,17.0,1.0,5.9,0.0,6.5,483.0,546.0,88.5,7883.0,2805.0,254.0,272.0,93.4,181.0,197.0,91.9,39.0,63.0,61.9,3,2.0,0.6,10.0,32.0,2.0,0.0,29.0,546.0,498.0,48.0,13.0,1.0,4.0,9,13.0,4.0,2.0,2.0,0.0,483.0,0.0,3.0,23.0,13.0,1.0,4.0,4.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,22.0,13,13.0,8.0,1.0,5.0,9.0,55.6,4.0,10.0,2.0,8.0,14,36,17.0,0.0,48,675.0,103.0,261.0,297.0,126.0,25.0,675.0,25.0,13.0,52.0,8.0,32.0,503.0,2488.0,1382.0,30.0,20.0,12.0,18.0,8.0,483.0,29.0,2,1,0,14,12,0,9,14,13,0.0,0.0,0,46.0,3.0,3.0,50.0,1.0
2023-10-03,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,2,it Napoli,2,18,5,27.8,0.11,0.4,16.4,0.0,0,0,1.4,1.4,0.08,0.6,0.6,7,2,5,85.7,0,1.8,-0.2,1,1,0,0,3.0,10.0,30.0,29.0,5.0,31.0,32.7,9.0,11.1,18.6,23.0,2.0,8.7,0.0,6.0,479.0,544.0,88.1,7763.0,2363.0,243.0,263.0,92.4,197.0,209.0,94.3,29.0,51.0,56.9,2,0.9,0.5,13.0,40.0,5.0,0.0,33.0,544.0,501.0,42.0,9.0,0.0,2.0,11,12.0,9.0,1.0,5.0,0.0,479.0,1.0,7.0,34.0,21.0,4.0,3.0,5.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,23.0,13,12.0,10.0,1.0,7.0,13.0,53.8,6.0,11.0,7.0,4.0,6,29,25.0,0.0,50,660.0,83.0,199.0,325.0,141.0,29.0,660.0,22.0,11.0,50.0,8.0,36.4,486.0,2518.0,1212.0,22.0,18.0,10.0,12.0,8.0,478.0,32.0,3,0,0,12,8,1,11,6,13,0.0,1.0,0,31.0,20.0,11.0,64.5,2.0
