Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-12,17:00 (08:00),La Liga,Matchweek 1,Sat,Home,D,1,1,Girona,1,15,2,13.3,0.07,0.5,20.0,1.0,0,0,1.0,1.0,0.07,0.0,0.0,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,4.0,12.0,33.3,33.0,7.0,30.3,34.0,4.0,50.0,38.3,10.0,0.0,0.0,5.0,23.5,331.0,415.0,79.8,5963.0,2226.0,134.0,150.0,89.3,155.0,184.0,84.2,33.0,59.0,55.9,1,0.8,0.7,11.0,22.0,9.0,2.0,34.0,415.0,372.0,43.0,11.0,1.0,1.0,10,22.0,4.0,3.0,1.0,0.0,331.0,0.0,9.0,23.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,15,6.0,8.0,3.0,7.0,13.0,53.8,6.0,7.0,3.0,4.0,7,24,12.0,0.0,48,512.0,56.0,154.0,235.0,131.0,18.0,512.0,21.0,9.0,42.9,7.0,33.3,324.0,1808.0,813.0,13.0,20.0,3.0,20.0,8.0,327.0,34.0,2,0,0,22,7,0,10,7,15,0.0,0.0,0,43.0,19.0,18.0,51.4,1
2023-08-19,17:00 (08:00),La Liga,Matchweek 2,Sat,Home,D,1,1,Celta Vigo,1,11,2,18.2,0.09,0.5,17.3,1.0,0,0,0.7,0.7,0.06,0.3,0.3,6,1,5,83.3,0,1.2,0.2,0,0,0,0,4.0,9.0,44.4,22.0,0.0,40.9,34.0,5.0,0.0,11.0,18.0,0.0,0.0,1.0,14.0,341.0,468.0,72.9,6145.0,1990.0,150.0,180.0,83.3,150.0,193.0,77.7,36.0,77.0,46.8,1,0.5,0.3,8.0,27.0,5.0,2.0,32.0,468.0,406.0,62.0,14.0,1.0,7.0,18,32.0,9.0,4.0,2.0,0.0,341.0,0.0,6.0,20.0,9.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,10,3.0,8.0,1.0,3.0,13.0,23.1,10.0,13.0,3.0,10.0,6,18,19.0,0.0,53,574.0,60.0,119.0,325.0,136.0,12.0,574.0,14.0,8.0,57.1,6.0,42.9,303.0,1771.0,962.0,18.0,12.0,3.0,18.0,7.0,333.0,32.0,2,0,0,12,12,0,18,6,10,0.0,0.0,0,57.0,20.0,14.0,58.8,1
2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Away,D,0,0,Las Palmas,0,8,1,12.5,0.0,0.0,13.0,0.0,0,0,1.0,1.0,0.12,-1.0,-1.0,5,0,5,100.0,1,0.8,0.8,0,0,0,0,8.0,15.0,53.3,41.0,3.0,26.8,29.0,6.0,66.7,60.3,8.0,1.0,12.5,6.0,19.7,359.0,465.0,77.2,6546.0,2589.0,139.0,167.0,83.2,179.0,208.0,86.1,31.0,59.0,52.5,0,0.9,0.9,7.0,27.0,4.0,1.0,32.0,465.0,423.0,38.0,9.0,3.0,1.0,19,15.0,7.0,1.0,6.0,0.0,359.0,4.0,12.0,12.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,8.0,4.0,0.0,7.0,11.0,63.6,4.0,9.0,3.0,6.0,6,18,16.0,0.0,48,563.0,71.0,197.0,274.0,100.0,17.0,563.0,24.0,13.0,54.2,10.0,41.7,331.0,1673.0,765.0,14.0,7.0,5.0,13.0,7.0,353.0,30.0,4,0,0,29,6,4,19,6,7,0.0,0.0,0,59.0,19.0,20.0,48.7,1
2023-09-02,14:00 (05:00),La Liga,Matchweek 4,Sat,Home,W,5,3,Granada,4,15,6,40.0,0.27,0.67,20.3,0.0,0,0,2.3,2.3,0.17,1.7,1.7,5,3,3,40.0,0,1.4,-0.6,0,0,0,0,10.0,20.0,50.0,48.0,4.0,37.5,32.6,3.0,66.7,49.3,12.0,0.0,0.0,6.0,20.6,478.0,583.0,82.0,8307.0,2987.0,208.0,239.0,87.0,198.0,226.0,87.6,47.0,77.0,61.0,4,1.8,1.2,12.0,38.0,5.0,0.0,41.0,583.0,533.0,42.0,19.0,3.0,6.0,13,14.0,2.0,0.0,1.0,0.0,478.0,8.0,3.0,23.0,21.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,9,10.0,6.0,1.0,9.0,20.0,45.0,11.0,11.0,2.0,9.0,6,23,17.0,1.0,61,685.0,75.0,200.0,351.0,141.0,23.0,685.0,12.0,8.0,66.7,2.0,16.7,469.0,2360.0,1196.0,24.0,12.0,10.0,18.0,8.0,472.0,41.0,1,0,0,15,14,8,13,6,9,0.0,0.0,1,60.0,12.0,14.0,46.2,1
2023-09-17,21:00 (12:00),La Liga,Matchweek 5,Sun,Away,L,1,2,Real Madrid,1,15,5,33.3,0.07,0.2,17.6,0.0,0,0,1.6,1.6,0.13,-0.6,-0.6,8,2,6,75.0,0,2.2,0.2,0,0,0,0,4.0,13.0,30.8,31.0,2.0,32.3,32.6,5.0,60.0,37.6,14.0,0.0,0.0,2.0,24.3,448.0,521.0,86.0,7788.0,2437.0,210.0,226.0,92.9,195.0,216.0,90.3,38.0,62.0,61.3,0,1.1,1.1,11.0,39.0,7.0,2.0,37.0,521.0,477.0,42.0,14.0,2.0,5.0,12,17.0,3.0,2.0,1.0,0.0,448.0,2.0,5.0,26.0,21.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,9,9.0,6.0,0.0,12.0,20.0,60.0,8.0,8.0,4.0,4.0,12,27,23.0,1.0,48,635.0,69.0,177.0,339.0,125.0,18.0,635.0,21.0,7.0,33.3,10.0,47.6,413.0,2106.0,984.0,15.0,13.0,5.0,11.0,6.0,441.0,37.0,2,0,0,14,11,2,12,12,9,0.0,0.0,0,42.0,7.0,14.0,33.3,1
2023-09-20,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,1,1,it Inter,1,14,5,35.7,0.07,0.2,15.9,1.0,0,0,1.3,1.3,0.1,-0.3,-0.3,1,1,0,0.0,0,0.6,-0.4,0,0,0,0,6.0,20.0,30.0,32.0,0.0,50.0,43.2,4.0,100.0,60.5,13.0,0.0,0.0,3.0,25.6,300.0,391.0,76.7,5476.0,1994.0,127.0,144.0,88.2,134.0,167.0,80.2,35.0,63.0,55.6,0,1.1,1.1,11.0,22.0,7.0,3.0,32.0,391.0,343.0,47.0,18.0,1.0,0.0,18,16.0,7.0,1.0,5.0,0.0,300.0,1.0,9.0,23.0,15.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11,6.0,6.0,2.0,6.0,9.0,66.7,3.0,9.0,0.0,9.0,8,22,19.0,0.0,44,488.0,49.0,138.0,227.0,128.0,24.0,488.0,14.0,5.0,35.7,7.0,50.0,293.0,1180.0,501.0,12.0,7.0,5.0,12.0,12.0,294.0,32.0,3,0,0,14,12,1,18,8,11,0.0,0.0,0,52.0,23.0,19.0,54.8,2
2023-09-24,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,W,4,3,Getafe,4,9,5,55.6,0.33,0.6,19.2,1.0,1,1,2.0,1.2,0.14,2.0,1.8,7,3,4,71.4,0,2.9,-0.1,1,1,0,0,5.0,13.0,38.5,42.0,8.0,26.2,29.9,5.0,40.0,39.4,13.0,0.0,0.0,0.0,12.5,420.0,528.0,79.5,7719.0,2542.0,159.0,181.0,87.8,223.0,259.0,86.1,31.0,71.0,43.7,2,1.1,1.0,7.0,34.0,3.0,0.0,31.0,528.0,471.0,54.0,23.0,3.0,4.0,12,20.0,2.0,1.0,1.0,0.0,420.0,3.0,3.0,18.0,11.0,1.0,3.0,1.0,2.0,0.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,11.0,4,3.0,5.0,3.0,3.0,12.0,25.0,9.0,6.0,0.0,6.0,5,16,16.0,0.0,61,630.0,56.0,191.0,311.0,135.0,11.0,629.0,25.0,10.0,40.0,11.0,44.0,320.0,2228.0,1324.0,22.0,16.0,2.0,12.0,8.0,417.0,31.0,3,0,0,13,23,3,12,5,4,1.0,1.0,0,47.0,23.0,32.0,41.8,1
2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Away,W,1,0,Valencia,1,2,1,50.0,0.5,1.0,18.5,0.0,0,0,0.2,0.2,0.09,0.8,0.8,2,0,2,100.0,1,0.4,0.4,0,0,0,0,5.0,9.0,55.6,47.0,3.0,12.8,25.8,5.0,60.0,53.2,6.0,1.0,16.7,2.0,19.0,535.0,646.0,82.8,9979.0,2861.0,193.0,215.0,89.8,293.0,323.0,90.7,45.0,87.0,51.7,1,0.2,0.1,1.0,25.0,3.0,1.0,25.0,646.0,593.0,51.0,17.0,1.0,2.0,11,26.0,2.0,0.0,2.0,0.0,535.0,2.0,14.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,11,9.0,5.0,2.0,7.0,15.0,46.7,8.0,13.0,3.0,10.0,11,27,15.0,1.0,62,738.0,80.0,293.0,359.0,90.0,7.0,738.0,18.0,8.0,44.4,8.0,44.4,410.0,1965.0,863.0,14.0,7.0,3.0,14.0,10.0,532.0,23.0,7,0,0,17,13,2,11,11,11,0.0,0.0,0,47.0,27.0,15.0,64.3,1
2023-09-30,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,3,0,Athletic Club,3,8,5,62.5,0.38,0.6,18.0,1.0,0,0,1.4,1.4,0.18,1.6,1.6,3,0,3,100.0,1,1.1,1.1,0,0,0,0,10.0,20.0,50.0,32.0,2.0,31.3,31.3,10.0,100.0,65.7,19.0,0.0,0.0,0.0,16.0,323.0,443.0,72.9,5722.0,2376.0,148.0,167.0,88.6,128.0,167.0,76.6,36.0,80.0,45.0,2,1.2,0.5,5.0,25.0,7.0,1.0,32.0,443.0,392.0,49.0,10.0,1.0,4.0,16,23.0,5.0,3.0,0.0,0.0,323.0,2.0,7.0,15.0,10.0,0.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0,2.0,0.0,1.0,0.0,17.0,9,9.0,6.0,2.0,7.0,18.0,38.9,11.0,11.0,5.0,6.0,4,21,12.0,1.0,51,552.0,65.0,200.0,255.0,103.0,15.0,552.0,18.0,11.0,61.1,7.0,38.9,343.0,1686.0,837.0,14.0,11.0,5.0,20.0,9.0,319.0,32.0,2,0,0,20,9,2,16,4,9,0.0,0.0,0,64.0,22.0,20.0,52.4,1
2023-10-03,18:45 (09:45),Champions Lg,Group stage,Tue,Away,W,2,0,at RB Salzburg,2,15,5,33.3,0.13,0.4,20.7,0.0,0,0,1.2,1.2,0.08,0.8,0.8,1,0,1,100.0,1,0.1,0.1,0,0,0,0,9.0,24.0,37.5,25.0,0.0,64.0,47.4,8.0,100.0,71.5,15.0,1.0,6.7,3.0,21.3,421.0,519.0,81.1,7612.0,2931.0,181.0,207.0,87.4,174.0,197.0,88.3,48.0,78.0,61.5,2,1.2,0.5,14.0,34.0,4.0,2.0,41.0,519.0,470.0,46.0,13.0,0.0,4.0,12,19.0,5.0,0.0,3.0,0.0,421.0,3.0,9.0,26.0,20.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,20.0,10,12.0,6.0,2.0,10.0,16.0,62.5,6.0,16.0,5.0,11.0,8,28,26.0,0.0,52,656.0,73.0,213.0,303.0,144.0,13.0,656.0,22.0,10.0,45.5,11.0,50.0,437.0,2164.0,837.0,15.0,11.0,5.0,19.0,5.0,415.0,41.0,2,0,0,13,10,3,12,8,10,0.0,0.0,0,63.0,26.0,22.0,54.2,2
