Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,1,6.0,4.0,66.7,0.17,0.25,20.9,0.0,0,0,0.6,0.6,0.1,0.4,0.4,5.0,3,2.0,60.0,0,2.2,-0.8,1,1,0,0,5.0,16.0,31.3,23.0,2.0,39.1,37.7,8.0,87.5,56.3,12.0,1.0,8.3,3.0,24.0,494.0,607.0,81.4,10511.0,3976.0,167.0,190.0,87.9,241.0,275.0,87.6,85.0,136.0,62.5,1,0.6,0.3,5.0,55.0,5.0,1.0,58.0,607.0,541.0,63.0,14.0,0.0,13.0,21.0,34.0,3.0,2.0,0.0,0.0,494.0,3.0,6.0,11.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,9.0,0.0,6.0,15.0,40.0,9.0,9.0,3.0,6.0,12.0,25,17.0,1.0,58.0,685.0,56.0,197.0,354.0,137.0,9.0,685.0,9.0,7.0,77.8,2.0,22.2,481.0,1806.0,738.0,12.0,5.0,2.0,10.0,10.0,490.0,57.0,1,0,0,9.0,13.0,3.0,21.0,12.0,9.0,0.0,1.0,0,56.0,9.0,11.0,45.0,1
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,0,6.0,1.0,16.7,0.0,0.0,20.0,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,5.0,2,3.0,60.0,0,2.1,0.1,0,0,0,0,5.0,17.0,29.4,20.0,3.0,50.0,40.1,7.0,100.0,71.3,25.0,2.0,8.0,1.0,15.3,426.0,521.0,81.8,8971.0,3380.0,144.0,163.0,88.3,202.0,226.0,89.4,77.0,118.0,65.3,0,0.3,0.7,6.0,51.0,10.0,2.0,43.0,521.0,470.0,49.0,19.0,0.0,5.0,10.0,19.0,1.0,1.0,0.0,0.0,426.0,2.0,9.0,12.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,7.0,2.0,4.0,5.0,19.0,26.3,14.0,11.0,3.0,8.0,21.0,34,15.0,0.0,49.0,621.0,59.0,188.0,315.0,124.0,14.0,621.0,16.0,11.0,68.8,5.0,31.3,394.0,1673.0,792.0,12.0,10.0,1.0,11.0,8.0,423.0,42.0,2,0,0,10.0,15.0,2.0,10.0,21.0,8.0,0.0,0.0,0,51.0,13.0,16.0,44.8,1
2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,0,10.0,5.0,50.0,0.0,0.0,15.9,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,5.0,1,4.0,80.0,0,1.4,0.4,0,0,0,0,15.0,25.0,60.0,25.0,4.0,64.0,44.7,10.0,90.0,52.6,22.0,0.0,0.0,0.0,7.0,318.0,427.0,74.5,7163.0,3294.0,100.0,122.0,82.0,142.0,166.0,85.5,74.0,124.0,59.7,0,0.9,0.7,9.0,29.0,9.0,4.0,34.0,427.0,366.0,56.0,16.0,1.0,10.0,15.0,22.0,6.0,2.0,2.0,0.0,318.0,5.0,10.0,20.0,15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,11.0,2.0,1.0,6.0,27.0,22.2,21.0,14.0,6.0,8.0,14.0,28,35.0,1.0,44.0,537.0,72.0,210.0,229.0,104.0,14.0,537.0,13.0,9.0,69.2,4.0,30.8,300.0,1166.0,496.0,8.0,9.0,2.0,13.0,9.0,317.0,34.0,2,0,0,17.0,16.0,5.0,15.0,14.0,9.0,0.0,0.0,0,50.0,24.0,20.0,54.5,1
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,0,9.0,2.0,22.2,0.0,0.0,22.0,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,4.0,1,3.0,75.0,0,1.2,0.2,0,0,0,0,7.0,14.0,50.0,19.0,6.0,31.6,40.1,9.0,88.9,51.6,19.0,1.0,5.3,3.0,22.8,324.0,431.0,75.2,7212.0,3126.0,91.0,120.0,75.8,160.0,191.0,83.8,73.0,110.0,66.4,0,0.8,0.9,8.0,42.0,4.0,3.0,43.0,431.0,371.0,57.0,14.0,0.0,6.0,26.0,29.0,3.0,0.0,1.0,0.0,324.0,3.0,13.0,18.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,9.0,4.0,1.0,2.0,11.0,18.2,9.0,15.0,4.0,11.0,10.0,24,33.0,0.0,48.0,539.0,50.0,176.0,232.0,142.0,11.0,539.0,13.0,4.0,30.8,9.0,69.2,303.0,1216.0,529.0,10.0,12.0,3.0,16.0,6.0,322.0,43.0,2,0,0,16.0,11.0,3.0,26.0,10.0,10.0,0.0,0.0,0,52.0,19.0,21.0,47.5,1
2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,1,8.0,1.0,12.5,0.13,1.0,15.2,0.0,0,0,1.2,1.2,0.15,-0.2,-0.2,11.0,5,6.0,54.5,0,5.2,0.2,0,0,0,0,9.0,26.0,34.6,23.0,8.0,69.6,50.3,10.0,100.0,67.1,16.0,0.0,0.0,0.0,13.0,206.0,280.0,73.6,4537.0,2474.0,86.0,97.0,88.7,79.0,97.0,81.4,41.0,79.0,51.9,1,0.8,0.6,7.0,20.0,2.0,1.0,20.0,280.0,232.0,45.0,13.0,0.0,3.0,12.0,10.0,6.0,1.0,3.0,0.0,206.0,3.0,4.0,13.0,7.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,11.0,13.0,5.0,1.0,7.0,27.0,25.9,20.0,6.0,1.0,5.0,17.0,36,19.0,0.0,28.0,386.0,68.0,200.0,114.0,77.0,9.0,386.0,11.0,5.0,45.5,6.0,54.5,232.0,1004.0,436.0,7.0,12.0,1.0,9.0,8.0,205.0,20.0,0,1,0,10.0,8.0,3.0,12.0,17.0,11.0,0.0,0.0,0,45.0,5.0,5.0,50.0,1
2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,1,10.0,5.0,50.0,0.1,0.2,14.9,0.0,0,0,1.9,1.9,0.19,-0.9,-0.9,4.0,0,4.0,100.0,1,1.0,1.0,0,0,0,0,13.0,25.0,52.0,28.0,4.0,57.1,43.0,9.0,100.0,60.4,18.0,3.0,16.7,1.0,11.5,358.0,455.0,78.7,7561.0,3540.0,128.0,142.0,90.1,159.0,181.0,87.8,70.0,121.0,57.9,1,1.9,0.7,10.0,37.0,4.0,2.0,43.0,455.0,402.0,52.0,16.0,1.0,6.0,20.0,21.0,5.0,3.0,2.0,0.0,358.0,1.0,12.0,19.0,12.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,15.0,10.0,0.0,11.0,20.0,55.0,9.0,12.0,5.0,7.0,6.0,31,36.0,0.0,47.0,585.0,59.0,211.0,271.0,111.0,14.0,585.0,18.0,10.0,55.6,8.0,44.4,366.0,1700.0,845.0,16.0,13.0,6.0,21.0,17.0,352.0,42.0,3,0,0,14.0,12.0,1.0,20.0,6.0,18.0,0.0,0.0,0,61.0,16.0,17.0,48.5,1
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,0,15.0,7.0,46.7,0.0,0.0,21.7,1.0,0,0,1.1,1.1,0.08,-1.1,-1.1,3.0,1,2.0,66.7,0,1.5,0.5,0,0,0,0,3.0,5.0,60.0,26.0,12.0,15.4,31.7,6.0,16.7,29.3,14.0,4.0,28.6,2.0,12.8,545.0,671.0,81.2,11024.0,3591.0,199.0,222.0,89.6,240.0,272.0,88.2,95.0,150.0,63.3,0,0.6,1.2,12.0,48.0,9.0,3.0,61.0,671.0,608.0,59.0,11.0,2.0,14.0,34.0,35.0,5.0,2.0,2.0,1.0,545.0,4.0,13.0,24.0,17.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,7.0,5.0,3.0,5.0,13.0,38.5,8.0,6.0,1.0,5.0,10.0,25,18.0,0.0,62.0,770.0,44.0,179.0,417.0,176.0,18.0,770.0,18.0,6.0,33.3,12.0,66.7,436.0,2674.0,1452.0,31.0,21.0,6.0,16.0,13.0,540.0,61.0,3,0,0,11.0,12.0,4.0,34.0,10.0,9.0,0.0,0.0,0,66.0,10.0,22.0,31.3,1
2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,0,8.0,1.0,12.5,0.0,0.0,20.6,0.0,0,1,1.4,0.6,0.07,-1.4,-0.6,6.0,1,5.0,83.3,0,1.4,0.4,0,0,0,0,9.0,17.0,52.9,21.0,5.0,28.6,34.8,12.0,91.7,57.3,15.0,3.0,20.0,0.0,6.3,369.0,472.0,78.2,8171.0,2830.0,121.0,149.0,81.2,165.0,184.0,89.7,77.0,116.0,66.4,0,0.5,0.5,5.0,30.0,5.0,4.0,44.0,472.0,419.0,52.0,14.0,0.0,10.0,21.0,20.0,4.0,3.0,1.0,0.0,369.0,1.0,11.0,14.0,10.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,7.0,10.0,3.0,4.0,16.0,25.0,12.0,10.0,1.0,9.0,12.0,32,29.0,0.0,47.0,593.0,67.0,177.0,289.0,133.0,19.0,592.0,19.0,10.0,52.6,9.0,47.4,309.0,1750.0,901.0,21.0,17.0,4.0,15.0,9.0,367.0,44.0,4,1,1,9.0,14.0,1.0,21.0,12.0,12.0,1.0,0.0,0,54.0,12.0,8.0,60.0,1
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,1,10.0,2.0,20.0,0.1,0.5,25.1,1.0,0,0,0.4,0.4,0.04,0.6,0.6,5.0,3,2.0,40.0,0,1.9,-0.1,1,0,1,0,3.0,23.0,13.0,11.0,2.0,81.8,53.3,15.0,93.3,65.0,29.0,0.0,0.0,0.0,4.0,166.0,261.0,63.6,3614.0,1762.0,56.0,67.0,83.6,78.0,111.0,70.3,32.0,76.0,42.1,1,0.3,0.1,8.0,22.0,3.0,1.0,23.0,261.0,210.0,49.0,10.0,2.0,4.0,13.0,15.0,5.0,0.0,5.0,0.0,166.0,2.0,7.0,17.0,12.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,15.0,15.0,8.0,1.0,7.0,25.0,28.0,18.0,12.0,5.0,7.0,11.0,35,36.0,1.0,30.0,384.0,76.0,170.0,149.0,73.0,8.0,384.0,17.0,11.0,64.7,6.0,35.3,161.0,1065.0,508.0,15.0,9.0,2.0,16.0,4.0,166.0,23.0,1,0,0,16.0,9.0,2.0,13.0,11.0,15.0,0.0,1.0,1,47.0,12.0,27.0,30.8,1
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,1,15.0,5.0,33.3,0.07,0.2,24.9,0.0,0,0,1.0,1.0,0.07,0.0,0.0,6.0,2,4.0,66.7,0,1.0,-1.0,0,0,0,0,7.0,14.0,50.0,26.0,7.0,50.0,42.0,4.0,25.0,43.0,11.0,0.0,0.0,2.0,17.2,350.0,456.0,76.8,8152.0,3569.0,87.0,107.0,81.3,177.0,206.0,85.9,83.0,128.0,64.8,1,0.9,0.7,11.0,51.0,8.0,2.0,52.0,456.0,403.0,52.0,17.0,0.0,10.0,22.0,26.0,2.0,1.0,1.0,0.0,350.0,1.0,12.0,29.0,19.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,11.0,9.0,2.0,7.0,24.0,29.2,17.0,5.0,0.0,5.0,14.0,36,23.0,0.0,50.0,568.0,46.0,164.0,262.0,150.0,11.0,568.0,19.0,12.0,63.2,7.0,36.8,354.0,1642.0,762.0,9.0,14.0,0.0,18.0,10.0,349.0,52.0,1,1,0,11.0,14.0,1.0,22.0,14.0,15.0,0.0,0.0,0,61.0,17.0,21.0,44.7,1
